timestamp,abs,alpha,beta,gamma
1698420253.007,False,95.9,85.4,-4.0
1698420253.023,False,96.5,85.4,-4.800000000000001
1698420253.04,False,96.80000000000001,85.4,-5.1000000000000005
1698420253.056,False,97.2,85.4,-5.7
1698420253.073,False,97.7,85.4,-6.300000000000001
1698420253.09,False,98.0,85.4,-6.7
1698420253.106,False,99.0,85.4,-7.9
1698420253.123,False,100.10000000000001,85.4,-9.3
1698420253.14,False,100.7,85.4,-10.0
1698420253.157,False,101.80000000000001,85.4,-11.3
1698420253.173,False,102.80000000000001,85.4,-12.5
1698420253.19,False,103.5,85.4,-13.200000000000001
1698420253.206,False,104.60000000000001,85.4,-14.700000000000001
1698420253.223,False,105.9,85.5,-16.1
1698420253.24,False,106.5,85.5,-16.8
1698420253.257,False,107.7,85.5,-18.400000000000002
1698420253.273,False,108.9,85.5,-19.8
1698420253.29,False,109.5,85.60000000000001,-20.400000000000002
1698420253.306,False,110.5,85.60000000000001,-21.700000000000003
1698420253.323,False,111.2,85.60000000000001,-22.400000000000002
1698420253.34,False,112.30000000000001,85.7,-23.8
1698420253.357,False,113.60000000000001,85.7,-25.3
1698420253.373,False,114.7,85.80000000000001,-26.6
1698420253.39,False,115.30000000000001,85.80000000000001,-27.200000000000003
1698420253.407,False,116.5,85.9,-28.6
1698420253.423,False,117.9,85.9,-30.1
1698420253.44,False,118.60000000000001,85.9,-30.8
1698420253.457,False,119.7,86.0,-32.0
1698420253.473,False,120.80000000000001,86.0,-33.2
1698420253.49,False,121.30000000000001,86.10000000000001,-33.800000000000004
1698420253.506,False,122.5,86.10000000000001,-35.1
1698420253.523,False,123.80000000000001,86.10000000000001,-36.300000000000004
1698420253.54,False,124.2,86.2,-36.9
1698420253.556,False,125.4,86.2,-38.1
1698420253.573,False,126.7,86.30000000000001,-39.400000000000006
1698420253.59,False,127.5,86.30000000000001,-40.2
1698420253.607,False,129.0,86.4,-41.7
1698420253.623,False,130.5,86.4,-43.300000000000004
1698420253.64,False,131.4,86.5,-44.2
1698420253.657,False,133.20000000000002,86.5,-46.0
1698420253.673,False,134.1,86.60000000000001,-47.0
1698420253.692,False,136.6,86.7,-49.5
1698420253.706,False,137.5,86.7,-50.400000000000006
1698420253.724,False,138.4,86.80000000000001,-51.400000000000006
1698420253.74,False,140.9,86.9,-53.900000000000006
1698420253.756,False,141.6,86.9,-54.6
1698420253.773,False,143.0,87.0,-56.0
1698420253.79,False,143.5,87.0,-56.5
1698420253.807,False,144.5,87.0,-57.400000000000006
1698420253.823,False,145.0,87.10000000000001,-58.0
1698420253.873,False,144.6,87.10000000000001,-57.5
1698420253.89,False,144.1,87.10000000000001,-57.0
1698420253.906,False,143.9,87.10000000000001,-56.800000000000004
1698420253.923,False,143.4,87.10000000000001,-56.2
1698420253.94,False,143.20000000000002,87.10000000000001,-56.0
1698420253.957,False,143.0,87.10000000000001,-55.900000000000006
1698420253.973,False,142.8,87.10000000000001,-55.6
1698420253.99,False,142.3,87.10000000000001,-55.1
1698420254.007,False,142.1,87.10000000000001,-54.900000000000006
1698420254.023,False,141.70000000000002,87.10000000000001,-54.5
1698420254.04,False,141.3,87.10000000000001,-54.1
1698420254.058,False,141.1,87.10000000000001,-53.800000000000004
1698420254.074,False,140.6,87.10000000000001,-53.400000000000006
1698420254.106,False,140.5,87.10000000000001,-53.300000000000004
1698420254.123,False,140.20000000000002,87.0,-53.0
1698420254.139,False,139.8,87.0,-52.6
1698420254.156,False,139.6,87.0,-52.400000000000006
1698420254.173,False,139.3,87.0,-52.1
1698420254.191,False,139.1,87.0,-51.900000000000006
1698420254.207,False,138.9,86.9,-51.7
1698420254.223,False,138.8,86.9,-51.5
1698420254.256,False,138.6,86.9,-51.400000000000006
1698420254.273,False,138.5,86.80000000000001,-51.2
1698420254.29,False,138.3,86.80000000000001,-51.0
1698420254.323,False,137.9,86.80000000000001,-50.7
1698420254.34,False,137.70000000000002,86.80000000000001,-50.5
1698420254.356,False,137.6,86.80000000000001,-50.400000000000006
1698420254.373,False,137.5,86.7,-50.300000000000004
1698420254.406,False,137.3,86.7,-50.2
1698420254.456,False,137.20000000000002,86.7,-50.0
1698420254.473,False,137.0,86.7,-49.800000000000004
1698420254.506,False,136.9,86.60000000000001,-49.7
1698420254.524,False,136.8,86.60000000000001,-49.6
1698420254.54,False,136.6,86.60000000000001,-49.400000000000006
1698420254.557,False,136.4,86.60000000000001,-49.2
1698420254.59,False,136.20000000000002,86.60000000000001,-49.0
1698420254.606,False,135.9,86.60000000000001,-48.7
1698420254.623,False,135.70000000000002,86.60000000000001,-48.5
1698420254.64,False,135.4,86.60000000000001,-48.2
1698420254.657,False,135.1,86.60000000000001,-47.900000000000006
1698420254.673,False,134.9,86.60000000000001,-47.800000000000004
1698420254.69,False,134.8,86.60000000000001,-47.6
1698420254.708,False,134.70000000000002,86.60000000000001,-47.5
1698420254.74,False,134.6,86.60000000000001,-47.400000000000006
1698420254.756,False,134.4,86.60000000000001,-47.300000000000004
1698420254.773,False,134.3,86.60000000000001,-47.2
1698420254.79,False,134.20000000000002,86.60000000000001,-47.0
1698420254.807,False,133.8,86.60000000000001,-46.6
1698420254.84,False,133.6,86.60000000000001,-46.400000000000006
1698420254.856,False,133.5,86.60000000000001,-46.300000000000004
1698420254.874,False,133.3,86.60000000000001,-46.1
1698420254.89,False,133.1,86.7,-45.900000000000006
1698420254.906,False,132.9,86.7,-45.7
1698420254.94,False,132.6,86.60000000000001,-45.400000000000006
1698420254.956,False,132.5,86.60000000000001,-45.300000000000004
1698420254.973,False,132.4,86.60000000000001,-45.2
1698420254.99,False,132.3,86.7,-45.1
1698420255.006,False,132.20000000000002,86.7,-45.0
1698420255.024,False,132.1,86.7,-44.900000000000006
1698420255.04,False,132.0,86.7,-44.800000000000004
1698420255.056,False,131.9,86.7,-44.7
1698420255.106,False,131.8,86.7,-44.6
1698420255.124,False,131.70000000000002,86.7,-44.5
1698420255.14,False,131.6,86.7,-44.400000000000006
1698420255.156,False,131.5,86.7,-44.300000000000004
1698420255.206,False,131.4,86.7,-44.2
1698420255.223,False,131.20000000000002,86.7,-44.0
1698420255.257,False,131.0,86.7,-43.800000000000004
1698420255.274,False,130.9,86.7,-43.7
1698420255.29,False,130.8,86.7,-43.6
1698420255.306,False,130.70000000000002,86.7,-43.5
1698420255.323,False,130.5,86.7,-43.300000000000004
1698420255.34,False,130.4,86.7,-43.2
1698420255.356,False,130.20000000000002,86.7,-43.0
1698420255.373,False,130.1,86.7,-42.800000000000004
1698420255.39,False,129.9,86.7,-42.7
1698420255.407,False,130.1,86.7,-42.900000000000006
1698420255.423,False,130.0,86.7,-42.800000000000004
1698420255.456,False,129.9,86.7,-42.7
1698420255.506,False,129.8,86.7,-42.6
1698420255.54,False,129.70000000000002,86.7,-42.5
1698420255.573,False,129.6,86.7,-42.400000000000006
1698420255.59,False,129.70000000000002,86.7,-42.5
