timestamp,magnRawx,magnRawy,magnRawz
1698415422.047,-174,458,632
1698415422.127,-174,454,627
1698415422.207,-172,452,628
1698415422.287,-181,458,633
1698415422.367,-182,456,631
1698415422.447,-179,459,626
1698415422.526,-178,444,631
1698415422.607,-181,464,633
1698415422.687,-177,455,625
1698415422.766,-176,461,626
1698415422.846,-190,443,618
1698415422.927,-175,453,629
1698415423.006,-177,453,630
1698415423.086,-179,468,628
1698415423.167,-179,458,632
1698415423.246,-176,454,629
1698415423.326,-170,450,634
1698415423.407,-176,454,627
1698415423.486,-182,450,623
1698415423.566,-170,447,627
1698415423.647,-179,457,633
1698415423.726,-179,465,627
1698415423.806,-185,455,631
1698415423.887,-173,457,625
1698415423.966,-184,462,623
1698415424.046,-173,450,634
1698415424.127,-180,449,627
1698415424.206,-177,454,633
1698415424.286,-187,452,632
1698415424.367,-187,455,627
1698415424.446,-177,456,629
1698415424.526,-180,453,628
1698415424.608,-188,455,632
1698415424.686,-167,459,633
1698415424.766,-183,460,635
1698415424.846,-184,454,638
1698415424.926,-182,449,620
1698415425.006,-169,445,617
1698415425.086,-175,456,629
1698415425.166,-184,459,621
1698415425.246,-178,453,628
1698415425.329,-182,454,619
1698415425.406,-185,462,618
1698415425.486,-177,451,629
1698415425.566,-192,461,628
1698415425.646,-197,468,629
1698415425.728,-209,454,625
1698415425.806,-200,472,617
1698415425.886,-204,463,616
1698415425.966,-191,484,609
1698415426.046,-170,494,598
1698415426.128,-146,494,600
1698415426.206,-112,503,575
1698415426.286,-96,492,571
1698415426.367,-64,491,567
1698415426.446,-36,477,552
1698415426.529,-36,476,546
1698415426.606,-43,480,529
1698415426.686,-37,480,533
1698415426.766,-25,485,549
1698415426.846,10,471,536
1698415426.928,32,444,539
1698415427.006,64,424,533
1698415427.086,68,412,515
1698415427.166,78,404,511
1698415427.246,84,398,515
1698415427.328,64,408,539
1698415427.406,46,434,530
1698415427.486,2,461,541
1698415427.566,-42,484,549
1698415427.646,-86,492,568
1698415427.729,-82,483,568
1698415427.806,-42,465,565
1698415427.886,-8,464,571
1698415427.968,11,434,556
1698415428.046,14,433,548
1698415428.128,32,428,536
1698415428.206,40,433,532
1698415428.286,47,418,543
1698415428.368,53,412,537
1698415428.446,43,406,545
1698415428.528,36,438,550
1698415428.605,-9,459,557
1698415428.686,-59,475,555
1698415428.767,-123,479,549
1698415428.845,-110,485,561
1698415428.929,-87,473,560
1698415429.005,-23,450,551
1698415429.085,42,411,542
1698415429.167,63,403,516
1698415429.245,67,394,516
1698415429.329,71,394,495
1698415429.406,55,385,511
1698415429.525,50,392,502
1698415429.566,68,384,493
1698415429.646,89,353,504
1698415429.725,108,313,493
1698415429.805,103,291,496
1698415429.886,120,276,504
1698415429.966,113,263,514
1698415430.045,128,254,534
1698415430.126,120,228,559
1698415430.205,112,199,558
1698415430.285,102,178,559
1698415430.366,78,135,567
1698415430.445,81,130,581
1698415430.525,89,145,565
1698415430.605,86,176,586
1698415430.685,88,231,605
1698415430.765,52,250,623
1698415430.846,58,258,611
1698415430.925,64,223,623
1698415431.005,55,185,619
1698415431.085,53,172,608
1698415431.165,54,151,597
1698415431.245,55,148,604
1698415431.326,71,194,620
1698415431.405,66,212,617
1698415431.485,53,240,628
1698415431.566,55,244,626
1698415431.645,63,224,628
1698415431.725,71,185,613
1698415431.805,67,182,615
1698415431.885,66,184,620
1698415431.965,65,195,629
1698415432.045,42,178,631
1698415432.125,52,163,617
1698415432.205,55,169,615
1698415432.285,73,165,612
1698415432.365,85,171,610
1698415432.445,90,171,598
1698415432.525,97,190,602
1698415432.605,113,205,608
1698415432.687,110,231,603
1698415432.765,113,226,587
1698415432.845,126,231,578
1698415432.925,142,238,557
1698415433.005,147,263,533
1698415433.087,144,267,509
1698415433.165,132,280,490
1698415433.245,114,324,479
1698415433.325,106,362,474
1698415433.405,71,392,477
1698415433.487,79,410,486
1698415433.565,49,421,475
1698415433.645,20,456,487
1698415433.725,-2,463,494
1698415433.805,-30,479,494
1698415433.887,-59,487,506
1698415433.965,-85,504,525
1698415434.045,-107,518,532
1698415434.125,-137,524,548
1698415434.205,-178,510,558
1698415434.287,-184,509,556
1698415434.365,-221,510,563
1698415434.445,-221,487,569
1698415434.525,-227,485,597
1698415434.605,-217,480,606
1698415434.688,-215,481,598
1698415434.764,-226,482,602
1698415434.844,-204,485,600
1698415434.924,-205,484,596
1698415435.004,-211,491,602
1698415435.087,-209,485,601
1698415435.165,-199,480,603
1698415435.244,-192,479,611
1698415435.327,-205,486,586
1698415435.404,-200,483,608
1698415435.487,-187,484,599
1698415435.564,-187,480,590
