timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698422696.01,-7,42,-1017,64,41,54,-7,-2969,5650,194,0,283,940,822
1698422696.032,-7,42,-1017,63,38,53,-8,-2969,5649,193,0,283,944,812
1698422696.047,-8,42,-1018,66,39,53,-8,-2969,5650,196,0,283,940,839
1698422696.07,-8,42,-1018,66,38,52,-8,-2970,5652,192,0,281,938,838
1698422696.092,-7,43,-1017,64,40,55,-9,-2970,5653,192,0,282,941,845
1698422696.107,-6,42,-1016,64,38,56,-10,-2969,5655,193,0,281,942,836
1698422696.13,-7,42,-1015,65,35,53,-9,-2970,5654,192,0,285,942,829
1698422696.152,-7,42,-1015,62,34,51,-9,-2970,5654,196,0,292,958,852
1698422696.175,-7,41,-1015,62,36,53,-9,-2970,5654,197,0,290,955,872
1698422696.19,-7,42,-1017,61,36,54,-9,-2970,5653,199,0,292,962,866
1698422696.212,-6,43,-1017,63,35,53,-9,-2970,5653,207,0,295,967,837
1698422696.229,-6,43,-1018,63,37,54,-9,-2970,5652,204,0,294,968,840
1698422696.25,-6,42,-1018,64,37,57,-11,-2970,5652,197,0,299,967,838
1698422696.272,-7,42,-1018,63,38,55,-11,-2969,5651,191,0,295,956,910
1698422696.287,-6,42,-1019,64,34,55,-10,-2969,5650,192,0,295,962,875
1698422696.309,-5,42,-1019,67,33,55,-10,-2968,5649,198,0,302,974,853
1698422696.332,-5,43,-1019,66,36,57,-9,-2968,5650,197,0,300,969,846
1698422696.347,-5,43,-1020,65,37,54,-9,-2967,5650,198,0,300,971,828
1698422696.369,-6,42,-1019,64,35,53,-8,-2967,5651,204,0,302,970,829
1698422696.393,-6,42,-1019,63,35,56,-8,-2967,5651,203,0,305,970,826
1698422696.408,-7,42,-1018,63,36,52,-9,-2966,5652,201,0,305,978,822
1698422696.43,-7,42,-1020,67,38,54,-9,-2966,5651,207,0,305,974,808
