timestamp,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698414815.012,16,0.0,0.0,0.0,-0.9,9.5,-0.5,-0.7,0.8,0.1
1698414815.029,16,-0.1,-0.1,0.0,-0.9,9.4,-0.4,-0.8,1.2000000000000002,0.1
1698414815.046,16,-0.1,0.0,0.0,-0.9,9.5,-0.4,-0.4,1.0,0.2
1698414815.063,16,-0.1,0.0,0.0,-0.9,9.5,-0.4,-0.6000000000000001,0.4,0.2
1698414815.079,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.2,0.30000000000000004,0.30000000000000004
1698414815.095,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.4,0.30000000000000004,0.5
1698414815.113,16,0.0,0.0,0.1,-0.8,9.5,-0.4,-0.5,0.2,0.7
1698414815.128,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.4,0.30000000000000004,0.8
1698414815.146,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.6000000000000001,0.4,0.9
1698414815.162,16,0.0,-0.1,0.0,-0.8,9.5,-0.4,-0.4,0.4,0.7
1698414815.178,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,0.2,0.8
1698414815.195,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.0,0.5,0.9
1698414815.212,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,0.30000000000000004,0.9
1698414815.229,16,0.0,0.1,0.1,-0.8,9.600000000000001,-0.30000000000000004,-0.6000000000000001,-0.1,0.7
1698414815.246,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,-0.2,0.9
1698414815.262,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.1,0.2,0.9
1698414815.279,16,0.0,0.0,-0.1,-0.8,9.5,-0.5,0.1,0.5,0.8
1698414815.298,16,0.0,0.0,-0.1,-0.8,9.5,-0.5,0.4,0.4,0.8
1698414815.314,16,0.0,0.0,-0.1,-0.8,9.5,-0.5,0.4,0.4,0.9
1698414815.329,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.5,0.2,1.0
1698414815.345,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.5,0.30000000000000004,0.8
1698414815.365,16,0.0,0.1,0.0,-0.8,9.600000000000001,-0.4,0.5,0.4,0.7
1698414815.379,16,0.0,0.0,0.0,-0.8,9.5,-0.5,0.4,0.5,0.6000000000000001
1698414815.399,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.2,-0.1,0.6000000000000001
1698414815.412,16,0.0,0.0,0.0,-0.8,9.5,-0.5,0.1,-0.1,0.6000000000000001
1698414815.428,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.1,-0.2,0.6000000000000001
1698414815.446,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.1,-0.30000000000000004,0.7
1698414815.462,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.1,-0.30000000000000004,0.7
1698414815.478,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.1,-0.6000000000000001,0.6000000000000001
1698414815.497,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,-0.9,0.7
1698414815.513,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,-1.2000000000000002,0.9
1698414815.529,16,0.0,0.0,0.1,-0.8,9.5,-0.4,-0.1,-0.9,0.7
1698414815.545,16,0.0,0.0,0.1,-0.8,9.5,-0.4,0.1,-0.6000000000000001,0.6000000000000001
1698414815.562,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.5,-0.5,0.7
1698414815.578,16,0.0,0.0,0.0,-0.8,9.5,-0.4,0.6000000000000001,-0.5,0.6000000000000001
1698414815.595,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,0.7,-0.4,0.7
1698414815.612,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,0.7,-0.4,0.5
1698414815.628,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.5,0.7,-0.1,0.4
1698414815.646,16,0.0,0.0,-0.1,-0.7000000000000001,9.5,-0.5,0.7,0.1,0.4
1698414815.662,16,0.0,0.0,-0.1,-0.7000000000000001,9.5,-0.5,0.5,0.1,0.4
1698414815.678,16,0.0,0.1,0.0,-0.7000000000000001,9.600000000000001,-0.5,0.2,0.4,0.4
1698414815.694,16,0.0,0.0,0.0,-0.8,9.600000000000001,-0.5,-0.1,0.4,0.2
1698414815.711,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.1,0.4,0.2
1698414815.728,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.2,0.5,0.0
1698414815.744,16,-0.1,0.0,0.0,-0.8,9.5,-0.5,-0.4,0.2,0.1
1698414815.763,16,0.0,0.0,0.0,-0.8,9.5,-0.5,-0.6000000000000001,-0.7,0.30000000000000004
1698414815.778,16,0.0,-0.1,0.0,-0.8,9.4,-0.5,-0.7,-1.0,0.6000000000000001
1698414815.795,16,0.0,0.0,0.0,-0.7000000000000001,9.4,-0.5,-0.7,-0.9,0.7
1698414815.812,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.5,-0.8,-0.4,0.5
1698414815.828,16,0.0,0.0,-0.1,-0.7000000000000001,9.5,-0.5,-0.8,0.1,0.5
1698414815.846,16,0.0,0.0,-0.1,-0.8,9.5,-0.5,-1.4,0.6000000000000001,0.6000000000000001
1698414815.863,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-1.5000000000000002,0.8,0.4
1698414815.879,16,0.0,0.1,0.0,-0.8,9.600000000000001,-0.5,-1.6,1.0,0.4
1698414815.897,16,0.0,0.1,0.0,-0.8,9.5,-0.4,-1.7,0.7,0.4
1698414815.912,16,0.0,0.0,0.0,-0.8,9.600000000000001,-0.4,-1.5000000000000002,-0.4,0.1
1698414815.928,16,0.0,0.0,0.1,-0.7000000000000001,9.5,-0.4,-1.6,-0.30000000000000004,0.0
1698414815.945,16,0.0,-0.1,0.1,-0.7000000000000001,9.4,-0.4,-1.3,0.5,-0.2
1698414815.963,16,0.0,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.2000000000000002,0.7,-0.2
1698414815.982,16,0.0,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.2000000000000002,1.0,-0.2
1698414815.996,16,0.0,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.2000000000000002,1.2000000000000002,-0.2
1698414816.012,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-0.7,1.0,-0.1
1698414816.028,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-0.2,0.5,-0.2
1698414816.045,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-0.1,0.4,-0.5
1698414816.062,16,0.0,0.0,0.1,-0.8,9.5,-0.30000000000000004,0.0,0.5,-0.7
1698414816.079,16,0.0,0.0,0.1,-0.8,9.5,-0.4,0.5,0.7,-0.2
1698414816.095,16,0.0,0.0,0.1,-0.7000000000000001,9.5,-0.4,0.1,0.8,-0.2
1698414816.112,16,0.0,0.0,0.1,-0.7000000000000001,9.5,-0.30000000000000004,0.0,1.0999999999999999,-0.2
1698414816.128,16,-0.1,0.0,0.1,-0.8,9.5,-0.30000000000000004,-0.2,1.6,0.0
1698414816.146,16,-0.1,0.0,0.1,-0.8,9.5,-0.4,0.0,1.3,0.1
1698414816.162,16,-0.1,0.0,0.1,-0.8,9.5,-0.30000000000000004,-0.30000000000000004,0.5,0.1
1698414816.179,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.1,0.1,0.1
1698414816.195,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-0.2,0.5,0.1
1698414816.211,16,-0.1,0.0,-0.1,-0.8,9.5,-0.5,-0.4,0.7,0.2
1698414816.228,16,-0.1,0.0,-0.2,-0.8,9.5,-0.6000000000000001,-0.7,0.8,0.2
1698414816.245,16,0.0,0.0,-0.1,-0.8,9.5,-0.5,-1.0,0.5,0.4
1698414816.262,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-1.0,0.1,0.5
1698414816.278,16,0.0,0.0,0.1,-0.8,9.5,-0.30000000000000004,-0.8,-0.1,0.4
1698414816.295,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-1.2000000000000002,0.30000000000000004,0.2
1698414816.311,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.4,-1.3,0.4,0.2
1698414816.328,16,0.0,0.1,0.0,-0.8,9.600000000000001,-0.30000000000000004,-1.7,0.8,0.2
1698414816.345,16,0.0,0.1,0.1,-0.8,9.600000000000001,-0.30000000000000004,-2.1,0.8,0.1
1698414816.361,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-2.3000000000000003,0.4,-0.1
1698414816.378,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-2.3000000000000003,0.1,-0.1
1698414816.395,16,0.1,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-2.0,-0.4,-0.2
1698414816.411,16,0.1,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.5000000000000002,0.1,-0.5
1698414816.428,16,0.1,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.2000000000000002,0.1,-0.6000000000000001
1698414816.444,16,0.0,-0.1,0.0,-0.7000000000000001,9.4,-0.4,-1.0999999999999999,0.30000000000000004,-0.4
1698414816.461,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.30000000000000004,-0.8,0.1,-0.4
1698414816.478,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.30000000000000004,-0.8,0.1,-0.2
1698414816.494,16,0.0,0.0,0.0,-0.7000000000000001,9.5,-0.30000000000000004,-0.9,0.5,-0.1
1698414816.511,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-1.0,1.0,0.2
1698414816.528,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-1.2000000000000002,1.0,0.30000000000000004
1698414816.545,16,0.0,0.0,0.0,-0.8,9.5,-0.4,-1.5000000000000002,0.9,0.2
1698414816.561,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-1.6,0.5,0.1
1698414816.579,16,-0.1,0.0,0.0,-0.8,9.5,-0.30000000000000004,-1.7,0.5,-0.1
1698414816.595,16,0.0,-0.1,0.0,-0.8,9.4,-0.30000000000000004,-1.2000000000000002,0.5,0.0
1698414816.611,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.9,-0.1,-0.2
1698414816.628,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.6000000000000001,-0.30000000000000004,-0.2
1698414816.645,16,0.0,0.0,0.1,-0.8,9.5,-0.2,-0.30000000000000004,-0.30000000000000004,-0.2
1698414816.661,16,0.0,0.0,0.1,-0.8,9.5,-0.2,-0.2,-0.4,0.0
1698414816.678,16,0.0,0.0,0.1,-0.8,9.5,-0.2,0.0,-0.4,0.1
1698414816.695,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.2,-0.30000000000000004,0.1
1698414816.711,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.4,-0.8,0.1
1698414816.728,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.4,-0.7,0.1
1698414816.744,16,0.0,0.0,-0.1,-0.8,9.5,-0.30000000000000004,-0.5,-0.5,0.2
1698414816.761,16,0.0,0.0,-0.1,-0.8,9.5,-0.4,-0.5,-0.6000000000000001,0.1
1698414816.778,16,0.0,0.1,0.0,-0.8,9.600000000000001,-0.30000000000000004,-0.4,-1.4,0.1
1698414816.794,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.4,-1.4,0.0
1698414816.811,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,-0.2,-1.0999999999999999,0.0
1698414816.828,16,0.0,0.0,0.0,-0.8,9.5,-0.2,-0.1,-0.8,0.0
1698414816.844,16,0.0,-0.1,0.0,-0.8,9.4,-0.30000000000000004,0.1,-0.7,0.1
1698414816.862,16,0.0,0.0,0.0,-0.8,9.5,-0.30000000000000004,0.1,-0.7,0.2
1698414816.878,16,0.0,0.0,0.0,-0.8,9.5,-0.2,0.2,-0.9,0.1
1698414816.896,16,0.1,0.0,0.0,-0.7000000000000001,9.5,-0.30000000000000004,0.30000000000000004,-0.30000000000000004,0.1
