timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698427178.019,3,32,-1021,61,36,49,65,-2927,5815,1826,943,1815,2166,2007
1698427178.027,3,32,-1022,63,35,53,65,-2928,5814,1826,937,1815,2166,2010
1698427178.05,4,32,-1022,63,37,53,64,-2927,5815,1823,922,1811,2166,2009
1698427178.08,3,32,-1022,65,34,54,65,-2928,5813,1824,908,1808,2166,2010
1698427178.094,3,32,-1022,67,33,49,65,-2927,5813,1823,914,1809,2166,2008
1698427178.11,3,32,-1021,66,35,49,66,-2927,5813,1825,935,1814,2169,2010
1698427178.132,3,32,-1021,66,35,52,65,-2928,5813,1825,934,1815,2166,2009
1698427178.154,3,32,-1021,64,36,51,65,-2928,5814,1827,932,1813,2166,2008
1698427178.177,3,32,-1020,64,36,51,66,-2928,5814,1832,940,1813,2166,2006
1698427178.192,-9,32,-1021,62,36,53,66,-2928,5814,1828,933,1813,2165,2009
1698427178.216,-6,32,-1020,61,35,52,66,-2928,5814,1834,938,1808,2164,2008
1698427178.229,-4,32,-1020,61,36,53,66,-2928,5812,1839,935,1808,2163,2008
1698427178.26,-2,33,-1020,65,37,54,67,-2929,5810,1837,936,1809,2164,2003
1698427178.274,-1,32,-1021,64,38,52,67,-2930,5810,1833,938,1813,2164,2005
1698427178.29,0,32,-1022,63,38,51,66,-2930,5810,1836,937,1811,2162,2005
1698427178.312,1,32,-1021,63,37,52,66,-2931,5809,1839,893,1813,2165,2007
1698427178.327,1,32,-1021,63,35,53,67,-2930,5810,1840,895,1813,2165,2008
1698427178.349,2,32,-1019,64,36,53,67,-2931,5810,1838,895,1810,2166,2008
1698427178.372,3,32,-1019,61,36,54,67,-2931,5809,1830,901,1807,2167,2008
1698427178.387,3,31,-1019,62,35,52,68,-2930,5808,1831,904,1804,2166,2007
1698427178.409,3,31,-1019,63,35,55,68,-2930,5809,1827,908,1805,2168,2008
1698427178.432,3,31,-1020,63,37,52,68,-2929,5809,1830,916,1805,2167,2008
1698427178.455,3,32,-1020,64,37,51,68,-2929,5809,1820,940,1807,2167,2009
