timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698420162.386,False,0.0,0,0,2329
1698420163.379,False,0.0,0,0,2329
1698420163.872,False,0.0,0,0,2329
1698420164.861,False,0.0,0,0,2329
1698420166.346,False,0.0,0,0,2329
1698420166.842,False,0.0,0,0,2329
1698420168.327,False,0.0,0,0,2329
1698420168.821,False,0.0,0,0,2329
1698420169.813,False,1.359375,16,121,2341
1698420170.804,False,1.46875,32,162,2354
1698420172.291,False,1.5,47,202,2372
1698420172.782,False,1.5,61,220,2387
1698420173.775,False,1.46875,59,227,2403
1698420174.772,False,1.4140625,58,193,2417
1698420175.752,False,1.38671875,57,160,2431
1698420177.239,False,1.359375,56,149,2445
1698420177.733,False,1.33203125,55,147,2459
1698420178.719,False,1.33203125,53,147,2474
1698420180.704,False,1.3046875,53,147,2489
1698420181.691,False,1.21875,54,147,2502
1698420182.682,False,1.21875,54,147,2502
1698420183.177,False,1.19140625,50,146,2516
1698420184.169,False,1.1640625,51,145,2528
1698420185.648,False,1.19140625,53,143,2539
1698420186.643,False,1.21875,52,141,2552
1698420188.128,False,1.25,57,139,2565
1698420190.11,False,1.33203125,58,137,2594
1698420190.111,False,1.359375,57,136,2609
1698420191.597,False,1.359375,57,138,2624
1698420192.581,False,1.359375,57,138,2624
1698420193.076,False,1.359375,57,141,2639
1698420194.068,False,1.359375,56,144,2653
1698420195.059,False,1.33203125,56,147,2668
1698420196.046,False,1.27734375,54,147,2683
1698420197.531,False,1.27734375,54,147,2683
1698420198.521,False,0.0,0,0,2683
1698420199.016,False,0.0,0,0,2683
1698420200.002,False,0.0,0,0,2683
