timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698411892.67,False,0,0,0,38
1698411893.663,False,0,0,0,38
1698411894.648,False,0,0,0,38
1698411895.638,False,0,0,0,38
1698411896.632,False,0,0,0,38
1698411897.624,False,0,0,0,38
1698411898.608,False,0,0,0,38
1698411899.593,False,0,0,0,38
1698411901.575,False,0,9,0,38
1698411902.562,False,0,9,0,38
1698411903.564,False,0,0,0,38
1698411904.549,False,0,0,0,38
1698411905.531,False,0,0,0,38
1698411906.529,False,0,0,0,38
1698411907.523,False,0,0,0,38
1698411908.505,False,0,0,0,38
1698411909.501,False,0,9,0,38
1698411910.491,False,0,9,0,38
1698411911.476,False,0,0,0,38
1698411912.46,False,0,0,0,38
1698411913.461,False,0,0,0,38
1698411914.45,False,0,0,0,38
1698411915.435,False,0,0,0,38
1698411916.425,False,0,0,0,38
1698411917.424,False,0,0,0,38
