timestamp,accGGx,accGGy,accGGz
1698412927.034,-0.323,0.676,-0.661
1698412927.114,-0.316,0.68,-0.659
1698412927.194,-0.314,0.674,-0.666
1698412927.274,-0.313,0.667,-0.667
1698412927.354,-0.313,0.664,-0.66
1698412927.434,-0.313,0.666,-0.665
1698412927.513,-0.313,0.668,-0.669
1698412927.593,-0.313,0.67,-0.664
1698412927.674,-0.31,0.667,-0.664
1698412927.753,-0.315,0.664,-0.67
1698412927.833,-0.316,0.671,-0.671
1698412927.914,-0.307,0.667,-0.676
1698412927.996,-0.301,0.667,-0.675
1698412928.073,-0.308,0.669,-0.665
1698412928.154,-0.341,0.739,-0.698
1698412928.235,-0.349,0.78,-0.72
1698412928.313,-0.321,0.722,-0.697
1698412928.394,-0.31,0.69,-0.684
1698412928.473,-0.304,0.689,-0.67
1698412928.553,-0.298,0.683,-0.663
1698412928.634,-0.293,0.676,-0.662
1698412928.713,-0.293,0.678,-0.656
1698412928.793,-0.301,0.679,-0.653
1698412928.874,-0.306,0.678,-0.659
1698412928.953,-0.299,0.676,-0.661
1698412929.033,-0.294,0.671,-0.661
1698412929.114,-0.297,0.664,-0.661
1698412929.193,-0.306,0.667,-0.665
1698412929.273,-0.304,0.671,-0.667
1698412929.354,-0.309,0.668,-0.667
1698412929.433,-0.309,0.667,-0.663
1698412929.513,-0.221,0.688,-0.739
1698412929.594,-0.183,0.696,-0.777
1698412929.673,-0.253,0.685,-0.715
1698412929.753,-0.286,0.68,-0.687
1698412929.833,-0.296,0.675,-0.675
1698412929.913,-0.304,0.674,-0.668
1698412929.993,-0.307,0.673,-0.665
1698412930.073,-0.308,0.673,-0.658
1698412930.153,-0.31,0.678,-0.656
1698412930.233,-0.307,0.678,-0.659
1698412930.313,-0.305,0.678,-0.663
1698412930.395,-0.304,0.679,-0.665
1698412930.473,-0.307,0.673,-0.667
1698412930.556,-0.312,0.672,-0.669
1698412930.633,-0.308,0.667,-0.669
1698412930.713,-0.306,0.664,-0.661
1698412930.795,-0.305,0.666,-0.656
1698412930.873,-0.289,0.68,-0.647
1698412930.953,-0.288,0.685,-0.647
1698412931.033,-0.306,0.676,-0.658
1698412931.113,-0.31,0.668,-0.661
1698412931.193,-0.307,0.664,-0.662
1698412931.273,-0.307,0.668,-0.661
1698412931.353,-0.302,0.665,-0.664
1698412931.434,-0.299,0.661,-0.659
1698412931.513,-0.301,0.665,-0.652
1698412931.593,-0.302,0.665,-0.654
1698412931.673,-0.304,0.664,-0.655
1698412931.753,-0.308,0.663,-0.661
1698412931.833,-0.31,0.663,-0.673
1698412931.913,-0.313,0.666,-0.673
1698412931.993,-0.303,0.683,-0.663
1698412932.073,-0.306,0.681,-0.662
1698412932.153,-0.313,0.677,-0.664
1698412932.233,-0.251,0.69,-0.661
1698412932.313,-0.22,0.698,-0.65
1698412932.393,-0.269,0.684,-0.652
1698412932.473,-0.296,0.672,-0.66
1698412932.553,-0.302,0.668,-0.664
1698412932.633,-0.304,0.666,-0.666
1698412932.713,-0.308,0.667,-0.667
1698412932.794,-0.31,0.665,-0.667
1698412932.873,-0.309,0.661,-0.667
1698412932.955,-0.309,0.659,-0.663
1698412933.033,-0.306,0.663,-0.664
1698412933.115,-0.272,0.678,-0.667
1698412933.193,-0.258,0.682,-0.673
1698412933.273,-0.286,0.677,-0.672
1698412933.354,-0.297,0.671,-0.662
1698412933.433,-0.299,0.68,-0.658
1698412933.512,-0.306,0.671,-0.659
1698412933.592,-0.277,0.674,-0.712
1698412933.673,-0.259,0.677,-0.74
1698412933.752,-0.284,0.673,-0.708
1698412933.832,-0.299,0.669,-0.694
1698412933.913,-0.305,0.664,-0.686
1698412933.992,-0.31,0.668,-0.674
1698412934.073,-0.315,0.669,-0.666
1698412934.153,-0.318,0.671,-0.668
1698412934.232,-0.319,0.675,-0.668
1698412934.312,-0.318,0.673,-0.67
1698412934.393,-0.319,0.664,-0.672
1698412934.472,-0.329,0.658,-0.628
1698412934.552,-0.331,0.658,-0.61
1698412934.633,-0.321,0.66,-0.642
1698412934.712,-0.313,0.661,-0.657
1698412934.792,-0.32,0.64,-0.683
1698412934.872,-0.313,0.653,-0.688
1698412934.952,-0.293,0.72,-0.694
1698412935.032,-0.237,0.749,-0.683
1698412935.112,-0.14,0.751,-0.62
1698412935.192,-0.048,0.753,-0.534
1698412935.272,0.0,0.776,-0.433
1698412935.352,0.013,0.879,-0.302
1698412935.432,0.016,1.136,-0.165
1698412935.514,-0.004,1.369,-0.071
1698412935.593,-0.061,1.522,0.008
1698412935.675,-0.106,1.528,0.114
1698412935.752,-0.061,1.432,0.131
1698412935.832,0.119,1.284,0.053
1698412935.913,0.331,1.084,-0.004
1698412935.992,0.384,0.922,-0.053
