timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698419233.765,False,0.0,0,0,860
1698419234.751,False,0.0,0,0,860
1698419235.744,False,0.0,0,0,860
1698419237.226,False,0.0,0,0,860
1698419238.72,False,0.0,0,0,860
1698419239.21,False,0.0,0,0,860
1698419240.201,False,0.0,0,0,860
1698419241.68,False,0.0,0,0,860
1698419243.169,False,1.19140625,14,167,878
1698419243.17,False,1.19140625,14,167,878
1698419244.655,False,1.25,28,184,891
1698419245.151,False,1.3046875,43,217,905
1698419246.64,False,1.359375,57,226,920
1698419247.125,False,1.38671875,58,221,935
1698419248.118,False,1.4140625,59,188,949
1698419249.102,False,1.4140625,59,154,964
1698419250.587,False,1.4140625,59,144,979
1698419251.083,False,1.38671875,59,143,994
1698419253.558,False,1.3046875,57,142,1008
1698419254.546,False,1.19140625,57,141,1019
1698419256.031,False,0.0,0,0,1019
1698419257.024,False,0.8046875,14,133,1047
1698419258.509,False,0.9140625,27,147,1059
1698419259.002,False,1.02734375,42,163,1072
1698419260.004,False,1.13671875,56,167,1086
1698419261.475,False,1.19140625,56,168,1102
1698419262.466,False,1.21875,57,149,1116
1698419262.962,False,1.27734375,57,132,1131
1698419264.452,False,1.27734375,57,130,1145
1698419265.44,False,1.27734375,57,132,1159
1698419265.94,False,1.27734375,56,135,1174
1698419266.924,False,1.27734375,56,135,1174
1698419268.905,False,0.0,0,0,1174
1698419268.906,False,0.0,0,0,1174
1698419270.391,False,0.0,0,0,1174
1698419270.894,False,0.0,0,0,1174
