timestamp,magnRawx,magnRawy,magnRawz
1698419233.052,-153,499,463
1698419233.132,-150,503,463
1698419233.212,-143,491,460
1698419233.295,-146,506,455
1698419233.373,-158,494,457
1698419233.452,-146,490,458
1698419233.532,-150,489,458
1698419233.612,-154,492,454
1698419233.695,-150,487,448
1698419233.772,-155,494,457
1698419233.852,-161,500,461
1698419233.932,-149,502,462
1698419234.012,-148,486,466
1698419234.093,-145,502,454
1698419234.172,-150,502,468
1698419234.252,-154,502,469
1698419234.332,-163,495,473
1698419234.412,-171,481,452
1698419234.494,-167,495,463
1698419234.572,-169,494,471
1698419234.652,-163,494,466
1698419234.732,-160,489,468
1698419234.812,-162,494,466
1698419234.894,-163,501,465
1698419234.972,-176,497,469
1698419235.052,-166,505,459
1698419235.132,-169,496,456
1698419235.212,-168,485,466
1698419235.295,-171,496,468
1698419235.372,-165,490,464
1698419235.452,-172,492,467
1698419235.532,-155,490,464
1698419235.612,-163,497,460
1698419235.694,-156,499,475
1698419235.772,-165,498,461
1698419235.852,-159,481,456
1698419235.934,-146,491,465
1698419236.012,-157,492,457
1698419236.094,-161,487,459
1698419236.172,-165,501,465
1698419236.252,-167,493,449
1698419236.402,-160,486,446
1698419236.413,-172,492,456
1698419236.552,-177,480,447
1698419236.572,-176,477,444
1698419236.732,-162,487,450
1698419236.738,-171,500,452
1698419236.882,-161,499,462
1698419236.896,-159,507,472
1698419236.972,-154,500,459
1698419237.051,-133,510,477
1698419237.133,-117,524,469
1698419237.212,-103,514,470
1698419237.294,-116,512,479
1698419237.371,-124,509,457
1698419237.451,-131,496,456
1698419237.533,-123,512,472
1698419237.611,-124,518,465
1698419237.694,-122,512,471
1698419237.772,-112,516,474
1698419237.851,-107,525,487
1698419237.932,-98,508,503
1698419238.011,-107,520,519
1698419238.091,-109,518,519
1698419238.172,-75,523,522
1698419238.251,-38,534,512
1698419238.332,15,547,498
1698419238.412,36,553,501
1698419238.491,28,557,498
1698419238.571,9,561,484
1698419238.651,-17,556,476
1698419238.731,-38,548,462
1698419238.811,-67,559,465
1698419238.892,-88,547,489
1698419238.971,-89,533,502
1698419239.051,-86,518,529
1698419239.131,-85,520,535
1698419239.211,-22,506,567
1698419239.291,64,502,550
1698419239.371,184,462,530
1698419239.451,252,408,512
1698419239.531,287,367,513
1698419239.611,292,380,493
1698419239.691,316,385,476
1698419239.771,325,358,470
1698419239.851,348,356,460
1698419239.931,336,429,469
1698419240.011,274,502,499
1698419240.091,185,538,538
1698419240.171,50,563,547
1698419240.251,-52,563,557
1698419240.331,-76,564,563
1698419240.411,-4,576,548
1698419240.491,90,559,528
1698419240.571,233,514,523
1698419240.651,305,455,515
1698419240.731,349,411,502
1698419240.811,365,376,496
1698419240.891,366,374,479
1698419240.971,344,387,498
1698419241.051,301,425,532
1698419241.131,210,474,548
1698419241.211,109,490,558
1698419241.291,37,499,568
1698419241.371,12,502,561
1698419241.453,40,500,551
1698419241.531,102,506,541
1698419241.611,199,456,525
1698419241.691,259,432,515
1698419241.771,303,375,503
1698419241.853,315,333,489
1698419241.931,312,342,484
1698419242.011,275,388,500
1698419242.091,215,414,538
1698419242.171,157,438,553
1698419242.253,65,449,569
1698419242.331,6,451,567
1698419242.411,0,453,551
