timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698426433.503,-45,-48,-988,48,47,30,-1926,821,955,2108,1738,2029,2249,2256
1698426433.842,-44,-48,-986,45,49,33,-1925,821,956,2122,1756,2025,2251,2255
1698426434.577,-45,-48,-988,44,49,33,-1925,821,956,2150,1754,2068,2272,2263
1698426435.169,-44,-47,-987,40,46,33,-1924,821,957,2154,1756,2057,2263,2264
1698426435.229,-44,-48,-988,43,45,34,-1924,821,957,2160,1758,2059,2262,2261
1698426435.566,-44,-48,-989,42,47,31,-1925,821,958,2166,1762,2054,2259,2261
1698426436.062,-44,-49,-990,41,46,31,-1925,822,958,2157,1767,2051,2260,2260
1698426436.065,-45,-49,-989,43,47,31,-1925,823,957,2172,1771,2069,2274,2265
1698426436.068,-44,-49,-988,41,51,32,-1926,824,958,2152,1772,2068,2273,2267
1698426436.339,-44,-49,-988,42,47,34,-1926,825,956,2168,1774,2069,2274,2267
1698426436.343,-44,-49,-986,41,46,35,-1926,825,956,2175,1769,2066,2273,2264
1698426436.519,-44,-49,-988,44,45,35,-1926,825,956,2175,1787,2062,2282,2277
1698426436.617,-45,-50,-988,44,47,33,-1927,825,957,2176,1787,2063,2282,2277
1698426436.676,-45,-50,-989,45,46,32,-1926,825,956,2174,1787,2066,2284,2278
1698426436.796,-45,-50,-989,45,46,32,-1925,826,957,2173,1789,2066,2284,2278
1698426436.954,-46,-49,-990,48,46,33,-1926,827,956,2188,1784,2059,2329,2270
1698426437.134,-46,-49,-990,47,48,32,-1927,826,956,2182,1786,2057,2331,2270
1698426437.171,-47,-49,-990,45,47,32,-1928,827,956,2169,1783,2058,2315,2270
1698426437.39,-47,-49,-991,43,47,34,-1928,827,956,2175,1790,2060,2298,2269
1698426437.393,-46,-49,-991,43,48,31,-1928,826,956,2165,1782,2076,2275,2269
1698426437.509,-46,-50,-991,43,47,31,-1928,826,956,2165,1786,2078,2274,2269
1698426437.907,-45,-50,-990,44,46,31,-1929,826,955,2165,1788,2077,2276,2269
1698426437.943,-45,-50,-990,42,48,30,-1929,825,955,2168,1785,2078,2274,2270
1698426438.004,-45,-49,-991,44,46,32,-1929,825,955,2168,1785,2076,2271,2269
1698426438.123,-46,-50,-990,48,47,34,-1929,826,954,2178,1796,2065,2310,2276
1698426438.462,-46,-50,-990,47,48,33,-1929,825,953,2181,1800,2066,2314,2276
1698426439.564,-46,-50,-991,46,46,32,-1928,826,955,2181,1798,2066,2313,2277
