EventIndex,Time,SkeletonId,HandLeftConfidence,HandLeftState,HandRightConfidence,HandRightState,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,Joint,Status,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ
1415,472623839,72057594037970924,INFERRED,LASSO,NOT_TRACKED,UNKNOWN,SpineBase,TRACKED,1.176135,0.2378988,4.220838,-0.2625077,-0.01663205,0.960536,-0.09046353,SpineMid,TRACKED,1.153409,0.5191149,4.173623,-0.2593371,-0.01693043,0.9613968,-0.09040815,Neck,TRACKED,1.127833,0.7949246,4.115602,-0.2544182,-0.01761717,0.9585121,-0.1273401,Head,TRACKED,1.091796,0.9131612,4.076877,0,0,0,0,ShoulderLeft,TRACKED,0.9844049,0.7325,4.243857,0.2973691,0.6807102,-0.6533054,-0.1462781,ElbowLeft,TRACKED,0.9651637,0.571724,4.476177,0.409739,0.8121905,-0.2196354,-0.35245,WristLeft,INFERRED,0.9964898,0.4140764,4.613137,0.347023,0.9344919,0.0793728,0,HandLeft,INFERRED,1.007723,0.3620065,4.662459,0.3666071,0.9266218,0.0834938,0,ShoulderRight,TRACKED,1.282552,0.7193355,4.070965,-0.06053771,0.6900148,0.687793,-0.2171535,ElbowRight,TRACKED,1.423663,0.5539936,4.043116,-0.1852642,0.8758119,0.2973875,0.3319508,WristRight,TRACKED,1.253867,0.4990428,3.890227,0.6144123,-0.451272,-0.07471003,0.6428604,HandRight,TRACKED,1.20451,0.5105926,3.868929,0.7694351,-0.3308893,0.114026,0.5343032,HipLeft,TRACKED,1.099237,0.239029,4.227059,-0.08973869,-0.7011796,0.706591,-0.03199043,KneeLeft,TRACKED,1.036347,-0.08115343,4.080834,0.184027,-0.4915598,-0.1356815,0.8402938,AnkleLeft,TRACKED,1.003739,-0.4324595,4.011019,0.09026733,-0.5248859,-0.05883734,0.8443251,FootLeft,TRACKED,0.9489134,-0.4875939,3.899202,0,0,0,0,HipRight,TRACKED,1.234528,0.2330228,4.148159,-0.2449742,0.6257827,0.6433297,-0.3667569,KneeRight,TRACKED,1.349695,0.04410131,4.222014,-0.1660135,0.398208,0.2597639,0.8639402,AnkleRight,TRACKED,1.349663,-0.1489106,4.426739,0.3489608,0.8085257,0.1877047,0.4350626,FootRight,TRACKED,1.268484,-0.2094583,4.311709,0,0,0,0,SpineShoulder,TRACKED,1.134779,0.7267895,4.132172,-0.2555099,-0.01739046,0.9608105,-0.106091,HandTipLeft,INFERRED,1.005683,0.3612736,4.65302,0,0,0,0,ThumbLeft,INFERRED,1.003021,0.3603176,4.640707,0,0,0,0,HandTipRight,TRACKED,1.164058,0.5147404,3.837134,0,0,0,0,ThumbRight,TRACKED,1.152215,0.510367,3.85175,0,0,0,0
1416,472953739,72057594037970924,INFERRED,LASSO,INFERRED,UNKNOWN,SpineBase,TRACKED,1.127803,0.2482597,4.15184,-0.2451696,-0.003654754,0.9662768,-0.07866175,SpineMid,TRACKED,1.114966,0.5260784,4.109581,-0.2418323,-0.003926293,0.9671174,-0.07864866,Neck,TRACKED,1.099248,0.7984636,4.056631,-0.2374337,-0.005085863,0.9644573,-0.1158519,Head,TRACKED,1.061723,0.9144571,4.016786,0,0,0,0,ShoulderLeft,TRACKED,0.9538933,0.7241883,4.173222,0.2660249,0.7061808,-0.6402317,-0.1436759,ElbowLeft,TRACKED,0.910036,0.5661899,4.40359,0.3476556,0.7529263,-0.315841,-0.4609577,WristLeft,TRACKED,0.9120756,0.3890298,4.521492,0.2893913,0.9571978,0.005006082,0,HandLeft,INFERRED,0.9135102,0.3304553,4.56444,0.3110394,0.9503403,0.01038994,0,ShoulderRight,TRACKED,1.254997,0.7203878,4.012036,-0.06376735,0.7010135,0.6803049,-0.2042036,ElbowRight,TRACKED,1.387845,0.5462793,3.992268,-0.1533801,0.8898875,0.2838692,0.3224797,WristRight,TRACKED,1.189132,0.499072,3.833501,0.6335922,-0.5560349,0.08555174,0.5310999,HandRight,TRACKED,1.180686,0.5018703,3.816427,0.7548845,-0.5641565,-0.0531023,0.3302377,HipLeft,TRACKED,1.049824,0.2471687,4.156295,0.07368866,0.7112049,-0.6982743,0.03421449,KneeLeft,TRACKED,1.004627,-0.1002344,4.020415,0.1486722,-0.5131628,-0.1250137,0.8360215,AnkleLeft,TRACKED,0.9891402,-0.440365,3.998231,0.03802513,-0.6218678,-0.01133025,0.7821164,FootLeft,TRACKED,0.9653379,-0.5234881,3.906691,0,0,0,0,HipRight,TRACKED,1.187844,0.2453993,4.0813,-0.2492408,0.6302375,0.6499594,-0.3438496,KneeRight,TRACKED,1.268873,-0.002759626,4.155905,0.04637183,0.8496448,0.2020933,0.4848831,AnkleRight,TRACKED,1.321694,-0.1860999,4.316445,0.230323,0.7854936,0.2816366,0.5006316,FootRight,TRACKED,1.268318,-0.241956,4.20325,0,0,0,0,SpineShoulder,TRACKED,1.10373,0.7311875,4.071913,-0.2381254,-0.004569412,0.9666231,-0.09442101,HandTipLeft,INFERRED,0.9116279,0.3297744,4.555035,0,0,0,0,ThumbLeft,INFERRED,0.9091728,0.3288863,4.542768,0,0,0,0,HandTipRight,TRACKED,1.143608,0.507485,3.772154,0,0,0,0,ThumbRight,TRACKED,1.175413,0.5436966,3.826,0,0,0,0
1417,473294712,72057594037970924,INFERRED,UNKNOWN,INFERRED,UNKNOWN,SpineBase,TRACKED,1.10299,0.2420402,4.095602,-0.2309239,-0.005314483,0.969568,-0.08114141,SpineMid,TRACKED,1.089319,0.5243807,4.051284,-0.2276713,-0.005586545,0.9703369,-0.08112314,Neck,TRACKED,1.072789,0.8011277,3.996237,-0.223389,-0.007186207,0.9675482,-0.1178822,Head,TRACKED,1.034181,0.9197659,3.95908,0,0,0,0,ShoulderLeft,TRACKED,0.9184992,0.7243248,4.122624,0.2730581,0.7077114,-0.6353086,-0.1447989,ElbowLeft,TRACKED,0.8744684,0.5205057,4.324582,0.2305804,0.6961201,-0.3094683,-0.605375,WristLeft,TRACKED,0.8446298,0.3474445,4.449777,0.3143023,0.9230613,0.0005627757,0.2217468,HandLeft,TRACKED,0.8516693,0.3069796,4.475114,0.2525622,0.9386688,0.1302524,0.1953142,ShoulderRight,TRACKED,1.235462,0.73337,3.959408,-0.04507269,0.6825097,0.7069135,-0.1800619,ElbowRight,TRACKED,1.341784,0.5242114,3.939707,-0.1198997,0.913126,0.20364,0.3321985,WristRight,TRACKED,1.167671,0.4886661,3.793518,0.562521,-0.1308482,-0.3260892,0.7484081,HandRight,TRACKED,1.144188,0.4860283,3.774673,0.588693,-0.1200585,-0.3313687,0.727476,HipLeft,TRACKED,1.024815,0.2381201,4.097991,0.06450637,0.7231435,-0.6861554,0.04575364,KneeLeft,TRACKED,0.982081,-0.1178521,3.98062,0.1325434,-0.5239825,-0.1031249,0.8350088,AnkleLeft,TRACKED,0.9837687,-0.4444116,3.989549,-0.01019867,-0.5940989,0.009458742,0.8042717,FootLeft,TRACKED,0.9556022,-0.5323815,3.898877,0,0,0,0,HipRight,TRACKED,1.163317,0.2420416,4.026893,-0.2457473,0.6221158,0.6630354,-0.3361016,KneeRight,TRACKED,1.229736,-0.01893704,4.06622,-0.01197253,0.8064827,0.1427885,0.5736319,AnkleRight,TRACKED,1.325348,-0.2536069,4.274175,0.2032646,0.7796896,0.3174014,0.500024,FootRight,TRACKED,1.268879,-0.3155236,4.15114,0,0,0,0,SpineShoulder,TRACKED,1.077469,0.7327844,4.012049,-0.2240512,-0.006418265,0.969744,-0.09672903,HandTipLeft,TRACKED,0.8660139,0.2830499,4.490327,0,0,0,0,ThumbLeft,TRACKED,0.861528,0.2895364,4.45125,0,0,0,0,HandTipRight,TRACKED,1.113456,0.4931664,3.755966,0,0,0,0,ThumbRight,TRACKED,1.110599,0.4756376,3.77175,0,0,0,0
1418,473623922,72057594037970924,INFERRED,UNKNOWN,INFERRED,UNKNOWN,SpineBase,TRACKED,1.076687,0.2459349,4.042476,-0.2271267,-0.002051727,0.970812,-0.07702893,SpineMid,TRACKED,1.065406,0.5319539,3.999454,-0.2225008,-0.002418543,0.9718826,-0.07701828,Neck,TRACKED,1.051254,0.812198,3.945669,-0.2170315,-0.004257236,0.969533,-0.1135119,Head,TRACKED,1.015155,0.9317641,3.905975,0,0,0,0,ShoulderLeft,TRACKED,0.8974526,0.7314041,4.064235,0.2582522,0.7151418,-0.6345049,-0.138858,ElbowLeft,TRACKED,0.8404381,0.4993765,4.238314,0.1604241,0.6956083,-0.2860442,-0.6391963,WristLeft,TRACKED,0.8003953,0.2979847,4.318892,0.2058744,0.9340665,-0.03328434,0.289875,HandLeft,TRACKED,0.8106122,0.2390898,4.355648,0.2439279,0.9259244,0.1443875,0.2496305,ShoulderRight,TRACKED,1.212984,0.738467,3.908834,-0.04616873,0.6936519,0.6958516,-0.1802947,ElbowRight,TRACKED,1.311462,0.5223203,3.889096,-0.1165765,0.9093259,0.1815814,0.3557591,WristRight,TRACKED,1.144069,0.4867829,3.731607,0.5237315,-0.09035023,-0.3863959,0.7538171,HandRight,TRACKED,1.118663,0.4856804,3.729022,0.6764439,0.07850566,-0.1444171,0.7179166,HipLeft,TRACKED,0.9969979,0.2423359,4.044703,0.06147486,0.721525,-0.6882379,0.04417136,KneeLeft,TRACKED,0.9698961,-0.1229884,3.964,0.08846786,-0.5293629,-0.07225201,0.8406712,AnkleLeft,TRACKED,0.9765029,-0.4500273,3.981993,-0.02485687,-0.6150681,0.01544856,0.7879307,FootLeft,TRACKED,0.9520303,-0.5455044,3.881813,0,0,0,0,HipRight,TRACKED,1.138634,0.2454787,3.973584,-0.2445601,0.6273063,0.6616104,-0.330074,KneeRight,TRACKED,1.18369,-0.01854144,3.982491,-0.03000329,0.848585,0.08060868,0.5220206,AnkleRight,TRACKED,1.216254,-0.2528254,4.072171,0.1148854,0.8199776,0.154036,0.5391762,FootRight,TRACKED,1.162444,-0.3132144,3.949428,0,0,0,0,SpineShoulder,TRACKED,1.05534,0.7430064,3.96117,-0.2175815,-0.003406522,0.9716424,-0.09250803,HandTipLeft,TRACKED,0.8069752,0.1997648,4.399416,0,0,0,0,ThumbLeft,TRACKED,0.8235151,0.2177233,4.317143,0,0,0,0,HandTipRight,TRACKED,1.096977,0.4878847,3.700353,0,0,0,0,ThumbRight,TRACKED,1.086801,0.4756602,3.738572,0,0,0,0
1419,473952867,72057594037970924,INFERRED,UNKNOWN,INFERRED,UNKNOWN,SpineBase,TRACKED,1.046657,0.2678838,3.997651,-0.2185746,0.008512002,0.9719737,-0.08613971,SpineMid,TRACKED,1.040617,0.5497175,3.948675,-0.2129813,0.008016485,0.9732145,-0.08618723,Neck,TRACKED,1.03165,0.825716,3.888984,-0.2069004,0.005766216,0.9705546,-0.1232185,Head,TRACKED,0.9952398,0.9471511,3.851283,0,0,0,0,ShoulderLeft,TRACKED,0.8723874,0.7409115,4.011499,0.2608142,0.7248104,-0.6236934,-0.1327867,ElbowLeft,TRACKED,0.8101356,0.4929227,4.142224,0.0835793,0.6720999,-0.2474346,-0.6928725,WristLeft,TRACKED,0.7586626,0.2806738,4.186199,0.1320689,0.9360367,-0.07875601,0.3165289,HandLeft,TRACKED,0.7496269,0.2106013,4.195767,0.08426328,0.9429134,-0.03861603,0.3198796,ShoulderRight,TRACKED,1.191417,0.7469842,3.859995,-0.0285839,0.7082036,0.68323,-0.1755775,ElbowRight,TRACKED,1.282057,0.5277898,3.8442,-0.09578098,0.9261222,0.1726048,0.3214518,WristRight,TRACKED,1.110234,0.4710732,3.698419,0.5369863,-0.1528653,-0.2993354,0.7737417,HandRight,TRACKED,1.091235,0.476108,3.687011,0.7147999,-0.0775069,-0.3159625,0.6190488,HipLeft,TRACKED,0.9663972,0.2642988,3.998873,0.06472996,0.7204803,-0.6881141,0.05672025,KneeLeft,TRACKED,0.9609298,-0.1082209,3.953935,0.03854439,-0.5391863,-0.04653876,0.8400158,AnkleLeft,TRACKED,0.9765908,-0.4456634,3.977855,-0.03980562,-0.6040388,0.0141648,0.7958341,FootLeft,TRACKED,0.9512141,-0.5361238,3.878783,0,0,0,0,HipRight,TRACKED,1.10946,0.2669983,3.929706,-0.2380126,0.6302998,0.6622422,-0.3278832,KneeRight,TRACKED,1.139528,-0.01123235,3.906389,-0.06563506,0.7930874,0.01740903,0.6053109,AnkleRight,TRACKED,1.201859,-0.2478605,4.044404,0.1497802,0.800683,0.2375438,0.5291935,FootRight,TRACKED,1.150231,-0.3077703,3.9226,0,0,0,0,SpineShoulder,TRACKED,1.034446,0.7575986,3.905955,-0.2072353,0.00677975,0.9729399,-0.1019589,HandTipLeft,TRACKED,0.7422789,0.159616,4.221038,0,0,0,0,ThumbLeft,TRACKED,0.7637888,0.1744055,4.174167,0,0,0,0,HandTipRight,TRACKED,1.077753,0.481525,3.652025,0,0,0,0,ThumbRight,TRACKED,1.064894,0.4675744,3.697429,0,0,0,0
1420,474294624,72057594037970924,INFERRED,UNKNOWN,INFERRED,UNKNOWN,SpineBase,TRACKED,1.011871,0.2792386,3.952958,-0.2183721,0.01619668,0.9714622,-0.09117214,SpineMid,TRACKED,1.009469,0.5619783,3.899964,-0.2048678,0.01492971,0.9743995,-0.09138815,Neck,TRACKED,1.004125,0.8387514,3.836273,-0.1911457,0.01149115,0.9730532,-0.1284475,Head,TRACKED,0.9771056,0.9740295,3.796249,0,0,0,0,ShoulderLeft,TRACKED,0.8493224,0.7469884,3.95098,0.2521949,0.7407063,-0.6108801,-0.120737,ElbowLeft,TRACKED,0.7822229,0.5099955,4.052397,-0.03756269,-0.6591222,0.2318045,0.7144325,WristLeft,TRACKED,0.719302,0.2952044,4.058841,0.07702316,0.8832989,-0.1201279,0.4465643,HandLeft,TRACKED,0.6963785,0.2114505,4.057331,0.0526352,0.8830535,-0.1226372,0.4498956,ShoulderRight,TRACKED,1.171834,0.7565006,3.811181,-0.01444068,0.715435,0.6776283,-0.1695998,ElbowRight,TRACKED,1.268081,0.5321232,3.816336,-0.05759514,0.9222978,0.1930685,0.3298091,WristRight,TRACKED,1.101915,0.464096,3.670317,0.5094444,-0.1443059,-0.3057707,0.7912943,HandRight,TRACKED,1.097146,0.4806534,3.660078,0.8671866,-0.1903105,-0.4012843,0.2252557,HipLeft,TRACKED,0.9304607,0.2747335,3.955094,0.07265273,0.7240689,-0.6834503,0.05780525,KneeLeft,TRACKED,0.9521667,-0.1041396,3.940998,-0.0141198,-0.5375122,-0.03103553,0.8425663,AnkleLeft,TRACKED,0.9756403,-0.4448666,3.975689,-0.05766843,-0.5946246,0.02025216,0.8016768,FootLeft,TRACKED,0.9494019,-0.5371276,3.878407,0,0,0,0,HipRight,TRACKED,1.07618,0.2790215,3.883962,-0.2370243,0.6284741,0.6653334,-0.3258393,KneeRight,TRACKED,1.106207,-0.04172969,3.834193,-0.08893422,0.7886987,-0.01018727,0.6082279,AnkleRight,TRACKED,1.189221,-0.3022274,4.024448,0.1756998,0.7800848,0.2794542,0.5315097,FootRight,TRACKED,1.141209,-0.3618579,3.901487,0,0,0,0,SpineShoulder,TRACKED,1.006014,0.7704618,3.854241,-0.1912949,0.01274192,0.975569,-0.1072805,HandTipLeft,TRACKED,0.6782423,0.1548998,4.056577,0,0,0,0,ThumbLeft,TRACKED,0.7126392,0.1757135,4.030333,0,0,0,0,HandTipRight,TRACKED,1.074602,0.471976,3.621254,0,0,0,0,ThumbRight,TRACKED,1.053283,0.4763561,3.6865,0,0,0,0
1421,474623878,72057594037970924,INFERRED,CLOSED,INFERRED,UNKNOWN,SpineBase,TRACKED,0.9881485,0.2830508,3.90927,-0.1680949,0.01627539,0.9811818,-0.09360266,SpineMid,TRACKED,0.9882842,0.5664921,3.854671,-0.1670474,0.01617547,0.9813607,-0.09361999,Neck,TRACKED,0.9854909,0.8438575,3.789435,-0.1661373,0.01310377,0.9773699,-0.130287,Head,TRACKED,0.9602169,0.9880942,3.750995,0,0,0,0,ShoulderLeft,TRACKED,0.8262529,0.7491162,3.892438,0.2299479,0.7501353,-0.6126566,-0.09525099,ElbowLeft,TRACKED,0.7582284,0.5081115,3.976268,0.002036161,-0.6087587,0.2090107,0.7653255,WristLeft,TRACKED,0.6808109,0.2998573,3.947513,0.04131971,0.8228679,-0.1830436,0.5363544,HandLeft,TRACKED,0.651277,0.2229078,3.925668,-0.0107694,0.8114589,-0.220601,0.5410671,ShoulderRight,TRACKED,1.155455,0.7543136,3.771283,0.002381299,0.7313085,0.6627707,-0.1609884,ElbowRight,TRACKED,1.24486,0.5411792,3.772004,-0.06503461,0.9229153,0.1862674,0.3306089,WristRight,TRACKED,1.083608,0.4666618,3.6263,0.5442581,-0.2989523,-0.2039898,0.7568348,HandRight,TRACKED,1.066357,0.466607,3.601443,0.617766,-0.3126847,-0.3427251,0.6349276,HipLeft,TRACKED,0.9053015,0.2794949,3.90543,0.04971155,0.7170511,-0.6900079,0.08517973,KneeLeft,TRACKED,0.9408249,-0.1042404,3.924579,-0.05198755,-0.5759569,-0.006286912,0.8158011,AnkleLeft,TRACKED,0.9742399,-0.4436776,3.974554,-0.08237697,-0.5921057,0.02959723,0.8010923,FootLeft,TRACKED,0.949877,-0.5372265,3.880567,0,0,0,0,HipRight,TRACKED,1.056658,0.281441,3.850551,-0.1944499,0.6492048,0.6732533,-0.2957236,KneeRight,TRACKED,1.073883,-0.06205456,3.758098,-0.1157184,0.7563644,-0.06600852,0.6404414,AnkleRight,TRACKED,1.124496,-0.3239573,3.928844,0.1542463,0.7117755,0.2504825,0.6378419,FootRight,TRACKED,1.124148,-0.4107951,3.863802,0,0,0,0,SpineShoulder,TRACKED,0.9867433,0.7754357,3.807788,-0.1661064,0.01483741,0.9799314,-0.1091918,HandTipLeft,TRACKED,0.6242484,0.1589544,3.907493,0,0,0,0,ThumbLeft,TRACKED,0.6705171,0.197957,3.89225,0,0,0,0,HandTipRight,TRACKED,1.050754,0.4667415,3.577054,0,0,0,0,ThumbRight,TRACKED,1.031016,0.4670478,3.603167,0,0,0,0
1422,474953113,72057594037970924,INFERRED,CLOSED,INFERRED,UNKNOWN,SpineBase,TRACKED,0.9587095,0.2613176,3.865034,-0.1830949,0.02228751,0.9784516,-0.09280044,SpineMid,TRACKED,0.961587,0.5546126,3.808344,-0.1724494,0.02127756,0.9803839,-0.0930372,Neck,TRACKED,0.9614759,0.841601,3.740889,-0.162079,0.01732006,0.9781457,-0.1290787,Head,TRACKED,0.9375279,0.9897084,3.70059,0,0,0,0,ShoulderLeft,TRACKED,0.8007488,0.7488164,3.834098,0.212064,0.7451153,-0.6273679,-0.07900394,ElbowLeft,TRACKED,0.7342653,0.5156109,3.892443,0.03118192,-0.6159322,0.177559,0.766895,WristLeft,TRACKED,0.6502393,0.3008093,3.826786,-0.03751375,0.8551969,-0.2252629,0.4652823,HandLeft,TRACKED,0.6126466,0.2296585,3.790057,-0.08277982,0.8308484,-0.3016125,0.4602916,ShoulderRight,TRACKED,1.132733,0.7474061,3.717739,-0.008683197,0.7327635,0.6587476,-0.1703931,ElbowRight,TRACKED,1.221423,0.534865,3.7214,-0.0558329,0.9278074,0.1884237,0.3171003,WristRight,TRACKED,1.062935,0.4478102,3.583454,0.5216462,-0.2969112,-0.1910495,0.7766782,HandRight,TRACKED,1.052167,0.461618,3.561691,0.7338409,-0.2647859,-0.4567671,0.427469,HipLeft,TRACKED,0.8752612,0.259359,3.861034,0.05002255,0.71024,-0.6969786,0.08530985,KneeLeft,TRACKED,0.9311351,-0.1239862,3.908241,-0.09358438,-0.5568369,0.01014162,0.8252707,AnkleLeft,TRACKED,0.9664695,-0.4484528,3.971027,-0.09639076,-0.5379705,0.05096174,0.8358825,FootLeft,TRACKED,0.9193541,-0.5448325,3.86376,0,0,0,0,HipRight,TRACKED,1.025446,0.2587185,3.801621,-0.2145604,0.6465745,0.6632144,-0.3099223,KneeRight,TRACKED,1.042546,-0.1004871,3.69585,-0.121965,0.740285,-0.07736571,0.6565952,AnkleRight,TRACKED,1.080426,-0.3690881,3.846986,0.1447098,0.7167017,0.2157764,0.6471772,FootRight,TRACKED,1.07553,-0.4461939,3.760733,0,0,0,0,SpineShoulder,TRACKED,0.9620591,0.7708055,3.759805,-0.1619449,0.01901388,0.9806263,-0.1085554,HandTipLeft,TRACKED,0.5724373,0.1656679,3.758319,0,0,0,0,ThumbLeft,TRACKED,0.6231983,0.2045557,3.749546,0,0,0,0,HandTipRight,TRACKED,1.048221,0.4714559,3.504092,0,0,0,0,ThumbRight,TRACKED,1.020579,0.4596895,3.5588,0,0,0,0
1423,475283905,72057594037970924,INFERRED,LASSO,INFERRED,UNKNOWN,SpineBase,TRACKED,0.9433821,0.2990229,3.810781,-0.1620976,0.01577014,0.981914,-0.09654296,SpineMid,TRACKED,0.9432907,0.5716762,3.756658,-0.1476695,0.01435157,0.9841872,-0.09676401,Neck,TRACKED,0.9403018,0.8382459,3.691849,-0.1334555,0.008724555,0.9817728,-0.1350395,Head,TRACKED,0.9183748,0.9875437,3.65572,0,0,0,0,ShoulderLeft,TRACKED,0.7761338,0.7400231,3.777284,0.1969972,0.7657586,-0.6096346,-0.05613902,ElbowLeft,TRACKED,0.6974233,0.5156795,3.820067,0.06633686,-0.6430331,0.1767869,0.7421955,WristLeft,TRACKED,0.6172136,0.3329574,3.719252,-0.1758122,0.9166388,-0.245863,0.2615622,HandLeft,TRACKED,0.5874784,0.2619965,3.66685,-0.2377109,0.8984599,-0.2496955,0.2718742,ShoulderRight,TRACKED,1.111548,0.7479333,3.679195,0.0160319,0.7395895,0.6551835,-0.1532485,ElbowRight,TRACKED,1.212104,0.5311378,3.704016,-0.03567379,0.8967128,0.2181069,0.3834878,WristRight,TRACKED,1.068069,0.4618875,3.543587,0.4589433,-0.1298964,-0.3694131,0.7975162,HandRight,TRACKED,1.046779,0.4601255,3.522622,0.5479495,-0.09589412,-0.412694,0.7212762,HipLeft,TRACKED,0.8588678,0.2945726,3.804018,0.03972446,0.7185469,-0.6871777,0.09949542,KneeLeft,TRACKED,0.9144213,-0.09355863,3.886389,-0.1167701,-0.5709198,0.04452791,0.8114386,AnkleLeft,TRACKED,0.9682582,-0.4622879,3.958515,-0.1071031,-0.4509104,0.05281841,0.8845445,FootLeft,TRACKED,0.9349549,-0.5479568,3.912218,0,0,0,0,HipRight,TRACKED,1.011294,0.2982088,3.750448,-0.2002195,0.6432321,0.6748564,-0.3012199,KneeRight,TRACKED,1.007399,-0.1031594,3.621871,-0.116181,0.7625439,-0.1017751,0.6282281,AnkleRight,TRACKED,1.041277,-0.4122747,3.723771,0.09413664,0.7858732,0.137209,0.5955797,FootRight,TRACKED,1.00744,-0.467846,3.601326,0,0,0,0,SpineShoulder,TRACKED,0.941592,0.7725278,3.710096,-0.1333224,0.01114218,0.984526,-0.1131783,HandTipLeft,TRACKED,0.5565797,0.1977305,3.63511,0,0,0,0,ThumbLeft,TRACKED,0.601336,0.2578543,3.631334,0,0,0,0,HandTipRight,TRACKED,1.033508,0.4669544,3.470547,0,0,0,0,ThumbRight,TRACKED,1.009071,0.4484545,3.520889,0,0,0,0
1424,475624128,72057594037970924,INFERRED,LASSO,INFERRED,UNKNOWN,SpineBase,TRACKED,0.9200307,0.257527,3.76497,-0.1497505,0.0143068,0.9841751,-0.09364472,SpineMid,TRACKED,0.9200637,0.5416963,3.710393,-0.1386653,0.01325204,0.9857981,-0.09379979,Neck,TRACKED,0.9172133,0.8195952,3.645068,-0.1278392,0.008030064,0.9831138,-0.1306899,Head,TRACKED,0.8996788,0.9781572,3.614467,0,0,0,0,ShoulderLeft,TRACKED,0.7490844,0.7203877,3.724642,0.1824339,0.7628043,-0.6186698,-0.0457731,ElbowLeft,TRACKED,0.6592788,0.5222513,3.736387,0.1307227,-0.6865005,0.1678363,0.6953126,WristLeft,TRACKED,0.5835242,0.3554746,3.611031,-0.3294925,0.9207162,-0.1254937,-0.1672355,HandLeft,TRACKED,0.5671101,0.2851459,3.528275,-0.4228442,0.8991859,-0.0324134,-0.1077815,ShoulderRight,TRACKED,1.087537,0.7317869,3.629742,0.00704315,0.7294009,0.6666187,-0.1534409,ElbowRight,TRACKED,1.187131,0.5186923,3.647102,-0.05214778,0.8938451,0.213399,0.390874,WristRight,TRACKED,1.051477,0.4436595,3.485588,0.5052262,-0.2950711,-0.2777885,0.7619141,HandRight,TRACKED,1.026408,0.4425347,3.472502,0.675625,-0.183433,-0.1538142,0.697298,HipLeft,TRACKED,0.8329408,0.2547435,3.756494,0.03194064,0.7109349,-0.6950415,0.1023164,KneeLeft,TRACKED,0.9024413,-0.1244345,3.876333,-0.1587819,-0.5727292,0.07177045,0.801011,AnkleLeft,TRACKED,0.9488929,-0.4405405,3.955524,-0.1335417,-0.6502159,0.04481627,0.7465772,FootLeft,TRACKED,0.9467773,-0.5400391,3.871094,0,0,0,0,HipRight,TRACKED,0.9906961,0.2557116,3.70621,-0.1887608,0.6518008,0.6741623,-0.2915995,KneeRight,TRACKED,0.9723299,-0.1284,3.555158,-0.1339026,0.7794347,-0.1312111,0.5977753,AnkleRight,TRACKED,0.9923611,-0.4589793,3.581172,0.01906245,0.8672079,0.04565676,0.4954821,FootRight,TRACKED,0.9570094,-0.5386039,3.519371,0,0,0,0,SpineShoulder,TRACKED,0.918464,0.7510669,3.663448,-0.1276956,0.01042067,0.9856809,-0.1096289,HandTipLeft,TRACKED,0.554472,0.2340948,3.486053,0,0,0,0,ThumbLeft,TRACKED,0.5528651,0.2794062,3.481818,0,0,0,0,HandTipRight,TRACKED,1.007429,0.4419485,3.449332,0,0,0,0,ThumbRight,TRACKED,0.9963194,0.4454747,3.466875,0,0,0,0
