timestamp,magnRawx,magnRawy,magnRawz
1698924288.042,82,776,443
1698924288.122,93,731,475
1698924288.202,75,660,507
1698924288.282,73,574,525
1698924288.362,60,537,530
1698924288.443,57,524,529
1698924288.522,72,472,533
1698924288.602,59,428,528
1698924288.682,68,398,521
1698924288.762,59,414,527
1698924288.844,72,431,520
1698924288.922,66,452,523
1698924289.005,43,492,530
1698924289.082,31,544,509
1698924289.162,-6,586,508
1698924289.242,-25,607,494
1698924289.322,-33,679,470
1698924289.405,-43,751,365
1698924289.482,-43,721,313
1698924289.562,-38,723,290
1698924289.642,-27,688,278
1698924289.723,-34,679,272
1698924289.802,-38,679,279
1698924289.882,-52,686,278
1698924289.962,-51,666,271
1698924290.042,-36,658,254
1698924290.122,-27,665,274
1698924290.202,-58,670,270
1698924290.283,-61,664,278
1698924290.362,-54,671,281
1698924290.444,-55,658,281
1698924290.522,-51,658,280
1698924290.602,-52,670,274
1698924290.684,-70,667,286
1698924290.762,-76,658,287
1698924290.845,-75,671,282
1698924290.922,-62,660,293
1698924291.002,-66,660,294
1698924291.082,-63,670,284
1698924291.162,-69,678,286
1698924291.245,-67,661,289
1698924291.322,-66,659,283
1698924291.402,-76,669,283
1698924291.482,-80,657,292
1698924291.562,-74,658,286
1698924291.642,-82,661,286
1698924291.722,-70,665,296
1698924291.802,-72,661,288
1698924291.882,-69,660,290
1698924291.962,-60,667,290
1698924292.042,-60,662,266
1698924292.123,-39,653,280
1698924292.202,-54,671,300
1698924292.284,-51,681,286
1698924292.361,-56,685,293
1698924292.442,-73,669,309
1698924292.521,-70,656,294
1698924292.601,-66,648,291
1698924292.684,-60,675,290
1698924292.761,-63,674,291
1698924292.841,-29,683,271
1698924292.922,-9,684,270
1698924293.001,12,689,245
1698924293.081,22,676,255
1698924293.162,30,701,264
1698924293.241,16,694,277
1698924293.321,7,698,262
1698924293.402,11,699,259
1698924293.481,5,707,272
1698924293.562,-4,701,290
1698924293.641,-12,716,288
