timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698927888.01,-59,-37,-1045.0,133.0,266.0,-29.0,-3122.0,2003.0,-772.0,0.0,0.0,0.0,593.0,800.0
1698927888.014,-58,-37,-1044.0,133.0,268.0,-28.0,-3122.0,2003.0,-771.0,0.0,0.0,0.0,615.0,789.0
1698927888.033,-59,-36,-1043.0,133.0,268.0,-24.0,-3121.0,2003.0,-769.0,0.0,0.0,0.0,621.0,797.0
1698927888.056,-58,-36,-1044.0,135.0,266.0,-28.0,-3122.0,2003.0,-770.0,0.0,0.0,0.0,623.0,792.0
1698927888.078,-57,-36,-1045.0,134.0,270.0,-27.0,-3121.0,2002.0,-770.0,0.0,0.0,0.0,614.0,782.0
1698927888.093,-57,-35,-1047.0,134.0,267.0,-27.0,-3121.0,2003.0,-769.0,0.0,0.0,0.0,606.0,781.0
1698927888.115,-57,-36,-1045.0,134.0,270.0,-27.0,-3121.0,2003.0,-767.0,0.0,0.0,0.0,616.0,791.0
1698927888.138,-57,-36,-1044.0,133.0,272.0,-28.0,-3121.0,2002.0,-767.0,0.0,0.0,0.0,616.0,794.0
1698927888.16,-58,-35,-1045.0,133.0,273.0,-28.0,-3121.0,2003.0,-768.0,0.0,0.0,0.0,639.0,803.0
1698927888.175,-58,-36,-1045.0,133.0,271.0,-29.0,-3121.0,2004.0,-768.0,0.0,0.0,0.0,655.0,855.0
1698927888.22,-58,-35,-1046.0,129.0,271.0,-29.0,-3120.0,2003.0,-765.0,0.0,0.0,0.0,664.0,850.0
1698927888.223,-58,-35,-1046.0,129.0,272.0,-30.0,-3119.0,2003.0,-765.0,0.0,0.0,0.0,664.0,855.0
1698927888.243,-58,-36,-1043.0,131.0,276.0,-28.0,-3119.0,2003.0,-765.0,0.0,0.0,0.0,649.0,862.0
1698927888.273,-59,-36,-1043.0,132.0,277.0,-30.0,-3119.0,2002.0,-766.0,0.0,0.0,0.0,651.0,859.0
1698927888.287,-59,-35,-1043.0,132.0,271.0,-30.0,-3119.0,2003.0,-766.0,0.0,0.0,0.0,635.0,867.0
1698927888.295,-59,-36,-1044.0,132.0,270.0,-28.0,-3120.0,2003.0,-767.0,0.0,0.0,0.0,636.0,863.0
1698927888.326,-60,-36,-1044.0,133.0,268.0,-26.0,-3120.0,2002.0,-766.0,0.0,0.0,0.0,638.0,852.0
1698927888.333,-59,-36,-1043.0,128.0,268.0,-26.0,-3119.0,2002.0,-765.0,0.0,0.0,0.0,646.0,854.0
1698927888.355,-60,-35,-1042.0,131.0,267.0,-26.0,-3119.0,2002.0,-766.0,0.0,0.0,0.0,643.0,850.0
1698927888.378,-59,-36,-1040.0,133.0,262.0,-27.0,-3119.0,2003.0,-766.0,0.0,0.0,0.0,651.0,853.0
1698927888.393,-59,-35,-1041.0,132.0,265.0,-27.0,-3120.0,2003.0,-767.0,0.0,0.0,0.0,654.0,845.0
1698927888.415,-59,-36,-1041.0,129.0,266.0,-28.0,-3120.0,2004.0,-767.0,0.0,0.0,0.0,650.0,843.0
1698927888.438,-59,-36,-1042.0,130.0,266.0,-30.0,-3120.0,2004.0,-768.0,0.0,0.0,0.0,654.0,847.0
1698927888.453,-59,-37,-1042.0,128.0,270.0,-31.0,-3120.0,2004.0,-769.0,0.0,0.0,0.0,657.0,849.0
1698927888.475,-59,-36,-1042.0,128.0,266.0,-31.0,-3121.0,2003.0,-770.0,0.0,0.0,0.0,672.0,851.0
1698927888.498,-58,-36,-1042.0,128.0,265.0,-26.0,-3121.0,2004.0,-768.0,0.0,0.0,0.0,658.0,840.0
1698927888.513,-58,-36,-1042.0,128.0,269.0,-27.0,-3121.0,2004.0,-768.0,0.0,0.0,0.0,679.0,870.0
1698927888.536,-59,-37,-1042.0,131.0,272.0,-28.0,-3121.0,2004.0,-767.0,0.0,0.0,0.0,669.0,863.0
1698927888.565,-59,-37,-1041.0,131.0,270.0,-29.0,-3121.0,2004.0,-767.0,0.0,0.0,0.0,697.0,879.0
1698927888.573,-58,-37,-1042.0,131.0,272.0,-29.0,-3122.0,2005.0,-767.0,0.0,0.0,0.0,680.0,873.0
1698927888.603,-59,-37,-1043.0,134.0,272.0,-28.0,-3122.0,2005.0,-766.0,0.0,0.0,0.0,687.0,869.0
1698927888.61,-59,-37,-1044.0,132.0,270.0,-28.0,-3121.0,2005.0,-767.0,0.0,0.0,0.0,664.0,838.0
1698927888.64,-60,-37,-1045.0,133.0,268.0,-29.0,-3122.0,2005.0,-768.0,0.0,0.0,0.0,671.0,853.0
1698927888.655,-59,-37,-1045.0,131.0,267.0,-28.0,-3122.0,2004.0,-768.0,0.0,0.0,4.0,674.0,856.0
1698927888.677,-59,-37,-1045.0,129.0,269.0,-29.0,-3122.0,2004.0,-768.0,0.0,0.0,1.0,664.0,857.0
1698927888.693,-59,-37,-1045.0,129.0,268.0,-28.0,-3122.0,2004.0,-767.0,0.0,0.0,1.0,660.0,849.0
1698927888.715,-60,-37,-1045.0,129.0,269.0,-31.0,-3122.0,2003.0,-766.0,0.0,0.0,1.0,661.0,837.0
1698927888.738,-60,-37,-1044.0,127.0,268.0,-29.0,-3122.0,2003.0,-767.0,0.0,0.0,2.0,663.0,835.0
1698927888.753,-60,-37,-1043.0,126.0,269.0,-30.0,-3121.0,2003.0,-768.0,0.0,0.0,5.0,669.0,845.0
1698927888.775,-60,-37,-1043.0,130.0,267.0,-32.0,-3121.0,2002.0,-767.0,0.0,0.0,0.0,665.0,842.0
1698927888.798,-60,-38,-1044.0,134.0,266.0,-29.0,-3121.0,2001.0,-768.0,0.0,0.0,9.0,662.0,847.0
1698927888.813,-59,-38,-1045.0,131.0,268.0,-31.0,-3121.0,2001.0,-768.0,0.0,0.0,7.0,665.0,852.0
1698927888.843,-59,-37,-1046.0,130.0,272.0,-33.0,-3121.0,2002.0,-766.0,0.0,0.0,0.0,668.0,858.0
1698927888.85,-58,-38,-1044.0,126.0,267.0,-29.0,-3122.0,2001.0,-766.0,0.0,0.0,0.0,667.0,856.0
1698927888.88,-59,-37,-1043.0,130.0,269.0,-27.0,-3121.0,2001.0,-766.0,0.0,0.0,2.0,669.0,837.0
1698927888.896,-59,-37,-1043.0,129.0,271.0,-28.0,-3121.0,2001.0,-767.0,0.0,0.0,1.0,664.0,820.0
1698927888.91,-59,-36,-1043.0,128.0,269.0,-29.0,-3121.0,2001.0,-768.0,0.0,0.0,3.0,658.0,806.0
1698927888.948,-58,-37,-1043.0,129.0,272.0,-31.0,-3122.0,2001.0,-768.0,0.0,0.0,12.0,650.0,808.0
1698927888.956,-59,-37,-1042.0,128.0,271.0,-28.0,-3123.0,2000.0,-769.0,0.0,0.0,10.0,650.0,811.0
1698927888.971,-59,-37,-1043.0,131.0,268.0,-28.0,-3123.0,1999.0,-769.0,0.0,0.0,7.0,652.0,809.0
1698927888.993,-60,-37,-1044.0,131.0,266.0,-29.0,-3123.0,1999.0,-768.0,0.0,0.0,6.0,654.0,810.0
1698927889.016,-60,-37,-1044.0,131.0,267.0,-31.0,-3123.0,1999.0,-768.0,0.0,0.0,1.0,657.0,814.0
1698927889.03,-58,-37,-1043.0,130.0,268.0,-29.0,-3123.0,2000.0,-769.0,0.0,0.0,1.0,650.0,835.0
1698927889.053,-58,-38,-1042.0,131.0,271.0,-29.0,-3123.0,2000.0,-769.0,0.0,0.0,0.0,662.0,828.0
1698927889.075,-58,-38,-1042.0,132.0,269.0,-28.0,-3124.0,2000.0,-770.0,0.0,0.0,0.0,669.0,828.0
1698927889.09,-58,-37,-1043.0,131.0,267.0,-27.0,-3123.0,2000.0,-770.0,0.0,0.0,0.0,665.0,824.0
1698927889.12,-58,-37,-1042.0,129.0,266.0,-27.0,-3122.0,2001.0,-771.0,0.0,0.0,0.0,673.0,829.0
1698927889.135,-58,-37,-1042.0,131.0,267.0,-26.0,-3122.0,2002.0,-772.0,0.0,0.0,0.0,677.0,832.0
1698927889.158,-58,-37,-1043.0,130.0,272.0,-26.0,-3122.0,2001.0,-772.0,0.0,0.0,0.0,680.0,835.0
1698927889.173,-58,-37,-1043.0,127.0,275.0,-29.0,-3121.0,2002.0,-772.0,0.0,0.0,0.0,671.0,832.0
1698927889.195,-59,-37,-1042.0,130.0,274.0,-29.0,-3121.0,2002.0,-771.0,0.0,0.0,0.0,671.0,820.0
1698927889.225,-59,-37,-1042.0,129.0,270.0,-29.0,-3122.0,2002.0,-770.0,0.0,0.0,0.0,667.0,828.0
1698927889.233,-59,-37,-1041.0,130.0,266.0,-29.0,-3122.0,2002.0,-771.0,0.0,0.0,0.0,673.0,828.0
1698927889.263,-59,-37,-1042.0,132.0,264.0,-28.0,-3122.0,2002.0,-773.0,0.0,0.0,0.0,674.0,830.0
1698927889.27,-59,-37,-1042.0,130.0,269.0,-26.0,-3123.0,2001.0,-774.0,0.0,0.0,4.0,671.0,820.0
1698927889.293,-58,-37,-1041.0,130.0,273.0,-26.0,-3122.0,2001.0,-773.0,0.0,0.0,3.0,659.0,818.0
1698927889.315,-58,-37,-1043.0,128.0,274.0,-26.0,-3123.0,2002.0,-772.0,0.0,0.0,1.0,658.0,802.0
1698927889.33,-58,-37,-1044.0,133.0,272.0,-28.0,-3122.0,2002.0,-771.0,0.0,0.0,0.0,651.0,811.0
1698927889.353,-57,-37,-1045.0,132.0,272.0,-27.0,-3123.0,2002.0,-772.0,0.0,0.0,0.0,646.0,804.0
1698927889.375,-58,-37,-1046.0,132.0,274.0,-28.0,-3123.0,2001.0,-773.0,0.0,0.0,0.0,658.0,818.0
1698927889.398,-58,-37,-1046.0,133.0,276.0,-29.0,-3124.0,2001.0,-771.0,0.0,0.0,0.0,648.0,824.0
1698927889.413,-58,-37,-1045.0,134.0,273.0,-28.0,-3124.0,2002.0,-770.0,0.0,0.0,0.0,650.0,818.0
1698927889.435,-58,-37,-1045.0,135.0,271.0,-29.0,-3124.0,2002.0,-770.0,0.0,0.0,0.0,653.0,826.0
1698927889.458,-58,-37,-1045.0,136.0,269.0,-30.0,-3124.0,2002.0,-769.0,0.0,0.0,0.0,657.0,827.0
1698927889.473,-58,-38,-1044.0,132.0,269.0,-29.0,-3124.0,2001.0,-770.0,0.0,0.0,0.0,660.0,830.0
1698927889.503,-58,-37,-1044.0,128.0,269.0,-30.0,-3124.0,2002.0,-769.0,0.0,0.0,0.0,663.0,824.0
1698927889.517,-58,-37,-1045.0,129.0,269.0,-26.0,-3125.0,2002.0,-770.0,0.0,0.0,0.0,646.0,822.0
1698927889.54,-59,-38,-1043.0,126.0,271.0,-27.0,-3125.0,2002.0,-769.0,0.0,0.0,0.0,651.0,832.0
1698927889.563,-60,-38,-1043.0,127.0,264.0,-27.0,-3125.0,2001.0,-770.0,0.0,0.0,0.0,653.0,836.0
1698927889.57,-59,-38,-1044.0,126.0,259.0,-27.0,-3125.0,2000.0,-771.0,0.0,0.0,0.0,643.0,843.0
1698927889.593,-59,-37,-1044.0,125.0,260.0,-30.0,-3124.0,2000.0,-771.0,0.0,0.0,0.0,652.0,830.0
1698927889.615,-58,-37,-1043.0,124.0,259.0,-29.0,-3123.0,1999.0,-772.0,0.0,0.0,0.0,659.0,830.0
1698927889.63,-58,-37,-1042.0,125.0,264.0,-30.0,-3122.0,1999.0,-772.0,0.0,0.0,0.0,664.0,824.0
1698927889.653,-58,-37,-1042.0,130.0,265.0,-30.0,-3122.0,2000.0,-771.0,0.0,0.0,1.0,660.0,830.0
1698927889.675,-58,-37,-1042.0,131.0,271.0,-28.0,-3122.0,1999.0,-771.0,0.0,0.0,2.0,652.0,832.0
1698927889.69,-58,-37,-1043.0,134.0,276.0,-29.0,-3121.0,2000.0,-769.0,0.0,0.0,1.0,645.0,835.0
1698927889.713,-58,-36,-1043.0,130.0,276.0,-27.0,-3121.0,1999.0,-768.0,0.0,0.0,0.0,641.0,837.0
1698927889.735,-59,-36,-1043.0,131.0,280.0,-27.0,-3121.0,2000.0,-768.0,0.0,0.0,0.0,642.0,833.0
1698927889.75,-59,-36,-1043.0,128.0,277.0,-28.0,-3121.0,2000.0,-768.0,0.0,0.0,0.0,645.0,831.0
1698927889.78,-59,-37,-1042.0,127.0,273.0,-28.0,-3121.0,2001.0,-768.0,0.0,0.0,0.0,635.0,806.0
1698927889.795,-59,-36,-1041.0,130.0,273.0,-28.0,-3121.0,2001.0,-769.0,0.0,0.0,0.0,640.0,810.0
1698927889.818,-60,-36,-1042.0,132.0,270.0,-26.0,-3121.0,2001.0,-770.0,0.0,0.0,0.0,639.0,823.0
1698927889.84,-61,-36,-1042.0,131.0,270.0,-26.0,-3120.0,2001.0,-771.0,0.0,0.0,1.0,636.0,820.0
1698927889.855,-61,-36,-1043.0,129.0,268.0,-28.0,-3121.0,2001.0,-772.0,0.0,0.0,1.0,632.0,817.0
1698927889.885,-60,-36,-1042.0,129.0,269.0,-28.0,-3121.0,2000.0,-772.0,0.0,0.0,0.0,647.0,824.0
1698927889.9,-60,-36,-1042.0,129.0,265.0,-29.0,-3121.0,2001.0,-771.0,0.0,0.0,5.0,655.0,823.0
1698927889.923,-60,-36,-1042.0,129.0,264.0,-30.0,-3122.0,2001.0,-769.0,0.0,0.0,31.0,646.0,806.0
1698927889.93,-59,-36,-1043.0,133.0,268.0,-28.0,-3123.0,2001.0,-770.0,0.0,0.0,0.0,652.0,817.0
1698927889.953,-59,-37,-1044.0,136.0,272.0,-28.0,-3122.0,2002.0,-770.0,0.0,0.0,0.0,663.0,830.0
1698927889.975,-58,-37,-1043.0,136.0,276.0,-29.0,-3122.0,2002.0,-771.0,0.0,0.0,12.0,664.0,832.0
1698927889.99,-58,-38,-1044.0,134.0,276.0,-30.0,-3122.0,2002.0,-770.0,0.0,0.0,8.0,650.0,832.0
1698927890.013,-59,-38,-1044.0,133.0,278.0,-29.0,-3122.0,2001.0,-771.0,0.0,0.0,1.0,647.0,830.0
1698927890.035,-60,-37,-1044.0,132.0,274.0,-29.0,-3123.0,2002.0,-773.0,0.0,0.0,0.0,632.0,832.0
1698927890.058,-59,-36,-1044.0,130.0,274.0,-28.0,-3122.0,2002.0,-773.0,0.0,0.0,2.0,614.0,812.0
1698927890.073,-59,-36,-1044.0,133.0,273.0,-26.0,-3122.0,2001.0,-773.0,0.0,0.0,13.0,611.0,828.0
1698927890.11,-59,-37,-1043.0,131.0,269.0,-27.0,-3122.0,2001.0,-772.0,0.0,0.0,8.0,617.0,825.0
1698927890.117,-59,-36,-1043.0,132.0,269.0,-28.0,-3121.0,2000.0,-772.0,0.0,0.0,1.0,609.0,823.0
1698927890.133,-59,-36,-1044.0,132.0,268.0,-27.0,-3121.0,2000.0,-771.0,0.0,0.0,3.0,614.0,815.0
1698927890.163,-58,-36,-1044.0,133.0,271.0,-29.0,-3121.0,2001.0,-771.0,0.0,0.0,18.0,612.0,803.0
1698927890.17,-59,-37,-1043.0,132.0,269.0,-31.0,-3121.0,2001.0,-772.0,0.0,0.0,7.0,613.0,809.0
1698927890.193,-59,-37,-1043.0,133.0,272.0,-30.0,-3121.0,2001.0,-771.0,0.0,0.0,11.0,618.0,807.0
1698927890.215,-59,-37,-1043.0,132.0,271.0,-29.0,-3121.0,2001.0,-770.0,0.0,0.0,21.0,604.0,813.0
1698927890.23,-59,-37,-1043.0,130.0,269.0,-31.0,-3121.0,2001.0,-769.0,0.0,0.0,23.0,611.0,808.0
1698927890.253,-60,-36,-1043.0,132.0,269.0,-32.0,-3121.0,2001.0,-770.0,0.0,0.0,24.0,604.0,807.0
