timestamp,accGGx,accGGy,accGGz
1698924605.026,-0.232,0.731,0.698
1698924605.106,-0.231,0.731,0.706
1698924605.186,-0.224,0.722,0.707
1698924605.267,-0.214,0.715,0.692
1698924605.346,-0.215,0.732,0.676
1698924605.429,-0.222,0.748,0.665
1698924605.506,-0.237,0.766,0.637
1698924605.587,-0.24,0.772,0.625
1698924605.666,-0.232,0.76,0.641
1698924605.746,-0.229,0.757,0.651
1698924605.826,-0.226,0.752,0.654
1698924605.906,-0.228,0.748,0.652
1698924605.986,-0.227,0.747,0.653
1698924606.066,-0.247,0.766,0.667
1698924606.146,-0.26,0.777,0.672
1698924606.226,-0.243,0.764,0.663
1698924606.306,-0.231,0.756,0.669
1698924606.386,-0.233,0.756,0.665
1698924606.466,-0.235,0.752,0.665
1698924606.546,-0.233,0.747,0.667
1698924606.626,-0.23,0.742,0.663
1698924606.706,-0.23,0.738,0.669
1698924606.786,-0.225,0.739,0.677
1698924606.866,-0.219,0.745,0.677
1698924606.947,-0.222,0.741,0.679
1698924607.026,-0.227,0.741,0.678
1698924607.106,-0.231,0.747,0.672
1698924607.186,-0.233,0.744,0.666
1698924607.266,-0.232,0.743,0.664
1698924607.346,-0.23,0.744,0.668
1698924607.426,-0.23,0.742,0.67
1698924607.507,-0.231,0.744,0.673
1698924607.586,-0.235,0.747,0.676
1698924607.668,-0.232,0.747,0.676
1698924607.746,-0.226,0.742,0.674
1698924607.826,-0.226,0.742,0.674
1698924607.908,-0.224,0.743,0.677
1698924607.986,-0.221,0.746,0.681
1698924608.066,-0.218,0.755,0.687
1698924608.146,-0.189,0.752,0.683
1698924608.226,-0.144,0.753,0.661
1698924608.306,-0.114,0.757,0.642
1698924608.386,-0.125,0.772,0.604
1698924608.466,-0.133,0.791,0.595
1698924608.546,-0.106,0.801,0.623
1698924608.626,-0.092,0.801,0.629
1698924608.706,-0.092,0.803,0.628
1698924608.786,-0.092,0.832,0.656
1698924608.866,-0.057,0.927,0.674
1698924608.946,0.013,0.989,0.723
1698924609.026,0.084,0.991,0.749
1698924609.106,0.158,0.955,0.688
1698924609.186,0.292,0.879,0.626
1698924609.266,0.423,0.756,0.509
1698924609.345,0.451,0.631,0.326
1698924609.426,0.449,0.629,0.17
1698924609.505,0.466,0.707,0.031
1698924609.585,0.504,0.798,-0.113
1698924609.666,0.479,0.854,-0.239
1698924609.746,0.399,0.744,-0.359
1698924609.825,0.592,0.525,-0.428
1698924609.906,0.647,0.531,-0.484
1698924609.985,0.687,0.552,-0.487
1698924610.065,0.709,0.541,-0.501
1698924610.147,0.711,0.51,-0.511
1698924610.225,0.705,0.503,-0.518
1698924610.308,0.7,0.498,-0.53
1698924610.387,0.698,0.491,-0.529
1698924610.465,0.701,0.487,-0.517
1698924610.545,0.697,0.488,-0.519
1698924610.626,0.69,0.489,-0.525
1698924610.705,0.687,0.489,-0.538
1698924610.785,0.684,0.49,-0.546
1698924610.866,0.685,0.491,-0.54
1698924610.945,0.686,0.49,-0.536
1698924611.025,0.683,0.489,-0.538
1698924611.106,0.684,0.488,-0.545
