timestamp,hr,conf
1698924605.563,84,59
1698924606.498,85,56
1698924607.335,84,55
1698924608.203,84,92
1698924609.139,84,79
1698924610.041,83,48
1698924611.813,83,52
1698924612.682,83,54
1698924613.55,85,54
1698924614.486,85,41
1698924615.322,85,38
1698924616.258,85,26
1698924617.995,85,0
1698924621.605,87,0
1698924623.409,89,56
1698924624.312,87,41
1698924625.147,88,56
1698924626.083,88,69
1698924626.952,91,69
1698924627.854,93,96
1698924628.756,93,94
1698924629.669,91,84
1698924630.561,91,60
1698924631.463,91,47
1698924632.333,91,98
1698924633.235,91,99
1698924634.104,91,98
1698924635.006,91,96
1698924635.909,93,93
1698924636.788,93,88
1698924637.679,91,83
1698924638.582,91,7
1698924639.484,91,27
1698924640.388,91,57
1698924641.267,91,75
1698924642.158,91,71
1698924643.06,93,61
1698924643.962,93,57
1698924644.831,91,73
1698924645.744,91,58
1698924646.602,90,72
