timestamp,accGGx,accGGy,accGGz
1698672521.06,-0.376,0.837,0.469
1698672521.141,-0.378,0.892,0.474
1698672521.22,-0.374,0.919,0.482
1698672521.3,-0.367,0.873,0.487
1698672521.38,-0.362,0.845,0.49
1698672521.46,-0.367,0.824,0.501
1698672521.54,-0.386,0.815,0.509
1698672521.62,-0.388,0.816,0.507
1698672521.7,-0.359,0.836,0.511
1698672521.78,-0.347,0.848,0.496
1698672521.86,-0.364,0.839,0.476
1698672521.94,-0.372,0.835,0.473
1698672522.02,-0.374,0.828,0.474
1698672522.1,-0.374,0.825,0.473
1698672522.18,-0.377,0.823,0.474
1698672522.26,-0.384,0.788,0.473
1698672522.34,-0.388,0.776,0.477
1698672522.42,-0.389,0.804,0.486
1698672522.5,-0.394,0.815,0.487
1698672522.58,-0.389,0.817,0.476
1698672522.66,-0.372,0.839,0.476
1698672522.741,-0.353,0.83,0.529
1698672522.82,-0.349,0.822,0.557
1698672522.902,-0.365,0.821,0.521
1698672522.98,-0.372,0.823,0.503
1698672523.06,-0.375,0.823,0.492
1698672523.14,-0.379,0.827,0.484
1698672523.22,-0.377,0.832,0.487
1698672523.3,-0.377,0.794,0.488
1698672523.38,-0.38,0.77,0.485
1698672523.46,-0.377,0.799,0.495
1698672523.54,-0.375,0.818,0.502
1698672523.62,-0.368,0.82,0.497
1698672523.7,-0.36,0.821,0.493
1698672523.78,-0.362,0.824,0.501
1698672523.86,-0.41,0.828,0.512
1698672523.94,-0.429,0.83,0.519
1698672524.02,-0.393,0.83,0.519
1698672524.1,-0.374,0.829,0.509
1698672524.18,-0.368,0.831,0.507
1698672524.26,-0.363,0.831,0.512
1698672524.34,-0.361,0.829,0.506
1698672524.42,-0.36,0.819,0.5
1698672524.5,-0.367,0.82,0.491
1698672524.58,-0.373,0.826,0.489
1698672524.66,-0.384,0.837,0.499
1698672524.74,-0.376,0.884,0.542
1698672524.82,-0.329,0.924,0.59
1698672524.9,-0.304,0.912,0.571
1698672524.98,-0.238,0.862,0.524
1698672525.06,-0.118,0.799,0.486
1698672525.14,-0.062,0.791,0.478
1698672525.22,-0.115,0.782,0.555
1698672525.3,-0.268,0.8,0.683
1698672525.381,-0.464,0.855,0.813
1698672525.46,-0.572,0.88,0.848
1698672525.542,-0.563,0.875,0.805
1698672525.62,-0.515,0.885,0.734
1698672525.7,-0.447,0.838,0.629
1698672525.781,-0.386,0.726,0.555
1698672525.859,-0.322,0.648,0.485
1698672525.94,-0.228,0.581,0.43
1698672526.019,-0.081,0.627,0.545
1698672526.099,-0.098,0.702,0.604
1698672526.179,-0.121,0.727,0.615
1698672526.259,-0.113,0.758,0.622
1698672526.339,-0.143,0.794,0.661
1698672526.419,-0.22,0.842,0.686
1698672526.499,-0.224,0.943,0.84
1698672526.579,-0.208,0.907,0.841
