timestamp,magnRawx,magnRawy,magnRawz
1698675165.004,-270,255,394
1698675165.085,-267,249,399
1698675165.164,-270,242,391
1698675165.244,-259,230,393
1698675165.325,-268,236,380
1698675165.405,-262,230,378
1698675165.484,-254,230,391
1698675165.565,-259,233,377
1698675165.644,-260,227,379
1698675165.724,-266,227,375
1698675165.804,-258,238,376
1698675165.884,-256,226,381
1698675165.964,-262,226,388
1698675166.044,-258,227,373
1698675166.124,-259,219,388
1698675166.204,-263,237,380
1698675166.284,-263,231,371
1698675166.364,-251,238,381
1698675166.444,-255,233,387
1698675166.524,-261,232,378
1698675166.6,-259,238,393
1698675166.687,-263,232,380
1698675166.764,-257,229,376
1698675166.844,-258,240,386
1698675166.927,-255,239,375
1698675167.004,-256,233,373
1698675167.087,-255,229,375
1698675167.164,-265,230,378
1698675167.244,-265,225,367
1698675167.324,-269,230,377
1698675167.404,-253,234,377
1698675167.487,-267,229,387
1698675167.564,-262,227,382
1698675167.644,-258,229,382
1698675167.724,-265,226,368
1698675167.804,-255,235,388
1698675167.886,-258,225,380
1698675167.964,-263,236,373
1698675168.044,-253,232,378
1698675168.124,-253,247,377
1698675168.204,-251,231,381
1698675168.284,-255,236,382
1698675168.364,-244,239,370
1698675168.444,-251,239,375
1698675168.524,-255,233,375
1698675168.604,-251,241,368
1698675168.684,-236,243,366
1698675168.764,-235,249,365
1698675168.844,-234,261,369
1698675168.924,-219,276,373
1698675169.004,-220,275,366
1698675169.084,-203,314,366
1698675169.164,-167,326,366
1698675169.244,-160,308,351
1698675169.324,-151,295,353
1698675169.404,-146,292,344
1698675169.484,-147,285,342
1698675169.564,-146,284,339
1698675169.644,-140,273,328
1698675169.726,-149,281,327
1698675169.804,-149,286,336
1698675169.884,-179,307,357
1698675169.965,-214,319,376
1698675170.043,-213,332,394
1698675170.126,-192,340,380
1698675170.203,-162,343,362
1698675170.283,-146,334,353
1698675170.366,-131,333,337
1698675170.444,-134,316,333
1698675170.526,-144,312,324
1698675170.604,-144,284,319
1698675170.683,-172,295,323
1698675170.763,-183,310,331
1698675170.844,-197,334,368
1698675170.926,-172,394,396
1698675171.003,-94,439,416
1698675171.084,86,471,447
1698675171.163,253,418,446
1698675171.243,330,338,452
1698675171.326,381,224,446
1698675171.403,398,138,455
1698675171.483,390,101,456
1698675171.564,386,146,447
1698675171.643,359,252,420
1698675171.723,292,379,456
1698675171.804,183,470,495
1698675171.883,76,495,522
1698675171.964,62,505,522
1698675172.043,100,513,512
1698675172.123,212,478,497
1698675172.203,333,405,461
1698675172.284,404,304,430
1698675172.363,423,195,434
1698675172.443,443,169,440
1698675172.523,420,214,425
1698675172.603,373,297,415
1698675172.683,290,435,458
1698675172.764,180,469,511
1698675172.843,89,490,544
1698675172.923,58,479,529
1698675173.005,112,496,501
1698675173.083,218,454,462
1698675173.166,313,385,445
1698675173.243,363,317,436
1698675173.323,399,262,436
1698675173.405,390,252,437
1698675173.483,352,290,428
1698675173.565,301,346,432
1698675173.643,220,409,456
1698675173.723,125,442,486
1698675173.803,57,448,510
1698675173.883,55,460,515
1698675173.966,98,447,486
1698675174.043,178,425,474
1698675174.123,233,385,450
1698675174.203,287,327,435
1698675174.283,299,305,422
1698675174.365,329,284,435
1698675174.443,296,299,446
1698675174.523,243,346,465
1698675174.603,170,393,488
1698675174.683,99,404,505
1698675174.765,60,409,525
1698675174.843,59,396,526
1698675174.924,135,390,489
1698675175.003,207,355,481
1698675175.083,266,311,465
1698675175.163,303,255,461
1698675175.243,316,211,462
1698675175.323,322,213,449
1698675175.403,291,240,454
1698675175.483,256,311,456
1698675175.563,181,376,477
1698675175.643,101,407,506
1698675175.723,53,404,496
1698675175.803,57,412,486
1698675175.883,111,400,464
1698675175.963,190,373,455
1698675176.044,245,325,439
1698675176.123,279,274,432
1698675176.205,307,221,420
1698675176.283,295,229,419
1698675176.363,278,264,409
1698675176.444,220,334,418
1698675176.522,142,381,429
1698675176.605,71,389,443
1698675176.682,50,397,445
1698675176.762,74,375,444
1698675176.845,133,361,436
1698675176.922,189,317,419
1698675177.005,228,268,421
1698675177.083,261,224,406
1698675177.162,261,184,418
1698675177.242,257,191,405
1698675177.323,218,244,427
1698675177.405,171,304,439
1698675177.482,117,335,438
1698675177.563,64,350,451
1698675177.642,58,358,455
1698675177.722,89,345,447
1698675177.805,150,320,432
1698675177.882,203,269,425
1698675177.963,233,229,416
1698675178.043,254,179,426
1698675178.122,240,167,425
1698675178.202,246,206,414
1698675178.282,224,263,431
1698675178.362,185,324,435
1698675178.442,118,366,462
1698675178.522,84,394,464
1698675178.602,90,399,462
1698675178.682,130,381,448
1698675178.762,184,352,430
1698675178.842,235,299,425
1698675178.922,272,236,429
1698675179.003,307,209,423
1698675179.082,304,192,424
1698675179.162,310,208,426
1698675179.242,288,267,436
1698675179.322,233,334,431
1698675179.402,160,377,445
1698675179.484,109,409,455
1698675179.562,99,417,463
1698675179.644,114,411,476
1698675179.722,173,387,452
1698675179.802,231,355,438
1698675179.884,266,291,438
1698675179.963,276,242,440
1698675180.045,299,251,427
1698675180.122,282,252,408
1698675180.202,259,294,429
1698675180.282,246,343,444
1698675180.362,179,387,475
1698675180.445,136,407,483
1698675180.522,121,402,502
1698675180.602,132,417,487
1698675180.682,192,378,462
1698675180.762,230,358,439
1698675180.844,285,306,420
1698675180.922,298,255,415
1698675181.002,327,217,416
1698675181.082,326,205,421
1698675181.162,325,196,403
1698675181.242,315,201,396
1698675181.322,311,201,392
1698675181.402,311,192,399
1698675181.483,314,174,392
1698675181.562,335,153,422
1698675181.642,338,116,436
1698675181.722,335,76,462
1698675181.802,331,26,491
1698675181.882,296,-10,519
1698675181.962,266,-29,543
1698675182.042,258,-15,558
1698675182.122,246,1,580
1698675182.201,244,19,580
1698675182.282,274,35,564
1698675182.362,289,76,561
1698675182.441,291,113,567
1698675182.523,295,144,561
1698675182.602,284,170,556
1698675182.684,275,161,563
1698675182.761,285,127,552
1698675182.842,290,89,551
1698675182.923,277,47,552
1698675183.001,254,55,567
1698675183.084,224,40,588
1698675183.161,194,40,582
1698675183.241,196,67,590
1698675183.321,200,87,594
1698675183.401,228,96,574
1698675183.484,255,122,568
1698675183.562,273,161,560
1698675183.641,269,194,564
1698675183.721,259,200,565
1698675183.802,267,183,571
1698675183.884,266,153,557
1698675183.961,277,113,562
1698675184.041,263,79,575
1698675184.121,227,46,589
1698675184.201,205,46,608
1698675184.282,201,58,591
1698675184.361,204,74,584
1698675184.441,240,48,569
1698675184.521,257,87,565
1698675184.601,269,144,558
1698675184.681,251,169,568
1698675184.761,224,189,583
1698675184.841,229,189,570
1698675184.921,243,155,562
1698675185.001,239,123,570
1698675185.082,215,82,579
1698675185.161,179,53,589
1698675185.241,180,62,587
1698675185.321,209,74,580
1698675185.401,229,79,571
1698675185.481,240,94,561
1698675185.562,228,142,566
1698675185.641,206,149,581
1698675185.724,191,169,579
1698675185.801,202,182,580
1698675185.881,210,155,574
1698675185.963,217,140,582
1698675186.041,203,114,580
1698675186.123,197,95,588
1698675186.201,191,94,581
1698675186.281,183,121,595
1698675186.363,193,104,603
1698675186.441,210,92,626
1698675186.523,262,91,600
1698675186.601,276,130,598
1698675186.681,268,141,597
1698675186.761,286,139,581
1698675186.841,270,85,589
1698675186.924,226,30,598
1698675187.001,190,-11,602
1698675187.081,172,-22,609
1698675187.161,203,-10,593
1698675187.241,247,15,564
1698675187.321,288,71,554
1698675187.401,302,138,550
1698675187.481,301,179,551
1698675187.561,304,186,567
1698675187.641,312,158,564
1698675187.721,321,118,557
1698675187.801,310,67,562
1698675187.881,281,21,566
1698675187.961,248,-4,569
1698675188.041,274,7,577
1698675188.121,295,33,545
1698675188.2,321,81,546
1698675188.281,318,152,558
1698675188.361,298,213,555
1698675188.44,303,206,568
1698675188.521,303,191,559
1698675188.601,321,146,557
1698675188.68,323,77,561
1698675188.761,288,15,560
1698675188.841,269,-39,564
1698675188.92,261,-27,562
1698675189.002,290,2,563
1698675189.082,344,27,540
1698675189.163,357,84,541
1698675189.241,357,184,551
1698675189.32,334,232,561
1698675189.402,350,245,562
1698675189.48,368,197,554
1698675189.563,368,114,558
1698675189.64,355,48,578
1698675189.721,321,-13,582
1698675189.8,288,-41,585
1698675189.88,286,-10,603
1698675189.963,327,4,595
1698675190.04,363,59,571
1698675190.12,393,147,570
1698675190.2,380,214,580
1698675190.28,362,235,584
1698675190.363,371,215,597
1698675190.441,378,178,584
1698675190.52,380,118,591
1698675190.6,355,74,594
1698675190.68,324,18,605
1698675190.763,316,-4,612
1698675190.84,324,22,608
1698675190.92,345,42,596
1698675191.0,372,108,585
1698675191.08,360,159,576
1698675191.16,335,211,581
1698675191.332,326,222,602
1698675191.338,330,206,587
1698675191.422,359,163,573
1698675191.48,350,105,576
1698675191.572,309,56,591
1698675191.641,280,8,608
1698675191.72,271,0,611
1698675191.8,290,19,606
1698675191.88,314,24,576
1698675191.96,354,75,576
1698675192.041,350,117,577
1698675192.12,345,156,575
1698675192.203,325,156,599
1698675192.28,342,139,583
1698675192.36,353,90,572
1698675192.442,340,58,584
1698675192.515,323,21,579
1698675192.603,305,3,581
1698675192.68,295,13,596
1698675192.76,320,51,592
1698675192.84,323,62,564
1698675192.92,332,93,561
1698675193.002,337,145,563
1698675193.08,330,172,575
1698675193.223,312,176,575
1698675193.24,331,157,568
1698675193.32,343,112,563
1698675193.402,341,54,556
1698675193.526,306,17,564
1698675193.56,283,-8,571
1698675193.64,264,-32,589
1698675193.72,270,-17,574
1698675193.803,298,4,567
1698675193.88,292,31,570
1698675193.96,325,88,568
1698675194.04,320,174,554
1698675194.12,304,275,549
1698675194.2,255,339,536
1698675194.28,214,385,492
1698675194.359,198,403,472
1698675194.439,183,401,442
1698675194.52,179,406,450
1698675194.599,150,411,435
1698675194.68,142,419,434
1698675194.76,142,404,417
1698675194.839,117,410,429
1698675195.083,120,401,409
1698675195.088,122,404,423
1698675195.383,123,407,416
1698675195.388,111,398,410
1698675197.279,111,410,420
1698675198.053,109,404,423
1698675198.059,107,411,427
1698675198.807,106,404,416
1698675198.863,111,420,426
1698675198.921,100,423,436
1698675199.373,103,417,429
1698675199.381,92,423,434
1698675199.796,90,426,442
1698675199.802,98,429,436
1698675200.249,101,423,433
1698675200.279,98,428,444
1698675200.397,93,423,431
1698675200.438,99,426,438
1698675200.577,87,422,437
1698675200.598,97,422,433
1698675200.697,98,417,430
1698675200.759,83,437,428
1698675200.838,79,424,435
1698675200.918,91,420,416
1698675200.999,114,407,404
1698675201.078,119,411,412
1698675201.16,130,395,394
1698675201.239,132,394,401
1698675201.321,133,390,396
1698675201.398,141,388,399
1698675201.478,132,374,408
1698675201.56,144,378,399
1698675201.638,130,388,384
1698675201.721,146,397,397
1698675201.798,140,383,395
1698675201.878,153,385,395
1698675201.961,148,389,386
1698675202.038,151,394,383
1698675202.121,150,385,401
1698675202.198,140,392,400
1698675202.278,141,377,399
1698675202.358,150,392,397
