timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698676259.003,13,-76,-1009,25.0,31.0,17.0,459.0,105.0,832.0,412.0,615.0,1567.0,97.0,291.0
1698676259.026,13,-76,-1008,26.0,33.0,18.0,458.0,105.0,833.0,417.0,610.0,1569.0,98.0,305.0
1698676259.048,14,-77,-1009,28.0,32.0,19.0,458.0,105.0,832.0,415.0,614.0,1568.0,104.0,304.0
1698676259.063,13,-77,-1009,27.0,32.0,19.0,458.0,105.0,831.0,415.0,613.0,1575.0,95.0,308.0
1698676259.086,13,-77,-1009,29.0,32.0,18.0,457.0,105.0,832.0,422.0,613.0,1570.0,97.0,305.0
1698676259.109,13,-76,-1008,28.0,33.0,17.0,456.0,105.0,831.0,420.0,620.0,1568.0,94.0,313.0
1698676259.123,14,-76,-1009,26.0,33.0,16.0,455.0,105.0,831.0,412.0,620.0,1567.0,95.0,313.0
1698676259.146,14,-76,-1008,27.0,32.0,15.0,454.0,105.0,832.0,414.0,620.0,1564.0,94.0,324.0
1698676259.168,14,-76,-1009,28.0,32.0,15.0,454.0,105.0,833.0,413.0,624.0,1570.0,92.0,341.0
1698676259.183,14,-76,-1009,26.0,31.0,15.0,454.0,106.0,835.0,410.0,628.0,1570.0,92.0,347.0
1698676259.206,14,-76,-1009,26.0,32.0,15.0,454.0,106.0,836.0,410.0,635.0,1571.0,97.0,336.0
1698676259.228,14,-76,-1009,27.0,32.0,14.0,454.0,106.0,837.0,407.0,633.0,1569.0,96.0,341.0
1698676259.244,14,-76,-1009,24.0,31.0,19.0,454.0,105.0,837.0,405.0,631.0,1574.0,91.0,331.0
1698676259.273,13,-76,-1009,25.0,33.0,13.0,454.0,106.0,838.0,404.0,634.0,1578.0,92.0,305.0
1698676259.296,14,-76,-1010,24.0,31.0,16.0,454.0,105.0,838.0,409.0,630.0,1575.0,99.0,320.0
1698676259.318,13,-76,-1011,26.0,32.0,17.0,454.0,105.0,839.0,408.0,627.0,1577.0,100.0,313.0
1698676259.326,13,-75,-1011,30.0,31.0,16.0,455.0,106.0,839.0,409.0,624.0,1590.0,100.0,282.0
1698676259.349,14,-76,-1011,31.0,31.0,15.0,454.0,105.0,840.0,411.0,592.0,1594.0,91.0,275.0
1698676259.364,14,-76,-1011,32.0,31.0,15.0,455.0,105.0,840.0,410.0,596.0,1596.0,89.0,262.0
1698676259.386,14,-75,-1011,30.0,31.0,17.0,456.0,105.0,841.0,412.0,582.0,1593.0,89.0,270.0
1698676259.408,15,-75,-1011,30.0,34.0,18.0,455.0,105.0,841.0,407.0,586.0,1592.0,88.0,273.0
1698676259.43,15,-75,-1011,30.0,36.0,17.0,455.0,104.0,841.0,411.0,593.0,1597.0,59.0,284.0
1698676259.446,14,-75,-1011,28.0,39.0,15.0,456.0,104.0,841.0,412.0,598.0,1604.0,13.0,276.0
1698676259.469,15,-75,-1010,29.0,40.0,15.0,456.0,104.0,840.0,413.0,612.0,1615.0,0.0,261.0
1698676259.483,15,-74,-1010,28.0,40.0,16.0,455.0,104.0,841.0,411.0,635.0,1614.0,0.0,226.0
1698676259.506,14,-74,-1010,27.0,42.0,17.0,455.0,104.0,840.0,415.0,626.0,1625.0,0.0,202.0
1698676259.528,14,-75,-1010,27.0,42.0,15.0,455.0,105.0,841.0,413.0,616.0,1617.0,0.0,273.0
1698676259.543,14,-75,-1010,25.0,41.0,17.0,455.0,105.0,839.0,415.0,611.0,1614.0,0.0,189.0
1698676259.574,14,-75,-1009,29.0,39.0,16.0,454.0,104.0,838.0,416.0,625.0,1622.0,0.0,152.0
1698676259.596,14,-76,-1009,27.0,36.0,13.0,454.0,104.0,838.0,417.0,632.0,1625.0,0.0,163.0
1698676259.604,14,-75,-1009,27.0,33.0,12.0,454.0,105.0,837.0,417.0,609.0,1633.0,0.0,102.0
1698676259.626,14,-75,-1009,26.0,33.0,16.0,454.0,106.0,835.0,414.0,604.0,1631.0,0.0,110.0
1698676259.648,14,-76,-1010,30.0,28.0,16.0,454.0,105.0,835.0,415.0,590.0,1623.0,0.0,107.0
1698676259.67,14,-75,-1010,28.0,25.0,16.0,454.0,105.0,834.0,429.0,584.0,1619.0,13.0,148.0
1698676259.701,13,-75,-1010,27.0,27.0,18.0,455.0,105.0,834.0,435.0,590.0,1629.0,0.0,141.0
1698676259.724,13,-75,-1009,24.0,26.0,17.0,457.0,106.0,835.0,435.0,591.0,1617.0,5.0,132.0
1698676259.73,13,-75,-1010,28.0,27.0,16.0,457.0,106.0,836.0,445.0,590.0,1611.0,31.0,142.0
1698676259.746,14,-76,-1009,29.0,28.0,15.0,457.0,106.0,836.0,443.0,585.0,1617.0,49.0,115.0
1698676259.769,13,-76,-1009,27.0,27.0,18.0,456.0,105.0,834.0,438.0,576.0,1618.0,66.0,96.0
1698676259.791,14,-76,-1008,26.0,29.0,16.0,456.0,105.0,835.0,434.0,573.0,1614.0,85.0,93.0
1698676259.806,14,-75,-1008,28.0,29.0,16.0,456.0,105.0,835.0,445.0,572.0,1616.0,92.0,97.0
1698676259.828,14,-76,-1008,28.0,32.0,18.0,457.0,105.0,836.0,435.0,574.0,1615.0,87.0,94.0
1698676259.843,15,-76,-1009,29.0,32.0,18.0,457.0,106.0,836.0,440.0,574.0,1619.0,91.0,90.0
1698676259.866,14,-76,-1009,31.0,33.0,17.0,457.0,105.0,836.0,440.0,574.0,1623.0,68.0,88.0
1698676259.889,15,-76,-1010,29.0,35.0,15.0,457.0,106.0,836.0,435.0,576.0,1625.0,53.0,85.0
1698676259.903,15,-76,-1010,28.0,36.0,15.0,458.0,106.0,836.0,433.0,579.0,1628.0,26.0,84.0
1698676259.926,15,-76,-1010,29.0,36.0,14.0,459.0,106.0,836.0,429.0,577.0,1630.0,45.0,87.0
1698676259.948,14,-76,-1010,30.0,39.0,15.0,459.0,106.0,837.0,430.0,578.0,1629.0,45.0,86.0
1698676259.964,14,-76,-1010,28.0,38.0,16.0,459.0,106.0,836.0,431.0,582.0,1630.0,44.0,90.0
1698676259.986,14,-76,-1009,27.0,35.0,16.0,459.0,106.0,837.0,436.0,586.0,1632.0,41.0,91.0
1698676260.008,14,-75,-1009,26.0,36.0,12.0,458.0,106.0,837.0,439.0,583.0,1631.0,45.0,89.0
1698676260.023,14,-75,-1009,26.0,34.0,15.0,459.0,105.0,838.0,444.0,581.0,1626.0,47.0,89.0
1698676260.046,14,-75,-1010,25.0,35.0,14.0,459.0,106.0,838.0,437.0,577.0,1623.0,48.0,95.0
1698676260.069,14,-76,-1010,25.0,34.0,15.0,460.0,106.0,838.0,438.0,582.0,1623.0,49.0,96.0
1698676260.083,15,-75,-1009,26.0,34.0,15.0,460.0,105.0,839.0,439.0,585.0,1627.0,52.0,98.0
1698676260.106,15,-75,-1009,28.0,33.0,13.0,460.0,105.0,838.0,434.0,585.0,1624.0,51.0,123.0
1698676260.129,14,-75,-1009,27.0,33.0,13.0,460.0,105.0,838.0,418.0,577.0,1604.0,46.0,292.0
1698676260.143,13,-75,-1009,27.0,32.0,15.0,460.0,104.0,838.0,424.0,582.0,1612.0,42.0,238.0
1698676260.166,13,-75,-1009,28.0,28.0,15.0,459.0,105.0,840.0,415.0,573.0,1606.0,43.0,286.0
1698676260.188,13,-75,-1008,30.0,29.0,15.0,459.0,105.0,840.0,417.0,573.0,1605.0,45.0,265.0
1698676260.203,12,-75,-1008,27.0,28.0,15.0,459.0,104.0,840.0,416.0,560.0,1607.0,47.0,258.0
1698676260.233,13,-75,-1008,25.0,31.0,15.0,459.0,104.0,841.0,417.0,562.0,1607.0,48.0,254.0
1698676260.248,13,-75,-1008,24.0,30.0,13.0,460.0,105.0,840.0,411.0,563.0,1608.0,47.0,253.0
1698676260.27,13,-75,-1009,23.0,29.0,14.0,460.0,106.0,842.0,408.0,565.0,1605.0,50.0,265.0
1698676260.293,13,-75,-1009,25.0,28.0,14.0,461.0,107.0,842.0,418.0,564.0,1606.0,43.0,244.0
1698676260.308,13,-75,-1009,26.0,32.0,12.0,461.0,107.0,843.0,421.0,567.0,1609.0,43.0,227.0
1698676260.33,13,-76,-1009,27.0,33.0,13.0,461.0,106.0,842.0,422.0,567.0,1608.0,35.0,226.0
1698676260.346,13,-76,-1008,29.0,33.0,16.0,461.0,106.0,840.0,424.0,566.0,1606.0,35.0,246.0
