timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698676675.008,-43,-42,-1043,128,244,-24,-3095,1959,-780,22.0,0.0,0.0,0.0,0.0
1698676675.054,-43,-42,-1043,128,241,-27,-3094,1959,-780,24.0,0.0,0.0,0.0,0.0
1698676675.083,-43,-41,-1044,126,239,-26,-3094,1958,-780,24.0,0.0,0.0,0.0,0.0
1698676675.084,-42,-41,-1043,129,241,-28,-3094,1957,-780,12.0,0.0,0.0,0.0,0.0
1698676675.091,-42,-41,-1043,127,244,-28,-3094,1956,-779,4.0,0.0,0.0,0.0,0.0
1698676675.092,-42,-41,-1043,127,246,-28,-3094,1955,-780,8.0,0.0,0.0,0.0,0.0
1698676675.159,-42,-41,-1043,126,247,-27,-3093,1955,-779,2.0,1.0,0.0,0.0,0.0
1698676675.203,-42,-42,-1043,130,247,-25,-3094,1954,-778,0.0,0.0,0.0,0.0,0.0
1698676675.212,-42,-42,-1042,128,244,-26,-3094,1954,-778,0.0,0.0,0.0,0.0,0.0
1698676675.213,-42,-42,-1042,128,248,-27,-3094,1954,-778,0.0,0.0,0.0,0.0,0.0
1698676675.213,-41,-42,-1042,131,250,-27,-3094,1954,-778,2.0,0.0,0.0,0.0,0.0
1698676675.249,-42,-42,-1042,128,248,-26,-3093,1954,-778,1.0,0.0,0.0,0.0,0.0
1698676675.278,-42,-41,-1042,125,248,-27,-3093,1955,-778,2.0,2.0,0.0,0.0,0.0
1698676675.279,-41,-41,-1041,126,250,-25,-3094,1955,-777,1.0,8.0,0.0,0.0,0.0
1698676675.286,-42,-41,-1041,125,249,-28,-3094,1955,-777,4.0,0.0,0.0,0.0,0.0
1698676675.316,-42,-42,-1042,123,249,-28,-3093,1956,-777,0.0,10.0,0.0,0.0,0.0
1698676675.317,-42,-42,-1041,122,247,-25,-3093,1955,-775,1.0,20.0,0.0,0.0,0.0
1698676675.398,-42,-42,-1041,125,248,-23,-3094,1956,-776,11.0,2.0,0.0,0.0,0.0
1698676675.435,-42,-42,-1040,122,248,-25,-3094,1956,-775,11.0,2.0,0.0,0.0,0.0
1698676675.437,-41,-42,-1041,121,250,-26,-3094,1955,-776,33.0,0.0,0.0,0.0,0.0
1698676675.451,-41,-42,-1041,124,249,-24,-3093,1955,-776,34.0,0.0,0.0,0.0,0.0
1698676675.481,-41,-43,-1041,125,247,-25,-3093,1956,-776,37.0,0.0,0.0,0.0,0.0
1698676675.483,-42,-43,-1042,126,247,-27,-3093,1957,-776,37.0,0.0,0.0,0.0,0.0
1698676675.519,-42,-42,-1042,127,249,-28,-3093,1956,-776,38.0,0.0,0.0,0.0,0.0
1698676675.52,-42,-42,-1042,128,250,-27,-3094,1956,-777,35.0,0.0,0.0,0.0,0.0
1698676675.594,-42,-42,-1043,125,246,-25,-3094,1957,-778,36.0,0.0,0.0,0.0,0.0
1698676675.597,-41,-42,-1042,123,253,-26,-3095,1959,-777,36.0,0.0,0.0,0.0,0.0
1698676675.597,-42,-42,-1042,124,250,-27,-3095,1958,-777,32.0,0.0,0.0,0.0,0.0
1698676675.632,-42,-42,-1042,127,249,-28,-3095,1958,-778,36.0,0.0,0.0,0.0,0.0
1698676675.634,-42,-41,-1043,127,248,-27,-3095,1958,-778,39.0,0.0,0.0,0.0,0.0
1698676675.638,-43,-41,-1042,128,246,-26,-3095,1958,-777,40.0,0.0,0.0,0.0,0.0
1698676675.713,-42,-42,-1041,125,242,-25,-3094,1958,-778,41.0,0.0,0.0,0.0,0.0
1698676675.714,-43,-41,-1043,126,242,-26,-3095,1958,-778,37.0,0.0,0.0,0.0,0.0
1698676675.716,-43,-42,-1042,125,241,-26,-3094,1958,-777,42.0,0.0,0.0,0.0,0.0
1698676675.766,-43,-42,-1042,130,241,-27,-3094,1957,-777,47.0,0.0,0.0,0.0,0.0
1698676675.767,-44,-42,-1042,128,241,-26,-3094,1957,-777,62.0,0.0,0.0,0.0,0.0
1698676675.796,-43,-42,-1042,130,242,-25,-3094,1957,-776,64.0,0.0,0.0,0.0,0.0
1698676675.797,-43,-42,-1043,132,243,-27,-3093,1957,-776,59.0,0.0,0.0,0.0,0.0
1698676675.804,-42,-42,-1042,131,246,-29,-3093,1957,-776,59.0,0.0,0.0,0.0,0.0
1698676675.833,-42,-42,-1043,129,247,-27,-3093,1957,-774,63.0,0.0,0.0,0.0,0.0
1698676675.834,-43,-42,-1043,131,249,-26,-3093,1957,-775,62.0,0.0,0.0,0.0,0.0
1698676675.841,-43,-42,-1043,131,248,-26,-3093,1958,-776,61.0,0.0,0.0,0.0,0.0
1698676675.871,-43,-42,-1043,128,248,-28,-3093,1958,-775,63.0,0.0,0.0,0.0,0.0
1698676675.872,-43,-42,-1044,127,251,-27,-3093,1958,-774,60.0,0.0,0.0,0.0,0.0
1698676675.909,-44,-42,-1043,127,251,-28,-3093,1957,-774,65.0,0.0,0.0,0.0,0.0
1698676675.917,-43,-42,-1043,124,250,-28,-3092,1956,-773,37.0,0.0,0.0,0.0,0.0
1698676675.919,-42,-42,-1043,125,249,-28,-3093,1957,-772,39.0,0.0,0.0,0.0,0.0
1698676675.961,-43,-41,-1044,127,248,-27,-3093,1957,-774,38.0,0.0,0.0,0.0,0.0
1698676675.991,-43,-42,-1044,128,244,-27,-3093,1956,-773,36.0,0.0,0.0,0.0,0.0
1698676675.992,-43,-42,-1045,130,245,-26,-3094,1956,-774,37.0,0.0,0.0,0.0,0.0
1698676675.993,-44,-42,-1044,127,245,-26,-3093,1957,-774,77.0,0.0,0.0,0.0,0.0
1698676676.037,-43,-43,-1046,126,242,-26,-3093,1956,-775,73.0,0.0,0.0,0.0,0.0
1698676676.038,-43,-42,-1046,128,244,-23,-3093,1957,-776,73.0,0.0,0.0,0.0,0.0
1698676676.081,-42,-42,-1043,130,238,-25,-3094,1956,-776,47.0,0.0,0.0,0.0,0.0
1698676676.083,-42,-42,-1043,127,242,-24,-3094,1956,-776,24.0,0.0,0.0,0.0,0.0
1698676676.111,-43,-41,-1043,129,241,-23,-3095,1956,-775,25.0,0.0,0.0,0.0,0.0
1698676676.112,-43,-42,-1043,135,236,-26,-3095,1956,-776,25.0,0.0,0.0,0.0,0.0
