timestamp,abs,alpha,beta,gamma
1698673399.01,False,146.6,80.5,-64.7
1698673399.026,False,150.1,80.4,-67.9
1698673399.043,False,151.9,80.4,-69.4
1698673399.059,False,155.3,80.30000000000001,-72.3
1698673399.076,False,158.70000000000002,80.10000000000001,-75.3
1698673399.093,False,160.3,80.0,-76.80000000000001
1698673399.109,False,163.9,79.5,-79.9
1698673399.126,False,164.5,79.2,-80.2
1698673399.142,False,164.60000000000002,78.5,-80.0
1698673399.159,False,163.8,77.80000000000001,-79.2
1698673399.176,False,163.20000000000002,77.4,-78.60000000000001
1698673399.193,False,162.0,76.60000000000001,-77.60000000000001
1698673399.211,False,160.9,75.9,-76.7
1698673399.226,False,160.4,75.60000000000001,-76.4
1698673399.243,False,159.3,75.2,-75.7
1698673399.26,False,158.3,74.9,-74.9
1698673399.276,False,157.8,74.7,-74.60000000000001
1698673399.293,False,156.8,74.5,-73.8
1698673399.31,False,156.4,74.4,-73.5
1698673399.326,False,155.60000000000002,74.3,-73.10000000000001
1698673399.343,False,155.10000000000002,74.2,-72.7
1698673399.359,False,154.8,74.10000000000001,-72.60000000000001
1698673399.393,False,154.9,74.10000000000001,-72.9
1698673399.41,False,155.20000000000002,74.10000000000001,-73.4
1698673399.426,False,155.4,74.10000000000001,-73.8
1698673399.443,False,156.10000000000002,74.0,-74.5
1698673399.459,False,156.4,74.0,-74.8
1698673399.476,False,157.0,73.9,-75.5
1698673399.494,False,157.8,73.8,-76.4
1698673399.51,False,158.60000000000002,73.5,-77.2
1698673399.526,False,158.9,73.5,-77.60000000000001
1698673399.543,False,159.4,73.4,-78.2
1698673399.559,False,159.8,73.4,-78.60000000000001
1698673399.576,False,160.0,73.4,-78.80000000000001
1698673399.593,False,160.70000000000002,73.5,-79.5
1698673399.609,False,161.5,73.5,-80.4
1698673399.626,False,162.3,73.5,-81.2
1698673399.643,False,162.60000000000002,73.60000000000001,-81.5
1698673399.659,False,162.8,73.60000000000001,-81.80000000000001
1698673399.676,False,163.10000000000002,73.7,-82.0
1698673399.693,False,163.20000000000002,73.9,-82.0
1698673399.727,False,163.0,73.9,-81.80000000000001
1698673399.743,False,162.60000000000002,73.9,-81.5
1698673399.759,False,162.10000000000002,74.0,-81.10000000000001
1698673399.777,False,161.9,74.0,-80.80000000000001
1698673399.795,False,161.20000000000002,74.2,-80.2
1698673399.813,False,160.5,74.4,-79.60000000000001
1698673399.828,False,160.20000000000002,74.5,-79.30000000000001
1698673399.842,False,159.60000000000002,74.7,-78.80000000000001
1698673399.86,False,159.0,74.8,-78.30000000000001
1698673399.877,False,158.8,74.9,-78.10000000000001
1698673399.893,False,158.3,75.0,-77.60000000000001
1698673399.91,False,157.9,75.2,-77.30000000000001
1698673399.926,False,157.70000000000002,75.2,-77.10000000000001
1698673399.943,False,157.4,75.3,-76.9
1698673399.959,False,157.20000000000002,75.3,-76.7
1698673399.992,False,156.70000000000002,75.3,-76.3
1698673400.009,False,156.5,75.4,-76.10000000000001
1698673400.026,False,156.5,75.4,-76.0
1698673400.076,False,156.4,75.5,-75.8
1698673400.093,False,156.4,75.60000000000001,-75.8
1698673400.126,False,156.8,75.7,-76.2
1698673400.143,False,157.0,75.7,-76.3
1698673400.159,False,157.3,75.8,-76.60000000000001
1698673400.176,False,157.70000000000002,75.8,-77.0
1698673400.193,False,157.9,75.8,-77.2
1698673400.21,False,158.3,75.9,-77.5
1698673400.226,False,158.70000000000002,75.9,-77.80000000000001
1698673400.276,False,158.70000000000002,75.9,-77.7
1698673400.293,False,158.4,75.9,-77.30000000000001
1698673400.309,False,157.8,75.9,-76.7
1698673400.326,False,157.5,75.8,-76.4
1698673400.343,False,157.0,75.8,-75.7
1698673400.359,False,156.5,75.7,-75.10000000000001
1698673400.376,False,156.0,75.7,-74.5
1698673400.393,False,155.8,75.7,-74.2
1698673400.426,False,155.70000000000002,75.8,-74.0
1698673400.459,False,155.70000000000002,75.8,-73.8
1698673400.476,False,156.0,75.9,-73.9
1698673400.492,False,156.3,75.9,-74.10000000000001
1698673400.51,False,157.0,75.9,-74.60000000000001
1698673400.526,False,157.8,75.8,-75.2
1698673400.542,False,158.20000000000002,75.8,-75.5
1698673400.559,False,158.70000000000002,75.9,-75.9
1698673400.576,False,159.0,76.0,-76.0
1698673400.593,False,159.10000000000002,76.10000000000001,-76.10000000000001
1698673400.611,False,159.10000000000002,76.2,-75.9
1698673400.626,False,158.8,76.3,-75.5
1698673400.642,False,158.4,76.4,-75.0
1698673400.659,False,158.10000000000002,76.4,-74.7
1698673400.676,False,157.60000000000002,76.5,-74.2
1698673400.693,False,157.3,76.5,-73.9
1698673400.711,False,157.0,76.7,-73.5
1698673400.726,False,156.9,76.9,-73.5
1698673400.742,False,157.10000000000002,77.0,-73.60000000000001
1698673400.76,False,157.60000000000002,77.2,-74.3
1698673400.776,False,158.60000000000002,77.4,-75.2
1698673400.793,False,159.3,77.60000000000001,-76.0
1698673400.81,False,159.70000000000002,77.80000000000001,-76.4
1698673400.826,False,160.4,78.0,-77.0
1698673400.843,False,160.8,78.10000000000001,-77.5
1698673400.86,False,161.4,78.4,-78.2
1698673400.876,False,161.60000000000002,78.5,-78.60000000000001
1698673400.892,False,161.3,78.80000000000001,-78.2
1698673400.91,False,160.4,79.0,-77.2
1698673400.926,False,159.8,79.10000000000001,-76.60000000000001
1698673400.943,False,159.10000000000002,79.10000000000001,-76.0
1698673400.959,False,157.8,79.2,-74.8
1698673400.976,False,156.10000000000002,79.2,-73.2
1698673400.993,False,155.20000000000002,79.30000000000001,-72.3
1698673401.01,False,153.3,79.4,-70.2
1698673401.027,False,151.6,79.60000000000001,-68.4
1698673401.043,False,151.0,79.7,-67.7
1698673401.059,False,150.20000000000002,79.7,-67.0
1698673401.076,False,150.1,79.7,-66.8
1698673401.093,False,150.20000000000002,79.7,-66.9
1698673401.109,False,150.70000000000002,79.80000000000001,-67.60000000000001
1698673401.129,False,151.0,79.80000000000001,-67.9
1698673401.142,False,151.8,80.10000000000001,-68.7
1698673401.159,False,152.3,80.2,-69.10000000000001
1698673401.176,False,152.6,80.30000000000001,-69.5
1698673401.192,False,153.4,80.5,-70.4
1698673401.226,False,152.8,80.60000000000001,-69.9
1698673401.243,False,151.70000000000002,80.7,-68.8
1698673401.259,False,150.9,80.7,-68.10000000000001
1698673401.276,False,149.3,80.80000000000001,-66.5
1698673401.292,False,147.6,80.80000000000001,-64.9
1698673401.311,False,146.8,80.80000000000001,-64.10000000000001
1698673401.326,False,145.8,80.80000000000001,-63.0
1698673401.343,False,145.5,80.9,-62.7
1698673401.359,False,145.70000000000002,81.0,-62.900000000000006
1698673401.376,False,146.8,81.10000000000001,-63.800000000000004
1698673401.393,False,148.4,81.10000000000001,-65.2
1698673401.41,False,150.0,81.10000000000001,-66.60000000000001
1698673401.426,False,150.6,81.10000000000001,-67.2
1698673401.443,False,151.4,81.0,-67.8
1698673401.476,False,150.8,80.9,-67.0
1698673401.492,False,149.3,80.9,-65.5
1698673401.51,False,148.4,80.9,-64.5
1698673401.525,False,146.5,80.9,-62.6
1698673401.542,False,145.0,80.80000000000001,-61.1
1698673401.559,False,144.5,80.7,-60.5
1698673401.577,False,144.0,80.7,-59.900000000000006
1698673401.594,False,144.20000000000002,80.80000000000001,-60.0
1698673401.609,False,144.9,80.80000000000001,-60.7
1698673401.626,False,145.3,80.9,-61.0
1698673401.643,False,146.1,80.9,-61.6
1698673401.659,False,146.4,80.9,-61.800000000000004
1698673401.676,False,146.4,80.9,-61.7
1698673401.693,False,146.1,80.80000000000001,-61.300000000000004
1698673401.71,False,145.4,80.7,-60.5
1698673401.728,False,144.9,80.7,-60.0
1698673401.743,False,143.8,80.5,-58.800000000000004
1698673401.759,False,143.3,80.5,-58.2
1698673401.776,False,142.3,80.30000000000001,-57.1
1698673401.793,False,141.5,80.2,-56.1
1698673401.81,False,141.1,80.2,-55.6
1698673401.826,False,141.1,80.10000000000001,-55.5
1698673401.843,False,141.6,80.10000000000001,-56.0
1698673401.859,False,143.0,80.2,-57.300000000000004
1698673401.876,False,143.9,80.30000000000001,-58.2
1698673401.893,False,145.9,80.4,-60.2
1698673401.909,False,147.9,80.5,-62.1
1698673401.926,False,148.6,80.60000000000001,-62.800000000000004
1698673401.942,False,149.4,80.7,-63.6
1698673401.959,False,149.20000000000002,80.7,-63.300000000000004
1698673401.993,False,147.1,80.60000000000001,-61.1
1698673402.009,False,145.1,80.4,-59.1
1698673402.026,False,144.1,80.30000000000001,-58.1
1698673402.042,False,142.3,80.0,-56.2
1698673402.059,False,140.6,79.80000000000001,-54.6
1698673402.076,False,140.0,79.7,-54.0
1698673402.093,False,139.0,79.5,-53.0
1698673402.11,False,138.70000000000002,79.5,-52.7
1698673402.126,False,138.8,79.5,-52.800000000000004
1698673402.143,False,139.8,79.60000000000001,-53.800000000000004
1698673402.159,False,141.6,79.60000000000001,-55.7
1698673402.176,False,142.8,79.60000000000001,-56.900000000000006
1698673402.194,False,145.20000000000002,79.7,-59.400000000000006
1698673402.209,False,147.5,79.80000000000001,-61.7
1698673402.226,False,148.5,79.80000000000001,-62.800000000000004
1698673402.242,False,150.1,79.9,-64.4
1698673402.259,False,151.0,79.9,-65.2
1698673402.277,False,151.20000000000002,79.9,-65.3
1698673402.293,False,150.9,79.80000000000001,-64.9
1698673402.31,False,150.5,79.7,-64.5
1698673402.326,False,149.4,79.5,-63.300000000000004
1698673402.342,False,147.9,79.30000000000001,-61.7
1698673402.359,False,147.1,79.2,-60.900000000000006
1698673402.376,False,145.6,79.0,-59.400000000000006
1698673402.393,False,144.70000000000002,78.9,-58.400000000000006
1698673402.41,False,144.3,78.9,-57.800000000000004
1698673402.426,False,144.6,78.80000000000001,-58.1
1698673402.442,False,145.0,78.80000000000001,-58.5
1698673402.459,False,146.1,78.80000000000001,-59.7
1698673402.476,False,146.9,78.80000000000001,-60.5
1698673402.494,False,148.6,78.9,-62.300000000000004
1698673402.51,False,150.5,79.10000000000001,-64.3
1698673402.526,False,151.5,79.10000000000001,-65.4
1698673402.543,False,153.20000000000002,79.30000000000001,-67.10000000000001
1698673402.559,False,154.20000000000002,79.30000000000001,-68.2
1698673402.576,False,154.3,79.30000000000001,-68.4
1698673402.593,False,153.8,79.2,-67.9
1698673402.609,False,152.3,79.10000000000001,-66.4
1698673402.626,False,150.20000000000002,79.0,-64.4
1698673402.643,False,149.20000000000002,78.9,-63.400000000000006
1698673402.66,False,147.20000000000002,78.80000000000001,-61.400000000000006
1698673402.676,False,145.70000000000002,78.7,-59.800000000000004
1698673402.693,False,145.1,78.7,-59.300000000000004
1698673402.713,False,144.70000000000002,78.7,-58.800000000000004
1698673402.726,False,144.9,78.7,-59.0
1698673402.743,False,145.3,78.80000000000001,-59.300000000000004
1698673402.76,False,146.20000000000002,78.9,-60.2
1698673402.777,False,146.70000000000002,79.0,-60.6
1698673402.793,False,147.6,79.10000000000001,-61.6
1698673402.809,False,148.20000000000002,79.2,-62.1
1698673402.826,False,148.4,79.30000000000001,-62.2
1698673402.859,False,147.5,79.30000000000001,-61.5
1698673402.876,False,147.0,79.30000000000001,-60.900000000000006
1698673402.893,False,145.8,79.2,-59.7
1698673402.909,False,144.6,79.2,-58.6
1698673402.926,False,143.5,79.10000000000001,-57.5
1698673402.943,False,143.0,79.10000000000001,-57.1
1698673402.959,False,142.5,79.10000000000001,-56.6
1698673402.993,False,142.6,79.10000000000001,-56.800000000000004
1698673403.009,False,143.1,79.2,-57.400000000000006
1698673403.026,False,143.9,79.30000000000001,-58.2
1698673403.042,False,144.20000000000002,79.30000000000001,-58.6
1698673403.059,False,145.1,79.4,-59.5
1698673403.076,False,146.1,79.5,-60.5
1698673403.093,False,146.9,79.5,-61.400000000000006
1698673403.11,False,147.1,79.5,-61.6
1698673403.126,False,147.20000000000002,79.5,-61.7
1698673403.142,False,146.9,79.5,-61.5
1698673403.159,False,146.6,79.5,-61.2
1698673403.176,False,145.8,79.5,-60.5
1698673403.193,False,145.5,79.5,-60.300000000000004
1698673403.209,False,145.1,79.5,-59.900000000000006
1698673403.226,False,145.0,79.5,-59.800000000000004
1698673403.259,False,145.1,79.5,-59.900000000000006
1698673403.276,False,145.5,79.60000000000001,-60.300000000000004
1698673403.292,False,146.1,79.7,-60.900000000000006
1698673403.309,False,146.4,79.7,-61.300000000000004
1698673403.325,False,147.1,79.80000000000001,-62.0
1698673403.342,False,147.70000000000002,79.9,-62.6
1698673403.359,False,148.1,79.9,-63.0
1698673403.375,False,148.6,79.9,-63.5
1698673403.392,False,149.0,79.9,-63.800000000000004
1698673403.409,False,149.1,79.80000000000001,-63.900000000000006
1698673403.442,False,148.9,79.80000000000001,-63.7
1698673403.459,False,148.8,79.7,-63.6
1698673403.476,False,148.5,79.7,-63.2
1698673403.492,False,148.1,79.60000000000001,-62.900000000000006
1698673403.509,False,147.9,79.60000000000001,-62.7
1698673403.526,False,147.70000000000002,79.5,-62.5
1698673403.543,False,147.8,79.5,-62.6
1698673403.559,False,147.9,79.5,-62.7
1698673403.576,False,148.5,79.4,-63.2
1698673403.593,False,149.3,79.4,-64.10000000000001
1698673403.61,False,149.8,79.4,-64.5
1698673403.626,False,150.9,79.4,-65.60000000000001
1698673403.642,False,151.9,79.5,-66.5
1698673403.66,False,152.3,79.5,-66.9
1698673403.676,False,152.9,79.5,-67.4
1698673403.726,False,152.5,79.4,-66.8
1698673403.742,False,151.6,79.30000000000001,-66.0
1698673403.759,False,150.8,79.2,-65.0
1698673403.776,False,150.3,79.2,-64.60000000000001
1698673403.793,False,149.5,79.10000000000001,-63.7
1698673403.809,False,148.8,79.10000000000001,-63.0
1698673403.826,False,148.5,79.10000000000001,-62.800000000000004
1698673403.842,False,148.4,79.10000000000001,-62.7
1698673403.859,False,148.6,79.10000000000001,-62.900000000000006
1698673403.876,False,148.8,79.10000000000001,-63.2
1698673403.892,False,149.6,79.2,-63.900000000000006
1698673403.91,False,150.4,79.30000000000001,-64.8
1698673403.927,False,150.8,79.30000000000001,-65.3
1698673403.942,False,151.6,79.4,-66.0
1698673403.96,False,151.9,79.4,-66.3
1698673403.976,False,152.20000000000002,79.4,-66.7
1698673403.994,False,152.0,79.30000000000001,-66.4
1698673404.01,False,151.70000000000002,79.30000000000001,-66.0
1698673404.026,False,151.0,79.30000000000001,-65.3
1698673404.043,False,150.0,79.30000000000001,-64.3
1698673404.059,False,149.1,79.2,-63.400000000000006
1698673404.076,False,148.6,79.2,-62.900000000000006
1698673404.093,False,148.0,79.2,-62.300000000000004
1698673404.109,False,147.70000000000002,79.2,-62.0
1698673404.126,False,147.6,79.2,-61.900000000000006
1698673404.144,False,147.70000000000002,79.2,-62.0
1698673404.159,False,147.9,79.30000000000001,-62.1
1698673404.176,False,148.4,79.30000000000001,-62.6
1698673404.192,False,149.0,79.4,-63.2
1698673404.21,False,149.5,79.4,-63.800000000000004
1698673404.226,False,150.0,79.5,-64.2
1698673404.295,False,149.8,79.4,-64.10000000000001
1698673404.309,False,149.3,79.30000000000001,-63.6
1698673404.326,False,149.0,79.30000000000001,-63.400000000000006
1698673404.342,False,148.4,79.2,-62.800000000000004
1698673404.36,False,148.20000000000002,79.2,-62.6
1698673404.376,False,147.70000000000002,79.2,-62.2
1698673404.394,False,147.5,79.2,-62.0
1698673404.409,False,147.5,79.10000000000001,-62.1
1698673404.426,False,147.70000000000002,79.10000000000001,-62.2
1698673404.443,False,148.0,79.2,-62.7
1698673404.459,False,148.5,79.2,-63.2
1698673404.476,False,148.8,79.2,-63.5
1698673404.493,False,149.4,79.2,-64.2
1698673404.509,False,150.1,79.2,-64.8
1698673404.526,False,150.5,79.2,-65.2
1698673404.544,False,150.6,79.30000000000001,-65.3
1698673404.559,False,150.70000000000002,79.30000000000001,-65.3
1698673404.578,False,150.5,79.30000000000001,-65.10000000000001
1698673404.593,False,150.4,79.30000000000001,-65.0
1698673404.609,False,150.20000000000002,79.30000000000001,-64.8
1698673404.627,False,150.1,79.30000000000001,-64.7
1698673404.71,False,150.20000000000002,79.4,-64.9
1698673404.726,False,150.3,79.4,-65.10000000000001
1698673404.76,False,150.6,79.4,-65.3
1698673404.776,False,150.70000000000002,79.4,-65.4
1698673404.859,False,150.9,79.4,-65.60000000000001
1698673404.892,False,151.1,79.4,-65.8
1698673404.909,False,151.3,79.4,-66.0
1698673404.926,False,151.4,79.4,-66.10000000000001
1698673404.943,False,151.6,79.4,-66.3
1698673404.959,False,151.70000000000002,79.4,-66.4
1698673404.975,False,151.9,79.4,-66.60000000000001
1698673405.126,False,152.1,79.4,-66.8
1698673405.159,False,152.20000000000002,79.4,-67.0
1698673405.176,False,152.5,79.4,-67.2
1698673405.209,False,152.9,79.30000000000001,-67.60000000000001
1698673405.226,False,153.1,79.30000000000001,-67.8
1698673405.242,False,153.20000000000002,79.30000000000001,-67.9
1698673405.259,False,153.4,79.30000000000001,-68.10000000000001
1698673405.293,False,153.60000000000002,79.4,-68.2
1698673405.326,False,153.5,79.4,-68.2
1698673405.476,False,153.60000000000002,79.30000000000001,-68.2
1698673405.512,False,153.70000000000002,79.30000000000001,-68.4
1698673405.543,False,153.70000000000002,79.30000000000001,-68.3
1698673405.595,False,153.5,79.30000000000001,-68.10000000000001
1698673405.626,False,153.4,79.30000000000001,-68.0
1698673405.776,False,153.5,79.30000000000001,-68.10000000000001
1698673405.826,False,153.5,79.4,-68.0
1698673405.894,False,153.3,79.4,-67.9
1698673405.976,False,153.5,79.4,-68.2
1698673405.995,False,153.70000000000002,79.4,-68.5
1698673406.009,False,153.9,79.5,-68.60000000000001
1698673406.028,False,154.10000000000002,79.5,-68.8
1698673406.043,False,154.3,79.5,-69.0
1698673406.059,False,154.4,79.5,-69.2
1698673406.143,False,154.60000000000002,79.5,-69.3
1698673406.159,False,154.60000000000002,79.60000000000001,-69.3
1698673406.193,False,154.4,79.60000000000001,-69.10000000000001
1698673406.21,False,154.4,79.60000000000001,-69.0
1698673406.259,False,154.10000000000002,79.7,-68.8
1698673406.277,False,153.8,79.7,-68.60000000000001
1698673406.294,False,153.60000000000002,79.80000000000001,-68.3
1698673406.311,False,152.70000000000002,79.80000000000001,-67.60000000000001
1698673406.326,False,152.20000000000002,79.80000000000001,-67.10000000000001
1698673406.344,False,152.0,79.80000000000001,-66.9
1698673406.359,False,151.8,79.80000000000001,-66.7
1698673406.376,False,151.5,79.80000000000001,-66.5
1698673406.395,False,151.4,79.80000000000001,-66.3
1698673406.476,False,151.6,79.9,-66.4
1698673406.492,False,151.8,79.9,-66.5
1698673406.542,False,152.1,80.0,-66.60000000000001
1698673406.559,False,152.3,80.0,-66.8
1698673406.576,False,152.4,80.0,-66.9
1698673406.593,False,152.6,80.0,-67.10000000000001
1698673406.609,False,152.6,80.10000000000001,-67.2
1698673406.659,False,152.4,80.0,-67.0
1698673406.676,False,152.20000000000002,80.0,-66.8
1698673406.693,False,151.8,80.0,-66.60000000000001
1698673406.71,False,151.5,79.9,-66.2
1698673406.726,False,151.20000000000002,79.9,-66.0
1698673406.742,False,150.8,79.9,-65.60000000000001
1698673406.759,False,150.4,79.80000000000001,-65.2
1698673406.776,False,150.20000000000002,79.7,-65.10000000000001
1698673406.793,False,149.9,79.7,-64.8
1698673406.826,False,150.0,79.7,-65.0
1698673406.843,False,150.1,79.7,-65.10000000000001
1698673406.876,False,150.1,79.80000000000001,-65.3
1698673406.893,False,150.4,79.80000000000001,-65.60000000000001
1698673406.91,False,151.0,79.80000000000001,-66.10000000000001
1698673406.926,False,151.20000000000002,79.80000000000001,-66.4
1698673406.942,False,152.0,79.80000000000001,-67.10000000000001
1698673406.959,False,152.9,79.80000000000001,-67.9
1698673406.976,False,153.3,79.80000000000001,-68.3
1698673406.993,False,154.10000000000002,79.7,-69.0
1698673407.011,False,154.9,79.7,-69.8
1698673407.026,False,155.3,79.60000000000001,-70.2
1698673407.044,False,155.4,79.5,-70.3
1698673407.076,False,155.10000000000002,79.30000000000001,-69.9
1698673407.093,False,155.0,79.30000000000001,-69.8
1698673407.11,False,154.8,79.10000000000001,-69.7
1698673407.126,False,154.70000000000002,79.0,-69.60000000000001
1698673407.159,False,155.0,78.80000000000001,-69.9
1698673407.176,False,155.0,78.7,-70.0
1698673407.193,False,155.60000000000002,78.5,-70.60000000000001
1698673407.21,False,156.70000000000002,78.30000000000001,-71.60000000000001
1698673407.226,False,157.9,78.10000000000001,-72.7
1698673407.243,False,158.60000000000002,78.0,-73.3
1698673407.26,False,159.0,77.9,-73.7
1698673407.276,False,160.10000000000002,77.5,-74.9
1698673407.292,False,160.3,77.4,-75.2
1698673407.31,False,160.5,77.10000000000001,-75.5
1698673407.326,False,160.4,76.9,-75.4
1698673407.343,False,160.3,76.80000000000001,-75.2
1698673407.361,False,159.9,76.5,-74.9
1698673407.376,False,159.8,76.4,-74.8
1698673407.393,False,159.8,76.2,-74.9
1698673407.41,False,159.8,76.0,-75.0
1698673407.426,False,159.8,75.9,-75.10000000000001
1698673407.443,False,159.70000000000002,75.7,-75.2
1698673407.459,False,159.4,75.5,-75.0
1698673407.476,False,159.20000000000002,75.4,-74.9
1698673407.492,False,158.8,75.10000000000001,-74.7
1698673407.509,False,158.3,74.8,-74.60000000000001
