timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698674682.145,False,0.0,0,0,3879
1698674683.093,False,0.0,0,0,3879
1698674684.17,False,0.0,0,0,3879
1698674685.072,False,0.0,0,0,3879
1698674686.104,False,0.0,0,0,3879
1698674687.054,False,0.0,0,0,3879
1698674688.088,False,0.0,0,0,3879
1698674689.03,False,0.0,0,0,3879
1698674690.25,False,0.0,0,0,3879
1698674691.236,False,1.27734375,20,44,3879
1698674692.228,False,1.6640625,40,64,3888
1698674693.216,False,2.0546875,59,128,3904
1698674694.706,False,2.19140625,79,223,3942
1698674695.204,False,2.19140625,77,201,3960
1698674696.69,False,2.13671875,76,179,3979
1698674701.144,False,0.0,0,0,3979
1698674702.132,False,0.44140625,12,168,4019
1698674703.62,False,0.5546875,24,168,4030
1698674704.107,False,0.5546875,24,168,4030
1698674705.1,False,0.0,0,0,4030
1698674706.584,False,0.0,0,0,4030
