timestamp,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698920021.064,16,0.0,0.1,0.1,-0.6000000000000001,9.3,2.3000000000000003,-0.30000000000000004,0.4,-0.2
1698920021.081,16,0.0,0.0,0.1,-0.6000000000000001,9.3,2.3000000000000003,-0.2,0.0,-0.5
1698920021.097,16,0.0,0.0,0.1,-0.6000000000000001,9.200000000000001,2.3000000000000003,0.4,-0.4,-0.5
1698920021.114,16,0.0,0.0,0.1,-0.6000000000000001,9.3,2.3000000000000003,1.6,-1.3,-0.8
1698920021.131,16,0.0,0.0,0.1,-0.6000000000000001,9.200000000000001,2.3000000000000003,2.3000000000000003,-1.8,-0.8
1698920021.149,16,0.0,0.0,0.1,-0.6000000000000001,9.3,2.3000000000000003,3.2,-1.6,-0.4
1698920021.164,16,0.0,0.1,0.1,-0.6000000000000001,9.3,2.3000000000000003,3.0000000000000004,-1.4,-0.1
1698920021.181,16,0.0,0.0,0.1,-0.6000000000000001,9.4,2.3000000000000003,2.8,-2.1999999999999997,-0.2
1698920021.198,16,0.0,-0.1,0.0,-0.6000000000000001,9.200000000000001,2.2,3.5,-3.8,-0.5
1698920021.214,16,0.2,0.30000000000000004,-0.1,-0.4,9.600000000000001,2.1,4.6000000000000005,-5.6,-1.2000000000000002
1698920021.231,16,-0.1,0.0,0.1,-0.7000000000000001,9.3,2.3000000000000003,2.8,-6.4,-2.4000000000000004
1698920021.248,16,-0.1,0.0,0.0,-0.7000000000000001,9.3,2.2,0.8,-8.200000000000001,-1.7
1698920021.264,16,0.0,-0.2,0.0,-0.7000000000000001,9.4,2.2,1.6,-3.2,-1.9
1698920021.282,16,0.1,-0.30000000000000004,0.1,-0.5,9.0,2.3000000000000003,2.3000000000000003,-1.9,0.0
1698920021.298,16,0.1,0.2,-0.1,-0.4,9.5,2.1,5.8,-5.500000000000001,1.6
1698920021.315,16,-0.1,-0.8,0.0,-0.5,8.9,2.2,6.1000000000000005,-8.0,0.6000000000000001
