timestamp,magnRawx,magnRawy,magnRawz
1698920120.052,4,759,496
1698920120.132,-6,767,507
1698920120.212,-8,766,494
1698920120.292,-21,778,493
1698920120.372,9,761,499
1698920120.452,9,796,477
1698920120.532,8,812,467
1698920120.614,23,797,471
1698920120.692,16,802,474
1698920120.775,16,796,469
1698920120.852,13,810,478
1698920120.933,6,814,464
1698920121.012,11,795,470
1698920121.092,13,797,475
1698920121.172,17,806,464
1698920121.252,20,803,475
1698920121.332,3,793,466
1698920121.412,19,797,469
1698920121.492,11,801,467
1698920121.572,3,809,466
1698920121.652,10,794,469
1698920121.732,7,806,456
1698920121.814,7,803,472
1698920121.892,13,806,465
1698920121.972,11,809,466
1698920122.052,7,797,471
1698920122.132,17,803,468
1698920122.212,4,811,464
1698920122.293,14,794,467
1698920122.372,7,799,471
1698920122.455,10,808,467
1698920122.532,14,818,467
1698920122.612,2,809,457
1698920122.692,1,802,464
1698920122.772,12,798,472
1698920122.855,3,806,467
1698920122.932,12,789,472
1698920123.012,0,797,465
1698920123.092,10,797,465
1698920123.172,11,795,464
1698920123.252,6,793,475
1698920123.334,7,799,474
1698920123.412,16,801,461
1698920123.494,22,799,460
1698920123.572,5,808,457
1698920123.652,9,807,478
1698920123.732,5,812,466
1698920123.812,-23,801,456
1698920123.892,-22,792,488
1698920123.972,-29,782,476
1698920124.052,-27,788,491
1698920124.132,-28,776,482
1698920124.212,-11,795,477
1698920124.292,9,796,476
1698920124.373,36,810,449
1698920124.451,102,820,428
1698920124.534,160,824,389
1698920124.611,217,793,376
1698920124.691,252,754,352
1698920124.772,276,742,358
1698920124.851,280,736,368
1698920124.931,288,725,360
1698920125.012,280,717,342
1698920125.091,297,695,342
1698920125.174,302,695,348
1698920125.252,304,704,340
1698920125.331,301,694,335
1698920125.414,303,688,341
1698920125.492,292,715,367
1698920125.574,274,741,405
1698920125.651,225,750,429
1698920125.732,184,792,433
1698920125.811,142,804,439
1698920125.891,107,805,436
1698920125.972,123,814,430
1698920126.052,174,793,419
1698920126.131,243,762,402
1698920126.214,280,722,376
1698920126.291,313,671,342
1698920126.371,324,647,347
1698920126.451,320,638,343
1698920126.531,315,637,341
1698920126.614,303,660,338
1698920126.691,290,691,354
1698920126.771,258,733,387
1698920126.851,230,744,405
1698920126.932,185,783,423
1698920127.011,138,800,422
1698920127.092,102,807,439
1698920127.171,107,797,447
1698920127.254,128,775,458
1698920127.331,218,762,427
1698920127.411,273,705,405
1698920127.491,313,662,404
1698920127.571,310,662,409
1698920127.654,291,645,425
1698920127.731,288,624,437
1698920127.811,281,598,448
1698920127.891,292,577,455
1698920127.971,275,558,466
1698920128.051,268,561,446
1698920128.133,276,556,456
1698920128.211,273,555,456
1698920128.293,280,533,446
1698920128.371,264,519,444
1698920128.451,286,514,448
1698920128.531,270,522,446
1698920128.611,265,546,456
1698920128.691,267,564,445
1698920128.771,274,578,455
1698920128.851,281,565,452
1698920128.931,292,531,445
1698920129.012,286,481,431
1698920129.091,269,445,411
1698920129.173,263,418,427
1698920129.251,255,409,413
1698920129.334,258,414,399
1698920129.411,261,408,399
1698920129.491,270,431,395
1698920129.571,289,449,408
1698920129.651,273,471,432
1698920129.731,282,502,456
1698920129.811,264,573,471
1698920129.891,269,589,475
1698920129.971,275,595,457
1698920130.051,290,561,436
1698920130.131,305,503,409
1698920130.211,269,426,379
1698920130.291,265,402,390
1698920130.373,244,396,413
1698920130.45,244,405,430
1698920130.531,258,413,428
1698920130.611,261,397,417
1698920130.691,247,389,390
1698920130.771,263,391,385
1698920130.851,286,423,406
1698920130.93,294,489,463
1698920131.014,275,570,476
1698920131.09,285,607,470
1698920131.17,289,593,468
1698920131.251,300,551,453
1698920131.33,332,517,413
1698920131.413,327,484,378
1698920131.491,309,454,344
1698920131.57,301,455,324
1698920131.65,298,471,311
1698920131.731,293,508,301
1698920131.811,299,543,294
1698920131.892,288,590,293
1698920131.971,301,625,293
1698920132.053,287,650,300
1698920132.13,270,680,293
1698920132.21,246,710,301
1698920132.29,235,739,302
1698920132.37,211,761,317
1698920132.453,206,783,329
1698920132.53,186,804,337
1698920132.611,184,812,364
1698920132.691,170,817,369
1698920132.77,146,827,381
1698920132.85,119,825,403
1698920132.932,103,838,423
1698920133.01,76,828,433
1698920133.093,64,820,449
1698920133.171,43,815,446
1698920133.25,42,820,440
1698920133.33,30,820,453
1698920133.41,45,822,456
1698920133.49,44,824,454
1698920133.57,41,811,456
1698920133.651,61,801,470
1698920133.73,51,811,462
1698920133.81,67,818,459
1698920133.89,58,812,468
1698920133.972,67,818,465
1698920134.05,68,814,472
1698920134.133,71,812,461
1698920134.21,62,805,452
1698920134.29,76,820,466
1698920134.371,66,799,460
1698920134.45,74,806,457
1698920134.53,83,807,473
1698920134.61,64,797,466
1698920134.69,75,798,470
1698920134.77,66,806,465
1698920134.85,79,802,474
1698920134.93,78,807,462
1698920135.012,68,803,462
1698920135.09,67,816,454
1698920135.172,70,808,455
1698920135.25,56,827,452
1698920135.33,66,831,451
1698920135.41,54,804,455
1698920135.49,54,814,450
1698920135.571,60,822,458
1698920135.65,56,812,460
1698920135.73,58,817,454
1698920135.812,62,816,445
1698920135.89,68,814,463
1698920135.97,51,818,445
1698920136.05,54,810,457
1698920136.13,54,817,453
1698920136.212,60,823,463
1698920136.29,58,817,457
