timestamp,accGGx,accGGy,accGGz
1698920729.035,-0.59,0.313,-0.719
1698920729.115,-0.592,0.313,-0.721
1698920729.195,-0.596,0.313,-0.721
1698920729.275,-0.594,0.313,-0.721
1698920729.355,-0.591,0.316,-0.72
1698920729.435,-0.589,0.318,-0.718
1698920729.516,-0.589,0.32,-0.721
1698920729.596,-0.593,0.322,-0.727
1698920729.677,-0.592,0.31,-0.743
1698920729.755,-0.591,0.302,-0.748
1698920729.835,-0.59,0.309,-0.735
1698920729.915,-0.59,0.311,-0.728
1698920729.995,-0.592,0.314,-0.71
1698920730.075,-0.587,0.323,-0.703
1698920730.155,-0.591,0.326,-0.717
1698920730.235,-0.593,0.32,-0.722
1698920730.315,-0.589,0.318,-0.717
1698920730.395,-0.59,0.322,-0.724
1698920730.475,-0.592,0.319,-0.725
1698920730.555,-0.59,0.308,-0.721
1698920730.635,-0.587,0.305,-0.722
1698920730.714,-0.58,0.311,-0.726
1698920730.794,-0.571,0.314,-0.724
1698920730.874,-0.574,0.314,-0.723
1698920730.955,-0.573,0.33,-0.717
1698920731.035,-0.573,0.338,-0.719
1698920731.114,-0.581,0.334,-0.729
1698920731.194,-0.579,0.334,-0.729
1698920731.275,-0.578,0.33,-0.73
1698920731.357,-0.582,0.322,-0.727
1698920731.434,-0.584,0.315,-0.723
1698920731.514,-0.581,0.31,-0.718
1698920731.594,-0.577,0.312,-0.712
1698920731.674,-0.577,0.321,-0.716
1698920731.754,-0.577,0.326,-0.727
1698920731.834,-0.579,0.325,-0.734
1698920731.914,-0.584,0.328,-0.733
1698920731.994,-0.586,0.335,-0.73
1698920732.074,-0.584,0.328,-0.736
1698920732.154,-0.584,0.321,-0.739
1698920732.235,-0.579,0.338,-0.723
1698920732.314,-0.577,0.334,-0.71
1698920732.394,-0.591,0.293,-0.749
1698920732.474,-0.621,0.386,-0.784
1698920732.554,-0.695,0.881,-0.715
1698920732.634,-0.602,1.335,-0.527
1698920732.715,-0.316,1.296,-0.334
1698920732.796,-0.131,1.073,-0.25
1698920732.874,-0.067,0.849,-0.256
1698920732.957,-0.024,0.699,-0.308
1698920733.034,0.069,0.654,-0.384
1698920733.114,0.24,0.68,-0.429
1698920733.194,0.78,0.842,-0.15
1698920733.274,1.051,0.891,-0.03
1698920733.354,0.826,0.828,-0.192
1698920733.435,0.739,0.855,-0.178
1698920733.514,0.678,0.842,-0.173
1698920733.595,0.66,0.836,-0.217
1698920733.674,0.667,0.846,-0.224
1698920733.754,0.656,0.826,-0.184
1698920733.834,0.653,0.777,-0.169
1698920733.914,0.656,0.758,-0.165
1698920733.994,0.655,0.765,-0.159
1698920734.074,0.658,0.773,-0.161
1698920734.155,0.66,0.773,-0.171
1698920734.234,0.656,0.771,-0.173
1698920734.314,0.652,0.774,-0.178
1698920734.394,0.653,0.782,-0.187
1698920734.474,0.658,0.781,-0.19
1698920734.554,0.656,0.778,-0.188
1698920734.636,0.647,0.78,-0.187
1698920734.714,0.641,0.781,-0.186
1698920734.794,0.639,0.778,-0.188
1698920734.874,0.633,0.755,-0.217
1698920734.954,0.633,0.742,-0.225
1698920735.034,0.641,0.755,-0.204
1698920735.114,0.644,0.77,-0.2
1698920735.194,0.644,0.775,-0.203
1698920735.274,0.644,0.772,-0.2
1698920735.354,0.645,0.766,-0.197
1698920735.434,0.649,0.767,-0.199
1698920735.514,0.651,0.78,-0.194
1698920735.594,0.65,0.781,-0.195
1698920735.673,0.649,0.777,-0.203
1698920735.754,0.65,0.772,-0.217
1698920735.834,0.647,0.765,-0.221
1698920735.914,0.647,0.769,-0.217
1698920735.994,0.648,0.78,-0.204
1698920736.075,0.641,0.782,-0.204
1698920736.154,0.621,0.737,-0.212
1698920736.236,0.619,0.717,-0.206
1698920736.314,0.636,0.751,-0.196
1698920736.394,0.637,0.759,-0.202
1698920736.474,0.631,0.754,-0.218
1698920736.554,0.613,0.741,-0.229
1698920736.634,0.591,0.717,-0.221
1698920736.713,0.627,0.706,-0.25
1698920736.794,0.656,0.703,-0.23
1698920736.873,0.647,0.71,-0.116
1698920736.953,0.725,0.815,-0.004
1698920737.034,0.887,0.976,0.235
1698920737.113,0.979,1.081,0.506
1698920737.193,0.963,1.14,0.648
1698920737.274,0.93,1.126,0.669
1698920737.353,0.818,0.972,0.532
1698920737.434,0.603,0.711,0.38
1698920737.514,0.391,0.451,0.287
1698920737.593,0.269,0.377,-0.097
1698920737.676,0.353,0.508,-0.252
1698920737.754,0.396,0.513,-0.273
1698920737.833,0.319,0.405,-0.181
1698920737.915,0.287,0.368,0.002
1698920737.994,0.547,0.588,0.179
1698920738.073,0.799,0.84,0.276
1698920738.153,0.869,0.984,0.303
1698920738.233,0.867,1.015,0.274
1698920738.313,0.837,1.052,0.172
1698920738.393,0.819,1.021,0.09
1698920738.473,0.766,0.859,0.039
1698920738.553,0.753,0.827,0.001
1698920738.633,0.791,0.848,-0.021
1698920738.713,0.846,0.906,-0.029
1698920738.793,0.912,0.997,0.07
1698920738.873,0.96,1.094,0.241
1698920738.953,0.954,1.148,0.336
1698920739.033,0.907,1.119,0.354
1698920739.113,0.781,0.977,0.295
1698920739.194,0.572,0.714,0.204
1698920739.273,0.361,0.465,0.182
1698920739.354,0.269,0.355,0.088
1698920739.433,0.381,0.609,-0.217
1698920739.516,0.462,0.574,-0.197
1698920739.593,0.36,0.449,-0.076
1698920739.673,0.32,0.402,0.097
1698920739.753,0.435,0.549,0.2
1698920739.833,0.609,0.809,0.237
1698920739.913,0.771,1.037,0.281
1698920739.993,0.852,1.101,0.297
1698920740.073,0.869,1.13,0.187
1698920740.154,0.825,1.07,0.037
1698920740.233,0.734,0.887,-0.049
1698920740.313,0.716,0.816,-0.11
1698920740.393,0.724,0.798,-0.182
1698920740.473,0.687,0.751,-0.217
1698920740.553,0.659,0.736,-0.217
1698920740.633,0.767,0.898,-0.17
1698920740.713,0.934,1.081,0.01
1698920740.793,0.976,1.147,0.18
1698920740.873,0.952,1.174,0.232
1698920740.955,0.863,1.097,0.21
1698920741.114,0.426,0.589,0.068
1698920741.195,0.198,0.353,-0.088
1698920741.273,0.189,0.338,-0.266
1698920741.353,0.561,0.667,-0.203
1698920741.433,0.513,0.565,-0.153
1698920741.513,0.367,0.43,-0.046
1698920741.593,0.338,0.392,0.093
1698920741.673,0.45,0.563,0.214
1698920741.753,0.652,0.864,0.307
1698920741.833,0.814,1.062,0.372
1698920741.913,0.851,1.103,0.35
1698920741.993,0.839,1.12,0.207
1698920742.073,0.802,1.037,0.048
1698920742.153,0.748,0.879,-0.037
1698920742.233,0.736,0.823,-0.112
1698920742.313,0.728,0.79,-0.203
1698920742.393,0.69,0.719,-0.236
1698920742.473,0.677,0.69,-0.233
1698920742.553,0.779,0.786,-0.19
1698920742.634,0.924,0.942,0.002
1698920742.712,1.0,1.109,0.205
1698920742.796,0.997,1.199,0.265
1698920742.872,0.904,1.129,0.238
1698920742.952,0.712,0.947,0.167
1698920743.033,0.449,0.673,0.054
1698920743.113,0.239,0.414,0.001
1698920743.192,0.397,0.544,-0.13
1698920743.273,0.499,0.664,-0.158
1698920743.352,0.405,0.555,-0.13
1698920743.432,0.272,0.389,0.003
1698920743.513,0.301,0.396,0.123
1698920743.592,0.493,0.593,0.206
1698920743.672,0.709,0.851,0.307
1698920743.753,0.845,1.019,0.363
1698920743.832,0.865,1.057,0.325
1698920743.912,0.873,1.091,0.215
1698920743.993,0.809,0.958,0.117
1698920744.073,0.726,0.813,0.02
1698920744.152,0.713,0.817,-0.077
1698920744.233,0.701,0.789,-0.144
1698920744.312,0.704,0.78,-0.168
1698920744.392,0.805,0.902,-0.102
1698920744.475,0.929,1.041,0.088
1698920744.552,0.967,1.119,0.242
1698920744.632,0.958,1.151,0.274
1698920744.712,0.898,1.09,0.246
1698920744.792,0.749,0.934,0.166
1698920744.872,0.543,0.705,0.085
1698920744.952,0.357,0.486,0.06
1698920745.032,0.274,0.36,0.01
1698920745.112,0.416,0.567,-0.237
1698920745.192,0.379,0.528,-0.163
1698920745.272,0.28,0.37,-0.043
1698920745.352,0.3,0.397,0.092
1698920745.432,0.538,0.682,0.209
1698920745.512,0.802,0.964,0.307
1698920745.592,0.904,1.051,0.353
1698920745.672,0.907,1.045,0.265
1698920745.752,0.895,1.032,0.115
1698920745.832,0.815,0.924,0.022
1698920745.913,0.747,0.827,-0.059
1698920745.992,0.736,0.808,-0.146
1698920746.074,0.696,0.764,-0.188
1698920746.152,0.632,0.728,-0.203
1698920746.232,0.725,0.866,-0.124
1698920746.312,0.945,1.133,0.11
1698920746.392,1.004,1.212,0.308
1698920746.472,0.954,1.173,0.377
1698920746.552,0.851,1.09,0.32
1698920746.632,0.632,0.845,0.211
1698920746.712,0.399,0.563,0.137
1698920746.792,0.257,0.349,0.062
1698920746.872,0.272,0.332,-0.084
1698920746.952,0.408,0.507,-0.227
1698920747.032,0.347,0.385,-0.111
1698920747.112,0.259,0.261,-0.003
1698920747.192,0.374,0.366,0.075
1698920747.272,0.695,0.744,0.203
1698920747.352,0.955,1.057,0.329
1698920747.432,0.988,1.095,0.331
1698920747.512,0.951,1.091,0.228
1698920747.592,0.883,1.01,0.098
1698920747.672,0.775,0.867,-0.005
1698920747.754,0.724,0.83,-0.089
1698920747.832,0.716,0.824,-0.144
1698920747.912,0.689,0.778,-0.149
1698920747.992,0.756,0.806,-0.17
1698920748.072,0.926,0.962,-0.018
1698920748.152,1.007,1.115,0.258
1698920748.232,0.983,1.17,0.371
1698920748.312,0.929,1.143,0.372
1698920748.392,0.787,1.011,0.273
1698920748.472,0.536,0.742,0.155
1698920748.552,0.322,0.453,0.103
1698920748.631,0.261,0.308,0.01
1698920748.711,0.385,0.449,-0.143
1698920748.792,0.513,0.628,-0.234
1698920748.871,0.252,0.348,-0.101
1698920748.951,0.246,0.308,0.028
1698920749.032,0.471,0.553,0.181
1698920749.112,0.761,0.9,0.325
1698920749.192,0.903,1.088,0.401
1698920749.272,0.956,1.071,0.328
1698920749.354,0.978,1.03,0.191
1698920749.431,0.893,0.925,0.067
1698920749.512,0.78,0.791,-0.056
1698920749.591,0.744,0.792,-0.148
1698920749.671,0.73,0.778,-0.187
1698920749.752,0.696,0.741,-0.171
1698920749.831,0.765,0.831,-0.11
1698920749.911,0.948,1.01,0.084
1698920749.992,1.03,1.118,0.288
1698920750.072,0.988,1.152,0.363
1698920750.151,0.919,1.136,0.355
1698920750.231,0.764,0.978,0.252
1698920750.311,0.526,0.655,0.134
1698920750.391,0.313,0.346,0.071
1698920750.471,0.244,0.286,-0.029
1698920750.551,0.393,0.452,-0.191
1698920750.631,0.477,0.578,-0.228
1698920750.712,0.363,0.316,0.0
1698920750.791,0.308,0.337,0.142
1698920750.871,0.539,0.602,0.264
1698920750.951,0.769,0.936,0.383
1698920751.033,0.859,1.071,0.426
1698920751.111,0.874,1.13,0.312
1698920751.194,0.875,1.163,0.153
1698920751.271,0.787,1.007,0.048
1698920751.351,0.7,0.865,-0.053
1698920751.431,0.685,0.847,-0.142
1698920751.511,0.686,0.83,-0.187
1698920751.591,0.738,0.863,-0.189
1698920751.672,0.807,0.961,-0.084
1698920751.751,0.869,1.094,0.114
1698920751.831,0.891,1.168,0.216
1698920751.911,0.813,1.192,0.216
1698920751.992,0.701,1.162,0.174
1698920752.071,0.546,0.913,0.092
1698920752.151,0.36,0.587,0.033
1698920752.231,0.25,0.369,-0.022
1698920752.311,0.31,0.4,-0.156
1698920752.391,0.454,0.598,-0.249
1698920752.472,0.498,0.651,-0.208
1698920752.551,0.388,0.516,-0.106
1698920752.634,0.263,0.397,0.059
1698920752.711,0.54,0.695,0.168
1698920752.791,0.79,1.045,0.294
1698920752.874,0.882,1.152,0.266
1698920752.951,0.943,1.185,0.181
1698920753.031,0.921,1.069,0.095
1698920753.111,0.823,0.867,-0.015
1698920753.191,0.761,0.884,-0.122
1698920753.271,0.705,0.856,-0.177
1698920753.351,0.668,0.754,-0.177
1698920753.431,0.751,0.835,-0.124
1698920753.511,0.939,1.014,0.074
1698920753.591,1.023,1.119,0.279
1698920753.672,0.989,1.149,0.334
1698920753.751,0.907,1.073,0.35
1698920753.831,0.748,0.912,0.28
1698920753.911,0.572,0.715,0.153
1698920753.991,0.419,0.521,0.076
1698920754.071,0.299,0.382,0.019
1698920754.151,0.329,0.395,-0.067
1698920754.231,0.482,0.568,-0.162
1698920754.312,0.538,0.627,-0.158
1698920754.391,0.413,0.458,-0.062
1698920754.471,0.28,0.3,0.087
1698920754.551,0.639,0.7,0.265
1698920754.631,0.819,0.957,0.349
1698920754.711,0.881,1.059,0.333
1698920754.791,0.937,1.152,0.246
1698920754.913,0.871,1.086,0.125
1698920754.95,0.733,0.872,-0.004
1698920755.031,0.707,0.796,-0.084
1698920755.121,0.719,0.774,-0.125
1698920755.19,0.709,0.728,-0.119
1698920755.361,1.0,1.062,0.091
1698920755.43,1.027,1.125,0.281
1698920755.511,0.963,1.089,0.38
1698920755.591,0.864,1.039,0.342
1698920755.67,0.729,0.926,0.24
1698920755.751,0.546,0.723,0.184
1698920755.83,0.335,0.459,0.135
1698920755.914,0.269,0.358,-0.001
1698920755.99,0.368,0.521,-0.155
1698920756.07,0.464,0.637,-0.203
1698920756.153,0.404,0.551,-0.17
1698920756.23,0.261,0.358,-0.077
1698920756.31,0.214,0.266,0.042
1698920756.39,0.772,0.829,0.316
1698920756.471,0.933,1.051,0.393
1698920756.55,0.96,1.113,0.316
1698920756.63,0.977,1.175,0.153
1698920756.711,0.919,1.086,0.04
1698920756.79,0.762,0.856,-0.036
1698920756.87,0.666,0.77,-0.143
1698920756.95,0.633,0.743,-0.21
1698920757.03,0.606,0.683,-0.225
1698920757.11,0.678,0.745,-0.211
1698920757.19,0.831,0.907,-0.083
1698920757.27,0.951,1.096,0.127
1698920757.35,0.974,1.177,0.257
1698920757.431,0.905,1.015,0.229
1698920757.51,0.799,0.886,0.144
1698920757.591,0.617,0.768,0.111
1698920757.671,0.396,0.503,0.095
1698920757.75,0.261,0.305,0.031
1698920757.83,0.339,0.402,-0.154
1698920757.911,0.513,0.642,-0.305
1698920757.99,0.464,0.607,-0.264
1698920758.07,0.237,0.332,-0.117
1698920758.15,0.175,0.227,0.035
1698920758.23,0.774,0.851,0.236
1698920758.31,0.932,1.007,0.32
1698920758.39,0.981,1.063,0.243
1698920758.47,1.031,1.11,0.104
1698920758.55,0.961,0.955,0.014
1698920758.63,0.815,0.793,-0.047
1698920758.71,0.76,0.781,-0.134
1698920758.79,0.76,0.771,-0.185
1698920758.87,0.77,0.777,-0.169
1698920758.95,0.857,0.88,-0.047
1698920759.03,0.984,1.049,0.175
1698920759.11,1.036,1.121,0.296
1698920759.192,0.954,1.052,0.274
1698920759.27,0.805,0.967,0.203
1698920759.35,0.625,0.79,0.118
1698920759.432,0.414,0.535,0.061
1698920759.51,0.27,0.364,0.008
1698920759.59,0.297,0.377,-0.095
1698920759.67,0.397,0.523,-0.188
1698920759.75,0.427,0.558,-0.171
1698920759.83,0.407,0.528,-0.034
1698920759.91,0.415,0.514,0.081
1698920759.99,0.483,0.66,0.168
1698920760.07,0.79,0.845,0.24
1698920760.15,0.978,1.029,0.194
1698920760.23,1.055,1.152,0.092
1698920760.31,0.953,1.04,0.131
1698920760.39,0.821,0.863,0.08
1698920760.47,0.754,0.845,-0.063
1698920760.55,0.716,0.795,-0.104
1698920760.629,0.742,0.778,-0.092
1698920760.709,0.872,0.891,0.05
1698920760.789,0.967,1.035,0.234
1698920760.871,0.965,1.043,0.257
1698920760.949,0.91,0.969,0.223
1698920761.032,0.815,0.937,0.202
1698920761.109,0.68,0.842,0.143
1698920761.19,0.505,0.641,0.104
1698920761.269,0.341,0.419,0.071
1698920761.349,0.333,0.407,-0.08
1698920761.429,0.455,0.593,-0.211
1698920761.509,0.517,0.676,-0.221
1698920761.589,0.466,0.604,-0.204
1698920761.669,0.346,0.442,-0.096
1698920761.749,0.268,0.294,0.048
1698920761.829,0.708,0.682,0.286
1698920761.909,0.924,0.901,0.386
1698920761.989,0.971,0.965,0.398
1698920762.069,1.036,1.069,0.315
1698920762.149,1.008,1.07,0.154
1698920762.229,0.839,0.872,0.001
1698920762.31,0.717,0.76,-0.066
1698920762.389,0.671,0.739,-0.118
1698920762.472,0.666,0.725,-0.148
1698920762.549,0.758,0.835,-0.113
1698920762.629,0.942,1.014,0.061
1698920762.713,1.013,1.106,0.264
1698920762.789,0.984,1.133,0.318
1698920762.869,0.92,1.068,0.272
1698920762.949,0.769,0.938,0.188
1698920763.029,0.548,0.679,0.13
1698920763.109,0.334,0.422,0.08
1698920763.189,0.245,0.349,-0.007
1698920763.269,0.355,0.458,-0.158
1698920763.35,0.485,0.595,-0.233
1698920763.429,0.455,0.526,-0.153
1698920763.509,0.328,0.325,-0.008
1698920763.589,0.316,0.315,0.137
1698920763.669,0.569,0.91,0.352
1698920763.75,0.911,0.954,0.391
1698920763.829,0.902,0.936,0.339
1698920763.909,0.963,1.009,0.253
1698920763.989,0.92,0.95,0.15
1698920764.069,0.771,0.786,0.035
1698920764.151,0.732,0.771,-0.052
1698920764.229,0.731,0.757,-0.104
1698920764.311,0.741,0.757,-0.089
1698920764.389,0.846,0.852,0.087
1698920764.469,0.979,1.018,0.308
1698920764.549,0.953,1.112,0.362
1698920764.63,0.855,1.086,0.365
1698920764.709,0.781,1.041,0.335
1698920764.789,0.656,0.873,0.219
1698920764.869,0.473,0.61,0.133
1698920764.949,0.314,0.377,0.084
1698920765.029,0.286,0.33,-0.01
1698920765.109,0.399,0.5,-0.121
1698920765.19,0.477,0.582,-0.158
1698920765.269,0.406,0.474,-0.099
1698920765.349,0.306,0.346,0.026
1698920765.429,0.353,0.366,0.094
1698920765.509,0.571,0.636,0.172
1698920765.589,0.883,0.978,0.298
1698920765.669,0.989,1.062,0.263
1698920765.749,0.992,1.039,0.161
1698920765.829,0.857,0.855,0.074
1698920765.909,0.797,0.804,0.042
1698920765.99,0.892,0.895,0.026
1698920766.069,1.018,1.002,0.149
1698920766.149,1.023,1.024,0.311
1698920766.229,0.979,1.026,0.361
1698920766.31,0.921,1.032,0.34
1698920766.389,0.775,0.921,0.214
1698920766.469,0.586,0.7,0.11
1698920766.549,0.395,0.48,0.1
1698920766.628,0.285,0.356,0.069
1698920766.708,0.349,0.423,-0.048
1698920766.788,0.465,0.643,-0.162
1698920766.868,0.445,0.595,-0.154
1698920766.948,0.345,0.431,-0.065
