timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698924623.007,-12,42,-1020,53,38,57,-16,-3010,5771,1153,1061,1349,1726,1884
1698924623.023,-12,42,-1019,54,37,57,-17,-3010,5771,1157,1059,1349,1726,1884
1698924623.045,-11,42,-1019,58,40,58,-17,-3010,5770,1161,1067,1352,1727,1885
1698924623.06,-11,43,-1019,61,37,58,-16,-3010,5770,1158,1065,1353,1728,1886
1698924623.083,-12,42,-1020,59,35,59,-16,-3010,5770,1157,1062,1348,1728,1885
1698924623.106,-13,43,-1021,58,35,57,-17,-3010,5769,1156,1067,1343,1726,1886
1698924623.121,-13,42,-1021,56,39,55,-17,-3012,5769,1156,1059,1342,1728,1886
1698924623.143,-13,42,-1020,55,41,56,-17,-3011,5769,1155,1058,1342,1730,1887
1698924623.174,-12,42,-1020,57,38,58,-16,-3011,5768,1156,1050,1339,1730,1889
1698924623.188,-12,42,-1020,54,39,60,-16,-3012,5768,1157,1040,1338,1732,1889
1698924623.203,-13,42,-1020,56,38,60,-15,-3012,5770,1159,1051,1337,1730,1888
1698924623.233,-13,42,-1019,52,37,58,-15,-3011,5771,1157,1053,1337,1727,1891
1698924623.248,-12,43,-1018,53,37,57,-15,-3012,5770,1155,1053,1338,1728,1891
1698924623.263,-13,42,-1017,55,38,58,-15,-3012,5770,1157,1057,1336,1728,1892
1698924623.285,-13,42,-1015,56,38,59,-14,-3013,5768,1157,1064,1340,1729,1892
1698924623.322,-12,42,-1017,57,34,55,-15,-3014,5767,1162,1066,1338,1729,1891
1698924623.323,-12,42,-1016,57,35,54,-14,-3014,5767,1165,1066,1337,1727,1891
1698924623.345,-13,43,-1017,55,35,55,-14,-3014,5768,1165,1069,1335,1726,1888
1698924623.375,-13,43,-1018,53,35,56,-14,-3014,5769,1163,1064,1332,1728,1889
1698924623.383,-12,43,-1017,53,36,55,-14,-3014,5770,1162,1065,1331,1726,1890
1698924623.412,-13,43,-1017,55,37,55,-14,-3015,5770,1166,1061,1328,1727,1889
1698924623.42,-13,43,-1016,56,37,56,-14,-3014,5769,1162,1063,1325,1727,1888
1698924623.465,-13,43,-1017,56,40,57,-15,-3014,5768,1163,1069,1324,1727,1888
1698924623.466,-12,43,-1018,57,36,55,-15,-3014,5766,1162,1069,1327,1725,1888
1698924623.481,-12,43,-1018,53,35,57,-15,-3013,5766,1166,1068,1329,1727,1890
1698924623.503,-12,43,-1019,51,35,57,-15,-3013,5766,1169,1068,1338,1727,1888
1698924623.525,-12,43,-1018,50,36,55,-15,-3013,5764,1167,1066,1336,1727,1887
1698924623.549,-12,42,-1018,51,34,56,-15,-3012,5764,1168,1070,1338,1728,1888
1698924623.563,-12,42,-1017,53,34,57,-15,-3013,5764,1167,1071,1337,1727,1887
1698924623.607,-12,42,-1018,52,34,54,-15,-3013,5762,1166,1082,1337,1727,1889
1698924623.608,-13,43,-1018,55,33,54,-16,-3013,5762,1167,1070,1338,1728,1889
1698924623.623,-12,42,-1017,55,35,56,-16,-3012,5761,1160,1041,1340,1729,1890
1698924623.646,-12,42,-1017,54,37,56,-16,-3012,5761,1157,1060,1339,1729,1890
1698924623.668,-12,43,-1017,52,35,54,-16,-3012,5763,1157,1061,1337,1731,1890
1698924623.683,-12,43,-1017,55,34,53,-17,-3013,5762,1160,1056,1336,1730,1892
1698924623.706,-12,43,-1016,58,35,54,-17,-3013,5762,1163,1063,1336,1729,1891
1698924623.722,-13,44,-1015,57,36,55,-18,-3012,5762,1158,1063,1336,1731,1890
1698924623.75,-12,43,-1016,58,36,55,-19,-3012,5763,1159,1065,1332,1729,1889
1698924623.788,-13,43,-1015,56,40,55,-18,-3012,5764,1161,1064,1331,1729,1891
1698924623.789,-14,44,-1017,58,41,57,-18,-3012,5764,1165,1051,1335,1731,1892
1698924623.803,-15,43,-1017,59,38,55,-16,-3011,5765,1160,1054,1331,1729,1890
1698924623.826,-15,43,-1018,61,36,57,-16,-3011,5764,1162,1053,1330,1729,1890
1698924623.84,-15,43,-1018,57,32,57,-16,-3010,5763,1165,1052,1328,1729,1891
1698924623.863,-15,43,-1017,60,35,56,-16,-3011,5763,1163,1056,1324,1729,1891
1698924623.886,-14,44,-1017,59,33,57,-15,-3010,5763,1164,1059,1330,1729,1891
1698924623.908,-14,44,-1017,57,35,58,-16,-3010,5763,1162,1056,1328,1729,1890
1698924623.93,-14,43,-1017,58,31,59,-16,-3011,5762,1164,1049,1328,1729,1890
1698924623.946,-14,42,-1017,55,31,57,-15,-3011,5762,1164,1053,1329,1730,1891
1698924623.976,-14,42,-1018,54,33,58,-15,-3011,5763,1163,1050,1328,1730,1892
1698924623.983,-14,42,-1018,52,30,59,-15,-3012,5763,1161,1052,1329,1730,1892
