timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698747954.003,-59,-37,-1042,125,252,-28,-3100,2004,-783,182,0,20,15,569
1698747954.026,-60,-37,-1042,125,254,-28,-3101,2003,-783,180,0,20,46,562
1698747954.041,-59,-37,-1041,124,254,-28,-3101,2004,-784,176,0,21,65,559
1698747954.063,-58,-36,-1040,125,251,-29,-3101,2004,-782,176,0,23,80,556
1698747954.086,-58,-37,-1041,124,247,-28,-3100,2002,-783,175,0,21,78,556
1698747954.101,-58,-37,-1041,126,242,-28,-3100,2003,-784,175,0,18,66,558
1698747954.123,-58,-36,-1041,125,241,-29,-3101,2003,-785,174,0,25,61,556
1698747954.161,-58,-36,-1043,128,242,-31,-3100,2003,-785,173,0,26,62,555
1698747954.164,-58,-36,-1043,127,243,-29,-3099,2003,-786,173,0,26,65,559
1698747954.191,-58,-36,-1043,124,242,-30,-3098,2002,-785,172,0,25,82,552
1698747954.213,-58,-37,-1044,125,241,-29,-3098,2003,-785,172,0,27,77,554
1698747954.228,-58,-37,-1043,125,242,-29,-3098,2003,-786,171,0,23,76,552
1698747954.251,-58,-37,-1043,124,247,-28,-3098,2004,-785,171,0,28,72,553
1698747954.266,-57,-37,-1043,123,248,-27,-3097,2004,-786,170,0,28,74,555
1698747954.296,-56,-37,-1043,123,249,-27,-3097,2005,-786,170,0,27,74,550
1698747954.303,-57,-38,-1044,125,250,-28,-3097,2005,-786,173,0,26,75,556
1698747954.326,-56,-38,-1043,123,247,-29,-3097,2005,-785,174,0,28,69,555
1698747954.341,-56,-37,-1044,124,251,-28,-3097,2005,-783,170,0,25,59,559
1698747954.363,-57,-37,-1044,128,252,-30,-3097,2005,-782,172,0,23,70,571
1698747954.386,-57,-37,-1043,125,253,-29,-3097,2006,-782,174,0,21,70,569
1698747954.401,-58,-37,-1044,128,254,-31,-3096,2006,-781,174,0,24,72,567
1698747954.438,-58,-38,-1043,129,256,-32,-3096,2006,-781,171,0,28,63,555
1698747954.461,-58,-38,-1043,126,252,-30,-3096,2007,-780,175,0,24,39,562
1698747954.475,-59,-38,-1043,124,248,-28,-3095,2007,-781,171,0,21,47,563
1698747954.483,-59,-38,-1043,125,250,-29,-3095,2007,-782,172,0,21,35,562
1698747954.506,-58,-38,-1043,125,246,-30,-3096,2007,-782,174,0,20,41,562
1698747954.521,-58,-38,-1043,125,249,-30,-3096,2008,-781,172,0,28,45,562
1698747954.543,-58,-38,-1044,127,250,-29,-3097,2008,-781,172,0,24,55,563
1698747954.566,-58,-38,-1042,123,249,-27,-3097,2008,-783,172,0,23,54,562
1698747954.581,-59,-37,-1042,124,245,-30,-3097,2008,-783,172,0,26,56,561
1698747954.617,-58,-37,-1042,122,245,-28,-3097,2008,-784,173,0,24,55,564
1698747954.634,-58,-38,-1042,126,247,-27,-3097,2007,-785,173,0,26,51,565
1698747954.641,-58,-38,-1042,126,249,-29,-3096,2007,-785,171,0,26,61,558
1698747954.671,-58,-38,-1043,125,246,-27,-3097,2007,-786,171,0,27,60,545
1698747954.716,-57,-37,-1042,128,250,-27,-3097,2007,-785,171,0,25,60,561
1698747954.719,-57,-38,-1042,130,251,-28,-3098,2007,-786,169,0,26,62,562
1698747954.731,-57,-38,-1042,128,254,-27,-3098,2007,-787,172,0,23,53,557
1698747954.746,-58,-38,-1041,127,254,-29,-3098,2007,-785,170,0,25,60,553
1698747954.761,-58,-38,-1043,124,252,-26,-3098,2007,-785,170,0,26,55,551
1698747954.784,-58,-37,-1043,123,250,-28,-3098,2007,-784,170,0,25,56,550
1698747954.828,-58,-37,-1042,130,253,-26,-3098,2007,-784,170,0,26,61,549
1698747954.836,-58,-38,-1042,130,250,-26,-3097,2006,-784,176,0,31,59,567
1698747954.844,-58,-38,-1042,130,251,-28,-3097,2007,-784,174,0,32,54,554
1698747954.866,-58,-38,-1041,131,255,-28,-3097,2007,-785,175,0,29,49,569
1698747954.88,-58,-37,-1042,130,253,-27,-3098,2006,-785,175,0,29,37,571
1698747954.903,-57,-37,-1042,131,253,-30,-3098,2005,-785,171,0,33,52,573
1698747954.933,-56,-36,-1043,129,253,-29,-3098,2005,-786,173,0,34,48,570
1698747954.941,-57,-36,-1043,126,253,-28,-3098,2005,-786,173,0,30,47,568
1698747954.971,-57,-36,-1042,126,258,-30,-3099,2005,-788,171,0,34,44,567
1698747954.994,-57,-37,-1042,123,254,-29,-3099,2004,-788,171,0,34,36,570
1698747955.022,-57,-36,-1042,121,252,-28,-3099,2004,-787,171,0,34,40,571
1698747955.026,-57,-36,-1042,123,256,-29,-3099,2004,-788,172,0,30,32,574
1698747955.046,-58,-36,-1041,123,256,-29,-3099,2005,-790,165,0,30,50,571
1698747955.061,-58,-37,-1041,122,256,-28,-3100,2005,-790,175,0,37,2,581
1698747955.083,-58,-37,-1042,125,255,-28,-3100,2006,-788,172,0,35,0,575
1698747955.106,-58,-37,-1042,121,253,-26,-3099,2005,-788,167,0,34,72,560
1698747955.121,-58,-38,-1042,126,251,-27,-3098,2006,-787,169,0,36,51,572
1698747955.143,-59,-38,-1043,125,253,-27,-3098,2007,-787,168,0,35,45,579
1698747955.172,-59,-38,-1043,123,252,-28,-3098,2007,-786,172,0,41,27,595
1698747955.196,-59,-37,-1044,122,249,-28,-3098,2007,-786,176,0,34,21,593
1698747955.203,-59,-38,-1044,124,250,-29,-3099,2007,-786,175,0,33,35,595
1698747955.226,-59,-37,-1044,128,250,-27,-3099,2006,-785,176,0,31,39,586
1698747955.256,-59,-37,-1044,125,254,-29,-3099,2006,-784,175,0,29,43,591
1698747955.271,-59,-37,-1043,125,252,-31,-3099,2006,-783,172,0,30,38,591
1698747955.286,-58,-37,-1043,127,248,-30,-3099,2006,-783,175,0,32,39,584
1698747955.301,-58,-37,-1043,125,250,-29,-3099,2005,-784,177,0,28,38,584
1698747955.331,-58,-37,-1043,125,252,-30,-3099,2005,-784,176,0,32,33,586
1698747955.346,-59,-37,-1042,126,254,-28,-3098,2006,-784,173,0,36,33,575
1698747955.361,-58,-37,-1042,125,255,-29,-3098,2006,-783,173,0,35,52,572
1698747955.42,-58,-37,-1043,126,256,-28,-3098,2006,-783,171,0,34,51,587
1698747955.424,-58,-37,-1043,124,254,-29,-3098,2006,-784,170,0,48,54,578
1698747955.428,-58,-36,-1043,126,253,-28,-3098,2006,-784,172,0,45,33,581
1698747955.45,-59,-36,-1043,125,252,-27,-3099,2007,-783,171,0,48,39,586
1698747955.465,-59,-37,-1043,123,253,-27,-3099,2008,-783,173,0,45,43,585
1698747955.481,-59,-37,-1043,123,251,-26,-3099,2009,-783,170,0,43,59,578
1698747955.503,-59,-37,-1044,121,250,-27,-3099,2008,-783,171,0,42,52,575
1698747955.533,-59,-37,-1043,124,250,-29,-3100,2007,-784,168,0,51,105,568
1698747955.541,-59,-37,-1043,124,246,-27,-3099,2007,-785,166,0,50,135,565
1698747955.564,-71,-37,-1042,123,245,-28,-3100,2007,-785,174,0,61,27,585
1698747955.586,-70,-38,-1043,123,244,-29,-3100,2008,-784,171,0,49,57,588
1698747955.601,-68,-38,-1042,121,245,-27,-3100,2008,-786,174,0,49,56,582
1698747955.623,-66,-38,-1042,122,245,-28,-3101,2009,-787,174,0,54,45,587
1698747955.646,-65,-37,-1042,123,242,-30,-3101,2009,-787,175,0,54,50,587
1698747955.668,-63,-38,-1041,124,242,-28,-3101,2009,-787,176,0,56,55,580
1698747955.691,-62,-38,-1040,126,240,-27,-3102,2009,-786,176,0,55,44,585
1698747955.721,-62,-38,-1042,124,243,-27,-3101,2008,-786,176,0,54,45,583
1698747955.736,-62,-38,-1041,125,245,-27,-3101,2010,-783,176,0,56,43,577
1698747955.743,-61,-37,-1042,128,248,-29,-3100,2009,-783,177,0,57,45,565
1698747955.765,-61,-37,-1042,128,246,-30,-3099,2009,-783,177,0,55,37,570
1698747955.789,-61,-37,-1042,128,248,-28,-3099,2008,-784,174,0,54,39,567
1698747955.811,-60,-37,-1042,130,251,-29,-3099,2008,-783,172,0,53,39,574
1698747955.818,-60,-37,-1043,130,249,-29,-3099,2009,-783,173,0,56,41,568
1698747955.841,-60,-37,-1043,127,246,-26,-3098,2008,-784,176,0,56,43,569
1698747955.864,-59,-37,-1043,128,252,-28,-3098,2008,-784,174,0,56,44,567
1698747955.886,-59,-37,-1044,129,250,-27,-3099,2008,-784,174,0,56,44,566
1698747955.907,-59,-38,-1043,126,250,-29,-3099,2007,-786,175,0,57,44,561
1698747955.967,-58,-38,-1043,127,249,-28,-3099,2007,-786,172,0,56,57,569
1698747955.971,-58,-37,-1043,130,249,-27,-3100,2007,-786,175,0,57,63,558
1698747955.982,-58,-37,-1042,126,249,-29,-3102,2007,-785,173,0,57,56,570
1698747955.986,-57,-37,-1041,124,248,-28,-3102,2007,-785,173,0,56,57,575
1698747956.006,-57,-37,-1041,123,248,-28,-3102,2007,-784,174,0,57,63,547
1698747956.021,-58,-37,-1042,126,248,-29,-3101,2007,-784,172,0,55,68,570
1698747956.051,-58,-37,-1042,123,248,-28,-3101,2007,-785,173,0,55,54,570
1698747956.066,-58,-37,-1041,125,249,-28,-3102,2007,-785,172,0,54,53,573
1698747956.081,-58,-37,-1042,128,250,-28,-3102,2006,-786,171,0,58,71,567
1698747956.103,-58,-37,-1043,124,250,-29,-3101,2006,-784,172,0,54,93,566
1698747956.125,-59,-37,-1041,127,249,-26,-3101,2006,-784,171,0,55,85,565
1698747956.141,-58,-37,-1041,127,251,-27,-3100,2006,-785,171,0,52,99,559
1698747956.171,-58,-37,-1042,129,251,-28,-3100,2006,-786,171,0,53,84,558
1698747956.178,-59,-37,-1042,128,250,-30,-3101,2006,-786,174,0,51,72,567
1698747956.207,-59,-37,-1042,128,252,-30,-3100,2006,-787,172,0,51,70,561
1698747956.26,-59,-37,-1042,127,251,-32,-3099,2007,-786,172,0,54,73,564
1698747956.264,-59,-38,-1043,129,253,-29,-3100,2006,-787,172,0,50,86,571
1698747956.267,-60,-37,-1043,128,254,-28,-3100,2005,-787,172,0,51,75,564
1698747956.284,-59,-37,-1043,130,254,-27,-3100,2004,-785,174,0,50,66,566
1698747956.306,-59,-37,-1042,125,255,-25,-3100,2005,-786,174,0,52,75,553
1698747956.328,-59,-37,-1042,124,255,-26,-3099,2006,-786,173,0,52,69,557
1698747956.344,-59,-37,-1041,125,255,-29,-3099,2006,-787,173,0,53,65,569
1698747956.381,-58,-37,-1041,124,251,-29,-3100,2007,-788,172,0,53,63,561
1698747956.384,-58,-37,-1041,123,249,-31,-3101,2008,-787,172,0,55,73,562
1698747956.403,-58,-38,-1041,125,247,-29,-3100,2007,-785,174,0,55,46,572
1698747956.418,-59,-37,-1042,124,249,-29,-3101,2007,-784,167,0,48,125,560
1698747956.441,-59,-37,-1042,129,253,-30,-3100,2007,-785,166,0,46,169,554
1698747956.471,-59,-37,-1042,126,252,-27,-3100,2007,-785,167,0,44,183,553
1698747956.486,-59,-37,-1043,127,252,-27,-3099,2008,-786,171,0,55,187,549
1698747956.501,-59,-37,-1042,126,254,-27,-3099,2008,-786,171,0,53,191,542
1698747956.524,-58,-37,-1042,123,249,-27,-3099,2008,-786,170,0,54,187,551
1698747956.538,-59,-37,-1040,123,252,-29,-3098,2008,-786,170,0,55,171,563
1698747956.561,-58,-36,-1040,122,248,-27,-3098,2009,-784,168,0,54,163,554
1698747956.584,-59,-36,-1041,124,251,-28,-3098,2008,-785,172,0,59,127,558
1698747956.598,-58,-36,-1041,121,248,-32,-3098,2008,-785,170,0,57,129,560
1698747956.621,-58,-36,-1041,125,247,-30,-3099,2007,-785,171,0,56,122,557
1698747956.643,-58,-37,-1041,127,246,-30,-3099,2006,-784,170,0,51,133,564
1698747956.658,-59,-36,-1041,126,247,-27,-3099,2005,-782,167,0,54,138,570
1698747956.681,-59,-36,-1041,123,249,-27,-3100,2005,-782,169,0,55,142,555
1698747956.711,-59,-36,-1041,124,249,-31,-3100,2005,-781,168,0,53,141,538
1698747956.718,-58,-36,-1041,125,250,-28,-3100,2006,-782,164,0,54,145,551
1698747956.741,-58,-36,-1041,127,251,-30,-3100,2007,-782,167,0,51,151,540
1698747956.778,-58,-37,-1041,127,250,-27,-3100,2007,-783,169,0,52,156,541
1698747956.781,-57,-37,-1042,126,251,-28,-3099,2008,-784,167,0,50,161,547
1698747956.801,-58,-37,-1042,128,252,-27,-3099,2008,-783,179,0,61,175,387
1698747956.824,-58,-37,-1042,126,249,-27,-3099,2008,-783,179,0,59,173,392
1698747956.839,-58,-37,-1042,129,247,-29,-3098,2008,-784,182,0,59,176,374
1698747956.861,-59,-37,-1042,124,248,-28,-3098,2007,-784,180,0,63,176,370
1698747956.891,-59,-37,-1042,126,245,-29,-3097,2006,-784,178,0,60,172,379
1698747956.898,-58,-37,-1042,126,246,-30,-3097,2007,-785,177,0,63,168,400
1698747956.928,-58,-37,-1042,127,246,-29,-3097,2007,-786,181,0,62,170,374
1698747956.958,-58,-36,-1042,129,250,-31,-3097,2007,-786,179,0,62,166,393
1698747956.962,-58,-36,-1043,126,250,-30,-3098,2006,-786,178,0,58,166,398
1698747956.981,-59,-35,-1045,130,253,-29,-3098,2006,-785,182,0,63,168,376
1698747957.003,-60,-36,-1044,127,253,-32,-3099,2006,-785,182,0,60,166,385
1698747957.018,-59,-36,-1045,128,256,-29,-3099,2005,-785,182,0,59,168,366
1698747957.041,-58,-36,-1044,129,256,-31,-3099,2006,-786,180,0,59,170,371
1698747957.063,-58,-37,-1044,126,253,-30,-3099,2006,-785,170,0,52,159,522
1698747957.079,-59,-36,-1043,127,250,-30,-3098,2007,-784,171,0,53,155,521
1698747957.101,-59,-37,-1043,127,245,-32,-3099,2008,-785,169,0,50,155,522
1698747957.146,-59,-37,-1043,127,248,-28,-3100,2008,-785,171,0,50,154,519
1698747957.167,-59,-37,-1043,128,247,-29,-3099,2008,-785,167,0,50,154,532
1698747957.171,-58,-37,-1043,124,250,-28,-3099,2008,-784,172,0,54,156,492
1698747957.197,-58,-37,-1043,125,250,-27,-3100,2007,-786,171,0,55,156,522
1698747957.201,-58,-37,-1043,124,248,-25,-3100,2007,-785,170,0,54,155,522
1698747957.236,-58,-36,-1043,123,250,-27,-3100,2007,-784,168,0,53,155,528
1698747957.239,-58,-36,-1043,125,250,-27,-3100,2008,-784,172,0,48,155,529
1698747957.281,-58,-36,-1042,128,249,-29,-3100,2007,-785,174,0,51,156,525
1698747957.284,-59,-36,-1042,127,249,-29,-3100,2007,-785,171,0,53,156,522
1698747957.296,-59,-36,-1042,126,251,-29,-3100,2008,-784,171,0,52,155,516
1698747957.318,-59,-36,-1042,125,254,-29,-3100,2008,-784,170,0,52,155,517
1698747957.341,-59,-36,-1042,121,251,-29,-3099,2008,-784,169,0,51,154,517
1698747957.363,-59,-36,-1041,127,252,-28,-3099,2007,-783,171,0,50,155,516
1698747957.379,-59,-36,-1042,125,251,-30,-3100,2009,-782,171,0,49,156,516
1698747957.408,-59,-37,-1043,125,251,-29,-3101,2009,-782,174,0,49,157,510
1698747957.43,-59,-37,-1043,125,250,-29,-3101,2009,-781,172,0,51,155,517
1698747957.453,-59,-37,-1043,125,253,-32,-3101,2010,-783,180,0,55,163,436
1698747957.476,-59,-37,-1044,128,253,-30,-3102,2010,-784,189,0,60,173,310
1698747957.483,-60,-36,-1044,122,254,-27,-3102,2009,-785,193,0,59,175,286
1698747957.505,-60,-37,-1045,121,251,-28,-3102,2009,-786,192,0,61,175,288
1698747957.521,-60,-36,-1045,122,250,-28,-3102,2010,-785,188,0,56,170,335
1698747957.551,-60,-36,-1043,125,247,-29,-3102,2010,-786,188,0,57,169,357
1698747957.566,-59,-37,-1044,123,247,-30,-3102,2010,-787,190,0,57,171,349
1698747957.581,-59,-37,-1044,127,249,-29,-3102,2010,-787,189,0,55,169,356
1698747957.603,-58,-36,-1043,123,251,-28,-3102,2010,-787,188,0,55,168,353
1698747957.619,-59,-36,-1042,125,250,-27,-3101,2009,-787,189,0,56,166,348
1698747957.648,-58,-36,-1042,126,252,-28,-3101,2009,-787,190,0,55,167,352
1698747957.656,-58,-37,-1043,128,250,-25,-3101,2009,-786,189,0,53,165,357
1698747957.678,-58,-37,-1043,129,251,-26,-3101,2008,-786,189,0,52,166,363
1698747957.701,-58,-38,-1043,127,252,-24,-3100,2008,-785,189,0,55,166,363
1698747957.73,-58,-38,-1043,127,251,-27,-3100,2008,-785,190,0,51,164,372
1698747957.753,-58,-37,-1041,126,249,-27,-3100,2007,-785,192,0,55,165,366
1698747957.761,-58,-37,-1041,128,249,-27,-3099,2008,-784,189,0,52,165,395
1698747957.805,-58,-37,-1041,122,247,-29,-3100,2007,-785,190,0,54,164,370
1698747957.809,-58,-36,-1041,124,251,-29,-3099,2006,-785,191,0,49,166,369
1698747957.828,-58,-37,-1041,125,250,-30,-3099,2007,-786,191,0,50,165,353
1698747957.836,-59,-36,-1042,125,248,-31,-3100,2007,-785,189,0,50,165,353
1698747957.858,-59,-36,-1041,124,245,-27,-3100,2007,-786,188,0,53,164,345
1698747957.881,-58,-37,-1042,123,246,-27,-3099,2007,-785,188,0,50,163,362
1698747957.902,-58,-37,-1041,125,247,-28,-3099,2007,-785,190,0,51,163,353
1698747957.94,-59,-37,-1041,125,248,-27,-3098,2007,-785,188,0,52,164,359
1698747957.944,-59,-37,-1041,124,247,-27,-3098,2007,-786,187,0,48,163,355
1698747957.956,-58,-37,-1042,125,248,-29,-3097,2008,-785,187,0,49,163,357
1698747957.978,-58,-38,-1042,127,249,-28,-3098,2007,-786,187,0,49,165,347
1698747958.001,-58,-37,-1042,126,252,-29,-3097,2007,-786,188,0,51,165,357
1698747958.023,-58,-38,-1042,124,251,-26,-3097,2007,-786,187,0,53,163,363
1698747958.046,-58,-37,-1040,123,250,-26,-3097,2007,-786,187,0,54,162,362
1698747958.061,-57,-37,-1041,125,250,-26,-3097,2008,-787,191,0,53,154,355
1698747958.083,-58,-37,-1041,123,251,-27,-3097,2008,-787,193,0,52,148,356
1698747958.099,-58,-37,-1042,123,248,-28,-3098,2007,-786,191,0,52,150,360
1698747958.128,-58,-36,-1041,122,244,-28,-3098,2007,-785,195,0,53,126,369
1698747958.15,-58,-36,-1042,123,242,-28,-3099,2007,-785,191,0,53,131,366
1698747958.158,-58,-36,-1042,127,239,-27,-3099,2007,-784,197,0,56,14,433
1698747958.196,-57,-36,-1041,125,237,-27,-3099,2007,-784,201,0,61,0,388
1698747958.2,-57,-37,-1041,127,239,-27,-3099,2008,-784,200,0,58,1,391
1698747958.219,-57,-36,-1041,127,240,-28,-3099,2008,-785,199,0,57,4,394
1698747958.241,-57,-37,-1041,124,244,-29,-3099,2009,-785,198,0,60,0,421
1698747958.262,-57,-36,-1041,123,245,-30,-3099,2009,-786,197,0,61,0,396
1698747958.286,-56,-37,-1041,124,250,-29,-3098,2009,-785,192,0,61,17,397
1698747958.308,-56,-36,-1041,126,252,-29,-3097,2008,-785,195,0,58,26,391
1698747958.346,-57,-37,-1042,126,255,-29,-3097,2009,-786,194,0,60,0,396
1698747958.352,-57,-37,-1043,122,252,-28,-3098,2008,-786,195,0,58,5,393
1698747958.361,-57,-36,-1042,124,251,-28,-3097,2008,-786,195,0,58,14,401
1698747958.383,-58,-37,-1043,123,252,-28,-3098,2007,-785,195,0,57,10,393
1698747958.398,-57,-36,-1042,125,252,-29,-3097,2008,-785,196,0,59,12,384
1698747958.428,-58,-37,-1041,125,253,-28,-3097,2009,-786,198,0,59,11,396
1698747958.436,-58,-37,-1040,126,251,-29,-3097,2009,-785,196,0,57,17,397
1698747958.466,-58,-37,-1040,124,250,-31,-3097,2010,-786,197,0,58,18,390
1698747958.481,-60,-37,-1041,125,250,-31,-3097,2011,-785,198,0,58,18,379
1698747958.504,-59,-37,-1041,126,249,-29,-3097,2010,-785,198,0,58,18,390
1698747958.518,-59,-37,-1042,126,247,-27,-3097,2010,-787,196,0,58,19,400
1698747958.541,-59,-37,-1042,129,247,-29,-3097,2010,-786,193,0,56,16,403
1698747958.563,-60,-37,-1042,129,247,-28,-3097,2009,-786,193,0,55,19,405
1698747958.578,-59,-36,-1043,128,246,-31,-3097,2009,-785,192,0,57,17,402
1698747958.601,-59,-37,-1041,129,250,-29,-3097,2010,-785,194,0,54,24,402
1698747958.616,-59,-36,-1040,125,251,-28,-3098,2011,-784,195,0,55,17,406
1698747958.652,-58,-36,-1042,125,249,-29,-3099,2011,-784,192,0,53,54,399
1698747958.668,-58,-37,-1043,125,250,-30,-3100,2011,-783,197,0,55,9,407
1698747958.683,-58,-37,-1042,125,251,-28,-3100,2011,-782,199,0,56,0,398
1698747958.713,-58,-37,-1042,129,254,-30,-3100,2010,-783,201,0,56,0,406
1698747958.717,-57,-36,-1042,127,252,-28,-3100,2011,-784,197,0,53,15,394
1698747958.736,-58,-36,-1042,126,255,-27,-3100,2011,-785,201,0,55,0,401
1698747958.759,-58,-36,-1042,124,252,-29,-3099,2010,-784,200,0,55,0,402
1698747958.781,-58,-36,-1042,122,251,-28,-3098,2009,-784,200,0,54,0,399
1698747958.804,-59,-36,-1042,124,250,-26,-3098,2008,-783,201,0,54,0,404
1698747958.818,-58,-36,-1043,126,251,-28,-3098,2008,-782,200,0,52,11,405
1698747958.841,-58,-37,-1043,128,252,-28,-3097,2008,-782,195,0,50,55,399
1698747958.856,-58,-37,-1043,130,252,-30,-3097,2008,-782,195,0,52,39,396
1698747958.878,-58,-37,-1043,127,251,-30,-3097,2009,-783,198,0,54,15,402
1698747958.901,-58,-36,-1043,125,253,-27,-3097,2008,-783,191,0,52,48,390
1698747958.916,-58,-37,-1043,124,255,-29,-3097,2007,-782,197,0,52,32,396
1698747958.946,-59,-37,-1043,125,253,-29,-3097,2008,-783,200,0,55,1,409
1698747958.961,-58,-36,-1042,123,251,-28,-3098,2008,-783,197,0,56,11,383
1698747958.983,-58,-36,-1042,126,251,-27,-3099,2008,-783,195,0,57,9,383
1698747958.998,-58,-36,-1043,129,255,-28,-3100,2008,-782,196,0,55,3,389
1698747959.021,-58,-36,-1043,127,255,-26,-3100,2008,-782,196,0,57,7,385
1698747959.036,-58,-36,-1042,126,254,-28,-3101,2008,-782,204,0,58,0,383
1698747959.058,-58,-37,-1041,123,256,-29,-3101,2008,-782,197,0,56,0,432
1698747959.104,-59,-37,-1041,124,253,-28,-3101,2009,-781,197,0,58,0,430
1698747959.107,-60,-37,-1042,123,254,-28,-3101,2010,-783,192,0,50,0,525
1698747959.118,-60,-37,-1043,121,255,-28,-3102,2009,-783,191,0,49,0,518
1698747959.141,-61,-36,-1042,121,251,-29,-3101,2010,-783,194,0,54,2,450
1698747959.156,-72,-36,-1041,124,251,-30,-3101,2009,-784,197,0,56,9,426
1698747959.178,-71,-37,-1040,125,252,-29,-3101,2009,-785,193,0,52,2,463
1698747959.201,-69,-36,-1041,121,253,-31,-3101,2010,-784,197,0,57,1,442
1698747959.231,-67,-37,-1042,123,252,-32,-3101,2010,-785,200,0,57,2,394
1698747959.238,-67,-37,-1043,125,255,-32,-3101,2010,-784,202,0,66,0,393
1698747959.261,-66,-37,-1043,121,250,-30,-3101,2011,-785,205,0,55,0,364
