timestamp,magnRawx,magnRawy,magnRawz
1698744543.03,-426,683,291
1698744543.11,-429,696,297
1698744543.19,-422,691,296
1698744543.27,-449,687,294
1698744543.353,-427,695,294
1698744543.43,-419,696,298
1698744543.51,-434,696,297
1698744543.59,-432,695,305
1698744543.67,-434,682,295
1698744543.753,-428,691,313
1698744543.83,-440,705,309
1698744543.91,-428,702,305
1698744543.993,-428,697,298
1698744544.07,-422,704,302
1698744544.153,-420,715,306
1698744544.23,-431,708,304
1698744544.31,-419,710,292
1698744544.392,-424,711,291
1698744544.47,-424,715,293
1698744544.552,-431,697,290
1698744544.63,-425,695,285
1698744544.71,-431,709,291
1698744544.791,-428,701,303
1698744544.87,-420,701,299
1698744544.95,-424,689,283
1698744545.03,-429,699,297
1698744545.11,-420,705,291
1698744545.19,-419,716,303
1698744545.27,-430,712,289
1698744545.35,-420,703,292
1698744545.43,-426,708,282
1698744545.51,-428,697,292
1698744545.59,-435,702,289
1698744545.67,-434,701,289
1698744545.75,-419,694,278
1698744545.83,-420,703,299
1698744545.91,-434,699,295
1698744545.99,-428,691,303
1698744546.07,-428,697,302
1698744546.15,-430,708,286
1698744546.23,-437,706,292
1698744546.31,-430,702,292
1698744546.39,-433,709,292
1698744546.47,-428,707,290
1698744546.55,-432,706,294
1698744546.63,-436,710,280
1698744546.712,-424,698,278
1698744546.79,-431,699,278
1698744546.87,-433,689,283
1698744546.95,-436,677,277
1698744547.03,-443,663,284
1698744547.112,-444,675,287
1698744547.19,-439,661,273
1698744547.27,-439,663,275
1698744547.349,-446,667,281
1698744547.429,-445,667,279
1698744547.512,-438,664,285
1698744547.589,-433,669,280
1698744547.669,-433,695,289
1698744547.75,-409,720,299
1698744547.829,-403,749,302
1698744547.912,-377,774,290
1698744547.99,-353,760,220
1698744548.069,-344,760,229
1698744548.152,-348,730,287
1698744548.231,-387,562,372
1698744548.312,-444,544,381
1698744548.389,-437,515,403
1698744548.47,-477,498,390
1698744548.551,-530,470,361
1698744548.629,-542,472,362
1698744548.712,-495,475,366
1698744548.789,-473,455,391
