ts,accGx,accGy,accGz
1698415422044.0,-551,379,-682
1698415422124.0,-517,456,-682
1698415422205.0,-486,504,-682
1698415422284.0,-478,510,-672
1698415422364.0,-484,510,-666
1698415422444.0,-505,500,-683
1698415422524.0,-510,497,-690
1698415422604.0,-495,512,-678
1698415422684.0,-486,521,-672
1698415422764.0,-482,519,-670
1698415422844.0,-482,513,-672
1698415422924.0,-480,512,-672
1698415423004.0,-481,556,-671
1698415423084.0,-483,578,-672
1698415423164.0,-479,549,-676
1698415423244.0,-479,535,-680
1698415423324.0,-479,524,-677
1698415423404.0,-475,515,-677
1698415423484.0,-478,515,-686
1698415423564.0,-492,494,-722
1698415423644.0,-495,488,-744
1698415423724.0,-491,518,-718
1698415423804.0,-483,528,-670
1698415423884.0,-480,530,-665
1698415423964.0,-478,526,-676
1698415424044.0,-471,524,-620
1698415424124.0,-471,521,-592
1698415424204.0,-478,515,-645
1698415424284.0,-481,511,-667
1698415424364.0,-482,511,-680
1698415424443.0,-482,517,-688
1698415424523.0,-481,517,-688
1698415424605.0,-478,574,-656
1698415424683.0,-474,604,-636
1698415424763.0,-473,560,-653
1698415424844.0,-474,539,-659
1698415424923.0,-475,527,-665
1698415425003.0,-477,519,-672
1698415425083.0,-478,520,-674
1698415425163.0,-469,540,-632
1698415425243.0,-466,545,-611
1698415425324.0,-473,528,-645
1698415425403.0,-475,534,-667
1698415425483.0,-474,534,-667
1698415425563.0,-465,554,-668
1698415425643.0,-450,595,-688
1698415425723.0,-424,625,-688
1698415425803.0,-411,647,-661
1698415425883.0,-424,679,-655
1698415425963.0,-414,699,-614
1698415426043.0,-447,754,-520
1698415426123.0,-578,792,-415
1698415426203.0,-665,770,-291
1698415426283.0,-745,752,-236
1698415426364.0,-949,802,-259
1698415426443.0,-1074,776,-279
1698415426524.0,-959,568,-234
1698415426603.0,-765,405,-137
1698415426683.0,-639,334,-103
1698415426763.0,-631,238,-129
1698415426843.0,-651,220,-189
1698415426923.0,-714,361,-298
1698415427003.0,-836,413,-349
1698415427083.0,-988,471,-409
1698415427163.0,-1027,519,-449
1698415427243.0,-1024,495,-437
1698415427323.0,-1036,450,-348
1698415427403.0,-956,442,-265
1698415427483.0,-863,431,-232
1698415427563.0,-781,401,-209
1698415427643.0,-748,375,-226
1698415427723.0,-819,369,-283
1698415427803.0,-909,345,-355
1698415427883.0,-1001,306,-383
1698415427965.0,-974,303,-371
1698415428043.0,-779,347,-349
1698415428123.0,-631,395,-316
1698415428203.0,-603,412,-323
1698415428283.0,-697,433,-378
1698415428365.0,-940,493,-472
1698415428443.0,-1178,544,-456
1698415428525.0,-1146,428,-340
1698415428603.0,-988,349,-225
1698415428683.0,-821,280,-173
1698415428764.0,-701,233,-156
1698415428843.0,-660,232,-194
1698415428926.0,-829,297,-269
1698415429003.0,-1087,424,-332
1698415429083.0,-1217,491,-311
1698415429164.0,-1143,430,-268
1698415429243.0,-952,382,-245
1698415429326.0,-814,367,-226
1698415429403.0,-756,337,-289
1698415429484.0,-747,298,-350
1698415429564.0,-740,273,-311
1698415429643.0,-826,398,-260
1698415429723.0,-1027,494,-262
1698415429803.0,-1079,473,-243
1698415429883.0,-987,459,-195
1698415429963.0,-897,424,-168
1698415430043.0,-831,432,-156
1698415430123.0,-763,472,-176
1698415430203.0,-800,528,-233
1698415430283.0,-981,583,-304
1698415430363.0,-1062,630,-396
1698415430443.0,-980,575,-446
1698415430523.0,-949,419,-397
1698415430603.0,-872,312,-344
1698415430683.0,-746,277,-324
1698415430762.0,-684,257,-321
1698415430842.0,-625,251,-343
1698415430922.0,-734,315,-398
1698415431002.0,-984,450,-456
1698415431082.0,-1102,580,-476
1698415431162.0,-1090,605,-432
1698415431242.0,-1005,526,-352
1698415431322.0,-908,436,-311
1698415431402.0,-846,365,-280
1698415431482.0,-772,320,-241
1698415431562.0,-828,324,-301
1698415431642.0,-996,348,-417
1698415431722.0,-1089,317,-462
1698415431802.0,-926,325,-402
1698415431882.0,-684,388,-329
1698415431962.0,-599,432,-298
1698415432042.0,-671,458,-329
1698415432122.0,-883,505,-405
1698415432202.0,-992,558,-448
1698415432282.0,-927,594,-422
1698415432362.0,-946,617,-330
1698415432442.0,-940,581,-222
1698415432522.0,-879,518,-152
1698415432602.0,-881,484,-122
1698415432682.0,-883,466,-115
1698415432762.0,-889,490,-189
1698415432842.0,-869,520,-321
1698415432922.0,-727,535,-416
1698415433002.0,-609,556,-428
1698415433082.0,-619,558,-365
1698415433162.0,-695,537,-179
1698415433242.0,-787,529,-98
1698415433322.0,-903,501,-37
1698415433402.0,-927,493,19
1698415433482.0,-854,525,41
1698415433562.0,-768,527,31
1698415433642.0,-763,509,-11
1698415433722.0,-811,491,-78
1698415433802.0,-885,524,-185
1698415433882.0,-922,598,-306
1698415433962.0,-930,710,-413
1698415434042.0,-897,805,-464
1698415434122.0,-825,848,-430
1698415434202.0,-651,817,-421
1698415434282.0,-402,732,-460
1698415434362.0,-257,721,-534
1698415434442.0,-221,728,-592
1698415434522.0,-240,655,-578
1698415434603.0,-280,610,-679
1698415434682.0,-324,675,-699
1698415434762.0,-351,689,-667
1698415434842.0,-359,703,-647
1698415434922.0,-365,710,-627
1698415435002.0,-370,718,-612
1698415435082.0,-375,715,-611
1698415435162.0,-389,705,-599
1698415435242.0,-405,701,-591
1698415435324.0,-415,684,-599
1698415435402.0,-421,671,-600
1698415435482.0,-418,672,-598
1698415435562.0,-414,677,-594
1698415435642.0,-413,675,-598
