ts,ppg
1698415422017.3484,21104.0
1698415422037.7783,21109.0
1698415422058.2085,21107.0
1698415422078.6382,21111.0
1698415422099.068,21107.0
1698415422119.498,21119.0
1698415422139.928,21118.0
1698415422160.358,21113.0
1698415422180.7878,21125.0
1698415422201.2178,21118.0
1698415422221.6477,21128.0
1698415422242.0776,21122.0
1698415422262.5076,21126.0
1698415422282.9375,21126.0
1698415422303.3674,21124.0
1698415422323.7974,21127.0
1698415422344.2273,21113.0
1698415422364.6572,21115.0
1698415422385.0872,21112.0
1698415422405.517,21105.0
1698415422425.947,21104.0
1698415422446.377,21109.0
1698415422466.807,21102.0
1698415422487.2368,21100.0
1698415422507.6667,21092.0
1698415422528.0967,21100.0
1698415422548.5266,21099.0
1698415422568.9563,21097.0
1698415422589.3865,21098.0
1698415422609.8164,21094.0
1698415422630.246,21094.0
1698415422650.676,21098.0
1698415422671.106,21095.0
1698415422691.536,21105.0
1698415422711.9658,21100.0
1698415422732.3958,21102.0
1698415422752.8257,21107.0
1698415422773.2556,21108.0
1698415422793.6855,21112.0
1698415422814.1155,21114.0
1698415422834.5454,21122.0
1698415422854.975,21124.0
1698415422875.4053,21130.0
1698415422895.8352,21128.0
1698415422916.2651,21136.0
1698415422936.695,21139.0
1698415422957.125,21144.0
1698415422977.555,21147.0
1698415422997.9849,21154.0
1698415423018.4148,21158.0
1698415423038.8447,21160.0
1698415423059.275,21164.0
1698415423079.7046,21166.0
1698415423100.1345,21153.0
1698415423120.5645,21165.0
1698415423140.9944,21161.0
1698415423161.4243,21158.0
1698415423181.8542,21159.0
1698415423202.2842,21157.0
1698415423222.714,21154.0
1698415423243.144,21154.0
1698415423263.574,21151.0
1698415423284.004,21144.0
1698415423304.4336,21152.0
1698415423324.8635,21147.0
1698415423345.2937,21150.0
1698415423365.7234,21146.0
1698415423386.1533,21144.0
1698415423406.5833,21139.0
1698415423427.0132,21147.0
1698415423447.443,21145.0
1698415423467.873,21146.0
1698415423488.303,21147.0
1698415423508.733,21146.0
1698415423529.1628,21145.0
1698415423549.5928,21146.0
1698415423570.0227,21147.0
1698415423590.4526,21152.0
1698415423610.8826,21156.0
1698415423631.3125,21159.0
1698415423651.7424,21154.0
1698415423672.1724,21148.0
1698415423692.6023,21153.0
1698415423713.0322,21151.0
1698415423733.4622,21156.0
1698415423753.892,21160.0
1698415423774.322,21163.0
1698415423794.752,21162.0
1698415423815.182,21169.0
1698415423835.6118,21170.0
1698415423856.0415,21172.0
1698415423876.4717,21175.0
1698415423896.9016,21174.0
1698415423917.3315,21177.0
1698415423937.7617,21169.0
1698415423958.1914,21170.0
1698415423978.621,21165.0
1698415423999.051,21170.0
1698415424019.481,21169.0
1698415424039.911,21172.0
1698415424060.3408,21175.0
1698415424080.7708,21177.0
1698415424101.2007,21177.0
1698415424121.6306,21183.0
1698415424142.0603,21182.0
1698415424162.4905,21189.0
1698415424182.9204,21192.0
1698415424203.3503,21194.0
1698415424223.7805,21197.0
1698415424244.2102,21199.0
1698415424264.64,21200.0
1698415424285.07,21203.0
1698415424305.5,21210.0
1698415424325.93,21214.0
1698415424346.36,21211.0
1698415424366.7898,21217.0
1698415424387.2195,21216.0
1698415424407.6497,21223.0
1698415424428.0796,21228.0
1698415424448.5095,21232.0
1698415424468.9397,21240.0
1698415424489.3694,21245.0
1698415424509.7993,21243.0
1698415424530.2292,21244.0
1698415424550.6592,21251.0
1698415424571.089,21253.0
1698415424591.519,21255.0
1698415424611.949,21252.0
1698415424632.379,21259.0
1698415424652.8086,21258.0
1698415424673.2383,21261.0
1698415424693.6685,21271.0
1698415424714.0984,21265.0
1698415424734.5283,21264.0
1698415424754.9585,21261.0
1698415424775.3882,21262.0
1698415424795.818,21256.0
1698415424816.248,21263.0
1698415424836.678,21259.0
1698415424857.108,21262.0
1698415424877.5378,21261.0
1698415424897.9678,21257.0
1698415424918.3977,21260.0
1698415424938.8276,21257.0
1698415424959.2576,21258.0
1698415424979.6875,21255.0
1698415425000.1174,21261.0
1698415425020.5474,21256.0
1698415425040.9773,21253.0
1698415425061.4072,21259.0
1698415425081.8372,21257.0
1698415425102.267,21252.0
1698415425122.697,21261.0
1698415425143.127,21261.0
1698415425163.557,21260.0
1698415425183.9868,21258.0
1698415425204.4167,21261.0
1698415425224.8467,21267.0
1698415425245.2766,21266.0
1698415425265.7063,21266.0
1698415425286.1365,21268.0
1698415425306.5664,21277.0
1698415425326.996,21279.0
1698415425347.426,21273.0
1698415425367.856,21281.0
1698415425388.286,21282.0
1698415425408.7158,21292.0
1698415425429.1458,21297.0
1698415425449.5757,21295.0
1698415425470.0056,21291.0
