timestamp,hr,conf
1698415574.108,0,10
1698415574.968,0,8
1698415575.868,0,6
1698415576.766,0,69
1698415577.632,71,60
1698415578.564,71,85
1698415579.429,71,73
1698415580.267,71,88
1698415582.026,71,91
1698415582.892,71,4
1698415583.791,71,6
1698415584.689,71,7
1698415585.555,71,11
1698415586.388,71,0
1698415587.253,71,7
1698415588.152,71,96
1698415589.051,73,96
1698415589.916,73,95
1698415590.848,73,17
1698415591.681,73,45
1698415593.711,73,45
1698415594.31,73,0
1698415597.839,71,0
1698415598.705,71,5
1698415599.604,71,48
