ts,abs,alpha,beta,gamma
1698414815010.0,False,150.1,95.7,-60.6
1698414815028.0,False,150.20000000000002,95.7,-60.7
1698414815044.0,False,150.6,95.7,-61.0
1698414815061.0,False,150.8,95.7,-61.2
1698414815078.0,False,150.8,95.7,-61.300000000000004
1698414815112.0,False,151.1,95.7,-61.5
1698414815127.0,False,151.20000000000002,95.7,-61.6
1698414815144.0,False,151.20000000000002,95.60000000000001,-61.7
1698414815161.0,False,151.3,95.60000000000001,-61.800000000000004
1698414815227.0,False,151.6,95.5,-62.1
1698414815244.0,False,151.6,95.5,-62.0
1698414815277.0,False,151.20000000000002,95.5,-61.6
1698414815296.0,False,151.0,95.5,-61.400000000000006
1698414815311.0,False,150.6,95.5,-61.1
1698414815327.0,False,150.4,95.5,-60.900000000000006
1698414815344.0,False,150.3,95.5,-60.800000000000004
1698414815361.0,False,150.1,95.4,-60.6
1698414815377.0,False,149.9,95.4,-60.400000000000006
1698414815396.0,False,149.9,95.4,-60.300000000000004
1698414815411.0,False,149.8,95.4,-60.2
1698414815427.0,False,149.70000000000002,95.4,-60.1
1698414815444.0,False,149.6,95.4,-60.1
1698414815460.0,False,149.70000000000002,95.4,-60.1
1698414815495.0,False,149.8,95.4,-60.2
1698414815511.0,False,149.8,95.4,-60.300000000000004
1698414815527.0,False,150.0,95.4,-60.5
1698414815593.0,False,149.6,95.30000000000001,-60.1
1698414815611.0,False,149.5,95.30000000000001,-60.0
1698414815627.0,False,149.3,95.30000000000001,-59.800000000000004
1698414815644.0,False,148.9,95.30000000000001,-59.400000000000006
1698414815661.0,False,148.6,95.30000000000001,-59.1
1698414815677.0,False,148.3,95.30000000000001,-58.800000000000004
1698414815693.0,False,148.20000000000002,95.30000000000001,-58.7
1698414815761.0,False,148.4,95.30000000000001,-58.900000000000006
1698414815827.0,False,148.20000000000002,95.30000000000001,-58.800000000000004
1698414815845.0,False,148.20000000000002,95.30000000000001,-58.7
1698414815861.0,False,148.3,95.2,-58.800000000000004
1698414815877.0,False,148.5,95.2,-59.0
1698414815896.0,False,148.6,95.2,-59.1
1698414815911.0,False,149.0,95.2,-59.5
