ms,x,y,z
1698414816622.0,517,854,292
1698414816702.0,521,853,289
1698414816782.0,521,855,290
1698414816862.0,516,862,298
1698414816942.0,512,867,301
1698414817022.0,505,864,292
1698414817102.0,505,856,279
1698414817182.0,512,859,276
1698414817262.0,514,864,280
1698414817342.0,510,865,281
1698414817422.0,509,866,281
1698414817502.0,509,865,288
1698414817582.0,511,854,288
1698414817662.0,512,853,281
1698414817742.0,511,858,289
1698414817822.0,510,854,275
1698414817902.0,509,845,275
1698414817982.0,515,853,285
1698414818062.0,514,864,288
1698414818142.0,513,869,294
1698414818223.0,515,871,299
1698414818302.0,515,865,289
1698414818385.0,512,862,283
1698414818461.0,500,858,289
1698414818542.0,494,853,285
1698414818623.0,502,856,288
1698414818701.0,504,861,298
1698414818785.0,508,863,297
1698414818861.0,541,867,314
1698414818941.0,555,867,324
1698414819023.0,531,864,301
1698414819101.0,523,868,287
1698414819184.0,522,867,287
1698414819261.0,520,863,288
1698414819341.0,520,857,287
1698414819423.0,515,852,289
1698414819502.0,512,859,286
1698414819584.0,511,859,277
1698414819661.0,511,868,282
1698414819741.0,515,871,275
1698414819821.0,524,864,262
1698414819901.0,530,865,260
1698414819981.0,531,872,260
1698414820061.0,526,862,256
1698414820142.0,514,838,228
1698414820224.0,513,828,213
1698414820301.0,520,842,222
1698414820381.0,524,850,230
1698414820461.0,529,848,236
1698414820541.0,534,853,233
1698414820621.0,533,859,231
1698414820701.0,534,862,229
1698414820781.0,540,860,231
1698414820861.0,541,854,231
1698414820941.0,522,897,239
1698414821021.0,510,918,249
1698414821101.0,521,887,237
1698414821181.0,530,872,224
1698414821261.0,538,864,206
1698414821341.0,539,861,201
1698414821421.0,527,868,251
1698414821501.0,525,866,266
1698414821581.0,527,861,257
1698414821661.0,527,859,242
1698414821741.0,526,861,224
1698414821821.0,526,862,220
1698414821901.0,528,866,221
1698414821981.0,530,864,220
1698414822061.0,528,857,219
1698414822141.0,529,858,218
1698414822221.0,529,859,217
1698414822301.0,531,859,220
1698414822381.0,533,861,222
1698414822461.0,534,865,220
1698414822541.0,534,862,218
1698414822621.0,537,860,221
1698414822701.0,540,857,227
1698414822782.0,518,873,293
1698414822861.0,507,890,323
1698414822941.0,523,879,270
1698414823021.0,530,868,243
1698414823101.0,531,860,229
1698414823181.0,536,870,228
1698414823261.0,533,874,220
1698414823341.0,532,887,222
1698414823421.0,540,890,227
1698414823501.0,545,872,205
1698414823581.0,547,858,189
1698414823661.0,542,854,207
1698414823741.0,532,857,226
1698414823821.0,525,869,223
1698414823901.0,522,873,210
1698414823981.0,525,875,208
1698414824061.0,528,896,295
1698414824141.0,525,901,336
1698414824221.0,522,882,264
1698414824301.0,528,872,232
1698414824380.0,531,870,229
1698414824461.0,527,873,224
1698414824541.0,522,871,212
1698414824620.0,523,868,202
1698414824700.0,526,872,203
1698414824782.0,527,865,195
1698414824860.0,536,857,170
1698414824940.0,527,819,120
1698414825021.0,495,770,108
1698414825100.0,470,752,78
1698414825180.0,512,821,113
1698414825261.0,600,1001,288
1698414825340.0,567,1216,678
1698414825420.0,473,1382,961
1698414825501.0,432,1353,939
1698414825580.0,343,1065,803
1698414825660.0,246,728,555
1698414825741.0,179,463,356
1698414825820.0,103,293,264
1698414825900.0,119,344,194
1698414825981.0,218,415,183
1698414826060.0,205,356,193
1698414826140.0,157,391,230
1698414826221.0,231,600,399
1698414826300.0,356,931,674
1698414826380.0,414,1145,848
1698414826461.0,444,1138,845
1698414826540.0,506,1080,711
1698414826620.0,578,1057,491
1698414826700.0,487,867,270
1698414826780.0,556,880,216
1698414826860.0,570,932,322
1698414826941.0,452,1004,636
1698414827020.0,395,1101,891
1698414827100.0,435,1155,899
1698414827181.0,415,1042,786
1698414827261.0,346,874,657
1698414827340.0,287,725,496
1698414827420.0,292,613,273
1698414827500.0,280,525,131
1698414827580.0,262,471,115
1698414827661.0,269,451,104
1698414827740.0,231,339,127
1698414827822.0,219,385,191
1698414827900.0,350,720,359
1698414827980.0,499,1069,513
1698414828061.0,528,1134,524
1698414828140.0,577,1221,515
1698414828222.0,730,1257,444
1698414828300.0,737,1046,297
1698414828380.0,604,936,200
1698414828461.0,591,824,223
1698414828540.0,553,925,382
1698414828623.0,463,1031,657
1698414828700.0,438,1111,845
1698414828780.0,443,1116,851
1698414828862.0,385,985,734
1698414828940.0,305,843,591
1698414829022.0,285,743,433
1698414829100.0,311,640,296
1698414829180.0,270,474,234
1698414829262.0,217,448,185
1698414829340.0,242,447,162
1698414829422.0,249,376,167
1698414829500.0,254,471,212
1698414829580.0,350,706,410
1698414829662.0,449,970,652
1698414829740.0,501,1118,767
1698414829820.0,520,1149,759
1698414829900.0,532,1090,650
1698414829980.0,568,967,454
1698414830062.0,599,865,272
1698414830140.0,594,812,173
1698414830220.0,558,826,156
1698414830300.0,556,942,327
1698414830379.0,504,1106,657
1698414830459.0,481,1263,889
1698414830541.0,461,1267,869
1698414830619.0,370,1077,722
1698414830699.0,279,820,524
1698414830780.0,231,604,336
1698414830859.0,197,437,231
1698414830939.0,199,362,172
1698414831020.0,252,408,146
1698414831099.0,262,400,151
1698414831179.0,217,393,180
1698414831260.0,257,573,293
1698414831339.0,415,891,490
1698414831419.0,520,1155,660
1698414831500.0,544,1232,698
1698414831579.0,570,1156,566
1698414831659.0,618,1045,374
1698414831740.0,615,942,249
1698414831819.0,592,875,189
1698414831899.0,600,898,215
1698414831979.0,511,1124,666
1698414832059.0,508,1243,847
1698414832139.0,504,1217,843
1698414832219.0,423,1006,660
1698414832299.0,343,766,441
1698414832379.0,302,586,301
1698414832459.0,239,390,198
1698414832539.0,222,328,123
1698414832619.0,238,349,165
1698414832699.0,205,347,221
1698414832779.0,216,425,249
1698414832859.0,320,661,407
1698414832939.0,444,976,607
1698414833019.0,497,1149,717
1698414833099.0,518,1163,706
1698414833179.0,567,1113,565
1698414833259.0,637,1063,353
1698414833339.0,628,951,219
1698414833419.0,597,899,165
1698414833499.0,622,940,213
1698414833579.0,571,1018,460
1698414833659.0,495,1140,742
1698414833739.0,516,1188,725
1698414833819.0,395,913,525
1698414833899.0,304,645,267
1698414833979.0,248,446,123
1698414834059.0,225,338,74
1698414834139.0,261,387,40
1698414834219.0,294,425,59
1698414834299.0,291,418,110
1698414834379.0,302,516,198
1698414834459.0,395,782,387
1698414834539.0,533,1097,567
1698414834619.0,596,1197,595
1698414834699.0,610,1145,487
1698414834779.0,643,1063,314
1698414834859.0,644,988,195
1698414834939.0,627,932,172
1698414835019.0,637,907,169
1698414835099.0,628,904,249
1698414835179.0,545,932,452
1698414835259.0,452,1075,697
1698414835339.0,451,1202,807
1698414835419.0,475,1143,746
1698414835499.0,408,706,408
1698414835579.0,316,591,266
1698414835659.0,275,475,184
1698414835739.0,220,411,134
1698414835819.0,240,419,131
1698414835899.0,278,419,155
1698414835979.0,268,492,230
1698414836059.0,284,668,380
1698414836139.0,370,950,544
1698414836219.0,452,1188,659
1698414836299.0,492,1206,689
1698414836379.0,539,1115,531
1698414836459.0,594,1066,319
1698414836539.0,604,989,208
1698414836618.0,615,936,141
1698414836698.0,669,949,190
1698414836779.0,591,935,341
1698414836858.0,477,1058,588
1698414836938.0,515,1287,805
1698414837019.0,521,1273,801
1698414837098.0,437,1022,640
1698414837178.0,342,774,433
1698414837259.0,206,318,168
1698414837338.0,220,360,96
1698414837418.0,281,422,94
1698414837500.0,263,407,132
1698414837578.0,244,435,198
1698414837658.0,303,671,401
1698414837739.0,430,1018,609
1698414837818.0,598,1238,690
1698414837899.0,641,1270,695
1698414837978.0,632,1189,528
1698414838058.0,665,1068,295
1698414838138.0,641,942,141
1698414838219.0,591,850,58
1698414838299.0,543,777,67
1698414838378.0,558,802,84
1698414838458.0,592,942,253
1698414838538.0,545,1129,554
1698414838618.0,516,1265,755
1698414838699.0,522,1276,769
1698414838778.0,448,1111,657
1698414838861.0,365,860,476
1698414838938.0,316,603,288
1698414839018.0,241,362,153
1698414839099.0,277,433,105
1698414839178.0,271,452,89
1698414839259.0,232,449,164
1698414839338.0,261,569,282
1698414839418.0,380,875,459
1698414839500.0,487,1168,637
1698414839578.0,542,1305,721
1698414839661.0,593,1232,592
1698414839738.0,660,1061,324
1698414839818.0,626,940,149
1698414839900.0,546,871,75
1698414839978.0,557,848,45
1698414840060.0,588,829,30
1698414840138.0,597,843,16
1698414840218.0,632,940,113
1698414840300.0,627,1119,401
1698414840378.0,560,1238,658
1698414840460.0,536,1262,760
1698414840538.0,476,1093,698
1698414840618.0,415,809,465
1698414840700.0,385,593,252
1698414840778.0,292,354,36
1698414840861.0,243,293,21
1698414840938.0,238,311,69
1698414841018.0,287,427,167
1698414841100.0,405,760,324
1698414841178.0,548,1084,469
1698414841258.0,649,1136,477
1698414841338.0,780,1148,373
1698414841418.0,791,1013,219
1698414841498.0,666,868,119
1698414841578.0,644,894,112
1698414841658.0,631,846,118
1698414841738.0,597,802,111
1698414841818.0,626,868,176
1698414841898.0,620,954,351
1698414841978.0,510,1058,611
1698414842058.0,468,1165,783
1698414842138.0,515,1174,787
1698414842218.0,458,1042,694
1698414842298.0,343,812,552
1698414842377.0,282,611,433
1698414842458.0,272,504,318
1698414842617.0,307,461,146
1698414842697.0,291,406,126
1698414842778.0,275,464,225
1698414842857.0,386,737,413
1698414842937.0,534,1080,618
1698414843018.0,548,1211,731
1698414843097.0,600,1233,606
1698414843177.0,653,1173,419
1698414843258.0,604,1020,256
1698414843337.0,584,929,149
1698414843417.0,594,852,138
1698414843498.0,594,833,148
1698414843577.0,598,953,249
1698414843657.0,571,1172,535
1698414843738.0,551,1286,750
1698414843817.0,555,1261,763
1698414843897.0,481,1059,637
1698414843977.0,383,719,417
