ts,steps
1698414828466.0,1509
1698414829027.0,1510
1698414830067.0,1511
1698414830784.0,1512
1698414831344.0,1513
1698414831827.0,1514
1698414832384.0,1515
1698414832864.0,1516
1698414833344.0,1517
1698414833984.0,1518
1698414834944.0,1519
1698414835663.0,1520
1698414836543.0,1521
1698414837343.0,1522
1698414837743.0,1523
1698414838143.0,1524
1698414838943.0,1525
1698414839905.0,1526
1698414840783.0,1527
1698414841583.0,1528
1698414842465.0,1529
1698414843342.0,1530
1698414844065.0,1531
1698414844542.0,1532
1698414844942.0,1533
1698414845822.0,1534
1698414846702.0,1535
1698414847582.0,1536
1698414848464.0,1537
1698414849181.0,1538
1698414850144.0,1539
1698414850942.0,1540
1698414851821.0,1541
1698414852703.0,1542
1698414853581.0,1543
1698414854380.0,1544
1698414855260.0,1545
1698414855980.0,1546
1698414856620.0,1547
1698414857260.0,1548
