timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698422015.007,-4,-51,-993,119,-32,32,-2001,943,844,276,226,0,1,0
1698422015.03,-4,-52,-997,189,-45,5,-2000,943,845,202,251,0,2,23
1698422015.044,0,-49,-997,258,-36,11,-2000,941,845,220,257,0,1,0
1698422015.06,1,-45,-995,296,-17,35,-1999,941,845,318,232,0,25,0
1698422015.09,1,-38,-991,286,15,40,-2000,939,844,211,258,0,35,0
1698422015.104,0,-34,-991,243,40,22,-1999,938,844,365,242,0,21,0
1698422015.121,1,-29,-988,175,58,2,-1999,937,843,334,246,0,63,0
1698422015.15,2,-26,-986,95,69,-8,-1999,937,843,416,233,0,54,0
1698422015.165,3,-24,-985,24,80,-2,-1999,935,843,417,232,0,52,20
1698422015.188,4,-23,-984,-34,98,9,-2000,934,842,468,228,0,47,29
1698422015.202,4,-22,-983,-95,113,25,-2001,935,840,467,241,0,72,26
1698422015.226,3,-22,-982,-171,127,40,-2000,935,840,434,249,0,51,70
1698422015.24,3,-24,-984,-261,152,51,-2000,936,842,369,236,0,35,0
1698422015.27,1,-47,-994,-158,156,28,-2000,937,843,314,238,0,56,5
1698422015.285,0,-41,-996,-52,120,32,-1999,938,842,360,224,0,69,28
1698422015.3,-1,-43,-997,-17,77,33,-2000,939,842,363,232,0,51,26
1698422015.33,-2,-44,-995,3,51,33,-2000,939,841,239,242,0,55,13
1698422015.346,-2,-45,-993,16,49,33,-2000,941,842,227,243,0,101,6
1698422015.374,-3,-45,-993,26,50,30,-2000,941,841,224,245,0,92,10
1698422015.39,-4,-46,-993,30,39,30,-2000,942,840,233,244,0,77,18
1698422015.404,-3,-46,-994,34,27,29,-2001,942,840,234,247,0,59,10
1698422015.428,-4,-47,-992,36,32,30,-2001,943,841,235,247,0,69,22
1698422015.442,-4,-47,-992,33,37,30,-2001,943,840,233,246,0,63,25
1698422015.472,-4,-47,-991,38,39,28,-2001,944,840,224,238,0,66,38
1698422015.488,-3,-47,-991,42,40,30,-2002,944,840,234,239,0,87,42
1698422015.518,-3,-47,-992,43,45,28,-2002,944,841,220,238,0,113,39
1698422015.522,-3,-48,-991,42,48,26,-2002,944,841,222,253,0,79,46
1698422015.548,-2,-48,-990,42,52,25,-2003,943,841,215,287,0,113,40
1698422015.57,-3,-49,-990,41,54,26,-2003,943,842,219,289,0,86,39
1698422015.585,-3,-49,-991,41,50,28,-2003,942,844,217,278,0,128,20
1698422015.607,-4,-49,-992,40,49,29,-2003,943,843,219,274,0,100,15
1698422015.623,-4,-49,-992,41,49,32,-2003,942,842,220,264,0,113,23
1698422015.645,-3,-50,-993,40,43,33,-2003,941,842,208,270,0,123,0
1698422015.66,-3,-50,-994,36,33,34,-2004,942,842,226,277,0,113,0
1698422015.682,-3,-49,-994,33,23,31,-2003,942,841,190,220,0,130,0
1698422015.705,-2,-48,-994,32,13,34,-2003,942,841,192,214,0,106,25
1698422015.72,-2,-49,-993,30,6,37,-2003,942,839,156,202,0,101,34
1698422015.743,-3,-48,-995,29,-1,38,-2004,942,840,152,162,0,110,23
1698422015.78,-2,-49,-993,27,-16,41,-2005,943,841,166,111,0,107,44
1698422015.784,-2,-50,-992,25,-27,48,-2005,944,841,207,47,0,101,50
1698422015.802,-1,-50,-992,25,-28,53,-2005,943,840,214,8,0,107,16
1698422015.824,0,-50,-992,33,-22,56,-2005,944,840,185,23,0,103,44
1698422015.84,3,-51,-990,41,-2,48,-2005,943,839,174,33,0,93,12
1698422015.862,4,-51,-991,45,24,38,-2004,943,838,176,36,0,91,10
1698422015.885,4,-50,-990,55,46,33,-2004,943,837,175,39,0,76,14
1698422015.9,4,-50,-990,60,56,27,-2005,943,836,176,42,0,79,18
1698422015.923,4,-51,-992,62,66,26,-2005,943,835,179,49,0,72,27
1698422015.945,3,-51,-992,67,60,26,-2005,943,835,184,52,0,69,22
1698422015.961,4,-52,-992,89,47,33,-2005,943,834,185,52,0,67,27
1698422015.983,9,-54,-992,121,40,74,-2005,943,835,209,56,0,39,1
1698422015.998,14,-55,-996,179,53,157,-2004,943,836,185,67,0,50,1
1698422016.02,11,-52,-1000,273,86,178,-2004,943,837,204,71,0,74,0
1698422016.043,5,-44,-998,315,97,149,-2005,943,838,213,83,0,81,0
1698422016.065,0,-35,-992,269,77,99,-2004,942,838,151,87,0,83,0
1698422016.08,-1,-30,-986,171,63,40,-2004,941,839,158,94,0,107,0
1698422016.103,2,-28,-983,53,67,12,-2004,940,839,231,92,0,94,0
1698422016.118,6,-29,-985,-29,76,40,-2004,941,840,231,92,0,101,0
1698422016.14,5,-31,-989,-59,92,70,-2003,940,841,385,82,0,89,0
1698422016.163,3,-33,-993,-45,90,79,-2004,939,841,416,73,0,78,0
1698422016.192,2,-34,-993,-28,63,88,-2003,939,841,234,86,0,102,0
1698422016.2,2,-35,-991,-22,35,98,-2003,939,840,190,88,0,104,5
1698422016.229,2,-36,-992,-15,23,108,-2002,939,841,176,90,0,102,2
1698422016.26,3,-37,-991,0,34,112,-2003,938,840,198,90,0,100,3
1698422016.264,3,-36,-991,6,53,107,-2003,939,840,213,93,0,91,5
1698422016.282,2,-36,-990,-10,72,95,-2002,938,839,211,88,0,98,8
1698422016.298,2,-36,-989,-37,83,86,-2002,939,840,200,89,0,106,12
1698422016.32,4,-38,-993,-52,86,68,-2002,940,840,225,80,0,111,20
1698422016.342,1,-41,-995,-30,55,56,-2002,940,841,198,76,0,126,25
1698422016.358,0,-42,-997,-22,4,49,-2002,940,841,188,62,0,116,24
1698422016.388,0,-44,-997,-16,-42,52,-2002,940,842,180,41,0,102,28
1698422016.402,1,-46,-994,0,-66,50,-2002,940,842,171,32,0,95,21
1698422016.425,5,-47,-990,23,-58,43,-2002,940,842,150,22,0,93,19
1698422016.44,9,-47,-986,44,-13,35,-2002,941,843,173,32,0,100,21
1698422016.47,10,-47,-987,54,56,30,-2003,941,843,189,34,0,99,21
1698422016.478,10,-47,-988,56,100,25,-2003,941,843,197,49,0,106,25
1698422016.5,9,-47,-989,50,117,23,-2004,941,842,196,49,0,119,25
1698422016.53,7,-47,-991,44,113,21,-2004,942,844,204,50,0,127,24
1698422016.538,7,-47,-990,38,102,21,-2005,942,843,205,45,0,125,27
1698422016.56,6,-47,-991,35,90,25,-2005,942,844,200,40,0,133,29
1698422016.598,5,-47,-992,36,74,26,-2005,941,844,211,51,0,104,42
1698422016.602,4,-47,-991,36,57,27,-2005,940,845,208,53,0,112,32
1698422016.62,3,-47,-993,36,33,30,-2004,941,846,207,66,0,105,34
1698422016.65,3,-48,-994,41,3,31,-2005,940,847,206,66,0,132,42
1698422016.658,3,-49,-992,43,-16,32,-2005,940,847,204,68,0,134,40
1698422016.68,5,-49,-992,49,-25,31,-2004,939,847,206,64,0,132,44
1698422016.703,6,-49,-990,51,-27,34,-2004,939,846,201,67,0,128,46
1698422016.74,9,-49,-990,51,-19,32,-2003,939,845,213,64,0,118,50
1698422016.744,10,-49,-990,50,-6,31,-2004,939,845,208,69,0,109,53
1698422016.763,11,-48,-989,50,5,28,-2003,940,846,211,64,0,117,76
1698422016.778,12,-48,-990,55,17,27,-2003,940,844,209,66,0,124,58
1698422016.808,12,-48,-991,53,30,27,-2003,939,844,219,63,0,117,51
1698422016.838,12,-48,-991,45,43,24,-2003,938,844,221,66,0,118,42
1698422016.842,12,-48,-992,43,48,23,-2003,939,843,216,68,0,128,34
1698422016.868,12,-48,-992,43,53,23,-2002,939,842,218,69,0,132,33
1698422016.882,13,-48,-992,41,51,23,-2002,940,840,228,72,0,128,39
1698422016.898,13,-47,-992,37,54,23,-2002,939,840,232,77,0,137,43
1698422016.935,13,-47,-990,38,69,20,-2003,939,840,221,74,0,140,48
1698422016.95,13,-48,-990,34,80,19,-2002,938,840,217,62,0,133,48
1698422016.958,13,-48,-990,36,87,19,-2002,939,840,216,53,0,127,39
1698422016.98,12,-49,-990,36,89,22,-2001,939,840,195,57,0,120,72
1698422017.003,11,-50,-991,36,85,21,-2002,940,840,194,55,0,107,74
1698422017.025,11,-49,-991,37,78,22,-2002,939,839,198,57,0,124,71
1698422017.04,11,-49,-992,38,79,23,-2003,938,841,190,54,0,99,106
1698422017.07,10,-49,-991,40,85,22,-2004,938,843,193,54,0,110,71
1698422017.085,9,-49,-993,39,88,21,-2004,937,842,203,69,0,124,27
1698422017.1,8,-49,-991,40,83,24,-2004,938,841,199,84,0,114,19
1698422017.123,8,-49,-990,41,72,24,-2005,938,841,186,91,0,165,24
1698422017.153,8,-49,-990,38,68,24,-2005,938,841,200,108,0,164,18
1698422017.16,7,-50,-989,36,66,24,-2004,939,841,203,125,0,161,17
1698422017.183,6,-50,-991,36,68,23,-2005,940,842,212,117,0,167,18
1698422017.213,6,-50,-991,36,69,23,-2005,941,841,211,108,0,170,26
1698422017.22,6,-50,-992,38,68,25,-2005,941,841,201,107,0,187,77
1698422017.243,5,-50,-992,37,67,25,-2004,941,842,200,128,0,209,24
1698422017.257,5,-50,-992,40,70,26,-2005,941,842,207,124,0,167,37
1698422017.28,4,-50,-993,38,66,26,-2005,942,841,208,126,0,158,48
1698422017.303,4,-50,-992,38,61,28,-2005,942,842,209,117,0,160,57
1698422017.318,4,-51,-992,41,56,27,-2004,943,841,207,118,0,169,60
