timestamp,accGx,accGy,accGz
1698414992.013,521,872,253
1698414992.093,515,862,265
1698414992.173,515,866,270
1698414992.252,516,855,274
1698414992.335,520,850,278
1698414992.413,524,858,284
1698414992.492,524,867,282
1698414992.572,521,864,282
1698414992.653,516,852,276
1698414992.735,518,852,266
1698414992.812,520,857,257
1698414992.893,517,855,252
1698414992.972,515,856,255
1698414993.052,515,861,257
1698414993.135,515,858,255
1698414993.212,513,855,254
1698414993.292,516,858,259
1698414993.373,519,857,266
1698414993.452,522,853,267
1698414993.535,525,854,266
1698414993.612,524,856,266
1698414993.696,522,857,268
1698414993.772,532,871,279
1698414993.852,524,864,273
1698414993.934,520,852,261
1698414994.012,524,856,252
1698414994.095,524,853,242
1698414994.172,515,847,241
1698414994.252,612,942,355
1698414994.334,662,991,417
1698414994.412,588,925,340
1698414994.495,555,886,292
1698414994.574,540,867,266
1698414994.652,533,864,252
1698414994.734,527,855,245
1698414994.812,572,839,231
1698414994.895,594,841,236
1698414994.972,554,852,260
1698414995.052,538,856,268
1698414995.134,533,855,263
1698414995.212,527,853,258
1698414995.295,524,852,266
1698414995.372,519,809,257
1698414995.452,528,816,258
1698414995.534,531,829,265
1698414995.612,531,846,267
1698414995.694,528,852,267
1698414995.772,522,856,273
1698414995.852,502,797,259
1698414995.934,494,766,246
1698414996.012,508,814,257
1698414996.094,516,837,261
1698414996.172,521,854,263
1698414996.252,523,861,268
1698414996.334,520,856,265
1698414996.412,521,818,222
1698414996.495,528,812,201
1698414996.572,531,853,228
1698414996.652,529,858,236
1698414996.734,539,852,220
1698414996.812,547,853,217
1698414996.894,546,850,221
1698414996.972,555,846,218
1698414997.052,563,852,215
1698414997.134,558,855,217
1698414997.212,553,845,200
1698414997.294,546,837,174
1698414997.372,523,804,169
1698414997.452,501,763,173
1698414997.534,500,777,191
1698414997.612,502,823,241
1698414997.695,485,883,319
1698414997.772,471,964,400
1698414997.852,380,1024,572
1698414997.935,300,1014,772
1698414998.012,338,946,847
1698414998.094,354,878,829
1698414998.172,327,882,791
1698414998.252,299,869,738
1698414998.333,283,828,654
1698414998.412,282,766,575
1698414998.494,282,696,494
1698414998.571,278,651,396
1698414998.652,342,616,295
1698414998.734,515,747,306
1698414998.811,607,824,294
1698414998.892,545,822,257
1698414998.971,534,848,255
1698414999.051,501,833,249
1698414999.134,493,838,236
1698414999.211,539,880,245
1698414999.291,500,860,194
1698414999.372,465,834,183
1698414999.451,509,871,222
1698414999.531,520,882,224
1698414999.612,521,856,235
1698414999.691,528,858,235
1698414999.771,528,856,223
1698414999.851,529,843,224
1698414999.933,542,862,226
1698415000.011,538,868,222
1698415000.091,518,851,224
1698415000.171,524,858,237
1698415000.251,530,876,247
1698415000.334,518,861,244
1698415000.411,525,869,249
1698415000.491,525,875,253
1698415000.571,515,882,236
1698415000.651,512,890,222
1698415000.733,511,891,219
1698415000.811,510,882,222
1698415000.891,515,868,229
1698415000.971,522,867,230
1698415001.051,522,859,217
1698415001.133,518,848,204
1698415001.211,518,861,209
1698415001.291,520,874,221
1698415001.371,518,873,228
1698415001.451,513,870,232
1698415001.531,520,867,228
1698415001.611,531,870,221
1698415001.691,472,776,159
1698415001.771,434,720,134
1698415001.851,481,789,185
1698415001.934,523,847,217
1698415002.011,526,863,229
1698415002.091,521,857,236
1698415002.171,552,854,198
1698415002.251,573,876,191
1698415002.333,535,891,224
1698415002.411,502,882,227
1698415002.491,485,873,236
1698415002.571,485,881,251
1698415002.651,488,885,253
1698415002.733,503,909,275
1698415002.811,500,937,285
1698415002.891,466,931,245
1698415002.971,449,929,218
1698415003.051,459,938,209
1698415003.133,472,924,194
1698415003.211,472,895,176
1698415003.291,460,880,210
1698415003.371,469,897,230
1698415003.451,502,908,195
