ts,alpha,beta,gamma
1698414992015.0,-344,356,519
1698414992095.0,-350,360,515
1698414992175.0,-360,350,524
1698414992255.0,-349,356,525
1698414992338.0,-355,355,528
1698414992415.0,-334,348,525
1698414992495.0,-363,341,518
1698414992575.0,-357,359,515
1698414992655.0,-351,365,517
1698414992738.0,-352,357,521
1698414992815.0,-358,347,513
1698414992895.0,-359,351,525
1698414992975.0,-361,357,515
1698414993055.0,-353,358,527
1698414993137.0,-355,364,520
1698414993215.0,-352,352,522
1698414993295.0,-369,365,529
1698414993375.0,-361,352,527
1698414993455.0,-350,353,516
1698414993538.0,-355,345,519
1698414993615.0,-351,351,521
1698414993698.0,-351,356,519
1698414993775.0,-362,357,515
1698414993855.0,-355,352,519
1698414993937.0,-356,343,527
1698414994015.0,-365,349,509
1698414994098.0,-352,361,532
1698414994175.0,-360,348,521
1698414994255.0,-352,349,521
1698414994337.0,-352,355,518
1698414994415.0,-354,354,530
1698414994497.0,-354,357,529
1698414994576.0,-356,350,509
1698414994655.0,-365,355,527
1698414994737.0,-358,348,526
1698414994815.0,-357,355,533
1698414994897.0,-346,356,529
1698414994975.0,-364,345,510
1698414995055.0,-361,359,524
1698414995136.0,-359,348,514
1698414995215.0,-356,354,517
1698414995298.0,-355,348,523
1698414995375.0,-364,363,523
1698414995455.0,-351,363,515
1698414995537.0,-348,348,522
1698414995615.0,-363,353,525
1698414995697.0,-366,350,516
1698414995775.0,-355,364,522
1698414995855.0,-353,346,520
1698414995936.0,-361,349,514
1698414996015.0,-360,354,525
1698414996097.0,-350,344,523
1698414996175.0,-354,355,509
1698414996255.0,-347,357,522
1698414996336.0,-366,356,516
1698414996414.0,-359,357,525
1698414996497.0,-359,346,520
1698414996574.0,-356,359,523
1698414996654.0,-354,337,531
1698414996736.0,-364,351,520
1698414996814.0,-368,342,517
1698414996897.0,-370,343,528
1698414996975.0,-360,355,530
1698414997054.0,-367,344,528
1698414997136.0,-364,355,518
1698414997215.0,-363,339,515
1698414997297.0,-359,340,516
1698414997374.0,-376,343,515
1698414997455.0,-355,345,518
1698414997537.0,-355,360,505
1698414997614.0,-351,354,504
1698414997697.0,-334,365,483
1698414997774.0,-335,367,476
1698414997854.0,-304,346,462
1698414997937.0,-291,353,440
1698414998014.0,-285,345,446
1698414998097.0,-295,356,448
1698414998175.0,-298,355,453
1698414998254.0,-302,352,453
1698414998336.0,-319,362,472
1698414998414.0,-329,361,475
1698414998497.0,-339,363,494
1698414998574.0,-350,351,499
1698414998654.0,-344,356,511
1698414998736.0,-353,354,529
1698414998814.0,-340,358,518
1698414998894.0,-341,361,515
1698414998974.0,-339,362,523
1698414999054.0,-341,367,523
1698414999136.0,-344,360,527
1698414999214.0,-348,356,523
1698414999297.0,-348,350,529
1698414999374.0,-343,366,532
1698414999454.0,-340,354,525
1698414999534.0,-330,348,528
1698414999614.0,-344,349,532
1698414999696.0,-343,359,519
1698414999774.0,-346,355,531
1698414999854.0,-348,347,529
1698414999936.0,-345,351,513
1698415000014.0,-354,361,528
1698415000097.0,-336,358,524
1698415000174.0,-335,361,534
1698415000254.0,-348,350,527
1698415000336.0,-339,363,528
1698415000414.0,-347,362,529
1698415000496.0,-350,360,526
1698415000574.0,-341,356,523
1698415000654.0,-345,364,533
1698415000736.0,-354,359,523
1698415000814.0,-336,365,527
1698415000896.0,-338,365,518
1698415000974.0,-349,354,527
1698415001054.0,-346,364,526
1698415001136.0,-347,363,530
1698415001214.0,-348,357,532
1698415001297.0,-332,361,530
1698415001374.0,-331,364,525
1698415001454.0,-341,355,537
1698415001534.0,-339,363,538
1698415001614.0,-343,352,529
1698415001696.0,-335,367,527
1698415001774.0,-346,365,532
1698415001854.0,-341,358,521
1698415001937.0,-342,365,527
1698415002014.0,-338,367,537
1698415002096.0,-348,364,531
1698415002174.0,-339,364,531
1698415002254.0,-344,369,531
1698415002336.0,-342,373,527
1698415002413.0,-333,381,528
1698415002496.0,-339,375,532
1698415002573.0,-336,377,526
1698415002653.0,-342,377,529
1698415002736.0,-336,390,537
1698415002813.0,-330,396,531
1698415002896.0,-343,387,540
1698415002974.0,-326,391,543
1698415003053.0,-326,397,542
1698415003136.0,-338,385,533
1698415003214.0,-343,380,542
1698415003296.0,-340,372,529
1698415003373.0,-341,374,545
1698415003454.0,-339,369,537
