ts(msec),PPG
1698414992010.183,21917.0
1698414992030.612,21912.0
1698414992051.041,21911.0
1698414992071.4695,21912.0
1698414992091.8984,21904.0
1698414992112.3274,21906.0
1698414992132.756,21896.0
1698414992153.1848,21895.0
1698414992173.6135,21899.0
1698414992194.0425,21891.0
1698414992214.4712,21895.0
1698414992234.9,21896.0
1698414992255.3289,21902.0
1698414992275.7576,21898.0
1698414992296.1863,21899.0
1698414992316.6152,21898.0
1698414992337.044,21900.0
1698414992357.473,21903.0
1698414992377.9016,21901.0
1698414992398.3303,21904.0
1698414992418.759,21897.0
1698414992439.188,21903.0
1698414992459.6167,21907.0
1698414992480.0454,21908.0
1698414992500.474,21910.0
1698414992520.903,21912.0
1698414992541.3318,21917.0
1698414992561.7605,21919.0
1698414992582.1897,21907.0
1698414992602.6182,21911.0
1698414992623.0469,21906.0
1698414992643.4758,21905.0
1698414992663.9043,21894.0
1698414992684.3333,21900.0
1698414992704.7622,21886.0
1698414992725.191,21889.0
1698414992745.6196,21879.0
1698414992766.0486,21878.0
1698414992786.4773,21870.0
1698414992806.906,21867.0
1698414992827.335,21871.0
1698414992847.7637,21857.0
1698414992868.1924,21855.0
1698414992888.621,21860.0
1698414992909.05,21857.0
1698414992929.4788,21858.0
1698414992949.9077,21853.0
1698414992970.3364,21848.0
1698414992990.7651,21843.0
1698414993011.1938,21844.0
1698414993031.6228,21835.0
1698414993052.0515,21835.0
1698414993072.4802,21826.0
1698414993092.9092,21823.0
1698414993113.338,21820.0
1698414993133.7666,21821.0
1698414993154.1956,21821.0
1698414993174.6245,21816.0
1698414993195.053,21817.0
1698414993215.482,21818.0
1698414993235.9106,21823.0
1698414993256.3394,21833.0
1698414993276.768,21834.0
1698414993297.197,21838.0
1698414993317.6255,21840.0
1698414993338.0544,21848.0
1698414993358.4834,21844.0
1698414993378.912,21848.0
1698414993399.3408,21851.0
1698414993419.7698,21847.0
1698414993440.1985,21844.0
1698414993460.6272,21848.0
1698414993481.0562,21840.0
1698414993501.4849,21828.0
1698414993521.9136,21830.0
1698414993542.3423,21823.0
1698414993562.7712,21822.0
1698414993583.2,21809.0
1698414993603.629,21801.0
1698414993624.0576,21801.0
1698414993644.4863,21800.0
1698414993664.915,21783.0
1698414993685.344,21775.0
1698414993705.7727,21758.0
1698414993726.2014,21745.0
1698414993746.6304,21736.0
1698414993767.059,21738.0
1698414993787.4878,21731.0
1698414993807.9167,21737.0
1698414993828.3457,21734.0
1698414993848.7742,21733.0
1698414993869.2031,21744.0
1698414993889.6318,21749.0
1698414993910.0603,21748.0
1698414993930.4895,21758.0
1698414993950.9182,21765.0
1698414993971.347,21762.0
1698414993991.776,21770.0
1698414994012.2046,21781.0
1698414994032.6333,21786.0
1698414994053.062,21792.0
1698414994073.491,21796.0
1698414994093.9197,21798.0
1698414994114.3484,21802.0
1698414994134.777,21803.0
1698414994155.206,21803.0
1698414994175.6348,21804.0
1698414994196.0637,21802.0
1698414994216.4924,21799.0
1698414994236.9211,21807.0
1698414994257.35,21801.0
1698414994277.7788,21794.0
1698414994298.2075,21793.0
1698414994318.6365,21789.0
1698414994339.0652,21794.0
1698414994359.494,21785.0
1698414994379.9226,21786.0
1698414994400.3516,21784.0
1698414994420.7805,21780.0
1698414994441.209,21774.0
1698414994461.638,21776.0
1698414994482.067,21772.0
1698414994502.4954,21776.0
1698414994522.9243,21770.0
1698414994543.353,21772.0
1698414994563.7815,21771.0
1698414994584.2107,21769.0
1698414994604.6394,21775.0
1698414994625.068,21765.0
1698414994645.497,21767.0
1698414994665.9258,21772.0
1698414994686.3545,21775.0
1698414994706.7834,21777.0
1698414994727.2122,21770.0
1698414994747.6409,21780.0
