ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698419978016.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.4,0.2,0.2
1698419978033.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.30000000000000004,0.2,0.1
1698419978049.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.4,0.30000000000000004,0.30000000000000004
1698419978066.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,0.30000000000000004,0.1
1698419978083.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,0.2,0.1
1698419978099.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.5,0.0,-0.1
1698419978116.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.6000000000000001,-0.30000000000000004,-0.1
1698419978133.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.6000000000000001,-0.4,-0.1
1698419978149.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.8,-0.5,-0.4
1698419978166.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.8,-0.6000000000000001,-0.4
1698419978186.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.8,-0.7,-0.2
1698419978199.0,16,0.0,0.0,0.0,-1.0,9.600000000000001,-0.30000000000000004,0.5,-0.9,-0.2
1698419978216.0,16,0.0,0.0,0.0,-1.0,9.600000000000001,-0.30000000000000004,0.5,-0.7,-0.2
1698419978233.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,-0.5,-0.2
1698419978249.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.6000000000000001,-0.6000000000000001,0.0
1698419978266.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,-0.6000000000000001,0.1
1698419978283.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.6000000000000001,-0.7,0.1
1698419978299.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.8,-0.8,0.1
1698419978316.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.6000000000000001,-0.9,0.1
1698419978333.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.6000000000000001,-1.0,0.2
1698419978350.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.4,-1.0999999999999999,-0.1
1698419978366.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.4,-0.9,-0.1
1698419978383.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.6000000000000001,-0.9,-0.2
1698419978399.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,-0.8,-0.1
1698419978416.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,-0.8,0.0
1698419978433.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,-0.6000000000000001,-0.1
1698419978449.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.30000000000000004,-0.8,0.1
1698419978466.0,16,0.1,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.30000000000000004,-0.6000000000000001,0.1
1698419978483.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.30000000000000004,-0.5,-0.1
1698419978500.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.4,-0.5,0.0
1698419978517.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.2,-0.30000000000000004,0.2
1698419978533.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.2,-0.30000000000000004,0.2
1698419978549.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,-0.5,0.2
1698419978566.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,-0.30000000000000004,-0.1
1698419978583.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,-0.4,0.0
1698419978600.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.2,-0.30000000000000004,0.0
1698419978617.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.0,-0.1,-0.2
1698419978633.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.0,-0.1,-0.1
1698419978649.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.0,-0.1,-0.1
1698419978666.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.0,0.0,-0.1
1698419978683.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,-0.1,-0.1
1698419978700.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.0,-0.2,-0.1
1698419978716.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.0,-0.30000000000000004,0.0
1698419978733.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.0,-0.4,0.0
1698419978749.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.2,-0.5,0.1
1698419978766.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,-0.1,-0.30000000000000004,-0.1
1698419978783.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,-0.30000000000000004,-0.1
1698419978799.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,-0.30000000000000004,-0.1
1698419978816.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.1,-0.4,-0.1
1698419978833.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,-0.2,-0.1
1698419978852.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,-0.30000000000000004,0.0
1698419978866.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,-0.1,0.1
1698419978883.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.0,-0.1
1698419978899.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.2,0.0,0.0
1698419978916.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.30000000000000004,0.0,-0.2
1698419978933.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.0,0.1
1698419978949.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,-0.1,0.1
1698419978966.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.5,0.0,0.0
1698419978983.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,-0.1,0.0
1698419978999.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.2,-0.2,0.0
1698419979016.0,16,0.0,0.1,0.0,-1.0,9.600000000000001,-0.30000000000000004,0.0,-0.30000000000000004,0.1
1698419979033.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.30000000000000004,-0.2,0.0
1698419979050.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.2,-0.1,0.0
1698419979066.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,-0.1,-0.1,0.0
1698419979083.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,-0.1,0.1
1698419979100.0,16,0.0,-0.1,0.0,-1.0,9.5,-0.4,0.2,0.0,-0.1
1698419979116.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.1,-0.1
1698419979133.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.4,0.0,-0.1
1698419979149.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.4,0.0,-0.1
1698419979166.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.30000000000000004,0.1,-0.30000000000000004
1698419979183.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.4,0.2,-0.30000000000000004
1698419979199.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.5,0.30000000000000004,-0.2
1698419979216.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.30000000000000004,-0.2
1698419979233.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.30000000000000004,0.30000000000000004,-0.2
1698419979249.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.30000000000000004,-0.1
1698419979266.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.2,0.2,-0.1
1698419979283.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,0.5,-0.1
1698419979299.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,0.1,0.4,-0.1
1698419979316.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.1,0.30000000000000004,-0.1
1698419979333.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,-0.1,0.30000000000000004,0.0
1698419979349.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,-0.2,0.30000000000000004,0.0
1698419979366.0,16,0.0,0.0,0.0,-1.0,9.5,-0.30000000000000004,-0.30000000000000004,0.4,-0.1
1698419979383.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,-0.30000000000000004,0.30000000000000004,-0.2
1698419979399.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,-0.4,0.30000000000000004,-0.2
1698419979416.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,-0.30000000000000004,0.2,-0.2
1698419979433.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,-0.30000000000000004,0.1,-0.30000000000000004
1698419979450.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,-0.30000000000000004,0.2,-0.2
1698419979466.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,-0.2,0.2,-0.30000000000000004
1698419979483.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,-0.1,0.1,-0.2
1698419979499.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,-0.1,0.2,-0.2
1698419979516.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.0,0.2,-0.2
1698419979533.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.0,0.30000000000000004,-0.2
1698419979549.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.0,0.30000000000000004,-0.1
1698419979566.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.0,0.5,-0.1
1698419979583.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.2,0.4,-0.2
1698419979599.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.30000000000000004,-0.2
1698419979616.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.4,-0.2
1698419979633.0,16,0.0,0.0,0.0,-1.0,9.5,-0.4,0.30000000000000004,0.4,-0.1
1698419979649.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.4,0.5,-0.2
1698419979666.0,16,0.0,0.0,0.0,-1.1,9.5,-0.4,0.30000000000000004,0.5,-0.2
1698419979683.0,16,0.0,0.0,0.0,-1.1,9.5,-0.30000000000000004,0.5,0.7,-0.30000000000000004
1698419979699.0,16,0.0,0.0,0.1,-1.1,9.5,-0.30000000000000004,0.6000000000000001,1.0,-0.6000000000000001
1698419979716.0,16,-0.1,0.0,0.1,-1.1,9.600000000000001,-0.30000000000000004,0.6000000000000001,1.3,-0.7
1698419979733.0,16,-0.1,0.0,0.0,-1.2000000000000002,9.5,-0.30000000000000004,0.2,1.4,-0.9
1698419979749.0,16,-0.1,0.0,0.1,-1.2000000000000002,9.600000000000001,-0.30000000000000004,-0.2,1.4,-1.3
1698419979766.0,16,-0.2,0.1,0.1,-1.3,9.600000000000001,-0.30000000000000004,-0.5,1.9,-1.7
1698419979783.0,16,-0.2,0.0,0.1,-1.3,9.5,-0.30000000000000004,-0.9,2.4000000000000004,-2.1
1698419979799.0,16,-0.2,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-1.0,2.4000000000000004,-1.8
1698419979816.0,16,-0.2,0.1,0.1,-1.4000000000000001,9.600000000000001,-0.2,-1.0999999999999999,2.1,-1.8
1698419979833.0,16,-0.30000000000000004,0.0,0.1,-1.4000000000000001,9.600000000000001,-0.2,-0.8,2.1999999999999997,-1.5000000000000002
1698419979849.0,16,-0.30000000000000004,0.0,0.0,-1.5,9.600000000000001,-0.4,-1.0999999999999999,1.3,-1.4
1698419979867.0,16,-0.30000000000000004,0.0,0.0,-1.5,9.600000000000001,-0.30000000000000004,-1.9,-0.1,-1.0
1698419979883.0,16,-0.2,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-2.3000000000000003,-0.8,-0.7
1698419979899.0,16,-0.2,0.0,0.0,-1.4000000000000001,9.5,-0.4,-3.1,-1.9,-0.4
1698419979916.0,16,-0.2,0.0,0.0,-1.4000000000000001,9.4,-0.30000000000000004,-3.4,-2.1,-0.2
1698419979932.0,16,-0.2,-0.1,-0.1,-1.4000000000000001,9.4,-0.4,-3.4,-3.1,0.4
1698419979949.0,16,-0.2,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.6,-3.6,1.0
1698419979966.0,16,-0.1,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.6,-3.9,1.0999999999999999
1698419979982.0,16,-0.1,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.7000000000000006,-4.3999999999999995,1.0999999999999999
1698419979999.0,16,-0.1,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.7000000000000006,-5.0,1.2000000000000002
1698419980016.0,16,-0.1,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.7000000000000006,-5.300000000000001,1.4
1698419980035.0,16,-0.1,0.0,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.9,-6.3,1.7
1698419980049.0,16,-0.1,-0.1,0.0,-1.4000000000000001,9.5,-0.30000000000000004,-3.9,-7.300000000000001,1.8
1698419980066.0,16,0.0,0.0,-0.1,-1.3,9.5,-0.30000000000000004,-4.1000000000000005,-7.8,1.8
