timestamp,accGGx,accGGy,accGGz
1698419978.052,0.28,0.84,-0.437
1698419978.132,0.297,0.862,-0.389
1698419978.212,0.295,0.846,-0.449
1698419978.292,0.297,0.842,-0.471
1698419978.372,0.308,0.843,-0.473
1698419978.452,0.324,0.853,-0.463
1698419978.532,0.33,0.857,-0.456
1698419978.612,0.263,0.83,-0.587
1698419978.693,0.233,0.794,-0.66
1698419978.772,0.29,0.793,-0.58
1698419978.852,0.298,0.798,-0.537
1698419978.932,0.296,0.799,-0.541
1698419979.012,0.309,0.802,-0.539
1698419979.092,0.292,0.834,-0.553
1698419979.172,0.277,0.848,-0.56
1698419979.252,0.281,0.824,-0.544
1698419979.332,0.28,0.806,-0.531
1698419979.412,0.29,0.798,-0.522
1698419979.492,0.307,0.804,-0.521
1698419979.572,0.32,0.815,-0.525
1698419979.652,0.337,0.82,-0.511
1698419979.731,0.345,0.805,-0.502
1698419979.811,0.339,0.784,-0.506
1698419979.892,0.339,0.78,-0.516
1698419979.971,0.344,0.779,-0.532
1698419980.051,0.348,0.772,-0.531
1698419980.132,0.347,0.766,-0.532
1698419980.211,0.354,0.761,-0.551
1698419980.291,0.366,0.757,-0.562
1698419980.372,0.372,0.774,-0.557
1698419980.451,0.365,0.789,-0.547
1698419980.531,0.371,0.762,-0.521
1698419980.612,0.377,0.757,-0.527
1698419980.691,0.376,0.755,-0.537
1698419980.771,0.373,0.755,-0.539
1698419980.852,0.376,0.764,-0.537
1698419980.931,0.374,0.773,-0.539
1698419981.011,0.37,0.783,-0.542
1698419981.091,0.363,0.779,-0.548
1698419981.171,0.358,0.773,-0.552
1698419981.251,0.379,0.805,-0.483
1698419981.331,0.389,0.82,-0.454
1698419981.411,0.373,0.801,-0.51
1698419981.491,0.363,0.78,-0.525
1698419981.572,0.36,0.762,-0.522
1698419981.651,0.362,0.772,-0.52
1698419981.731,0.364,0.792,-0.52
1698419981.814,0.368,0.74,-0.537
1698419981.891,0.363,0.711,-0.541
1698419981.971,0.356,0.752,-0.529
1698419982.054,0.354,0.766,-0.516
1698419982.131,0.326,0.762,-0.528
1698419982.211,0.345,0.779,-0.513
1698419982.291,0.364,0.782,-0.511
1698419982.371,0.384,0.775,-0.494
1698419982.453,0.404,0.767,-0.475
1698419982.531,0.427,0.764,-0.475
1698419982.614,0.437,0.757,-0.478
1698419982.691,0.407,0.715,-0.492
1698419982.771,0.335,0.768,-0.621
1698419982.853,0.351,0.848,-0.712
1698419982.931,0.427,0.818,-0.639
1698419983.014,0.443,0.829,-0.615
1698419983.091,0.453,0.903,-0.626
1698419983.171,0.476,0.836,-0.487
1698419983.253,0.435,0.788,-0.379
1698419983.331,0.36,0.777,-0.4
1698419983.414,0.39,0.739,-0.572
1698419983.491,0.409,0.902,-0.718
1698419983.571,0.295,0.995,-0.633
1698419983.652,0.153,1.022,-0.633
1698419983.731,0.191,0.588,-0.462
1698419983.813,0.268,0.599,-0.391
1698419983.891,0.376,0.966,-0.587
1698419983.971,0.492,1.136,-0.597
1698419984.052,0.491,0.997,-0.37
1698419984.131,0.321,0.785,-0.348
1698419984.214,0.24,0.635,-0.396
1698419984.291,0.344,0.718,-0.406
1698419984.371,0.352,0.98,-0.484
1698419984.452,0.229,1.179,-0.624
1698419984.531,0.225,0.995,-0.588
1698419984.612,0.297,0.709,-0.33
1698419984.691,0.334,0.645,-0.273
1698419984.771,0.422,0.878,-0.467
1698419984.851,0.521,1.015,-0.479
1698419984.931,0.484,0.971,-0.396
1698419985.011,0.351,0.777,-0.382
1698419985.091,0.272,0.636,-0.358
1698419985.171,0.298,0.772,-0.402
1698419985.251,0.367,1.007,-0.495
1698419985.331,0.246,1.017,-0.556
1698419985.411,0.269,0.711,-0.39
1698419985.491,0.301,0.515,-0.279
1698419985.571,0.399,0.675,-0.399
1698419985.651,0.472,0.992,-0.452
1698419985.73,0.459,1.151,-0.394
1698419985.81,0.381,0.975,-0.377
1698419985.891,0.272,0.679,-0.32
1698419985.97,0.247,0.593,-0.327
1698419986.051,0.404,0.708,-0.409
1698419986.131,0.414,1.052,-0.443
1698419986.21,0.217,1.166,-0.569
1698419986.29,0.223,0.893,-0.537
1698419986.371,0.3,0.631,-0.283
1698419986.45,0.323,0.566,-0.295
1698419986.53,0.441,0.751,-0.464
1698419986.611,0.519,0.862,-0.458
1698419986.69,0.491,0.923,-0.399
1698419986.77,0.392,0.836,-0.41
1698419986.851,0.263,0.668,-0.379
1698419986.93,0.417,0.611,-0.418
1698419987.01,0.404,0.867,-0.346
1698419987.09,0.167,1.113,-0.439
1698419987.17,0.228,0.98,-0.484
1698419987.25,0.308,0.808,-0.389
1698419987.33,0.273,0.617,-0.306
1698419987.41,0.289,0.594,-0.325
1698419987.49,0.317,0.802,-0.488
1698419987.57,0.391,1.028,-0.563
1698419987.65,0.422,1.021,-0.461
1698419987.73,0.316,0.837,-0.396
1698419987.81,0.269,0.704,-0.367
1698419987.958,0.323,0.727,-0.391
1698419988.018,0.411,0.858,-0.472
1698419988.05,0.406,1.019,-0.563
1698419988.168,0.336,0.998,-0.564
1698419988.21,0.282,0.837,-0.5
1698419988.379,0.274,0.772,-0.485
1698419988.45,0.308,0.771,-0.493
1698419988.53,0.348,0.875,-0.494
1698419988.61,0.38,0.856,-0.428
1698419988.69,0.396,0.857,-0.388
1698419988.771,0.387,0.879,-0.369
1698419988.85,0.386,0.858,-0.379
1698419988.93,0.386,0.849,-0.403
1698419989.01,0.407,0.82,-0.402
1698419989.09,0.446,0.818,-0.415
1698419989.17,0.448,0.819,-0.426
1698419989.25,0.439,0.794,-0.429
1698419989.33,0.446,0.786,-0.441
1698419989.41,0.447,0.793,-0.458
1698419989.49,0.406,0.847,-0.451
1698419989.57,0.386,0.861,-0.446
1698419989.65,0.417,0.824,-0.461
1698419989.73,0.43,0.811,-0.464
1698419989.81,0.44,0.8,-0.464
1698419989.89,0.447,0.8,-0.461
1698419989.97,0.451,0.794,-0.455
1698419990.05,0.445,0.849,-0.452
1698419990.13,0.451,0.822,-0.45
1698419990.21,0.455,0.789,-0.45
1698419990.29,0.454,0.782,-0.452
1698419990.37,0.453,0.78,-0.453
1698419990.45,0.453,0.777,-0.452
1698419990.53,0.461,0.777,-0.455
1698419990.61,0.467,0.774,-0.46
1698419990.69,0.469,0.782,-0.457
1698419990.77,0.471,0.784,-0.455
1698419990.85,0.467,0.786,-0.455
