timestamp,magnRawx,magnRawy,magnRawz
1698419978.055,-266,336,523
1698419978.134,-265,353,529
1698419978.215,-278,354,527
1698419978.294,-270,339,526
1698419978.374,-256,356,534
1698419978.455,-269,348,533
1698419978.534,-270,343,530
1698419978.617,-281,345,528
1698419978.695,-276,344,518
1698419978.774,-262,350,521
1698419978.854,-276,333,521
1698419978.934,-270,333,526
1698419979.017,-272,332,525
1698419979.094,-282,335,521
1698419979.175,-272,341,536
1698419979.254,-279,337,525
1698419979.334,-266,344,534
1698419979.417,-272,330,517
1698419979.494,-283,335,531
1698419979.574,-284,336,523
1698419979.654,-273,349,519
1698419979.734,-270,336,531
1698419979.817,-279,343,520
1698419979.895,-279,331,524
1698419979.974,-284,327,525
1698419980.054,-268,331,504
1698419980.134,-277,332,531
1698419980.217,-284,335,517
1698419980.294,-289,329,518
1698419980.374,-285,337,522
1698419980.454,-283,330,522
1698419980.534,-288,318,522
1698419980.617,-285,328,512
1698419980.694,-283,316,512
1698419980.774,-278,343,516
1698419980.854,-284,333,514
1698419980.934,-281,337,518
1698419981.016,-282,325,517
1698419981.094,-265,337,522
1698419981.174,-282,330,526
1698419981.254,-282,339,527
1698419981.334,-277,330,521
1698419981.417,-286,331,515
1698419981.494,-274,332,516
1698419981.574,-276,331,526
1698419981.654,-273,339,518
1698419981.734,-290,333,514
1698419981.817,-278,328,508
1698419981.894,-282,332,515
1698419981.974,-288,331,512
1698419982.057,-268,336,521
1698419982.134,-277,335,515
1698419982.216,-279,338,527
1698419982.294,-272,331,513
1698419982.374,-281,331,517
1698419982.456,-281,342,516
1698419982.534,-276,341,518
1698419982.616,-275,348,518
1698419982.694,-277,340,514
1698419982.774,-282,338,528
1698419982.856,-265,361,516
1698419982.934,-264,364,510
1698419983.016,-260,383,489
1698419983.094,-250,375,490
1698419983.174,-250,371,490
1698419983.256,-262,364,485
1698419983.334,-258,362,486
1698419983.416,-251,365,492
1698419983.494,-242,354,504
1698419983.574,-231,364,497
1698419983.655,-239,350,492
1698419983.734,-220,363,500
1698419983.816,-217,371,498
1698419983.894,-225,351,485
1698419983.974,-223,352,476
1698419984.055,-234,358,478
1698419984.133,-236,357,479
1698419984.216,-239,342,490
1698419984.293,-248,344,485
1698419984.373,-248,343,499
1698419984.455,-253,335,503
1698419984.533,-253,350,505
1698419984.614,-245,353,508
1698419984.694,-252,356,497
1698419984.773,-244,353,493
1698419984.854,-256,357,498
1698419984.934,-258,348,501
1698419985.013,-264,372,513
1698419985.093,-271,362,509
1698419985.174,-267,360,506
1698419985.254,-265,362,512
1698419985.333,-253,357,529
1698419985.413,-256,378,509
1698419985.493,-254,389,508
1698419985.573,-267,383,497
1698419985.654,-267,365,489
1698419985.733,-275,364,510
1698419985.813,-277,355,504
1698419985.893,-265,367,511
1698419985.973,-276,362,522
1698419986.053,-263,369,522
1698419986.134,-262,373,514
1698419986.213,-269,366,520
1698419986.293,-257,390,517
1698419986.374,-257,389,507
1698419986.453,-285,392,511
1698419986.533,-293,383,521
1698419986.614,-294,364,522
1698419986.693,-309,362,514
1698419986.773,-305,375,529
1698419986.853,-282,380,530
1698419986.933,-284,364,536
1698419987.013,-296,365,523
1698419987.093,-288,372,526
1698419987.173,-274,371,533
1698419987.253,-253,383,523
1698419987.333,-264,371,524
1698419987.413,-264,366,524
1698419987.493,-275,351,526
1698419987.573,-272,328,526
1698419987.653,-267,332,532
1698419987.733,-261,337,533
1698419987.813,-274,342,531
1698419987.961,-267,345,532
1698419988.02,-270,331,531
1698419988.053,-266,354,517
1698419988.17,-259,359,533
1698419988.213,-279,359,531
1698419988.382,-274,370,510
1698419988.497,-269,382,515
1698419988.533,-276,367,512
1698419988.613,-281,358,521
1698419988.693,-300,346,515
1698419988.776,-314,356,527
1698419988.853,-298,355,520
1698419988.933,-314,343,518
1698419989.013,-315,346,510
1698419989.093,-328,342,515
1698419989.173,-330,339,511
1698419989.253,-322,334,511
1698419989.333,-312,330,515
1698419989.413,-318,332,512
1698419989.493,-326,340,515
1698419989.573,-318,342,521
1698419989.653,-305,329,521
1698419989.733,-314,338,528
1698419989.813,-327,337,509
1698419989.892,-331,326,517
1698419989.975,-305,340,521
1698419990.052,-319,337,514
1698419990.132,-323,342,521
1698419990.213,-307,337,514
1698419990.292,-326,332,525
1698419990.375,-318,338,518
1698419990.453,-315,350,518
1698419990.532,-318,340,514
1698419990.612,-320,333,507
1698419990.693,-314,338,525
1698419990.775,-317,348,513
