timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698427268.008,-63,-55,-990,46,51,32,-1826,841,1014,1756,1466,1619,1907,1842
1698427268.023,-64,-56,-989,47,46,33,-1827,841,1012,1755,1462,1616,1905,1839
1698427268.045,-63,-56,-988,46,48,33,-1827,841,1013,1755,1463,1612,1906,1841
1698427268.068,-63,-56,-987,46,46,34,-1828,841,1012,1754,1464,1603,1906,1843
1698427268.083,-64,-56,-986,45,45,31,-1828,840,1011,1757,1457,1594,1905,1842
1698427268.114,-63,-55,-987,44,46,32,-1828,840,1011,1760,1458,1601,1907,1843
1698427268.128,-63,-56,-988,47,47,30,-1828,841,1010,1767,1466,1605,1912,1845
1698427268.142,-63,-56,-988,46,46,31,-1828,841,1010,1760,1469,1611,1909,1842
1698427268.166,-63,-56,-990,42,43,31,-1827,842,1010,1765,1464,1616,1908,1845
1698427268.188,-63,-56,-990,41,45,31,-1828,842,1011,1759,1466,1619,1909,1848
1698427268.203,-63,-55,-991,40,46,31,-1828,843,1011,1762,1470,1614,1907,1847
1698427268.226,-75,-56,-990,41,47,34,-1828,842,1010,1767,1472,1608,1909,1847
1698427268.248,-74,-55,-990,39,47,31,-1827,843,1010,1761,1469,1593,1909,1846
1698427268.263,-72,-55,-989,42,48,31,-1827,842,1010,1768,1470,1604,1911,1847
1698427268.285,-69,-55,-987,45,47,32,-1828,843,1010,1763,1465,1599,1911,1847
1698427268.322,-68,-55,-985,45,47,32,-1828,843,1009,1765,1465,1585,1910,1849
1698427268.338,-67,-55,-985,44,48,31,-1827,843,1010,1767,1465,1597,1910,1850
1698427268.345,-67,-55,-986,44,49,30,-1827,843,1010,1771,1465,1606,1908,1852
1698427268.397,-66,-54,-987,45,44,31,-1826,844,1009,1772,1467,1615,1908,1850
1698427268.401,-66,-54,-989,45,43,32,-1825,844,1010,1771,1469,1613,1910,1852
1698427268.405,-65,-54,-989,46,46,31,-1824,845,1009,1772,1468,1598,1909,1852
1698427268.435,-64,-55,-988,49,44,31,-1824,845,1010,1771,1470,1606,1906,1851
1698427268.443,-64,-55,-988,45,43,34,-1824,845,1010,1770,1475,1604,1907,1850
1698427268.465,-64,-56,-989,46,44,34,-1824,845,1010,1770,1477,1619,1907,1849
1698427268.495,-64,-56,-990,46,44,31,-1824,845,1011,1762,1471,1636,1908,1848
1698427268.503,-64,-56,-991,42,44,31,-1825,845,1011,1762,1474,1645,1907,1845
1698427268.525,-63,-56,-992,40,44,32,-1825,844,1012,1767,1478,1650,1907,1847
1698427268.563,-64,-56,-992,42,46,33,-1826,844,1011,1765,1477,1651,1908,1844
1698427268.566,-64,-55,-992,42,47,33,-1825,844,1012,1759,1484,1642,1907,1845
1698427268.585,-65,-55,-991,43,46,32,-1824,843,1014,1756,1481,1666,1906,1842
1698427268.608,-65,-55,-991,42,45,32,-1824,843,1015,1757,1482,1671,1902,1842
1698427268.623,-66,-56,-991,41,48,33,-1824,843,1015,1754,1483,1697,1903,1838
1698427268.653,-65,-56,-990,42,48,35,-1824,843,1015,1753,1481,1715,1901,1838
1698427268.675,-65,-55,-990,42,47,34,-1824,843,1015,1754,1460,1700,1905,1834
1698427268.683,-64,-56,-989,40,46,31,-1824,843,1015,1751,1487,1675,1909,1830
1698427268.728,-64,-56,-987,39,45,32,-1824,844,1015,1746,1466,1665,1911,1833
1698427268.731,-63,-56,-986,44,48,28,-1823,844,1014,1742,1460,1669,1911,1830
1698427268.743,-64,-56,-987,42,48,30,-1823,845,1014,1741,1458,1696,1910,1834
1698427268.78,-63,-56,-987,42,48,34,-1822,845,1013,1738,1474,1703,1909,1832
1698427268.788,-64,-56,-987,44,44,33,-1822,845,1014,1731,1472,1704,1910,1829
1698427268.803,-65,-55,-987,45,46,34,-1823,844,1013,1740,1460,1716,1909,1828
1698427268.832,-64,-54,-988,44,43,33,-1823,844,1012,1742,1458,1709,1912,1828
1698427268.854,-63,-55,-988,42,46,33,-1822,844,1013,1742,1467,1709,1913,1830
1698427268.863,-65,-56,-990,41,46,34,-1823,844,1013,1744,1464,1716,1910,1829
1698427268.892,-65,-55,-989,41,42,34,-1824,843,1014,1737,1472,1725,1912,1828
1698427268.908,-65,-55,-990,40,42,31,-1825,843,1015,1740,1477,1721,1914,1832
1698427268.923,-64,-54,-991,41,43,31,-1825,843,1015,1742,1481,1726,1914,1828
1698427268.953,-63,-55,-990,40,44,32,-1825,844,1016,1741,1483,1722,1914,1833
1698427268.968,-63,-55,-990,43,46,34,-1825,843,1017,1737,1475,1717,1915,1834
1698427269.005,-63,-55,-990,44,48,34,-1825,844,1017,1737,1470,1714,1914,1833
1698427269.009,-63,-55,-989,42,49,34,-1825,844,1015,1742,1478,1706,1913,1830
1698427269.028,-64,-55,-990,44,49,32,-1825,844,1015,1740,1471,1712,1912,1832
1698427269.05,-63,-55,-990,44,46,30,-1825,844,1013,1748,1475,1707,1911,1835
1698427269.066,-63,-55,-989,45,46,30,-1825,843,1013,1741,1475,1702,1909,1834
1698427269.111,-63,-55,-990,45,48,30,-1826,843,1013,1747,1475,1702,1911,1835
1698427269.115,-63,-55,-991,47,49,30,-1826,843,1012,1744,1486,1711,1911,1836
1698427269.132,-63,-55,-990,47,48,31,-1826,843,1011,1744,1480,1704,1911,1835
1698427269.155,-63,-56,-989,46,47,31,-1826,844,1010,1743,1482,1697,1911,1839
1698427269.163,-63,-55,-989,44,48,30,-1827,844,1012,1738,1472,1699,1907,1834
1698427269.185,-63,-56,-990,44,46,31,-1828,844,1013,1745,1475,1675,1909,1836
1698427269.215,-63,-56,-989,44,47,32,-1829,842,1013,1747,1462,1659,1909,1837
1698427269.223,-63,-55,-989,44,45,32,-1828,843,1014,1749,1462,1656,1908,1840
1698427269.245,-62,-55,-988,46,45,32,-1829,842,1015,1751,1471,1655,1906,1836
1698427269.267,-63,-54,-989,46,47,33,-1828,842,1015,1745,1482,1608,1912,1837
1698427269.29,-75,-54,-988,44,48,34,-1828,843,1014,1742,1491,1598,1911,1832
1698427269.313,-73,-54,-987,44,47,34,-1828,843,1014,1749,1478,1605,1908,1836
1698427269.328,-59,-55,-988,46,46,34,-1829,843,1013,1749,1473,1607,1906,1835
1698427269.343,-59,-55,-988,41,45,34,-1827,842,1013,1744,1478,1620,1903,1831
1698427269.395,-61,-56,-989,45,47,33,-1827,842,1013,1752,1494,1608,1905,1831
1698427269.399,-61,-56,-990,40,48,34,-1827,842,1014,1748,1494,1613,1904,1832
1698427269.409,-61,-56,-987,40,48,35,-1827,843,1014,1748,1488,1616,1905,1832
1698427269.433,-62,-56,-989,41,47,32,-1827,843,1015,1761,1483,1633,1898,1832
1698427269.448,-63,-56,-989,41,45,34,-1827,844,1015,1764,1488,1631,1904,1830
1698427269.463,-63,-55,-990,42,46,34,-1827,844,1015,1752,1490,1634,1902,1828
1698427269.485,-64,-55,-989,42,48,33,-1828,844,1015,1751,1494,1633,1905,1832
1698427269.508,-63,-56,-988,42,48,33,-1827,844,1014,1751,1495,1635,1909,1828
1698427269.523,-63,-56,-988,45,51,34,-1827,844,1014,1755,1491,1630,1911,1832
1698427269.553,-63,-56,-987,48,50,36,-1827,844,1014,1755,1494,1642,1906,1831
1698427269.568,-63,-56,-988,45,49,35,-1826,845,1014,1760,1491,1650,1908,1830
1698427269.583,-63,-55,-988,43,48,34,-1826,845,1012,1765,1486,1634,1909,1831
1698427269.613,-64,-55,-989,43,49,34,-1826,845,1013,1756,1496,1604,1910,1833
1698427269.628,-51,-55,-989,42,46,32,-1825,845,1013,1754,1493,1612,1912,1834
1698427269.65,-54,-55,-989,42,47,31,-1825,844,1013,1759,1487,1605,1910,1834
1698427269.673,-57,-55,-988,46,47,34,-1825,845,1012,1757,1479,1595,1909,1835
1698427269.687,-59,-56,-988,45,46,36,-1826,845,1013,1763,1476,1568,1913,1835
1698427269.725,-60,-55,-987,45,47,34,-1825,845,1013,1769,1483,1547,1909,1834
1698427269.729,-60,-55,-988,45,45,33,-1825,845,1014,1763,1478,1570,1904,1832
1698427269.74,-60,-55,-987,44,45,30,-1825,844,1012,1775,1473,1604,1909,1834
1698427269.771,-61,-54,-987,45,44,30,-1826,844,1013,1771,1481,1610,1907,1833
1698427269.785,-62,-55,-988,43,45,30,-1826,843,1014,1771,1483,1613,1910,1831
1698427269.8,-62,-55,-988,45,45,30,-1826,843,1013,1774,1474,1607,1906,1831
1698427269.83,-63,-56,-988,46,46,31,-1826,842,1014,1763,1479,1609,1902,1828
1698427269.845,-63,-56,-989,42,47,34,-1827,843,1015,1765,1482,1623,1902,1833
1698427269.868,-62,-56,-988,43,47,33,-1826,842,1015,1761,1482,1631,1901,1830
1698427269.883,-62,-56,-988,41,49,32,-1827,843,1015,1766,1490,1624,1904,1831
1698427269.905,-63,-56,-990,41,48,32,-1826,843,1016,1770,1487,1636,1906,1832
1698427269.928,-65,-55,-991,42,46,31,-1826,843,1017,1769,1487,1627,1905,1833
1698427269.95,-65,-55,-992,41,48,33,-1826,843,1017,1764,1493,1639,1899,1832
1698427269.965,-65,-56,-992,41,46,33,-1826,843,1017,1766,1494,1632,1903,1834
1698427269.988,-63,-55,-991,42,47,31,-1827,843,1017,1767,1499,1628,1902,1835
1698427270.003,-64,-56,-991,41,44,34,-1826,842,1015,1764,1500,1618,1905,1837
1698427270.026,-65,-55,-991,39,45,32,-1827,841,1015,1765,1501,1617,1907,1836
1698427270.04,-66,-55,-991,39,47,30,-1827,841,1015,1769,1506,1622,1908,1837
1698427270.063,-66,-55,-991,40,49,32,-1827,841,1013,1775,1505,1619,1911,1836
