ts,abs,alpha,beta,gamma
1698411735172.0,False,0.0,0.0,0.0
1698411735190.0,False,0.5,13.600000000000001,16.400000000000002
1698411735205.0,False,0.9,14.0,15.4
1698411735222.0,False,1.0,14.200000000000001,15.100000000000001
1698411735239.0,False,1.1,14.700000000000001,14.4
1698411735255.0,False,1.2000000000000002,15.200000000000001,13.9
1698411735272.0,False,1.2000000000000002,15.3,13.700000000000001
1698411735289.0,False,1.2000000000000002,15.5,13.4
1698411735306.0,False,1.2000000000000002,15.5,13.100000000000001
1698411735322.0,False,1.3,15.5,12.9
1698411735339.0,False,1.3,15.5,12.600000000000001
1698411735356.0,False,1.3,15.5,12.4
1698411735406.0,False,1.3,15.5,12.200000000000001
1698411735422.0,False,1.3,15.600000000000001,12.100000000000001
1698411735440.0,False,1.3,15.600000000000001,11.9
1698411735489.0,False,1.2000000000000002,15.600000000000001,11.700000000000001
1698411735539.0,False,1.3,15.8,11.600000000000001
1698411735556.0,False,1.2000000000000002,15.9,11.5
1698411735606.0,False,1.1,15.9,11.4
1698411735689.0,False,1.2000000000000002,16.0,11.3
1698411735722.0,False,1.2000000000000002,16.1,11.200000000000001
1698411735739.0,False,1.2000000000000002,16.1,11.0
1698411735806.0,False,1.2000000000000002,16.1,10.8
1698411735839.0,False,1.2000000000000002,16.3,10.8
1698411735856.0,False,1.2000000000000002,16.400000000000002,10.700000000000001
1698411735939.0,False,1.2000000000000002,16.5,10.5
1698411735956.0,False,1.1,16.5,10.5
1698411736006.0,False,1.1,16.5,10.3
1698411736022.0,False,1.2000000000000002,16.5,10.3
1698411736056.0,False,1.2000000000000002,16.6,10.100000000000001
1698411736089.0,False,1.2000000000000002,16.7,10.0
1698411736106.0,False,1.2000000000000002,16.7,10.100000000000001
1698411736122.0,False,1.1,16.7,10.100000000000001
1698411736156.0,False,1.1,16.7,10.0
1698411736222.0,False,1.1,16.8,9.8
1698411736239.0,False,1.2000000000000002,16.8,9.8
1698411736256.0,False,1.2000000000000002,16.900000000000002,9.700000000000001
1698411736272.0,False,1.1,16.900000000000002,9.700000000000001
1698411736289.0,False,1.1,16.8,9.700000000000001
1698411736306.0,False,1.0,16.8,9.700000000000001
1698411736322.0,False,0.9,16.7,9.600000000000001
1698411736372.0,False,0.7000000000000001,16.7,9.600000000000001
1698411736390.0,False,0.7000000000000001,16.8,9.5
1698411736406.0,False,0.6000000000000001,16.7,9.4
1698411736422.0,False,0.5,16.6,9.3
1698411736456.0,False,0.30000000000000004,16.6,9.200000000000001
1698411736472.0,False,0.1,16.6,9.200000000000001
1698411736489.0,False,0.1,16.5,9.1
1698411736506.0,False,360.0,16.5,9.0
1698411736522.0,False,359.90000000000003,16.5,8.8
1698411736555.0,False,359.8,16.5,8.700000000000001
1698411736572.0,False,359.8,16.3,8.8
1698411736589.0,False,359.70000000000005,16.1,8.8
1698411736607.0,False,359.70000000000005,16.0,8.8
1698411736639.0,False,359.6,15.8,8.9
1698411736656.0,False,359.5,15.600000000000001,9.0
1698411736672.0,False,359.40000000000003,15.600000000000001,9.200000000000001
1698411736689.0,False,359.20000000000005,15.4,9.4
1698411736706.0,False,359.1,15.3,9.5
1698411736722.0,False,359.0,15.100000000000001,9.5
1698411736739.0,False,358.8,14.9,9.600000000000001
1698411736773.0,False,358.6,14.5,9.600000000000001
1698411736789.0,False,358.5,14.100000000000001,9.8
1698411736805.0,False,358.5,13.9,9.8
1698411736822.0,False,358.5,13.5,9.9
1698411736839.0,False,358.70000000000005,13.5,9.9
