ts(msec),PPG
1698411730005.4429,10777.0
1698411730025.971,10779.0
1698411730046.4993,10781.0
1698411730067.027,10777.0
1698411730087.5557,10781.0
1698411730108.084,10780.0
1698411730128.612,10783.0
1698411730149.1404,10782.0
1698411730169.6685,10784.0
1698411730190.1968,10785.0
1698411730210.725,10784.0
1698411730231.2532,10783.0
1698411730251.7815,10782.0
1698411730272.3096,10778.0
1698411730292.838,10780.0
1698411730313.3662,10782.0
1698411730333.8943,10782.0
1698411730354.4226,10781.0
1698411730374.9507,10780.0
1698411730395.479,10777.0
1698411730416.007,10775.0
1698411730436.5354,10775.0
1698411730457.0637,10767.0
1698411730477.5918,10774.0
1698411730498.12,10773.0
1698411730518.6482,10769.0
1698411730539.1765,10770.0
1698411730559.7048,10775.0
1698411730580.233,10769.0
1698411730600.7612,10775.0
1698411730621.2893,10774.0
1698411730641.8176,10775.0
1698411730662.346,10775.0
1698411730682.874,10772.0
1698411730703.4023,10777.0
1698411730723.9304,10776.0
1698411730744.4587,10772.0
1698411730764.9868,10775.0
1698411730785.5151,10779.0
1698411730806.0437,10775.0
1698411730826.5715,10775.0
1698411730847.1,10776.0
1698411730867.628,10777.0
1698411730888.1562,10779.0
1698411730908.6846,10782.0
1698411730929.2126,10783.0
1698411730949.741,10780.0
1698411730970.269,10787.0
1698411730990.7974,10785.0
1698411731011.3257,10786.0
1698411731031.8538,10783.0
1698411731052.382,10788.0
1698411731072.9102,10785.0
1698411731093.4385,10792.0
1698411731113.9666,10790.0
1698411731134.4949,10793.0
1698411731155.0232,10787.0
1698411731175.5513,10788.0
1698411731196.0796,10786.0
1698411731216.6077,10781.0
1698411731237.136,10782.0
1698411731257.6643,10778.0
1698411731278.1924,10781.0
1698411731298.7207,10780.0
1698411731319.2488,10781.0
1698411731339.777,10778.0
1698411731360.3054,10780.0
1698411731380.8335,10783.0
1698411731401.3618,10781.0
1698411731421.89,10786.0
1698411731442.4182,10783.0
1698411731462.9463,10782.0
1698411731483.4746,10782.0
1698411731504.003,10774.0
1698411731524.531,10777.0
1698411731545.059,10783.0
1698411731565.5874,10783.0
1698411731586.1155,10785.0
1698411731606.644,10787.0
1698411731627.172,10791.0
1698411731647.7004,10789.0
1698411731668.2285,10792.0
1698411731688.7568,10794.0
1698411731709.2852,10794.0
1698411731729.8132,10800.0
1698411731750.3416,10797.0
1698411731770.8696,10797.0
1698411731791.398,10793.0
1698411731811.926,10794.0
1698411731832.4543,10797.0
1698411731852.983,10798.0
1698411731873.5107,10796.0
1698411731894.039,10794.0
1698411731914.5671,10800.0
1698411731935.0957,10798.0
1698411731955.6238,10797.0
1698411731976.152,10795.0
1698411731996.6802,10786.0
1698411732017.2085,10791.0
1698411732037.7366,10783.0
1698411732058.265,10778.0
1698411732078.793,10777.0
1698411732099.3213,10774.0
1698411732119.8494,10775.0
1698411732140.3777,10776.0
1698411732160.9058,10776.0
1698411732181.434,10779.0
1698411732201.9624,10778.0
1698411732222.4905,10784.0
1698411732243.0188,10786.0
1698411732263.5469,10788.0
1698411732284.0752,10793.0
1698411732304.6035,10793.0
1698411732325.1316,10791.0
1698411732345.66,10790.0
1698411732366.188,10799.0
1698411732386.7163,10799.0
1698411732407.2446,10797.0
1698411732427.7727,10796.0
1698411732448.301,10790.0
1698411732468.829,10795.0
1698411732489.3574,10795.0
1698411732509.8855,10793.0
1698411732530.4138,10796.0
1698411732550.942,10797.0
1698411732571.4702,10796.0
1698411732591.9983,10796.0
1698411732612.5266,10798.0
1698411732633.055,10799.0
1698411732653.5833,10802.0
1698411732674.111,10802.0
1698411732694.6396,10802.0
1698411732715.1675,10803.0
1698411732735.696,10804.0
1698411732756.224,10800.0
1698411732776.7524,10803.0
1698411732797.2808,10812.0
1698411732817.8088,10802.0
1698411732838.3372,10804.0
1698411732858.8652,10800.0
1698411732879.3936,10795.0
1698411732899.922,10793.0
1698411732920.45,10791.0
1698411732940.9785,10790.0
1698411732961.5063,10788.0
1698411732982.035,10784.0
1698411733002.563,10782.0
1698411733023.091,10786.0
1698411733043.6194,10782.0
1698411733064.1477,10783.0
1698411733084.6758,10789.0
1698411733105.204,10788.0
1698411733125.7322,10786.0
1698411733146.2605,10785.0
1698411733166.7886,10787.0
1698411733187.317,10784.0
1698411733207.845,10788.0
1698411733228.3733,10788.0
1698411733248.9016,10790.0
1698411733269.4297,10785.0
1698411733289.958,10785.0
1698411733310.486,10791.0
1698411733331.0144,10790.0
1698411733351.5427,10787.0
1698411733372.0708,10788.0
1698411733392.599,10787.0
1698411733413.1272,10791.0
1698411733433.6555,10791.0
1698411733454.1836,10795.0
1698411733474.712,10795.0
1698411733495.2402,10799.0
1698411733515.7683,10797.0
1698411733536.2966,10796.0
1698411733556.8247,10797.0
1698411733577.353,10798.0
1698411733597.881,10797.0
1698411733618.4094,10800.0
1698411733638.9375,10802.0
1698411733659.4658,10797.0
1698411733679.994,10801.0
1698411733700.5225,10800.0
1698411733721.0503,10802.0
1698411733741.5789,10800.0
1698411733762.107,10800.0
1698411733782.6353,10795.0
1698411733803.163,10795.0
1698411733823.6917,10794.0
1698411733844.22,10793.0
1698411733864.748,10792.0
1698411733885.2764,10790.0
1698411733905.8044,10795.0
1698411733926.3328,10791.0
1698411733946.861,10793.0
1698411733967.3892,10799.0
1698411733987.9175,10792.0
1698411734008.4456,10796.0
1698411734028.974,10796.0
1698411734049.5022,10792.0
1698411734070.0305,10796.0
1698411734090.5586,10804.0
1698411734111.087,10800.0
1698411734131.615,10797.0
1698411734152.143,10798.0
1698411734172.6714,10797.0
1698411734193.1997,10797.0
1698411734213.7278,10803.0
1698411734234.256,10803.0
1698411734254.7842,10805.0
1698411734275.3125,10806.0
1698411734295.8408,10809.0
1698411734316.369,10804.0
1698411734336.8972,10805.0
1698411734357.4253,10804.0
1698411734377.9536,10807.0
1698411734398.482,10808.0
1698411734419.01,10811.0
1698411734439.5383,10807.0
1698411734460.0664,10805.0
1698411734480.5947,10811.0
1698411734501.1228,10810.0
1698411734521.6511,10803.0
1698411734542.1794,10805.0
1698411734562.7075,10800.0
1698411734583.2358,10805.0
1698411734603.764,10801.0
1698411734624.2922,10800.0
1698411734644.8206,10798.0
1698411734665.3486,10796.0
1698411734685.877,10799.0
1698411734706.405,10796.0
1698411734726.933,10796.0
1698411734747.4617,10797.0
1698411734767.9895,10800.0
1698411734788.518,10796.0
1698411734809.046,10802.0
1698411734829.5745,10808.0
1698411734850.1023,10822.0
1698411734870.6309,10839.0
1698411734891.1592,10863.0
1698411734911.6873,10901.0
1698411734932.2156,10938.0
1698411734952.7437,10970.0
1698411734973.272,11007.0
1698411734993.8003,11035.0
1698411735014.3284,11054.0
1698411735034.8567,11083.0
1698411735055.3848,11104.0
1698411735075.913,11113.0
1698411735096.4414,11130.0
1698411735116.9695,11144.0
1698411735137.4978,11152.0
1698411735158.026,11157.0
1698411735178.5542,11159.0
1698411735199.0825,11162.0
1698411735219.6106,11164.0
1698411735240.139,11173.0
1698411735260.667,11183.0
1698411735281.1953,11194.0
1698411735301.7234,11209.0
1698411735322.2517,11227.0
1698411735342.78,11248.0
1698411735363.308,11268.0
1698411735383.8364,11289.0
1698411735404.3645,11310.0
1698411735424.8928,11332.0
1698411735445.4211,11356.0
1698411735465.9492,11373.0
1698411735486.4775,11395.0
1698411735507.0056,11420.0
1698411735527.534,11438.0
1698411735548.062,11459.0
1698411735568.5903,11480.0
1698411735589.119,11498.0
1698411735609.6467,11512.0
1698411735630.175,11529.0
1698411735650.7031,11545.0
1698411735671.2314,11558.0
1698411735691.7598,11571.0
1698411735712.2878,11586.0
1698411735732.8162,11609.0
1698411735753.3442,11624.0
1698411735773.8726,11636.0
1698411735794.401,11641.0
1698411735814.929,11640.0
1698411735835.4573,11635.0
1698411735855.9854,11630.0
1698411735876.5137,11626.0
1698411735897.0415,11626.0
1698411735917.57,11617.0
1698411735938.0984,11612.0
1698411735958.6265,11613.0
1698411735979.1548,11600.0
1698411735999.6829,11603.0
1698411736020.2112,11603.0
1698411736040.7395,11601.0
1698411736061.2676,11595.0
1698411736081.796,11591.0
1698411736102.324,11587.0
1698411736122.8523,11582.0
1698411736143.3804,11577.0
1698411736163.9087,11570.0
1698411736184.437,11569.0
1698411736204.965,11566.0
1698411736225.4934,11562.0
1698411736246.0215,11555.0
1698411736266.5498,11550.0
1698411736287.078,11551.0
1698411736307.6062,11542.0
1698411736328.1345,11536.0
1698411736348.6626,11529.0
1698411736369.191,11524.0
1698411736389.7192,11523.0
1698411736410.2473,11521.0
1698411736430.7756,11513.0
1698411736451.3037,11508.0
1698411736471.832,11505.0
1698411736492.36,11497.0
1698411736512.8884,11497.0
1698411736533.4167,11488.0
1698411736553.9448,11484.0
1698411736574.4731,11482.0
1698411736595.0012,11473.0
1698411736615.5295,11467.0
1698411736636.058,11464.0
1698411736656.586,11458.0
1698411736677.1145,11451.0
1698411736697.6423,11448.0
1698411736718.171,11438.0
1698411736738.699,11434.0
1698411736759.227,11431.0
1698411736779.7554,11423.0
1698411736800.2834,11423.0
1698411736820.8118,11420.0
1698411736841.3398,11408.0
1698411736861.8682,11407.0
1698411736882.3965,11396.0
1698411736902.9246,11400.0
1698411736923.453,11391.0
1698411736943.981,11388.0
1698411736964.5093,11381.0
1698411736985.0376,11379.0
1698411737005.5657,11373.0
1698411737026.094,11371.0
1698411737046.622,11364.0
1698411737067.1504,11365.0
1698411737087.6787,11359.0
1698411737108.2068,11349.0
1698411737128.735,11348.0
1698411737149.2632,11339.0
1698411737169.7915,11335.0
1698411737190.3196,11330.0
1698411737210.848,11325.0
1698411737231.3762,11320.0
1698411737251.9043,11314.0
1698411737272.4326,11305.0
1698411737292.9607,11293.0
1698411737313.489,11298.0
1698411737334.017,11290.0
1698411737354.5454,11294.0
1698411737375.0735,11289.0
1698411737395.6018,11282.0
1698411737416.13,11278.0
1698411737436.6584,11273.0
1698411737457.1863,11269.0
1698411737477.7148,11268.0
1698411737498.243,11258.0
1698411737518.7712,11251.0
1698411737539.2993,11248.0
1698411737559.8276,11242.0
1698411737580.356,11239.0
1698411737600.884,11231.0
1698411737621.4124,11229.0
1698411737641.9404,11224.0
1698411737662.4688,11219.0
1698411737682.997,11221.0
1698411737703.5251,11221.0
1698411737724.0537,11214.0
1698411737744.5815,11212.0
1698411737765.11,11207.0
1698411737785.6382,11204.0
1698411737806.1665,11199.0
1698411737826.6946,11197.0
1698411737847.223,11192.0
1698411737867.751,11186.0
1698411737888.279,11185.0
1698411737908.8074,11184.0
1698411737929.3357,11174.0
1698411737949.8638,11176.0
1698411737970.392,11172.0
1698411737990.9202,11164.0
1698411738011.4485,11157.0
1698411738031.9768,11152.0
1698411738052.505,11152.0
1698411738073.0332,11145.0
1698411738093.5613,11132.0
1698411738114.0896,11122.0
1698411738134.618,11119.0
1698411738155.146,11107.0
1698411738175.6743,11103.0
1698411738196.2024,11096.0
1698411738216.7307,11093.0
1698411738237.2588,11093.0
1698411738257.787,11088.0
1698411738278.3154,11081.0
1698411738298.8435,11074.0
1698411738319.3718,11077.0
1698411738339.9,11068.0
1698411738360.4282,11069.0
1698411738380.9563,11061.0
1698411738401.4846,11057.0
1698411738422.013,11058.0
1698411738442.541,11053.0
1698411738463.069,11048.0
1698411738483.5977,11042.0
1698411738504.1255,11043.0
1698411738524.654,11038.0
1698411738545.182,11036.0
1698411738565.7104,11032.0
1698411738586.2383,11029.0
1698411738606.7668,11032.0
1698411738627.2952,11032.0
1698411738647.8232,11029.0
1698411738668.3516,11026.0
1698411738688.8796,11025.0
1698411738709.408,11028.0
1698411738729.9363,11025.0
1698411738750.4644,11017.0
1698411738770.993,11015.0
1698411738791.5208,11018.0
1698411738812.049,11017.0
1698411738832.5774,11009.0
1698411738853.1057,11007.0
1698411738873.6338,11011.0
1698411738894.162,11007.0
1698411738914.6902,11007.0
1698411738935.2185,11006.0
1698411738955.7466,11008.0
1698411738976.275,11008.0
1698411738996.803,11007.0
1698411739017.3313,11011.0
1698411739037.8594,11014.0
1698411739058.3877,11006.0
1698411739078.916,11002.0
1698411739099.444,10995.0
1698411739119.9724,10988.0
1698411739140.5005,10980.0
1698411739161.0288,10969.0
1698411739181.5571,10964.0
1698411739202.0852,10958.0
1698411739222.6135,10947.0
1698411739243.1416,10945.0
1698411739263.67,10942.0
1698411739284.198,10942.0
1698411739304.7263,10935.0
1698411739325.2546,10937.0
1698411739345.7827,10930.0
1698411739366.311,10927.0
1698411739386.839,10921.0
1698411739407.3674,10922.0
1698411739427.8958,10916.0
1698411739448.4238,10916.0
1698411739468.952,10912.0
1698411739489.4802,10910.0
1698411739510.0083,10910.0
1698411739530.5366,10906.0
1698411739551.065,10905.0
1698411739571.5933,10901.0
1698411739592.121,10906.0
1698411739612.6497,10911.0
1698411739633.1775,10914.0
1698411739653.706,10914.0
1698411739674.2344,10908.0
1698411739694.7625,10908.0
1698411739715.2908,10907.0
1698411739735.8188,10905.0
1698411739756.3472,10901.0
1698411739776.8755,10905.0
1698411739797.4036,10896.0
1698411739817.932,10891.0
1698411739838.46,10886.0
1698411739858.9883,10883.0
1698411739879.5164,10880.0
1698411739900.045,10871.0
1698411739920.573,10866.0
1698411739941.101,10868.0
1698411739961.6294,10868.0
1698411739982.1577,10861.0
1698411740002.6858,10859.0
1698411740023.214,10857.0
1698411740043.7422,10862.0
1698411740064.2705,10859.0
1698411740084.7986,10858.0
1698411740105.327,10860.0
1698411740125.8552,10859.0
1698411740146.3833,10855.0
1698411740166.9116,10858.0
1698411740187.4397,10855.0
1698411740207.968,10858.0
1698411740228.496,10857.0
1698411740249.0244,10854.0
1698411740269.5527,10853.0
1698411740290.0808,10849.0
1698411740310.6091,10853.0
1698411740331.1372,10848.0
1698411740351.6655,10847.0
