ms,hr,conf
1698419347086.0,54,46
1698419347951.0,54,55
1698419348851.0,54,61
1698419349717.0,54,97
1698419350650.0,54,90
1698419351516.0,57,93
1698419352448.0,59,91
1698419353248.0,59,29
1698419354148.0,59,52
1698419356179.0,59,52
1698419357612.0,59,0
1698419361143.0,59,29
1698419362076.0,59,56
1698419362943.0,59,54
1698419363841.0,59,34
1698419364707.0,59,27
1698419365640.0,59,56
1698419366542.0,59,27
1698419367406.0,59,28
1698419368272.0,59,33
1698419369204.0,59,68
1698419370037.0,59,20
1698419370870.0,59,14
1698419371703.0,59,43
1698419372541.0,59,35
1698419373380.0,55,53
1698419374235.0,55,32
1698419375185.0,55,54
1698419376385.0,55,57
1698419376900.0,55,15
1698419377799.0,55,73
1698419378700.0,55,77
1698419379594.0,55,58
1698419380464.0,55,63
1698419381364.0,55,31
1698419382263.0,55,30
1698419383130.0,55,27
1698419384030.0,55,41
