timestamp,accGGx,accGGy,accGGz
1698411814.714,-0.07,1.158,0.081
1698411814.794,0.057,0.978,-0.054
1698411814.874,-0.075,0.706,-0.253
1698411814.955,-0.144,0.538,-0.36
1698411815.034,-0.23,0.43,-0.46
1698411815.115,-0.307,0.442,-0.673
1698411815.194,-0.327,0.498,-0.837
1698411815.274,-0.331,0.528,-0.791
1698411815.354,-0.337,0.576,-0.726
1698411815.434,-0.358,0.688,-0.684
1698411815.514,-0.351,0.764,-0.577
1698411815.594,-0.329,0.836,-0.427
1698411815.674,-0.331,0.978,-0.295
1698411815.754,-0.292,1.084,-0.057
1698411815.834,-0.244,1.009,0.262
1698411815.913,-0.248,0.925,0.419
1698411815.993,-0.168,1.031,0.229
1698411816.074,-0.133,0.718,-0.08
1698411816.153,-0.143,0.466,-0.365
1698411816.233,-0.21,0.498,-0.475
1698411816.314,-0.315,0.348,-0.676
1698411816.393,-0.372,0.343,-0.846
1698411816.473,-0.309,0.541,-0.775
1698411816.554,-0.291,0.606,-0.704
1698411816.633,-0.33,0.635,-0.682
1698411816.713,-0.332,0.645,-0.676
1698411816.793,-0.342,0.632,-0.679
1698411816.873,-0.35,0.629,-0.676
1698411816.953,-0.349,0.634,-0.675
1698411817.033,-0.35,0.64,-0.67
1698411817.115,-0.353,0.65,-0.663
1698411817.193,-0.35,0.657,-0.658
1698411817.276,-0.345,0.656,-0.659
1698411817.353,-0.433,0.699,-0.588
1698411817.433,-0.383,0.683,-0.629
1698411817.514,-0.363,0.671,-0.642
1698411817.593,-0.355,0.663,-0.647
1698411817.673,-0.351,0.661,-0.65
1698411817.753,-0.348,0.661,-0.655
1698411817.833,-0.345,0.659,-0.662
1698411817.913,-0.342,0.66,-0.659
1698411817.993,-0.343,0.661,-0.662
1698411818.073,-0.342,0.661,-0.655
1698411818.153,-0.367,0.645,-0.653
1698411818.233,-0.407,0.621,-0.688
1698411818.313,-0.39,0.579,-0.693
1698411818.393,-0.331,0.547,-0.723
1698411818.473,-0.291,0.515,-0.763
1698411818.553,-0.328,0.494,-0.736
1698411818.633,-0.432,0.459,-0.708
1698411818.713,-0.508,0.509,-0.697
1698411818.793,-0.602,0.612,-0.663
1698411818.873,-0.693,0.646,-0.564
