timestamp,magnRawx,magnRawy,magnRawz
1698411814.637,-231,495,487
1698411814.716,-253,487,508
1698411814.796,-267,488,584
1698411814.877,-292,471,600
1698411814.957,-298,457,611
1698411815.036,-293,430,630
1698411815.117,-249,442,650
1698411815.196,-250,450,621
1698411815.276,-239,463,625
1698411815.357,-245,472,602
1698411815.436,-248,484,585
1698411815.516,-249,501,558
1698411815.596,-257,498,533
1698411815.676,-263,486,474
1698411815.756,-280,402,424
1698411815.836,-280,326,380
1698411815.916,-268,350,397
1698411815.996,-262,460,458
1698411816.076,-260,504,559
1698411816.156,-286,451,631
1698411816.236,-267,456,626
1698411816.316,-268,438,637
1698411816.396,-278,449,620
1698411816.479,-268,467,603
1698411816.556,-263,472,608
1698411816.636,-259,468,628
1698411816.716,-243,464,609
1698411816.796,-264,469,614
1698411816.879,-256,470,612
1698411816.956,-261,471,611
1698411817.036,-255,464,609
1698411817.117,-262,465,607
1698411817.196,-267,467,607
1698411817.279,-265,469,607
1698411817.356,-258,475,606
1698411817.436,-252,463,598
1698411817.516,-254,467,605
1698411817.596,-259,469,609
1698411817.676,-266,464,601
1698411817.756,-255,471,607
1698411817.836,-261,471,609
1698411817.916,-257,472,603
1698411817.996,-252,462,609
1698411818.076,-266,465,606
1698411818.156,-248,467,601
1698411818.239,-265,458,618
1698411818.316,-266,450,631
1698411818.396,-257,447,648
1698411818.476,-257,410,653
1698411818.556,-252,376,669
1698411818.638,-242,364,672
1698411818.716,-223,377,670
1698411818.796,-181,406,669
1698411818.876,-181,406,658
1698411818.956,-156,415,652
1698411819.038,-123,400,662
1698411819.116,-113,372,661
1698411819.196,-113,431,636
1698411819.276,-110,476,585
1698411819.357,-106,492,542
1698411819.439,-104,489,523
1698411819.516,-85,486,519
1698411819.596,-78,491,530
1698411819.677,-104,488,532
1698411819.756,-119,485,543
1698411819.836,-122,495,546
1698411819.916,-113,492,558
1698411819.995,-87,480,561
1698411820.075,-50,465,555
1698411820.156,-10,441,550
1698411820.235,12,428,533
1698411820.315,22,399,518
1698411820.396,33,395,499
1698411820.475,42,383,525
1698411820.555,46,356,510
1698411820.636,43,371,515
1698411820.715,27,395,532
1698411820.798,20,420,544
1698411820.876,-23,434,554
1698411820.956,-57,459,558
1698411821.035,-87,473,569
1698411821.116,-101,471,586
1698411821.198,-105,467,585
1698411821.275,-77,462,579
1698411821.356,-33,445,567
1698411821.435,16,416,543
