msFromStart,interval,accx,accy,accz,accGx,accGy,accGz,rotRate_alpha,rotRate_beta,rotRate_gamma
151,16,1.3,0.5,-0.2,-0.30000000000000004,2.4000000000000004,9.200000000000001,18.3,-7.400000000000001,-3.5
167,16,1.3,0.5,-0.4,0.0,2.5,8.8,8.799999999999999,-3.5,1.2000000000000002
184,16,1.2000000000000002,0.5,-0.30000000000000004,0.0,2.6,8.9,3.0000000000000004,-0.7,2.3000000000000003
201,16,0.9,0.6000000000000001,0.30000000000000004,-0.2,2.7,9.600000000000001,-0.30000000000000004,-1.5000000000000002,-0.1
217,16,1.0,0.4,0.4,0.0,2.6,9.700000000000001,3.7000000000000006,-4.6000000000000005,0.2
234,16,1.1,0.4,0.30000000000000004,0.2,2.7,9.600000000000001,4.7,-4.300000000000001,1.6
251,16,0.7000000000000001,0.4,0.0,0.0,2.7,9.3,5.0,-2.3000000000000003,-0.7
267,16,0.30000000000000004,0.2,-0.2,-0.4,2.5,9.1,4.0,-4.3999999999999995,-1.0999999999999999
284,16,0.30000000000000004,0.2,-0.1,-0.4,2.5,9.200000000000001,3.3000000000000003,-6.8,0.9
301,16,0.7000000000000001,0.30000000000000004,0.1,0.1,2.7,9.4,2.1999999999999997,-7.8,3.9
318,16,0.7000000000000001,0.30000000000000004,0.4,0.2,2.8000000000000003,9.700000000000001,0.2,-3.2,3.2
335,16,0.7000000000000001,0.4,0.4,0.2,2.8000000000000003,9.700000000000001,0.30000000000000004,-0.30000000000000004,2.4000000000000004
351,16,0.7000000000000001,0.30000000000000004,0.0,0.2,2.8000000000000003,9.4,1.9,1.5000000000000002,0.30000000000000004
369,16,0.6000000000000001,0.30000000000000004,-0.2,0.2,2.7,9.1,1.2000000000000002,-1.0,-1.0
385,16,0.6000000000000001,0.2,-0.2,0.2,2.7,9.1,0.4,-2.4000000000000004,-2.1
401,16,0.4,0.0,0.1,0.0,2.5,9.5,-2.3000000000000003,-1.2000000000000002,-4.300000000000001
417,16,0.2,0.1,0.30000000000000004,-0.1,2.6,9.600000000000001,-3.5,4.800000000000001,-1.7
435,16,0.2,0.2,0.30000000000000004,-0.1,2.7,9.700000000000001,-2.1,4.300000000000001,-0.4
451,16,0.30000000000000004,0.1,0.2,0.0,2.7,9.600000000000001,2.8,0.7,0.1
469,16,0.4,0.2,0.1,0.0,2.7,9.3,3.7000000000000006,0.1,0.30000000000000004
486,16,0.30000000000000004,0.2,-0.2,0.0,2.8000000000000003,9.200000000000001,3.5,-1.6,0.0
501,16,0.4,0.2,-0.1,0.1,2.8000000000000003,9.3,3.7000000000000006,-6.8,-2.1999999999999997
520,16,0.30000000000000004,0.1,0.2,0.0,2.7,9.600000000000001,-0.30000000000000004,-0.7,-2.9
534,16,0.2,0.0,0.2,0.0,2.6,9.600000000000001,-1.9,2.9,-1.6
551,16,0.2,0.0,0.2,-0.1,2.6,9.600000000000001,-1.3,5.0,1.5000000000000002
568,16,0.30000000000000004,0.1,0.1,0.0,2.6,9.600000000000001,-0.1,4.800000000000001,2.4000000000000004
585,16,0.30000000000000004,0.1,-0.1,0.0,2.7,9.3,1.0,5.2,2.1999999999999997
601,16,0.30000000000000004,0.2,-0.2,0.0,2.8000000000000003,9.200000000000001,0.7,1.9,0.6000000000000001
