ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698411892151.0,16,-0.5,-0.2,0.2,-2.1,1.0,9.8,-0.2,-14.0,3.0000000000000004
1698411892167.0,16,0.0,0.0,0.4,-1.6,1.2000000000000002,10.100000000000001,1.0999999999999999,-12.000000000000002,5.8
1698411892184.0,16,0.30000000000000004,0.1,0.30000000000000004,-1.2000000000000002,1.3,10.100000000000001,4.2,-7.1000000000000005,5.8
1698411892201.0,16,0.30000000000000004,0.2,0.1,-1.2000000000000002,1.4000000000000001,9.9,5.2,-5.1,4.3999999999999995
1698411892218.0,16,0.1,0.0,-0.1,-1.3,1.3,9.600000000000001,4.300000000000001,-5.2,0.8
1698411892234.0,16,-0.1,-0.2,-0.2,-1.6,1.1,9.5,4.300000000000001,-6.8,-1.0999999999999999
1698411892251.0,16,-0.30000000000000004,-0.1,-0.2,-1.7000000000000002,1.2000000000000002,9.600000000000001,4.1000000000000005,-7.400000000000001,-1.2000000000000002
1698411892268.0,16,-0.2,0.0,0.0,-1.6,1.3,9.700000000000001,3.7000000000000006,-7.6,0.30000000000000004
1698411892284.0,16,-0.1,0.1,-0.2,-1.5,1.4000000000000001,9.5,0.7,-6.9,3.7000000000000006
1698411892301.0,16,0.0,0.1,-0.2,-1.4000000000000001,1.4000000000000001,9.5,-0.2,-9.600000000000001,4.300000000000001
1698411892318.0,16,0.30000000000000004,0.1,-0.1,-1.0,1.4000000000000001,9.600000000000001,0.8,-23.700000000000003,-0.9
1698411892335.0,16,-0.30000000000000004,-0.2,0.1,-1.5,1.1,9.8,2.8,-15.100000000000001,-3.7000000000000006
1698411892354.0,16,-0.1,-0.4,0.2,-1.3,0.9,9.9,2.6,-16.0,0.2
1698411892368.0,16,-0.30000000000000004,0.0,0.2,-1.5,1.4000000000000001,9.9,2.0,-8.200000000000001,2.3000000000000003
1698411892386.0,16,-0.1,0.0,0.1,-1.4000000000000001,1.3,9.8,1.4,-8.5,3.7000000000000006
1698411892401.0,16,0.1,-0.1,0.2,-1.1,1.3,10.0,5.300000000000001,-12.000000000000002,3.7000000000000006
1698411892418.0,16,0.1,-0.2,0.2,-1.0,1.2000000000000002,10.0,9.8,-12.700000000000001,3.7000000000000006
1698411892435.0,16,0.1,-0.1,0.0,-1.0,1.3,9.8,10.3,-10.9,4.1000000000000005
1698411892452.0,16,0.1,0.0,-0.2,-1.0,1.4000000000000001,9.600000000000001,8.0,-8.3,4.5
1698411892469.0,16,0.1,0.0,0.1,-1.0,1.4000000000000001,9.9,6.8,-7.2,4.1000000000000005
1698411892485.0,16,0.1,0.0,0.30000000000000004,-0.9,1.4000000000000001,10.100000000000001,6.9,-4.9,4.3999999999999995
1698411892502.0,16,0.30000000000000004,0.1,0.1,-0.7000000000000001,1.6,9.9,8.200000000000001,-0.30000000000000004,3.6
1698411892518.0,16,0.1,0.1,-0.1,-0.8,1.7000000000000002,9.700000000000001,8.3,-0.1,0.9
1698411892536.0,16,0.0,0.0,-0.30000000000000004,-1.0,1.5,9.4,6.2,0.6000000000000001,-0.5
1698411892552.0,16,-0.1,-0.1,-0.4,-1.1,1.5,9.4,4.6000000000000005,1.0,-0.6000000000000001
1698411892569.0,16,0.0,-0.1,-0.30000000000000004,-1.0,1.5,9.4,0.4,3.1,0.0
1698411892586.0,16,0.0,0.0,-0.30000000000000004,-1.0,1.6,9.4,-1.6,3.5,0.1
1698411892601.0,16,-0.1,0.0,0.0,-1.1,1.6,9.8,-3.1,0.0,-1.4
1698411892618.0,16,-0.1,0.0,0.2,-1.1,1.5,9.9,-2.7,-0.4,-1.7
1698411892634.0,16,-0.1,0.0,0.2,-1.1,1.5,10.0,-0.8,-0.4,-1.4
1698411892652.0,16,-0.1,-0.1,0.30000000000000004,-1.1,1.5,10.0,0.30000000000000004,0.0,-0.8
1698411892668.0,16,-0.1,-0.1,0.1,-1.1,1.4000000000000001,9.9,3.7000000000000006,1.4,0.1
1698411892685.0,16,-0.1,0.0,-0.1,-1.1,1.5,9.600000000000001,4.2,1.0999999999999999,1.6
1698411892703.0,16,0.0,0.1,-0.2,-1.0,1.6,9.5,3.9,0.1,1.8
1698411892719.0,16,0.0,0.0,-0.2,-1.0,1.5,9.600000000000001,2.5,-1.4,-0.30000000000000004
1698411892735.0,16,0.1,0.0,-0.2,-1.0,1.6,9.600000000000001,-0.2,0.2,0.0
1698411892752.0,16,0.1,0.0,-0.1,-1.0,1.6,9.600000000000001,-1.6,1.2000000000000002,-0.2
1698411892769.0,16,0.0,0.0,-0.1,-1.0,1.5,9.700000000000001,-2.7,1.5000000000000002,-0.8
1698411892786.0,16,0.0,0.0,-0.1,-1.0,1.5,9.600000000000001,-3.4,2.3000000000000003,-1.2000000000000002
1698411892801.0,16,-0.1,-0.1,0.1,-1.2000000000000002,1.5,9.9,-3.5,1.7,-0.4
1698411892818.0,16,0.0,0.0,0.1,-1.1,1.5,9.8,-2.7,1.9,0.30000000000000004
1698411892837.0,16,0.0,0.0,0.0,-1.1,1.5,9.700000000000001,-2.4000000000000004,2.3000000000000003,0.6000000000000001
1698411892851.0,16,0.0,0.0,0.1,-1.1,1.5,9.8,-1.8,0.5,1.0999999999999999
1698411892868.0,16,0.0,0.0,0.1,-1.0,1.5,9.9,1.0,-0.7,0.1
1698411892885.0,16,0.0,0.0,0.0,-1.1,1.5,9.700000000000001,1.3,-0.30000000000000004,0.0
1698411892901.0,16,0.0,-0.1,0.0,-1.1,1.5,9.700000000000001,1.0,-0.1,0.30000000000000004
1698411892918.0,16,0.0,-0.1,-0.1,-1.1,1.4000000000000001,9.700000000000001,0.2,1.0999999999999999,0.8
1698411892935.0,16,0.1,0.1,-0.1,-1.0,1.6,9.600000000000001,-0.5,0.9,0.4
1698411892951.0,16,0.1,0.0,0.0,-0.9,1.6,9.700000000000001,-0.7,0.30000000000000004,0.1
1698411892968.0,16,0.1,0.1,0.0,-1.0,1.6,9.700000000000001,-1.0,1.0,-0.8
1698411892985.0,16,0.0,0.0,0.0,-1.0,1.5,9.700000000000001,-1.7,0.8,-1.0999999999999999
1698411893001.0,16,-0.1,-0.1,-0.1,-1.2000000000000002,1.4000000000000001,9.600000000000001,-2.1,0.7,-1.2000000000000002
