msFromStart,abs,alpha,beta,gamma
150,False,0.0,0.0,0.0
167,False,0.1,7.0,9.3
184,False,0.2,7.1000000000000005,8.8
200,False,0.30000000000000004,7.2,8.6
217,False,0.30000000000000004,7.4,8.4
267,False,0.2,7.5,8.4
283,False,0.30000000000000004,7.6000000000000005,8.3
317,False,0.4,7.7,7.6000000000000005
334,False,0.2,7.7,7.4
368,False,0.2,7.7,7.1000000000000005
385,False,0.30000000000000004,7.7,7.0
402,False,0.30000000000000004,7.7,6.800000000000001
417,False,0.4,7.9,6.5
435,False,0.4,8.0,6.300000000000001
452,False,0.5,8.1,6.2
468,False,0.6000000000000001,8.3,6.0
502,False,0.7000000000000001,8.5,5.800000000000001
518,False,0.7000000000000001,8.700000000000001,5.800000000000001
536,False,0.7000000000000001,8.9,5.800000000000001
600,False,0.6000000000000001,8.9,6.0
684,False,0.6000000000000001,8.9,6.1000000000000005
718,False,0.6000000000000001,9.0,6.0
752,False,0.6000000000000001,9.0,6.1000000000000005
801,False,0.6000000000000001,8.8,6.2
837,False,0.6000000000000001,8.700000000000001,6.300000000000001
867,False,0.6000000000000001,8.700000000000001,6.2
917,False,0.6000000000000001,8.700000000000001,6.300000000000001
950,False,0.6000000000000001,8.700000000000001,6.2
984,False,0.6000000000000001,8.700000000000001,6.300000000000001
1017,False,0.6000000000000001,8.6,6.300000000000001
1267,False,0.5,8.6,6.4
1402,False,0.5,8.700000000000001,6.5
1467,False,0.4,8.700000000000001,6.6000000000000005
1551,False,0.30000000000000004,8.6,6.6000000000000005
1984,False,0.2,8.6,6.7
2001,False,0.2,8.6,6.800000000000001
2037,False,0.30000000000000004,8.6,6.7
2234,False,0.30000000000000004,8.4,6.6000000000000005
2484,False,0.2,8.200000000000001,6.7
2517,False,0.1,8.200000000000001,6.9
2550,False,0.0,8.200000000000001,7.1000000000000005
2567,False,360.0,8.200000000000001,7.300000000000001
2584,False,0.0,8.1,7.300000000000001
2618,False,0.1,8.0,7.4
2634,False,0.2,8.0,7.300000000000001
2651,False,0.4,7.9,7.2
2683,False,0.6000000000000001,8.0,7.0
2717,False,0.8,8.0,6.800000000000001
2751,False,0.8,8.0,6.7
2784,False,0.7000000000000001,7.9,6.800000000000001
2817,False,0.5,7.7,6.9
2851,False,0.2,7.300000000000001,7.0
2867,False,0.2,7.2,7.0
2884,False,0.1,6.9,6.9
2917,False,0.0,6.5,6.5
2935,False,0.0,6.4,6.300000000000001
2952,False,0.1,6.2,5.9
2967,False,0.30000000000000004,6.1000000000000005,5.5
2984,False,0.5,5.9,5.1000000000000005
3000,False,0.7000000000000001,5.7,4.800000000000001
3017,False,0.8,5.6000000000000005,4.7
3035,False,0.9,5.4,4.4
3051,False,1.0,5.300000000000001,4.3
3068,False,1.1,5.1000000000000005,4.1000000000000005
3085,False,1.3,4.800000000000001,4.0
3101,False,1.4000000000000001,4.800000000000001,3.9000000000000004
3118,False,1.5,4.800000000000001,3.8000000000000003
3150,False,1.7000000000000002,5.2,3.0
3184,False,1.9000000000000001,5.300000000000001,3.0
3200,False,2.1,5.1000000000000005,3.3000000000000003
3218,False,2.1,5.0,3.4000000000000004
3234,False,2.3000000000000003,4.9,3.8000000000000003
3252,False,2.5,4.800000000000001,4.0
3268,False,2.6,4.9,4.0
3284,False,2.9000000000000004,5.0,4.1000000000000005
3301,False,3.2,5.2,4.2
3318,False,3.4000000000000004,5.2,4.3
3334,False,3.7,5.2,4.5
3352,False,3.8000000000000003,5.2,4.6000000000000005
3369,False,4.1000000000000005,5.1000000000000005,4.800000000000001
3386,False,4.4,5.2,5.0
3402,False,4.7,5.300000000000001,5.2
3417,False,4.9,5.4,5.300000000000001
3436,False,5.300000000000001,5.7,5.6000000000000005
3451,False,5.6000000000000005,5.9,5.800000000000001
3467,False,5.7,6.0,6.0
3484,False,6.0,6.2,6.2
3501,False,6.2,6.4,6.4
3518,False,6.4,6.5,6.4
3534,False,6.7,6.7,6.5
3550,False,7.1000000000000005,6.800000000000001,6.5
3567,False,7.4,6.9,6.5
3584,False,7.800000000000001,7.1000000000000005,6.5
3600,False,8.200000000000001,7.4,6.5
3618,False,8.4,7.4,6.6000000000000005
3635,False,8.8,7.6000000000000005,6.9
3650,False,9.3,7.7,7.300000000000001
3668,False,9.9,7.9,7.5
3684,False,10.200000000000001,8.0,7.7
3701,False,11.0,8.200000000000001,7.800000000000001
3718,False,11.4,8.4,7.800000000000001
3735,False,12.3,8.700000000000001,7.7
3751,False,13.3,9.1,7.6000000000000005
3768,False,14.3,9.5,7.6000000000000005
3784,False,14.9,9.600000000000001,7.7
3801,False,15.4,9.600000000000001,7.7
3817,False,16.400000000000002,9.700000000000001,7.9
3834,False,17.400000000000002,9.9,8.1
3851,False,18.400000000000002,10.100000000000001,8.3
3867,False,19.400000000000002,10.3,8.3
3884,False,19.900000000000002,10.3,8.200000000000001
3901,False,20.8,10.200000000000001,8.0
3917,False,21.5,10.0,7.800000000000001
3934,False,21.8,9.9,7.7
3951,False,22.200000000000003,9.600000000000001,7.7
3967,False,22.400000000000002,9.200000000000001,7.7
3984,False,22.400000000000002,9.0,7.7
4001,False,22.400000000000002,8.5,7.7
4019,False,22.200000000000003,7.9,7.800000000000001
4036,False,22.0,7.5,8.0
4050,False,21.700000000000003,6.7,8.4
4068,False,21.400000000000002,5.9,8.9
4084,False,21.200000000000003,5.6000000000000005,9.0
4101,False,21.0,4.9,9.200000000000001
4117,False,20.8,4.4,9.3
4134,False,20.700000000000003,4.1000000000000005,9.200000000000001
4151,False,20.6,3.5,9.1
4167,False,20.6,2.8000000000000003,8.9
4184,False,20.6,2.5,8.8
4201,False,20.6,1.6,8.8
4217,False,20.5,0.4,9.0
4234,False,20.5,-0.2,9.0
4250,False,20.400000000000002,-1.4000000000000001,9.0
4267,False,20.400000000000002,-2.5,8.6
4284,False,20.5,-3.0,8.4
4301,False,20.6,-4.1000000000000005,7.9
4318,False,20.8,-5.1000000000000005,7.5
4335,False,21.0,-6.2,7.4
4351,False,21.1,-6.6000000000000005,7.4
4367,False,21.200000000000003,-7.5,7.5
4384,False,21.3,-7.9,7.5
4401,False,21.3,-8.6,7.2
4417,False,21.3,-9.1,6.800000000000001
4434,False,21.200000000000003,-9.8,6.4
4450,False,21.200000000000003,-10.100000000000001,6.300000000000001
4467,False,21.200000000000003,-10.700000000000001,6.1000000000000005
4484,False,21.200000000000003,-11.200000000000001,5.9
4518,False,21.3,-11.5,5.5
4534,False,21.200000000000003,-11.700000000000001,5.2
4551,False,21.1,-11.9,5.0
4568,False,20.8,-12.3,4.7
4584,False,20.700000000000003,-12.5,4.6000000000000005
4602,False,20.400000000000002,-12.9,4.3
4619,False,20.1,-13.100000000000001,4.1000000000000005
4633,False,20.0,-13.3,3.9000000000000004
4650,False,19.900000000000002,-13.3,3.7
4668,False,19.8,-13.3,3.4000000000000004
4684,False,19.8,-13.3,3.0
4700,False,19.8,-13.3,2.8000000000000003
4717,False,19.700000000000003,-13.3,2.4000000000000004
4734,False,19.6,-13.3,2.1
4750,False,19.5,-13.3,2.0
4767,False,19.5,-13.100000000000001,1.9000000000000001
4784,False,19.5,-12.700000000000001,2.0
4800,False,19.5,-12.5,2.0
4819,False,19.6,-12.100000000000001,2.1
4834,False,19.700000000000003,-11.700000000000001,2.1
4850,False,19.700000000000003,-11.4,2.2
4867,False,19.8,-10.8,2.3000000000000003
4884,False,19.900000000000002,-10.200000000000001,2.5
4900,False,19.900000000000002,-9.8,2.6
4917,False,19.900000000000002,-9.200000000000001,2.7
4933,False,19.900000000000002,-8.5,2.9000000000000004
4951,False,19.900000000000002,-8.1,2.9000000000000004
4967,False,19.900000000000002,-7.4,2.9000000000000004
4984,False,19.8,-6.6000000000000005,2.8000000000000003
5001,False,19.6,-5.800000000000001,2.7
5017,False,19.5,-5.4,2.7
5033,False,19.200000000000003,-4.6000000000000005,2.7
5052,False,19.0,-4.3,2.8000000000000003
5068,False,18.6,-3.5,3.0
5084,False,18.1,-2.7,3.3000000000000003
5100,False,17.6,-2.0,3.4000000000000004
5117,False,17.3,-1.6,3.5
5149,False,16.3,-0.6000000000000001,3.7
5167,False,15.5,0.0,4.0
5184,False,14.700000000000001,0.5,4.2
5200,False,14.100000000000001,1.1,4.4
5217,False,13.700000000000001,1.4000000000000001,4.5
5234,False,13.0,2.0,4.5
5251,False,12.200000000000001,2.5,4.5
5267,False,11.8,2.7,4.6000000000000005
5284,False,11.0,3.1,4.6000000000000005
5301,False,10.200000000000001,3.4000000000000004,4.800000000000001
5317,False,9.8,3.5,5.0
5336,False,9.200000000000001,3.8000000000000003,5.300000000000001
5351,False,8.6,4.1000000000000005,5.5
5368,False,8.3,4.2,5.6000000000000005
5384,False,7.9,4.3,5.7
5401,False,7.6000000000000005,4.3,5.6000000000000005
5417,False,7.4,4.3,5.5
5434,False,7.300000000000001,4.2,5.300000000000001
5450,False,7.1000000000000005,4.0,5.2
5484,False,7.0,3.7,5.2
5500,False,6.9,3.6,5.300000000000001
5518,False,6.9,3.5,5.300000000000001
5534,False,7.0,3.3000000000000003,5.2
5551,False,7.2,3.2,5.0
5568,False,7.300000000000001,3.1,4.9
5584,False,7.5,3.0,4.7
5602,False,7.6000000000000005,2.8000000000000003,4.7
5617,False,7.7,2.7,4.7
5634,False,7.7,2.6,4.7
5652,False,7.800000000000001,2.4000000000000004,4.9
5667,False,7.9,2.3000000000000003,5.0
5684,False,8.0,2.3000000000000003,5.300000000000001
5701,False,8.200000000000001,2.3000000000000003,5.7
5718,False,8.3,2.4000000000000004,5.9
5734,False,8.700000000000001,2.6,6.2
5750,False,9.1,2.8000000000000003,6.4
5767,False,9.700000000000001,3.0,6.4
5783,False,9.9,3.0,6.4
5800,False,10.100000000000001,3.1,6.4
5816,False,10.8,3.4000000000000004,6.5
5834,False,11.0,3.6,6.7
5850,False,11.5,4.2,6.9
5867,False,11.8,4.6000000000000005,6.9
5883,False,12.200000000000001,5.300000000000001,6.9
5900,False,12.600000000000001,5.9,6.800000000000001
5917,False,12.8,6.4,7.0
5934,False,12.9,6.6000000000000005,7.2
5950,False,12.9,7.0,7.7
5967,False,13.0,7.300000000000001,8.3
5984,False,13.100000000000001,7.4,8.6
6000,False,13.4,7.7,8.9
6018,False,13.700000000000001,8.0,9.0
6034,False,13.9,8.1,8.9
6050,False,14.3,8.200000000000001,8.8
6067,False,14.9,8.3,8.6
6084,False,15.100000000000001,8.3,8.5
6103,False,15.5,8.200000000000001,8.1
6117,False,15.600000000000001,8.1,8.0
6134,False,15.700000000000001,7.7,7.7
6150,False,15.700000000000001,7.1000000000000005,7.7
6167,False,15.700000000000001,6.6000000000000005,7.800000000000001
6184,False,15.700000000000001,6.4,8.0
6201,False,15.9,6.1000000000000005,8.200000000000001
6217,False,16.1,5.9,8.5
6235,False,16.3,5.800000000000001,8.5
6251,False,16.6,5.6000000000000005,8.5
6267,False,17.1,5.5,8.4
6283,False,17.3,5.4,8.3
6301,False,17.7,5.2,8.0
6317,False,18.1,5.0,7.7
6334,False,18.3,4.9,7.5
6351,False,18.5,4.6000000000000005,7.1000000000000005
6367,False,18.7,4.4,6.5
6384,False,18.7,4.2,6.2
6400,False,18.6,3.9000000000000004,5.800000000000001
6419,False,18.3,3.6,5.6000000000000005
6434,False,18.1,3.4000000000000004,5.5
6451,False,17.5,3.0,5.4
6468,False,16.900000000000002,2.5,5.2
6485,False,16.6,2.2,5.0
6501,False,15.9,1.6,4.7
6517,False,15.200000000000001,1.0,4.3
6534,False,14.9,0.8,4.1000000000000005
6551,False,14.3,0.30000000000000004,3.7
6568,False,13.700000000000001,0.0,3.2
6584,False,13.4,-0.2,2.9000000000000004
6600,False,12.8,-0.6000000000000001,2.3000000000000003
6617,False,12.100000000000001,-1.0,1.9000000000000001
6634,False,11.4,-1.5,1.5
6650,False,11.100000000000001,-1.6,1.4000000000000001
6667,False,10.5,-2.0,1.0
6684,False,10.200000000000001,-2.1,0.8
6700,False,9.5,-2.5,0.4
6717,False,8.8,-2.8000000000000003,0.2
6734,False,8.200000000000001,-2.9000000000000004,0.1
6750,False,8.0,-2.8000000000000003,0.1
6767,False,7.6000000000000005,-2.4000000000000004,0.2
6784,False,7.4,-1.7000000000000002,0.1
6800,False,7.300000000000001,-1.3,0.1
6818,False,7.0,-0.6000000000000001,0.1
6837,False,6.5,0.1,0.2
6850,False,6.2,0.4,0.4
6868,False,5.5,0.9,0.7000000000000001
6884,False,5.2,1.0,0.9
6901,False,4.6000000000000005,1.3,1.2000000000000002
6919,False,4.1000000000000005,1.6,1.4000000000000001
6934,False,3.8000000000000003,1.9000000000000001,1.5
6950,False,3.7,2.1,1.5
6967,False,3.5,2.4000000000000004,1.5
6984,False,3.3000000000000003,2.6,1.5
7000,False,3.2,2.7,1.6
7017,False,3.0,2.8000000000000003,1.6
7034,False,3.0,2.8000000000000003,1.7000000000000002
7051,False,3.0,2.9000000000000004,1.7000000000000002
7085,False,3.3000000000000003,3.4000000000000004,1.6
7101,False,3.5,3.7,1.6
7117,False,3.6,3.8000000000000003,1.5
7134,False,3.7,4.0,1.6
7184,False,3.7,4.1000000000000005,2.0
7200,False,3.7,4.1000000000000005,2.2
7217,False,3.8000000000000003,4.1000000000000005,2.3000000000000003
7234,False,4.0,4.2,2.5
7251,False,4.3,4.4,2.6
7269,False,4.5,4.5,2.6
7284,False,4.800000000000001,4.6000000000000005,2.6
