timestamp,accGx,accGy,accGz
1698411971.009,-406,469,-748
1698411971.089,-405,470,-757
1698411971.169,-402,473,-762
1698411971.249,-407,474,-756
1698411971.329,-406,473,-755
1698411971.409,-404,471,-755
1698411971.489,-407,472,-756
1698411971.569,-410,475,-756
1698411971.649,-410,476,-754
1698411971.729,-409,470,-757
1698411971.809,-406,470,-760
1698411971.889,-403,473,-760
1698411971.969,-404,471,-761
1698411972.049,-403,469,-765
1698411972.129,-403,468,-765
1698411972.209,-407,470,-761
1698411972.289,-407,469,-758
1698411972.369,-405,469,-755
1698411972.452,-416,510,-755
1698411972.529,-417,529,-755
1698411972.612,-406,502,-755
1698411972.689,-401,487,-758
1698411972.769,-405,481,-752
1698411972.85,-409,476,-752
1698411972.929,-411,473,-753
1698411973.009,-413,473,-751
1698411973.089,-414,475,-754
1698411973.169,-408,477,-757
1698411973.249,-405,474,-762
1698411973.329,-406,468,-759
1698411973.409,-406,471,-753
1698411973.489,-404,476,-753
1698411973.569,-403,479,-755
1698411973.729,-407,474,-755
1698411973.809,-407,475,-761
1698411973.889,-404,469,-758
1698411973.969,-407,470,-756
1698411974.049,-410,474,-754
1698411974.129,-407,475,-755
1698411974.209,-406,478,-756
1698411974.289,-405,479,-755
1698411974.369,-402,478,-754
1698411974.449,-398,477,-754
1698411974.529,-396,477,-758
1698411974.609,-396,478,-762
1698411974.689,-395,480,-736
1698411974.769,-401,478,-721
1698411974.849,-403,472,-739
1698411974.929,-397,467,-751
1698411975.011,-401,469,-756
1698411975.089,-405,472,-755
1698411975.171,-404,471,-747
1698411975.249,-403,469,-743
1698411975.329,-402,472,-747
1698411975.411,-403,477,-751
1698411975.489,-402,471,-745
1698411975.571,-406,470,-736
1698411975.649,-410,464,-747
1698411975.728,-403,462,-755
1698411975.809,-375,477,-751
1698411975.889,-347,489,-759
1698411975.968,-346,496,-770
1698411976.048,-352,480,-781
1698411976.129,-337,461,-788
1698411976.208,-322,507,-766
1698411976.288,-344,567,-721
1698411976.369,-394,511,-696
1698411976.448,-465,458,-643
1698411976.528,-537,479,-583
1698411976.608,-648,669,-404
1698411976.688,-671,701,-322
1698411976.768,-685,699,-297
1698411976.848,-734,679,-272
1698411976.929,-769,653,-249
1698411977.008,-773,628,-230
1698411977.088,-805,589,-228
1698411977.168,-861,594,-190
1698411977.248,-979,608,-117
1698411977.328,-1095,572,-71
1698411977.408,-1101,487,-75
1698411977.488,-1036,404,-112
1698411977.569,-962,356,-115
1698411977.649,-908,331,-88
1698411977.728,-869,311,-59
1698411977.809,-842,294,-43
1698411977.888,-829,295,-45
1698411977.97,-836,295,-153
1698411978.049,-849,286,-204
1698411978.131,-877,302,-247
1698411978.208,-920,306,-280
1698411978.288,-964,309,-252
1698411978.37,-1047,364,-192
1698411978.448,-1082,414,-149
1698411978.528,-1009,434,-121
1698411978.608,-900,454,-119
1698411978.688,-822,481,-142
1698411978.768,-777,489,-178
1698411978.848,-738,466,-223
1698411978.928,-759,429,-253
1698411979.008,-917,404,-269
1698411979.088,-1095,394,-272
