timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698411976.162,False,0,0,0,38
1698411977.161,False,0,0,0,38
1698411978.649,False,0,0,0,38
1698411979.636,False,0,0,0,38
1698411981.116,False,0,0,0,38
1698411982.603,False,0,0,0,38
1698411984.091,False,0,0,0,38
1698411985.081,False,0,0,0,38
1698411986.08,False,0,8,0,38
1698411987.556,False,0,8,0,38
1698411989.039,False,0,0,0,38
1698411990.031,False,0,0,0,38
1698411991.017,False,0,0,0,38
1698411992.008,False,0,8,0,38
1698411993.498,False,0,8,0,38
1698411994.494,False,0,0,0,38
1698411995.477,False,0,0,0,38
1698411996.457,False,0,0,0,38
1698411997.456,False,0,0,0,38
1698411998.447,False,0,0,0,38
