ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698412927002.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.0,0.1
1698412927019.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,0.0
1698412927036.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,0.1
1698412927053.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,0.1,0.1
1698412927068.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.1,0.1
1698412927085.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.1,0.2
1698412927101.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.2
1698412927118.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,0.0,0.0
1698412927135.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.1,0.2
1698412927151.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.0,0.2
1698412927168.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.2
1698412927184.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.1,0.0,0.1
1698412927202.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.2
1698412927221.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,-0.1,0.2
1698412927235.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.0
1698412927252.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.2,0.1
1698412927269.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,-0.1,0.0
1698412927285.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.0,0.1
1698412927303.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.2
1698412927318.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.1,0.2
1698412927336.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.5,0.1,0.1
1698412927352.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,0.0,-0.30000000000000004
1698412927380.0,16,0.0,0.0,-0.1,-0.4,9.5,1.2000000000000002,-0.2,0.1,-0.1
1698412927384.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,0.1,-0.1
1698412927401.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,0.0
1698412927418.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.0
1698412927434.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.1,0.0,0.0
1698412927451.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.0,-0.1
1698412927468.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.30000000000000004,0.0
1698412927485.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.0,-0.1
1698412927501.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.1,-0.1
1698412927518.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,-0.2,-0.1
1698412927537.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.1,0.0
1698412927552.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.2,0.0
1698412927568.0,16,0.0,0.0,-0.1,-0.4,9.4,1.2000000000000002,-0.30000000000000004,0.1,-0.1
1698412927585.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,-0.1
1698412927602.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.0
1698412927618.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,0.0,0.2
1698412927636.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.0
1698412927652.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,0.0
1698412927668.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.0
1698412927685.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.0
1698412927702.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,0.0,0.0
1698412927718.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.30000000000000004,0.1,0.0
1698412927735.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,0.0,-0.1
1698412927752.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,-0.2,0.0
1698412927768.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.0,0.0
1698412927784.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.5,-0.2,0.1
1698412927801.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,0.1,0.2
1698412927819.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.30000000000000004,0.0,0.0
1698412927835.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.4,0.0,0.0
1698412927851.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.30000000000000004,0.2,-0.1
1698412927869.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.30000000000000004,0.1,-0.1
1698412927885.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.1,0.0
1698412927901.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.2,-0.1
1698412927920.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.1,-0.1
1698412927935.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,0.0,-0.1
1698412927952.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,0.0,-0.1
1698412927968.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.0
1698412927985.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,0.1,0.0
1698412928002.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.1,0.1
1698412928018.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.0,0.0
1698412928034.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,-0.1,0.0
1698412928052.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,-0.2,-0.1
1698412928068.0,16,0.0,0.0,-0.1,-0.4,9.5,1.2000000000000002,0.0,0.2,0.0
1698412928084.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.1,0.2
1698412928101.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.1,0.1,-0.1
1698412928118.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.1,0.0,0.2
1698412928136.0,16,0.0,0.0,0.0,-0.4,9.4,1.3,0.0,0.1,0.2
1698412928152.0,16,0.0,0.0,0.0,-0.4,9.5,1.3,-0.2,0.0,0.0
1698412928168.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.30000000000000004,0.0,-0.1
1698412928185.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,0.1,-0.2
1698412928201.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.1,0.0
1698412928218.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,0.0,0.0
1698412928235.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.0,0.1
1698412928251.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,0.2,0.2
1698412928268.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,0.2,0.0
1698412928285.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.4,0.0,0.1
1698412928303.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,0.1,0.1
1698412928319.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,-0.1,0.1
1698412928335.0,16,0.0,0.0,0.0,-0.4,9.5,1.3,0.2,0.1,0.0
1698412928353.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.1,-0.2,0.0
1698412928368.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.2,0.1,0.30000000000000004
1698412928385.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.2,-0.1,0.2
1698412928402.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.2,-0.2,0.1
1698412928418.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,-0.2,0.0
1698412928435.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.30000000000000004,0.1,0.0
1698412928451.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,-0.1,-0.1
1698412928468.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.4,0.1,0.1
1698412928485.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.2,0.2,0.2
1698412928501.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.6000000000000001,0.2,0.30000000000000004
1698412928518.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.7,0.30000000000000004,0.30000000000000004
1698412928537.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.8,0.30000000000000004,0.5
1698412928552.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.0,0.2,0.5
1698412928568.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.0999999999999999,0.4,0.5
1698412928585.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.2000000000000002,0.5,0.5
1698412928602.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.5000000000000002,0.1,0.7
1698412928619.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.6,-0.1,0.7
1698412928635.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,1.8,-0.2,0.9
1698412928652.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,1.9,-0.2,1.0
1698412928668.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,1.8,-0.2,1.0
1698412928685.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,1.8,-0.30000000000000004,1.0
1698412928701.0,16,0.0,0.1,-0.1,-0.4,9.5,1.1,1.8,-0.6000000000000001,1.0
1698412928719.0,16,0.0,0.1,0.0,-0.4,9.5,1.1,1.6,-0.9,0.9
1698412928734.0,16,0.0,0.1,0.0,-0.4,9.5,1.1,0.9,-1.0,0.7
1698412928751.0,16,0.0,0.0,-0.1,-0.30000000000000004,9.5,1.1,0.7,-1.0,0.5
1698412928768.0,16,0.0,0.0,-0.1,-0.30000000000000004,9.5,1.1,0.7,-1.0,0.5
1698412928785.0,16,0.0,0.0,-0.1,-0.30000000000000004,9.5,1.1,0.2,-1.0,0.4
1698412928802.0,16,0.0,0.1,-0.1,-0.30000000000000004,9.5,1.1,-0.2,-0.9,0.30000000000000004
1698412928818.0,16,0.1,0.1,-0.1,-0.30000000000000004,9.5,1.1,-0.30000000000000004,-0.8,0.2
1698412928835.0,16,0.1,0.0,0.0,-0.30000000000000004,9.5,1.1,-0.9,-0.5,-0.2
1698412928852.0,16,0.1,0.0,0.0,-0.30000000000000004,9.5,1.1,-0.7,-0.2,-0.30000000000000004
1698412928868.0,16,0.0,0.0,0.0,-0.4,9.4,1.1,-0.9,0.1,0.0
1698412928884.0,16,0.0,0.0,0.0,-0.30000000000000004,9.5,1.1,-0.7,0.0,-0.30000000000000004
1698412928903.0,16,0.0,0.0,0.0,-0.30000000000000004,9.5,1.2000000000000002,-0.7,0.2,-0.30000000000000004
1698412928918.0,16,0.0,0.0,0.1,-0.4,9.5,1.2000000000000002,-0.8,0.2,-0.30000000000000004
1698412928935.0,16,0.0,0.0,0.1,-0.30000000000000004,9.4,1.2000000000000002,-1.4,0.7,-0.30000000000000004
1698412928951.0,16,0.0,0.0,0.1,-0.30000000000000004,9.5,1.2000000000000002,-1.5000000000000002,0.9,-0.5
1698412928968.0,16,0.0,0.0,0.0,-0.30000000000000004,9.4,1.2000000000000002,-1.5000000000000002,1.0,-0.7
1698412928985.0,16,0.0,0.0,0.0,-0.30000000000000004,9.4,1.2000000000000002,-1.4,1.0,-0.8
1698412929002.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-1.3,0.7,-0.4
1698412929018.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-1.2000000000000002,0.7,-0.30000000000000004
1698412929037.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.6000000000000001,0.7,-0.2
1698412929051.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.4,0.7,-0.1
1698412929068.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,0.7,-0.1
1698412929084.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.1,0.5,-0.2
1698412929102.0,16,-0.1,0.0,0.1,-0.4,9.4,1.2000000000000002,0.2,0.2,-0.1
1698412929118.0,16,-0.1,0.0,0.0,-0.4,9.4,1.3,0.2,0.0,-0.1
1698412929135.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,-0.2,-0.2
1698412929154.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,-0.1,-0.1
1698412929169.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,-0.4,-0.1
1698412929185.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.1,-0.7,0.0
1698412929202.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.1,-0.6000000000000001,0.0
1698412929218.0,16,0.0,0.0,0.0,-0.4,9.5,1.1,0.2,-0.7,0.0
1698412929234.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,-0.7,0.2
1698412929251.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.4,-0.6000000000000001,0.2
1698412929268.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,-0.5,0.1
1698412929285.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.4,-0.4,0.0
1698412929302.0,16,0.0,0.0,0.0,-0.30000000000000004,9.4,1.2000000000000002,0.30000000000000004,-0.2,0.0
1698412929318.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.30000000000000004,-0.30000000000000004,0.1
1698412929335.0,16,0.0,0.0,0.0,-0.30000000000000004,9.5,1.2000000000000002,0.2,-0.2,0.0
1698412929352.0,16,0.0,0.0,0.0,-0.30000000000000004,9.5,1.2000000000000002,0.2,-0.2,0.0
1698412929368.0,16,0.0,0.0,0.0,-0.30000000000000004,9.4,1.2000000000000002,0.2,-0.2,0.0
1698412929384.0,16,0.0,0.0,0.0,-0.30000000000000004,9.5,1.1,0.0,-0.2,-0.1
1698412929401.0,16,0.0,0.0,0.0,-0.4,9.5,1.1,0.0,-0.30000000000000004,-0.1
1698412929418.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.1,0.0
1698412929435.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.1,-0.1
1698412929452.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.4,-0.2
1698412929468.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,0.4,-0.1
1698412929485.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,0.4,-0.1
1698412929502.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,0.30000000000000004,-0.2
1698412929519.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,0.0,0.30000000000000004,0.0
1698412929534.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.2,0.2,-0.1
1698412929552.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,0.0,0.1,-0.1
1698412929568.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.1,-0.2
1698412929585.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.2,-0.2,-0.1
1698412929601.0,16,0.0,0.0,0.0,-0.4,9.5,1.2000000000000002,-0.1,-0.30000000000000004,0.0
1698412929618.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.5,-0.1,-0.30000000000000004
1698412929635.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.2,-0.2,0.0
1698412929653.0,16,0.0,0.0,0.0,-0.4,9.4,1.2000000000000002,-0.30000000000000004,-0.5,0.0
