ms,x,y,z
1698412927034.0,-323,676,-661
1698412927114.0,-316,680,-659
1698412927194.0,-314,674,-666
1698412927274.0,-313,667,-667
1698412927354.0,-313,664,-660
1698412927434.0,-313,666,-665
1698412927513.0,-313,668,-669
1698412927593.0,-313,670,-664
1698412927674.0,-310,667,-664
1698412927753.0,-315,664,-670
1698412927833.0,-316,671,-671
1698412927914.0,-307,667,-676
1698412927996.0,-301,667,-675
1698412928073.0,-308,669,-665
1698412928154.0,-341,739,-698
1698412928235.0,-349,780,-720
1698412928313.0,-321,722,-697
1698412928394.0,-310,690,-684
1698412928473.0,-304,689,-670
1698412928553.0,-298,683,-663
1698412928634.0,-293,676,-662
1698412928713.0,-293,678,-656
1698412928793.0,-301,679,-653
1698412928874.0,-306,678,-659
1698412928953.0,-299,676,-661
1698412929033.0,-294,671,-661
1698412929114.0,-297,664,-661
1698412929193.0,-306,667,-665
1698412929273.0,-304,671,-667
1698412929354.0,-309,668,-667
1698412929433.0,-309,667,-663
1698412929513.0,-221,688,-739
1698412929594.0,-183,696,-777
1698412929673.0,-253,685,-715
1698412929753.0,-286,680,-687
1698412929833.0,-296,675,-675
1698412929913.0,-304,674,-668
1698412929993.0,-307,673,-665
1698412930073.0,-308,673,-658
1698412930153.0,-310,678,-656
1698412930233.0,-307,678,-659
1698412930313.0,-305,678,-663
1698412930395.0,-304,679,-665
1698412930473.0,-307,673,-667
1698412930556.0,-312,672,-669
1698412930633.0,-308,667,-669
1698412930713.0,-306,664,-661
1698412930795.0,-305,666,-656
1698412930873.0,-289,680,-647
1698412930953.0,-288,685,-647
1698412931033.0,-306,676,-658
1698412931113.0,-310,668,-661
1698412931193.0,-307,664,-662
1698412931273.0,-307,668,-661
1698412931353.0,-302,665,-664
1698412931434.0,-299,661,-659
1698412931513.0,-301,665,-652
1698412931593.0,-302,665,-654
1698412931673.0,-304,664,-655
1698412931753.0,-308,663,-661
1698412931833.0,-310,663,-673
1698412931913.0,-313,666,-673
1698412931993.0,-303,683,-663
1698412932073.0,-306,681,-662
1698412932153.0,-313,677,-664
1698412932233.0,-251,690,-661
1698412932313.0,-220,698,-650
1698412932393.0,-269,684,-652
1698412932473.0,-296,672,-660
1698412932553.0,-302,668,-664
1698412932633.0,-304,666,-666
1698412932713.0,-308,667,-667
1698412932794.0,-310,665,-667
1698412932873.0,-309,661,-667
1698412932955.0,-309,659,-663
1698412933033.0,-306,663,-664
1698412933115.0,-272,678,-667
1698412933193.0,-258,682,-673
1698412933273.0,-286,677,-672
1698412933354.0,-297,671,-662
1698412933433.0,-299,680,-658
1698412933512.0,-306,671,-659
1698412933592.0,-277,674,-712
1698412933673.0,-259,677,-740
1698412933752.0,-284,673,-708
1698412933832.0,-299,669,-694
1698412933913.0,-305,664,-686
1698412933992.0,-310,668,-674
1698412934073.0,-315,669,-666
1698412934153.0,-318,671,-668
1698412934232.0,-319,675,-668
1698412934312.0,-318,673,-670
1698412934393.0,-319,664,-672
1698412934472.0,-329,658,-628
1698412934552.0,-331,658,-610
1698412934633.0,-321,660,-642
1698412934712.0,-313,661,-657
1698412934792.0,-320,640,-683
1698412934872.0,-313,653,-688
1698412934952.0,-293,720,-694
1698412935032.0,-237,749,-683
1698412935112.0,-140,751,-620
1698412935192.0,-48,753,-534
1698412935272.0,0,776,-433
1698412935352.0,13,879,-302
1698412935432.0,16,1136,-165
1698412935514.0,-4,1369,-71
1698412935593.0,-61,1522,8
1698412935675.0,-106,1528,114
1698412935752.0,-61,1432,131
1698412935832.0,119,1284,53
1698412935913.0,331,1084,-4
1698412935992.0,384,922,-53
1698412936072.0,317,728,-65
1698412936152.0,230,510,-124
1698412936233.0,183,312,-169
1698412936312.0,248,433,-195
1698412936392.0,274,481,-128
1698412936472.0,314,513,54
1698412936552.0,429,646,252
1698412936632.0,545,861,345
1698412936712.0,618,1078,383
1698412936792.0,673,1224,441
1698412936872.0,691,1291,506
