timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698420127.004,-20,45,-1018,66,36,58,-14,-2998,5692,1663,1159,1146,1354,1412
1698420127.02,-20,46,-1019,66,36,56,-14,-2998,5692,1664,1161,1148,1354,1414
1698420127.042,-19,46,-1018,66,37,53,-14,-2998,5692,1663,1167,1146,1355,1414
1698420127.058,-20,46,-1018,63,36,52,-14,-2998,5692,1663,1162,1149,1356,1412
1698420127.079,-20,45,-1019,62,34,55,-14,-2998,5693,1663,1159,1149,1355,1409
1698420127.102,-20,46,-1019,63,35,55,-14,-2997,5694,1667,1167,1154,1359,1409
1698420127.117,-20,45,-1020,63,37,55,-14,-2998,5694,1664,1168,1153,1356,1411
1698420127.14,-20,46,-1020,65,38,56,-15,-2998,5693,1665,1166,1153,1358,1410
1698420127.162,-20,45,-1021,64,37,57,-14,-2998,5693,1662,1162,1151,1356,1408
1698420127.178,-19,46,-1020,65,37,57,-14,-2997,5692,1661,1166,1148,1358,1407
1698420127.2,-19,46,-1022,58,38,57,-15,-2997,5692,1661,1166,1151,1358,1407
1698420127.229,-20,45,-1021,59,38,56,-15,-2997,5691,1663,1161,1151,1350,1409
1698420127.237,-20,45,-1022,65,36,55,-15,-2997,5691,1667,1163,1153,1355,1410
1698420127.26,-20,45,-1021,65,34,54,-15,-2996,5690,1664,1166,1154,1357,1411
1698420127.282,-20,45,-1021,66,36,53,-14,-2995,5690,1667,1164,1152,1356,1412
1698420127.297,-20,45,-1021,65,38,53,-14,-2995,5691,1664,1166,1153,1356,1412
1698420127.32,-20,45,-1021,63,41,54,-14,-2995,5691,1661,1170,1153,1358,1411
1698420127.342,-20,45,-1021,64,40,55,-14,-2994,5691,1663,1165,1151,1359,1409
1698420127.357,-19,46,-1020,64,38,55,-14,-2994,5692,1660,1167,1152,1361,1408
1698420127.379,-19,45,-1019,64,36,57,-14,-2994,5691,1662,1165,1153,1357,1410
1698420127.402,-19,46,-1020,62,32,59,-14,-2994,5691,1663,1171,1152,1358,1412
1698420127.417,-19,46,-1020,63,38,57,-14,-2993,5692,1661,1166,1151,1358,1412
1698420127.44,-21,46,-1020,63,35,56,-14,-2993,5692,1659,1164,1151,1359,1412
1698420127.462,-20,47,-1020,62,37,54,-14,-2993,5692,1660,1166,1150,1359,1411
1698420127.485,-20,46,-1020,63,35,54,-15,-2993,5692,1659,1162,1149,1360,1409
1698420127.5,-19,46,-1018,61,34,56,-15,-2993,5693,1659,1164,1151,1362,1410
1698420127.522,-20,45,-1018,62,35,55,-16,-2993,5693,1660,1160,1150,1361,1412
1698420127.537,-20,45,-1016,62,34,54,-17,-2992,5692,1661,1161,1148,1357,1411
1698420127.568,-21,46,-1017,63,34,53,-17,-2993,5692,1660,1161,1151,1359,1410
1698420127.59,-20,46,-1018,61,38,54,-17,-2993,5691,1660,1167,1149,1360,1412
1698420127.597,-19,46,-1018,62,36,54,-18,-2993,5692,1659,1167,1148,1357,1410
1698420127.619,-19,45,-1017,62,37,57,-18,-2992,5693,1659,1166,1149,1358,1411
1698420127.642,-19,46,-1017,62,38,54,-18,-2992,5694,1657,1168,1148,1358,1409
1698420127.657,-19,46,-1018,62,38,54,-18,-2992,5694,1661,1172,1146,1360,1408
1698420127.68,-18,46,-1017,62,38,52,-18,-2992,5695,1661,1175,1146,1360,1413
1698420127.702,-18,46,-1017,64,41,54,-18,-2993,5696,1658,1179,1146,1360,1407
1698420127.717,-18,46,-1017,61,39,55,-18,-2993,5695,1657,1176,1146,1360,1410
1698420127.739,-18,45,-1017,61,36,56,-18,-2993,5694,1660,1181,1147,1359,1408
1698420127.762,-18,45,-1017,60,37,55,-17,-2993,5692,1660,1171,1146,1363,1413
1698420127.777,-19,46,-1018,63,35,56,-16,-2993,5692,1660,1178,1150,1361,1410
1698420127.8,-18,46,-1018,62,37,56,-16,-2992,5691,1657,1178,1146,1360,1409
1698420127.822,-19,45,-1019,62,37,55,-15,-2992,5690,1657,1188,1147,1365,1408
1698420127.845,-19,45,-1020,61,37,54,-15,-2992,5690,1659,1183,1149,1364,1410
1698420127.86,-19,45,-1019,63,38,55,-15,-2993,5691,1659,1180,1148,1362,1413
1698420127.882,-19,46,-1020,62,38,56,-15,-2993,5692,1658,1189,1148,1361,1414
1698420127.897,-18,45,-1019,61,38,56,-15,-2994,5692,1657,1187,1149,1364,1414
1698420127.92,-18,46,-1018,59,34,55,-15,-2993,5693,1657,1183,1145,1361,1412
1698420127.942,-18,46,-1019,61,35,56,-15,-2994,5693,1657,1167,1149,1365,1412
1698420127.957,-17,46,-1019,58,34,54,-14,-2994,5694,1656,1176,1146,1365,1410
1698420127.979,-18,46,-1019,59,34,53,-15,-2995,5694,1652,1167,1147,1363,1411
