ts,alpha,beta,gamma
1698413646028.0,-299,449,606
1698413646108.0,-297,451,610
1698413646188.0,-291,447,609
1698413646268.0,-299,452,611
1698413646348.0,-301,466,604
1698413646431.0,-285,463,617
1698413646508.0,-282,449,613
1698413646588.0,-305,456,617
1698413646668.0,-302,450,618
1698413646748.0,-290,454,609
1698413646831.0,-291,452,615
1698413646908.0,-304,450,606
1698413646988.0,-297,452,606
1698413647070.0,-297,448,608
1698413647148.0,-303,450,606
1698413647231.0,-283,458,610
1698413647308.0,-294,446,610
1698413647388.0,-297,446,606
1698413647469.0,-291,452,620
1698413647548.0,-295,452,605
1698413647630.0,-297,457,609
1698413647708.0,-295,451,605
1698413647787.0,-297,459,611
1698413647868.0,-298,445,615
1698413647947.0,-292,455,603
1698413648028.0,-288,448,609
1698413648108.0,-289,456,610
1698413648187.0,-298,460,610
1698413648268.0,-285,454,618
1698413648348.0,-294,443,606
1698413648427.0,-302,449,608
1698413648507.0,-293,459,612
1698413648588.0,-298,460,615
1698413648668.0,-295,444,604
1698413648747.0,-285,452,610
1698413648828.0,-301,448,603
1698413648907.0,-292,451,618
1698413648987.0,-280,443,618
1698413649068.0,-295,461,611
1698413649147.0,-297,456,606
1698413649227.0,-298,456,608
1698413649307.0,-299,443,604
1698413649390.0,-298,449,608
1698413649467.0,-289,449,605
1698413649547.0,-303,448,605
1698413649627.0,-286,456,606
1698413649707.0,-290,447,611
1698413649790.0,-287,454,610
1698413649867.0,-299,451,612
1698413649947.0,-287,452,611
1698413650027.0,-293,450,601
1698413650107.0,-297,462,606
1698413650191.0,-301,444,614
1698413650267.0,-297,455,609
1698413650347.0,-300,458,612
1698413650429.0,-299,446,612
1698413650507.0,-285,453,608
1698413650590.0,-299,446,606
1698413650667.0,-300,453,606
1698413650747.0,-302,457,610
1698413650828.0,-317,452,603
1698413650907.0,-330,447,601
1698413650987.0,-348,434,599
1698413651067.0,-360,433,583
1698413651148.0,-382,436,586
1698413651228.0,-390,438,559
1698413651307.0,-407,427,528
1698413651387.0,-429,398,523
1698413651467.0,-458,343,559
1698413651547.0,-492,262,588
1698413651627.0,-549,217,593
1698413651707.0,-561,212,598
1698413651787.0,-567,229,612
1698413651867.0,-552,245,627
1698413651950.0,-516,257,635
1698413652027.0,-498,251,633
1698413652107.0,-478,236,637
1698413652187.0,-469,252,635
1698413652267.0,-463,251,642
1698413652349.0,-458,259,631
1698413652427.0,-457,275,631
1698413652507.0,-479,266,627
1698413652587.0,-478,272,629
1698413652667.0,-478,286,619
1698413652749.0,-480,278,633
1698413652827.0,-475,277,626
1698413652907.0,-494,281,626
1698413652987.0,-492,280,622
1698413653067.0,-486,276,621
1698413653150.0,-494,300,618
1698413653227.0,-503,286,621
1698413653307.0,-504,301,610
1698413653389.0,-519,294,603
1698413653467.0,-543,296,596
1698413653549.0,-553,291,593
