ts,ppg
1698413646007.3955,15319.0
1698413646027.9092,15322.0
1698413646048.4226,15322.0
1698413646068.9363,15319.0
1698413646089.45,15314.0
1698413646109.9636,15337.0
1698413646130.4773,15322.0
1698413646150.991,15326.0
1698413646171.5046,15323.0
1698413646192.018,15325.0
1698413646212.5315,15324.0
1698413646233.0454,15324.0
1698413646253.559,15329.0
1698413646274.0728,15327.0
1698413646294.5864,15326.0
1698413646315.1,15325.0
1698413646335.6135,15330.0
1698413646356.1272,15330.0
1698413646376.6409,15328.0
1698413646397.1543,15328.0
1698413646417.6682,15328.0
1698413646438.182,15325.0
1698413646458.6956,15317.0
1698413646479.209,15313.0
1698413646499.723,15313.0
1698413646520.2363,15322.0
1698413646540.75,15323.0
1698413646561.2637,15314.0
1698413646581.777,15312.0
1698413646602.291,15315.0
1698413646622.8044,15317.0
1698413646643.318,15319.0
1698413646663.8318,15322.0
1698413646684.3457,15325.0
1698413646704.8591,15330.0
1698413646725.3728,15326.0
1698413646745.8865,15327.0
1698413646766.4,15325.0
1698413646786.9136,15329.0
1698413646807.4272,15327.0
1698413646827.941,15326.0
1698413646848.4546,15323.0
1698413646868.9685,15324.0
1698413646889.482,15323.0
1698413646909.9954,15318.0
1698413646930.509,15318.0
1698413646951.0227,15322.0
1698413646971.5364,15323.0
1698413646992.05,15323.0
1698413647012.5637,15323.0
1698413647033.0774,15324.0
1698413647053.5908,15323.0
1698413647074.1045,15331.0
1698413647094.6182,15335.0
1698413647115.1318,15336.0
1698413647135.6455,15341.0
1698413647156.1592,15342.0
1698413647176.6726,15346.0
1698413647197.1863,15343.0
1698413647217.7,15344.0
1698413647238.2136,15344.0
1698413647258.7273,15358.0
1698413647279.241,15341.0
1698413647299.7546,15339.0
1698413647320.268,15341.0
1698413647340.7815,15341.0
1698413647361.2954,15341.0
1698413647381.809,15340.0
1698413647402.3228,15344.0
1698413647422.8364,15349.0
1698413647443.35,15343.0
1698413647463.8635,15343.0
1698413647484.3772,15339.0
1698413647504.8909,15342.0
1698413647525.4043,15337.0
1698413647545.9182,15341.0
1698413647566.432,15339.0
1698413647586.9456,15334.0
1698413647607.459,15337.0
1698413647627.973,15335.0
1698413647648.4863,15331.0
1698413647669.0,15314.0
1698413647689.5137,15329.0
1698413647710.027,15326.0
1698413647730.541,15330.0
1698413647751.0544,15324.0
1698413647771.568,15326.0
1698413647792.0818,15323.0
1698413647812.5957,15323.0
1698413647833.1091,15328.0
1698413647853.6228,15328.0
1698413647874.1365,15325.0
1698413647894.65,15327.0
1698413647915.1636,15330.0
1698413647935.6772,15330.0
1698413647956.191,15325.0
1698413647976.7046,15325.0
1698413647997.2185,15327.0
1698413648017.732,15320.0
1698413648038.2454,15319.0
1698413648058.759,15314.0
1698413648079.2727,15315.0
1698413648099.7864,15309.0
1698413648120.3,15311.0
1698413648140.8137,15312.0
1698413648161.3274,15307.0
1698413648181.8408,15306.0
1698413648202.3545,15305.0
1698413648222.8682,15305.0
1698413648243.3818,15307.0
1698413648263.8955,15306.0
1698413648284.4092,15306.0
1698413648304.9226,15310.0
1698413648325.4363,15308.0
1698413648345.95,15310.0
1698413648366.4636,15313.0
1698413648386.9773,15328.0
1698413648407.491,15314.0
1698413648428.0046,15315.0
1698413648448.518,15312.0
1698413648469.0315,15319.0
1698413648489.5454,15315.0
1698413648510.059,15321.0
1698413648530.5728,15316.0
1698413648551.0864,15320.0
1698413648571.6,15324.0
1698413648592.1135,15324.0
1698413648612.6272,15326.0
1698413648633.1409,15325.0
1698413648653.6543,15329.0
1698413648674.1682,15332.0
1698413648694.682,15336.0
1698413648715.1956,15335.0
1698413648735.709,15333.0
1698413648756.223,15331.0
1698413648776.7363,15330.0
1698413648797.25,15328.0
1698413648817.7637,15327.0
1698413648838.277,15325.0
1698413648858.791,15323.0
1698413648879.3044,15323.0
1698413648899.818,15324.0
1698413648920.3318,15324.0
1698413648940.8457,15328.0
1698413648961.3591,15326.0
1698413648981.8728,15331.0
1698413649002.3865,15332.0
1698413649022.9,15337.0
1698413649043.4136,15336.0
1698413649063.9272,15333.0
1698413649084.441,15331.0
1698413649104.9546,15332.0
1698413649125.4685,15334.0
1698413649145.982,15335.0
1698413649166.4954,15336.0
1698413649187.009,15337.0
1698413649207.5227,15342.0
1698413649228.0364,15346.0
1698413649248.55,15362.0
1698413649269.0637,15347.0
1698413649289.5774,15348.0
1698413649310.0908,15348.0
1698413649330.6045,15353.0
1698413649351.1182,15349.0
1698413649371.6318,15354.0
1698413649392.1455,15350.0
1698413649412.6592,15354.0
1698413649433.1726,15355.0
1698413649453.6863,15372.0
1698413649474.2,15356.0
1698413649494.7136,15355.0
1698413649515.2273,15351.0
1698413649535.741,15352.0
1698413649556.2546,15354.0
1698413649576.768,15354.0
1698413649597.2815,15349.0
1698413649617.7954,15351.0
1698413649638.309,15349.0
1698413649658.8228,15353.0
1698413649679.3364,15351.0
1698413649699.85,15355.0
1698413649720.3635,15354.0
1698413649740.8772,15358.0
