ts,accGx,accGy,accGz
1698418950064.0,-94,1005,-85
1698418950144.0,-93,1009,-93
1698418950224.0,-94,1008,-77
1698418950304.0,-93,1013,-69
1698418950384.0,-95,1022,-74
1698418950464.0,-104,1023,-81
1698418950544.0,-105,1011,-73
1698418950624.0,-107,1016,-76
1698418950704.0,-108,1013,-83
1698418950784.0,-126,1030,-36
1698418950864.0,-134,1045,-7
1698418950944.0,-118,1031,-51
1698418951024.0,-106,1023,-68
1698418951107.0,-99,1021,-70
1698418951184.0,-101,1020,-76
1698418951264.0,-101,1018,-76
1698418951344.0,-117,1040,-91
1698418951423.0,-123,1052,-95
1698418951505.0,-109,1033,-79
1698418951584.0,-101,1028,-74
1698418951666.0,-95,1020,-79
1698418951743.0,-91,1020,-89
1698418951824.0,-88,1022,-96
1698418951905.0,-103,995,-115
1698418951983.0,-116,982,-129
1698418952066.0,-99,997,-101
1698418952143.0,-95,1010,-89
1698418952223.0,-89,1022,-84
1698418952304.0,-86,1019,-85
1698418952383.0,-101,1010,-47
1698418952463.0,-106,1014,-36
1698418952544.0,-99,1020,-74
1698418952623.0,-97,1018,-84
1698418952704.0,-99,1010,-83
1698418952783.0,-98,1011,-81
1698418952863.0,-98,1013,-81
1698418952943.0,-135,1054,-93
1698418953023.0,-153,1082,-103
1698418953103.0,-121,1048,-98
1698418953183.0,-107,1030,-95
1698418953263.0,-103,1032,-83
1698418953343.0,-101,1033,-73
1698418953423.0,-101,1033,-74
1698418953503.0,-123,963,-99
1698418953583.0,-107,980,-87
1698418953663.0,-103,1000,-86
1698418953743.0,-100,1014,-82
1698418953823.0,-97,1021,-74
1698418953903.0,-98,1024,-67
1698418953984.0,-89,1057,-69
1698418954063.0,-86,1064,-76
1698418954143.0,-97,1029,-74
1698418954223.0,-101,1009,-72
1698418954303.0,-100,998,-68
1698418954383.0,-102,995,-61
1698418954463.0,-114,1008,-68
1698418954543.0,-137,1011,-30
1698418954623.0,-159,997,-21
1698418954703.0,-175,997,-83
1698418954783.0,-182,994,-120
1698418954863.0,-170,982,-129
