isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0.0,0,0,636,1698419027352.0
False,0.0,0,0,636,1698419027844.0
False,0.0,0,0,636,1698419029332.0
False,0.0,0,0,636,1698419029827.0
False,0.0,0,0,636,1698419031796.0
False,0.0,0,0,636,1698419033282.0
False,0.0,0,0,636,1698419035266.0
False,0.0,0,0,636,1698419035270.0
False,1.21875,15,138,653,1698419036750.0
False,1.44140625,45,206,681,1698419038235.0
False,1.46875,61,227,697,1698419039231.0
False,1.4140625,59,214,716,1698419040225.0
False,1.4140625,59,214,716,1698419041208.0
False,0.0,0,0,716,1698419042205.0
False,0.0,0,0,716,1698419043676.0
False,0.0,0,0,716,1698419044176.0
False,0.0,0,0,716,1698419045165.0
False,0.0,0,0,716,1698419046154.0
