msFromStart,abs,alpha,beta,gamma
1698419027016.0,False,64.5,82.7,25.6
1698419027031.0,False,64.4,82.80000000000001,25.700000000000003
1698419027065.0,False,64.4,82.7,25.8
1698419027081.0,False,64.2,82.7,25.900000000000002
1698419027132.0,False,64.10000000000001,82.80000000000001,26.1
1698419027166.0,False,64.10000000000001,82.80000000000001,26.200000000000003
1698419027182.0,False,64.0,82.80000000000001,26.3
1698419027198.0,False,63.800000000000004,82.9,26.5
1698419027215.0,False,63.7,82.9,26.6
1698419027232.0,False,63.5,82.9,26.8
1698419027251.0,False,63.400000000000006,83.0,27.0
1698419027266.0,False,63.300000000000004,83.0,27.1
1698419027298.0,False,63.2,83.0,27.3
1698419027315.0,False,63.1,83.0,27.3
1698419027333.0,False,63.0,83.0,27.400000000000002
1698419027365.0,False,63.1,82.9,27.400000000000002
1698419027382.0,False,63.1,82.9,27.3
1698419027398.0,False,63.2,82.80000000000001,27.200000000000003
1698419027448.0,False,63.1,82.80000000000001,27.200000000000003
1698419027482.0,False,63.0,82.80000000000001,27.3
1698419027566.0,False,63.1,82.80000000000001,27.200000000000003
1698419027582.0,False,63.2,82.80000000000001,27.1
1698419027632.0,False,63.300000000000004,82.80000000000001,27.0
1698419027716.0,False,63.400000000000006,82.80000000000001,26.900000000000002
1698419027749.0,False,63.300000000000004,82.80000000000001,26.900000000000002
1698419027782.0,False,63.400000000000006,82.80000000000001,26.900000000000002
1698419027799.0,False,63.300000000000004,82.80000000000001,27.0
1698419027867.0,False,63.400000000000006,82.80000000000001,26.900000000000002
1698419027881.0,False,63.5,82.80000000000001,26.8
1698419027932.0,False,63.6,82.80000000000001,26.700000000000003
1698419027948.0,False,63.7,82.7,26.6
1698419027965.0,False,63.800000000000004,82.7,26.5
1698419027981.0,False,63.900000000000006,82.7,26.400000000000002
1698419027998.0,False,64.0,82.7,26.3
1698419028033.0,False,64.10000000000001,82.7,26.200000000000003
1698419028049.0,False,64.2,82.7,26.0
1698419028099.0,False,64.4,82.7,25.900000000000002
1698419028115.0,False,64.5,82.7,25.8
1698419028135.0,False,64.5,82.7,25.900000000000002
1698419028181.0,False,64.3,82.7,26.0
1698419028215.0,False,64.2,82.80000000000001,26.3
1698419028265.0,False,64.3,82.9,26.1
