ms,x,y,z
1698419027065.0,-202,410,501
1698419027143.0,-199,413,493
1698419027225.0,-199,403,500
1698419027303.0,-201,411,496
1698419027383.0,-194,412,495
1698419027465.0,-197,411,483
1698419027543.0,-197,402,495
1698419027625.0,-203,404,496
1698419027702.0,-198,412,497
1698419027783.0,-201,412,504
1698419027864.0,-208,409,500
1698419027942.0,-198,413,506
1698419028023.0,-201,417,501
1698419028102.0,-206,398,496
1698419028182.0,-210,402,494
1698419028263.0,-202,420,502
1698419028342.0,-201,413,494
1698419028422.0,-208,399,492
1698419028502.0,-207,399,505
1698419028582.0,-216,408,509
1698419028663.0,-201,403,494
1698419028742.0,-212,411,505
1698419028822.0,-203,403,510
1698419028902.0,-200,407,493
1698419028983.0,-210,405,496
1698419029062.0,-204,398,495
1698419029142.0,-213,410,504
1698419029223.0,-210,413,502
1698419029302.0,-195,415,495
1698419029382.0,-199,400,495
1698419029462.0,-204,407,497
1698419029542.0,-201,414,501
1698419029622.0,-201,411,507
1698419029702.0,-201,400,493
1698419029782.0,-213,402,494
1698419029862.0,-215,401,505
1698419029942.0,-202,400,503
1698419030022.0,-194,409,499
1698419030102.0,-204,402,506
1698419030182.0,-199,418,490
1698419030262.0,-199,423,494
1698419030342.0,-191,415,488
1698419030422.0,-199,415,491
1698419030502.0,-202,408,489
1698419030584.0,-203,408,485
1698419030662.0,-194,405,487
1698419030742.0,-203,401,490
1698419030822.0,-188,415,488
1698419030902.0,-198,414,501
1698419030985.0,-192,404,500
1698419031062.0,-198,400,499
1698419031142.0,-191,408,501
1698419031222.0,-197,413,488
1698419031302.0,-194,401,487
1698419031385.0,-205,394,489
1698419031462.0,-197,393,475
1698419031542.0,-204,391,475
1698419031622.0,-197,386,485
1698419031702.0,-180,383,470
1698419031784.0,-183,388,474
1698419031862.0,-176,379,479
1698419031942.0,-180,385,479
1698419032022.0,-170,389,490
1698419032102.0,-190,387,488
1698419032184.0,-186,371,490
1698419032262.0,-156,394,487
1698419032342.0,-124,423,463
1698419032424.0,-97,408,467
1698419032502.0,-86,416,470
1698419032585.0,-57,417,465
1698419032662.0,-52,421,438
1698419032742.0,-70,433,458
1698419032824.0,-83,425,484
1698419032902.0,-132,410,503
1698419032984.0,-192,387,513
1698419033062.0,-216,365,537
1698419033142.0,-185,369,542
1698419033223.0,-144,416,520
1698419033302.0,-76,453,509
1698419033384.0,-58,475,470
1698419033461.0,-7,455,465
1698419033542.0,-7,472,458
1698419033622.0,-2,476,459
1698419033701.0,-34,480,468
1698419033782.0,-72,468,496
1698419033861.0,-110,447,535
1698419033941.0,-164,419,555
1698419034022.0,-185,377,561
1698419034101.0,-194,355,565
1698419034181.0,-161,400,538
1698419034262.0,-93,462,511
1698419034341.0,-34,470,506
1698419034421.0,5,472,489
1698419034502.0,29,486,482
1698419034581.0,12,480,468
1698419034661.0,-24,468,463
1698419034742.0,-102,488,491
1698419034823.0,-176,449,535
1698419034901.0,-226,391,549
1698419034982.0,-259,337,566
1698419035061.0,-244,319,568
1698419035141.0,-217,366,566
1698419035221.0,-149,446,540
1698419035301.0,-84,477,512
1698419035381.0,-35,485,493
1698419035462.0,24,505,474
1698419035541.0,52,506,467
1698419035621.0,50,495,467
1698419035701.0,32,493,482
1698419035781.0,-27,496,493
1698419035861.0,-85,471,527
1698419035944.0,-131,438,524
1698419036021.0,-162,412,547
1698419036101.0,-162,390,560
1698419036181.0,-149,405,548
1698419036261.0,-119,441,527
1698419036344.0,-111,443,516
1698419036446.0,-110,444,505
1698419036501.0,-107,459,500
1698419036581.0,-103,461,491
1698419036661.0,-117,468,491
1698419036743.0,-111,475,483
1698419036926.0,-123,467,487
1698419036932.0,-134,469,492
1698419036989.0,-146,472,518
1698419037061.0,-151,467,519
1698419037200.0,-154,464,523
1698419037221.0,-185,448,544
1698419037560.0,-203,440,524
1698419037621.0,-202,432,517
1698419039150.0,-202,445,535
1698419039221.0,-193,443,531
1698419039390.0,-184,447,528
1698419039926.0,-190,448,543
1698419039937.0,-200,438,539
1698419040826.0,-191,435,535
1698419040832.0,-190,438,536
1698419041704.0,-193,437,521
1698419042897.0,-187,434,534
1698419042906.0,-187,437,548
1698419042980.0,-186,443,530
1698419043060.0,-157,437,555
1698419043290.0,-113,440,575
1698419043303.0,-90,429,577
1698419043410.0,-60,437,581
1698419043460.0,-29,453,563
1698419043560.0,-5,472,536
1698419043677.0,29,494,485
1698419043702.0,48,488,475
1698419043799.0,54,487,467
1698419043860.0,46,479,476
1698419043941.0,63,486,471
1698419044020.0,79,478,481
1698419044102.0,93,473,488
1698419044180.0,105,470,488
1698419044260.0,115,467,480
1698419044341.0,128,456,477
1698419044420.0,137,455,477
1698419044500.0,116,452,481
1698419044580.0,125,450,474
1698419044660.0,128,452,470
1698419044740.0,140,436,479
1698419044820.0,160,427,474
1698419044900.0,154,433,465
1698419044980.0,165,429,476
1698419045060.0,158,422,487
1698419045140.0,159,431,516
1698419045219.0,163,382,575
1698419045300.0,167,284,595
1698419045379.0,156,265,606
1698419045459.0,149,256,617
1698419045540.0,142,260,611
1698419045619.0,148,258,610
1698419045699.0,170,270,615
1698419045780.0,166,294,597
1698419045859.0,146,303,615
1698419045939.0,146,320,611
1698419046020.0,141,328,601
1698419046099.0,149,330,595
1698419046179.0,161,333,604
