timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698426227.006,3,31,-1022,60,36,52,110,-2853,5662,2076,1608,1996,2266,2243
1698426227.021,4,31,-1021,59,36,54,111,-2853,5662,2080,1609,1997,2267,2244
1698426227.044,3,32,-1022,59,36,50,111,-2853,5661,2082,1608,1995,2267,2245
1698426227.066,3,32,-1022,61,35,53,112,-2852,5662,2082,1612,1997,2266,2244
1698426227.096,3,32,-1022,61,34,53,112,-2853,5662,2090,1611,1993,2266,2243
1698426227.11,3,32,-1022,60,36,53,113,-2854,5663,2078,1615,1998,2266,2245
1698426227.126,4,32,-1024,64,33,53,114,-2852,5663,2086,1621,1992,2265,2244
1698426227.141,2,31,-1019,59,37,52,113,-2852,5663,2085,1621,1996,2265,2245
1698426227.164,3,31,-1018,63,38,53,113,-2852,5664,2087,1619,1999,2266,2245
1698426227.188,3,31,-1018,62,38,55,114,-2852,5664,2089,1612,2000,2266,2245
1698426227.208,3,31,-1019,60,38,55,114,-2852,5664,2096,1612,2001,2268,2248
1698426227.224,3,31,-1019,60,35,52,114,-2852,5665,2104,1613,2001,2268,2247
1698426227.247,3,31,-1018,60,36,52,113,-2851,5665,2100,1614,1999,2269,2246
1698426227.269,3,31,-1019,61,34,54,113,-2851,5664,2111,1617,1995,2269,2247
1698426227.284,2,31,-1020,60,35,54,113,-2851,5665,2103,1624,1994,2269,2248
1698426227.307,2,31,-1020,61,37,53,112,-2850,5665,2101,1634,1991,2269,2247
1698426227.322,2,30,-1021,60,37,52,111,-2851,5666,2103,1632,1990,2267,2246
1698426227.344,2,30,-1020,60,38,54,112,-2851,5666,2101,1626,1993,2267,2247
1698426227.374,2,31,-1020,59,36,52,111,-2851,5667,2100,1623,1993,2269,2249
1698426227.389,3,31,-1020,62,35,49,111,-2852,5666,2107,1624,1995,2270,2250
1698426227.404,4,32,-1021,60,34,53,110,-2852,5664,2105,1622,1993,2270,2250
