timestamp,hr,conf
1698419233.428,119,2
1698419234.361,127,47
1698419235.227,127,16
1698419236.059,123,70
1698419236.898,120,55
1698419237.724,108,71
1698419238.624,98,62
1698419239.533,98,50
1698419240.422,98,0
1698419242.22,99,0
1698419244.018,101,0
1698419247.415,104,68
1698419248.348,104,30
1698419249.247,104,5
1698419250.146,104,39
1698419251.012,104,55
1698419251.945,104,24
1698419252.814,104,59
1698419253.643,104,0
1698419254.475,104,22
1698419255.341,104,78
1698419256.25,104,34
1698419257.139,104,54
1698419258.038,104,82
1698419258.937,104,86
1698419259.803,103,85
1698419260.703,103,86
1698419261.613,103,89
1698419262.434,101,88
1698419263.412,101,69
1698419266.982,105,64
1698419268.152,106,98
1698419269.38,106,100
1698419269.772,106,0
