timestamp,steps
1698419240.256,1955
1698419241.213,1956
1698419241.693,1957
1698419242.173,1958
1698419242.655,1959
1698419243.213,1960
1698419244.173,1961
1698419249.214,1967
1698419249.691,1968
1698419250.171,1969
1698419250.572,1970
1698419251.052,1971
1698419251.691,1972
1698419252.251,1973
1698419253.214,1974
1698419254.014,1975
1698419254.331,1976
1698419254.652,1977
1698419255.131,1978
1698419255.53,1979
1698419256.41,1980
1698419259.61,1986
1698419260.65,1987
1698419261.694,1988
1698419262.811,1989
1698419263.14,1990
1698419264.005,1991
1698419267.184,1992
